"id","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"TH",10.69,5.95,5.47,4.26,5.15,2.17,1.75,1.01,1.21,0.63,0.78,2.13,0.78,1.83,2.15,0.89
"TJ",82.31,65.28,62.57,41.72,32.39,33.4,21.05,8.95,8.87,16.03,10.78,8.43,8.34,7.94,8.42,12.73
"TK",,,,,,,,,,,,,,,,
"TL",,,,55.12,,98.95,94.2,93.27,82.65,56.77,62.96,60,63.23,74.03,70.93,64.05
"TM",4.89,16.53,7.35,5.97,7.78,5.16,5.85,4.35,3.18,0.94,1.29,1.17,1.22,1.01,0.9,0.6
"TN",11.89,11.73,8.98,11.46,12.11,14.69,9.62,9.55,10.04,12.45,14.35,20.86,14.61,18.17,19.36,11.64
"TO",64.31,26.62,25.88,30.26,16.08,29.8,19.82,21.39,14.88,26.42,33.66,37.49,33.61,32.47,32.4,34.95
"TR",1.95,2.33,2.39,1.13,1.5,1.21,1.12,1.15,1.54,3.13,1.52,4.68,3.38,2.83,4.6,5.35
"TV",,,,,,,,,70.37,,76.11,89.57,82.01,85.17,87.75,91.2
"TZ",74.97,72.54,73.84,82.64,78.52,60.72,92.01,81.74,58.3,70.96,53.76,50.18,50.7,50.75,45.79,51.13
"UA",,,,,,2,1.56,0.82,1.22,1.96,1.26,1.49,2.15,1.44,6.66,5.15
"UG",67.17,64.56,56.61,66.63,67.48,65.02,81.63,58.28,44.87,48.51,53.6,46.19,40.75,41.07,45.31,38.7
"UY",4.28,4.28,2.59,3.42,5.13,3.32,2.14,3,1.85,2.62,2.32,1.44,0.91,1.29,3.63,1.95
"UZ",18.42,10.88,27.96,22.21,26.1,23.3,9.9,5.86,4.24,3.71,4.48,3.51,3.7,3.35,3.76,6.81
"VC",13.16,20.94,14.77,8.84,10.12,10.55,5.6,28.88,11.84,17.23,7.88,14.99,8.12,5.56,7.13,9.45
"VE",1.06,0.72,1.95,0.94,0.67,0.53,1.31,0.51,0.68,0.85,0.57,0.33,0.41,0.67,1.71,1.17
"VN",37.17,35.32,29.32,30.57,27.86,24.26,20.17,11.06,13.91,20.18,11.78,14.17,15.07,14.46,12.4,9.59
"VU",38.2,27.71,36.46,58.9,56.4,55.47,37.05,43.17,53.3,62.14,53.81,50.44,27.02,78.91,75.97,77.15
"WF",,,,,,,,,,,,,,,,
"WS",98.74,96.93,93.25,86.77,87.91,35.67,32.28,25.91,19.69,35.68,48.46,35.05,34.75,38.61,33.62,35.94
"XK",,,,,,,,,,30.5,30.91,,29.43,30.55,29.87,27.33
"YE",17.45,22.44,15.65,18.8,19.27,24.84,13.52,12.9,15.64,30.01,29.67,30.81,15.45,25.81,26.26,32.91
"ZA",5.16,4.1,8.51,14.37,4.61,3.51,2.96,3.44,7.88,4.5,5.89,8.21,5.54,6.75,6.62,5.45
"ZM",82.31,66.54,73.42,63.55,61.2,76.73,81.54,35.9,45.09,70.69,37.33,36.73,20.05,36.76,17.16,20.02
"ZW",55.69,78.01,86.38,50.16,49.89,73.94,51,45.04,79.66,74.47,36.83,25.67,31.31,25.91,26.63,32.4
