"id","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"DE",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2083317275445,2087961708915,2081548834587,2102884093622,2159127252596,2197828387686,2251165290904,2277889852953,2365852279608,2472289471325,2603929492986,2457993287495,2498510124921,2478773055714,2537306627489,2586457921600,2610344215388,2657410095758,2704440601129,2754755968369,2837985106843,2895992984029,2888950615283,2872893198340,2894553138294,2918846911121,3034449924649,3135268102786,3150303538862,2981434200154,3101461520512,3219553204820,3243016512266,3263000830967,3310854723285,3363446822668
"DJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,1038796221,1043808257,973323279,959379833,926055512,891997938,880574582,882607192,899640929,906527556,923373143,953002054,982077255,1019143009,1050191177,1101251823,1156581033,1242636395,1285420579,1330097883,1389820727,1456550955,1529807789,1621596252,1.727e+09
"DK",,,,,,,,,,,,,,,,,,,,,166268438411,164427226393,170461548553,175031937039,182353207737,189669945651,199760017105,200438292963,200132789074,201242016303,204962426995,207620848031,211768354312,211794093027,223420893921,230206865460,236901569614,244620387140,250057112215,257448814799,267054450728,269250826910,270535707354,271551359930,278783862515,285534683969,296397635331,298842898921,296713983138,281609838270,286179016200,289488740262,289265396481,288565280986,292210208305,295091333721
"DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,163843617,181127309,186977129,193374589,205723910,209698207,224999412,239497636,261171195,257047340,270461845,271682336,276966196,281305621,281893158,289917299,297107074,304130802,312282425,314889244,403016261,403013403,393523973,421237173,434302442,435578383,448456460,476924270,510642310,504535003,507672805,506668459,501161335,505568025,526451047,517218963
"DO",,,,,,,,,,,,,,,,,,,,,10845731105,11083453125,13105728901,14343437794,11070569593,12111561732,12527597528,12476000655,12836159006,14762056659,15862819343,17800120557,18676082473,20466259700,20962056122,22036657380,23654567958,25566929535,27340942391,29196665498,30835573800,31366428810,33340815735,33402305895,33776285639,36840127289,40676654395,47161379520,48647020822,49123973157,53086835159,53910772099,55939799134,59174344588,63979050491,68102618092
"DZ",,,,,,,,,,,,,,,,,,,,,61422117536,63232599509,67956895046,72849239602,78101454755,74984829414,81733867331,82671639495,87972592751,85324043469,81455998895,78637821754,79553027228,78257194933,79348713083,81586404542,85299862875,86237001546,90633149007,93142513192,97161001471,100000310010,105599554160,113203857525,118069152869,125038441826,127144137902,131432453932,134533928673,136886437244,141674153820,146129901893,150514047181,154697456999,160575921781,166838617797
"EC",,,,,,,,,,,,,,,,,,,,,37560102352,46487716673,43060882354,40986767129,39568532954,35816733007,44940602461,41180481211,44778956283,48697433554,54190704309,56590262386,57118459881,52199960140,54116201379,54816578688,55021063154,57026226445,57522220844,53543460184,54415177786,56574172163,58891122829,60494582404,65461469761,68925816884,71961230067,73536789814,78211403557,78654150157,81427546957,87833430900,92788904801,97377029030,101950988470,100176808000
"EE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11770267903,10764913030,12018604264,12518961697,12389880221,13684302256,14567322266,15441010435,16607452152,17668145975,19318560800,21300854098,22954026894,21656001455,18480838064,18948736848,20414065034,21396014952,21679477229,22198969724,22459443274
"EG",0,0,0,0,0,,,,,,,,,,,,,,,,69109379362,65882476424,65327021983,63977296633,66936554734,69814093613,68323680809,56223945574,42290159420,39524958078,52834175017,91739040459,114227962287,116651796339,122945145838,128404026249,134671733556,147484679303,153421755673,163366501275,171914614573,178258052000,187535593381,193606915905,196953065339,206022813145,219937189216,235528112400,252718074566,264433216984,277650714646,282873081038,304192761637,310536008212,316800164934,330778550717
"ER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218992856,2187546460,2420307151,2855271007,2920527235,3080924420,3422771733,3286003971,3796281256,3327133670,3618246223,3726392973,3626564138,3680469663,3643879769,3695312431,3334320630,3462550711,3539165344,3845838646,0,0,0,0
