"id","income-share-bottom-20pc.2000","income-share-second-20pc.2000","income-share-third-20pc.2000","income-share-fourth-20pc.2000","income-share-highest-20pc.2000","income-share-bottom-20pc.2001","income-share-second-20pc.2001","income-share-third-20pc.2001","income-share-fourth-20pc.2001","income-share-highest-20pc.2001","income-share-bottom-20pc.2002","income-share-second-20pc.2002","income-share-third-20pc.2002","income-share-fourth-20pc.2002","income-share-highest-20pc.2002","income-share-bottom-20pc.2003","income-share-second-20pc.2003","income-share-third-20pc.2003","income-share-fourth-20pc.2003","income-share-highest-20pc.2003","income-share-bottom-20pc.2004","income-share-second-20pc.2004","income-share-third-20pc.2004","income-share-fourth-20pc.2004","income-share-highest-20pc.2004","income-share-bottom-20pc.2005","income-share-second-20pc.2005","income-share-third-20pc.2005","income-share-fourth-20pc.2005","income-share-highest-20pc.2005","income-share-bottom-20pc.2006","income-share-second-20pc.2006","income-share-third-20pc.2006","income-share-fourth-20pc.2006","income-share-highest-20pc.2006","income-share-bottom-20pc.2007","income-share-second-20pc.2007","income-share-third-20pc.2007","income-share-fourth-20pc.2007","income-share-highest-20pc.2007","income-share-bottom-20pc.2008","income-share-second-20pc.2008","income-share-third-20pc.2008","income-share-fourth-20pc.2008","income-share-highest-20pc.2008","income-share-bottom-20pc.2009","income-share-second-20pc.2009","income-share-third-20pc.2009","income-share-fourth-20pc.2009","income-share-highest-20pc.2009","income-share-bottom-20pc.2010","income-share-second-20pc.2010","income-share-third-20pc.2010","income-share-fourth-20pc.2010","income-share-highest-20pc.2010","income-share-bottom-20pc.2011","income-share-second-20pc.2011","income-share-third-20pc.2011","income-share-fourth-20pc.2011","income-share-highest-20pc.2011","income-share-bottom-20pc.2012","income-share-second-20pc.2012","income-share-third-20pc.2012","income-share-fourth-20pc.2012","income-share-highest-20pc.2012","income-share-bottom-20pc.2013","income-share-second-20pc.2013","income-share-third-20pc.2013","income-share-fourth-20pc.2013","income-share-highest-20pc.2013"
"EE",6.93,11.66,16.06,22.21,43.14,7.03,11.57,15.85,22.14,43.41,6.91,11.65,15.95,22.41,43.08,6.94,11.94,16.46,22.56,42.1,,,,,,7.23,12.75,16.32,22.3,41.4,7.5,12.6,16.25,21.92,41.73,7.92,13.01,16.75,22.98,39.34,7.73,12.97,16.59,22.62,40.09,7.57,13.25,16.94,22.54,39.7,7.09,13.25,17.06,22.84,39.76,7.17,13.04,16.64,22.81,40.34,,,,,,,,,,
"ET",9.16,13.19,16.72,21.52,39.41,,,,,,,,,,,,,,,,,,,,,9.26,13.22,16.78,21.33,39.41,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,12.39,16.25,21.55,41.85,,,,,,,,,,
"FI",9.55,13.98,17.42,22.14,36.91,,,,,,,,,,,,,,,,9.33,13.7,17.09,22.14,37.74,,,,,,,,,,,9.22,13.63,17.28,22.36,37.51,,,,,,,,,,,9.18,13.78,17.41,22.57,37.06,,,,,,,,,,,,,,,
"FJ",,,,,,,,,,,,,,,,4.11,8.59,13.86,21.85,51.59,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,9.87,14.07,20.27,49.59,,,,,,,,,,,,,,,,,,,,
"FR",8.07,12.78,17.01,22.63,39.51,,,,,,,,,,,,,,,,,,,,,7.81,12.79,17.03,22.63,39.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM",1.59,5.16,10.2,19.07,63.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GA",,,,,,,,,,,,,,,,,,,,,,,,,,5.86,9.94,14.49,21.1,48.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GB",,,,,,,,,,,,,,,,,,,,,6.51,11.39,15.72,21.95,44.43,,,,,,,,,,,5.65,11.36,16.3,22.76,43.93,,,,,,,,,,,5.77,11.38,16.19,22.58,44.08,,,,,,,,,,,,,,,
"GE",5.37,10.61,15.4,22.38,46.24,5.79,10.87,15.39,22.13,45.82,5.73,10.73,15.47,22.24,45.83,5.68,10.64,15.55,22.54,45.59,5.48,10.69,15.67,22.56,45.6,5.47,10.53,15.43,22.3,46.27,5.69,10.64,15.32,22,46.35,5.58,10.57,15.24,21.94,46.67,5.47,10.44,15.35,22.26,46.48,5.34,10.3,14.7,21.99,47.67,5.04,9.94,15.07,22.36,47.59,5.06,10.25,15.3,22.29,47.1,5.28,10.22,15.18,22.24,47.08,,,,,
"GH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24,9.84,14.73,21.64,48.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GN",,,,,,,,,,,,,,,,6.4,10.57,14.85,21.06,47.12,,,,,,,,,,,,,,,,6.35,10.46,15.1,21.88,46.21,,,,,,,,,,,,,,,,,,,,,7.55,12.13,16.5,22.25,41.57,,,,,
"GM",,,,,,,,,,,,,,,,4.79,8.56,13.24,20.57,52.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GW",,,,,,,,,,,7.28,11.64,15.99,21.88,43.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GR",6.72,11.99,16.98,23.15,41.16,,,,,,,,,,,,,,,,6.96,12.37,16.9,22.92,40.85,,,,,,,,,,,6.66,12.59,17.13,22.74,40.88,,,,,,,,,,,6.45,12.28,17.07,22.77,41.43,,,,,,,,,,,,,,,
"GD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GT",3.37,7.23,11.38,18.36,59.66,,,,,,2.3,6.69,11.22,18.94,60.85,2.65,6.77,12.15,20.73,57.7,3.48,7.88,12.84,20.61,55.19,,,,,,3.13,6.99,11.63,19.09,59.16,,,,,,,,,,,,,,,,,,,,,3.87,7.77,11.97,19.16,57.23,,,,,,,,,,
"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HN",,,,,,2.74,7.03,12.02,20.47,57.74,1.76,5.74,10.99,19.9,61.61,2.22,5.86,10.65,19.12,62.15,2.26,5.89,10.74,19.14,61.97,1.87,5.73,10.61,18.94,62.85,2.13,6.17,11.37,19.7,60.63,2.81,6.59,11.12,19.18,60.3,2.83,6.77,11.57,19.25,59.58,3.35,7.54,12.65,20.65,55.81,3.19,7.13,11.91,20.18,57.59,2.61,6.53,11.08,18.56,61.22,,,,,,,,,,
