"id","year","income-share-bottom-20pc","income-share-second-20pc","income-share-third-20pc","income-share-fourth-20pc","income-share-highest-20pc"
"HR",2003,,,,,
"HT",2003,,,,,
"HU",2003,8.22,12.93,17.06,22.42,39.37
"ID",2003,,,,,
"IN",2003,,,,,
"IE",2003,,,,,
"IR",2003,,,,,
"IQ",2003,,,,,
"IS",2003,,,,,
"IL",2003,,,,,
"IT",2003,,,,,
"JM",2003,,,,,
"JO",2003,6.73,10.68,15.05,21.41,46.13
"JP",2003,,,,,
"KZ",2003,7.96,12.49,16.91,23.01,39.63
"KE",2003,,,,,
"KG",2003,9.28,13.27,16.77,22.56,38.12
"KH",2003,,,,,
"KI",2003,,,,,
"KN",2003,,,,,
"KR",2003,,,,,
"XK",2003,,,,,
"KW",2003,,,,,
"LA",2003,,,,,
"LB",2003,,,,,
"LR",2003,,,,,
"LY",2003,,,,,
"LC",2003,,,,,
"LI",2003,,,,,
"LK",2003,,,,,
"LS",2003,3.04,7.43,12.84,21.29,55.4
"LT",2003,7.24,11.71,15.99,21.91,43.15
"LU",2003,,,,,
"LV",2003,,,,,
"MO",2003,,,,,
"MF",2003,,,,,
"MA",2003,,,,,
"MC",2003,,,,,
"MD",2003,7.59,11.84,15.98,21.89,42.7
"MG",2003,,,,,
"MV",2003,,,,,
"MX",2003,,,,,
"MH",2003,,,,,
"MK",2003,6.07,10.73,15.55,22.19,45.46
"ML",2003,,,,,
"MT",2003,,,,,
"MM",2003,,,,,
"ME",2003,,,,,
"MN",2003,,,,,
"MP",2003,,,,,
"MZ",2003,5.43,9.2,13.06,19.02,53.29
"MR",2003,,,,,
"MU",2003,,,,,
"MW",2003,,,,,
"MY",2003,,,,,
"NA",2003,,,,,
"NC",2003,,,,,
"NE",2003,,,,,
"NG",2003,,,,,
"NI",2003,,,,,
"NL",2003,,,,,
"NO",2003,,,,,
"NP",2003,6.53,9.62,13.45,19.42,50.98
"NZ",2003,,,,,
"OM",2003,,,,,
"PK",2003,,,,,
"PA",2003,2.43,6.45,11.3,19.62,60.2
"PE",2003,3.5,7.23,11.78,19.07,58.42
"PH",2003,5.44,9.03,13.68,21.17,50.68
"PW",2003,,,,,
"PG",2003,,,,,
"PL",2003,,,,,
"PR",2003,,,,,
"KP",2003,,,,,
"PT",2003,,,,,
"PY",2003,3.23,6.98,11.24,18.65,59.9
"PF",2003,,,,,
"QA",2003,,,,,
"RO",2003,8.4,13.17,17.31,22.68,38.44
"RU",2003,6.42,10.84,15.34,22.18,45.22
"RW",2003,,,,,
"SA",2003,,,,,
"SD",2003,,,,,
"SN",2003,,,,,
"SG",2003,,,,,
"SB",2003,,,,,
"SL",2003,6.8,10.49,14.76,21.11,46.84
"SV",2003,2.73,8.1,13.37,21.47,54.33
"SM",2003,,,,,
"SO",2003,,,,,
"RS",2003,7.82,12.42,16.57,22.27,40.92
"SS",2003,,,,,
"ST",2003,,,,,
"SR",2003,,,,,
"SK",2003,,,,,
"SI",2003,8.12,12.71,17.13,22.91,39.13
"SE",2003,,,,,
"SZ",2003,,,,,
"SX",2003,,,,,
"SC",2003,,,,,
"SY",2003,,,,,
"TC",2003,,,,,
"TD",2003,6.26,10.4,15.03,21.75,46.56
"TG",2003,,,,,
"TH",2003,,,,,
"TJ",2003,7.91,12.31,16.49,22.39,40.9
"TM",2003,,,,,
"TL",2003,,,,,
"TO",2003,,,,,
