"id","year","value","original-value"
"HR",2006,14.2,
"HR",2007,14.4,
"HR",2008,14.6,
"HR",2009,14.8,
"HR",2010,15,15
"HR",2011,14.3333333333,
"HR",2012,13.6666666667,
"HR",2013,13,13
"HT",2000,510,510
"HT",2001,502,
"HT",2002,494,
"HT",2003,486,
"HT",2004,478,
"HT",2005,470,470
"HT",2006,460,
"HT",2007,450,
"HT",2008,440,
"HT",2009,430,
"HT",2010,420,420
"HT",2011,406.6666666667,
"HT",2012,393.3333333333,
"HT",2013,380,380
"HU",2000,10,10
"HU",2001,10.6,
"HU",2002,11.2,
"HU",2003,11.8,
"HU",2004,12.4,
"HU",2005,13,13
"HU",2006,14.6,
"HU",2007,16.2,
"HU",2008,17.8,
"HU",2009,19.4,
"HU",2010,21,21
"HU",2011,18.6666666667,
"HU",2012,16.3333333333,
"HU",2013,14,14
"ID",2000,310,310
"ID",2001,298,
"ID",2002,286,
"ID",2003,274,
"ID",2004,262,
"ID",2005,250,250
"ID",2006,242,
"ID",2007,234,
"ID",2008,226,
"ID",2009,218,
"ID",2010,210,210
"ID",2011,203.3333333333,
"ID",2012,196.6666666667,
"ID",2013,190,190
"IE",2000,6,6
"IE",2001,5.2,
"IE",2002,4.4,
"IE",2003,3.6,
"IE",2004,2.8,
"IE",2005,2,2
"IE",2006,3.6,
"IE",2007,5.2,
"IE",2008,6.8,
"IE",2009,8.4,
"IE",2010,10,10
"IE",2011,9.6666666667,
"IE",2012,9.3333333333,
"IE",2013,9,9
"IL",2000,9,9
"IL",2001,8.6,
"IL",2002,8.2,
"IL",2003,7.8,
"IL",2004,7.4,
"IL",2005,7,7
"IL",2006,6.6,
"IL",2007,6.2,
"IL",2008,5.8,
"IL",2009,5.4,
"IL",2010,5,5
"IL",2011,4,
"IL",2012,3,
"IL",2013,2,2
"IN",2000,370,370
"IN",2001,352,
"IN",2002,334,
"IN",2003,316,
"IN",2004,298,
"IN",2005,280,280
"IN",2006,268,
"IN",2007,256,
"IN",2008,244,
"IN",2009,232,
"IN",2010,220,220
"IN",2011,210,
"IN",2012,200,
"IN",2013,190,190
"IQ",2000,71,71
"IQ",2001,72.2,
"IQ",2002,73.4,
"IQ",2003,74.6,
"IQ",2004,75.8,
"IQ",2005,77,77
"IQ",2006,76.2,
"IQ",2007,75.4,
"IQ",2008,74.6,
"IQ",2009,73.8,
"IQ",2010,73,73
"IQ",2011,71,
"IQ",2012,69,
"IQ",2013,67,67
"IR",2000,44,44
"IR",2001,41.4,
"IR",2002,38.8,
"IR",2003,36.2,
"IR",2004,33.6,
"IR",2005,31,31
"IR",2006,29.8,
"IR",2007,28.6,
"IR",2008,27.4,
"IR",2009,26.2,
"IR",2010,25,25
"IR",2011,24.3333333333,
"IR",2012,23.6666666667,
"IR",2013,23,23
"IS",2000,6,6
"IS",2001,6,
"IS",2002,6,
