id,region,aid-type,year,value
LU,Unspecified,multilateral,2013,16156574.86
NL,Europe,multilateral,2013,216831288.40
NL,North Africa,multilateral,2013,68173230.73
NL,Sub-Saharan Africa,multilateral,2013,633129190.18
NL,North & Central America,multilateral,2013,74381732.37
NL,South America,multilateral,2013,45037232.86
NL,Far East Asia,multilateral,2013,99403551.38
NL,South & Central Asia,multilateral,2013,237607743.51
NL,Middle East,multilateral,2013,136572010.43
NL,Oceania,multilateral,2013,12526269.52
NL,Unspecified,multilateral,2013,181348905.18
NZ,Europe,multilateral,2013,1908241.09
NZ,North Africa,multilateral,2013,1571605.20
NZ,Sub-Saharan Africa,multilateral,2013,44662794.93
NZ,North & Central America,multilateral,2013,3896374.76
NZ,South America,multilateral,2013,2174002.25
NZ,Far East Asia,multilateral,2013,8901000.45
NZ,South & Central Asia,multilateral,2013,18575069.04
NZ,Middle East,multilateral,2013,8168237.30
NZ,Oceania,multilateral,2013,806892.38
NZ,Unspecified,multilateral,2013,12218230.42
NO,Europe,multilateral,2013,26224291.55
NO,North Africa,multilateral,2013,28880517.58
NO,Sub-Saharan Africa,multilateral,2013,540339640.49
NO,North & Central America,multilateral,2013,46158271.13
NO,South America,multilateral,2013,25927216.48
NO,Far East Asia,multilateral,2013,93142406.30
NO,South & Central Asia,multilateral,2013,208287901.58
NO,Middle East,multilateral,2013,110741065.94
NO,Oceania,multilateral,2013,9728370.42
NO,Unspecified,multilateral,2013,165406117.42
PL,Europe,multilateral,2013,99529362.65
PL,North Africa,multilateral,2013,27449154.19
PL,Sub-Saharan Africa,multilateral,2013,99861261.52
PL,North & Central America,multilateral,2013,12703680.95
PL,South America,multilateral,2013,8987616.65
PL,Far East Asia,multilateral,2013,9422127.98
PL,South & Central Asia,multilateral,2013,27498431.06
PL,Middle East,multilateral,2013,25397302.79
PL,Oceania,multilateral,2013,1924675.26
PL,Unspecified,multilateral,2013,25571562.65
PT,Europe,multilateral,2013,48330855.77
PT,North Africa,multilateral,2013,13287516.56
PT,Sub-Saharan Africa,multilateral,2013,53275796.63
PT,North & Central America,multilateral,2013,7660221.89
PT,South America,multilateral,2013,5178350.99
PT,Far East Asia,multilateral,2013,5094287.67
PT,South & Central Asia,multilateral,2013,15780693.39
PT,Middle East,multilateral,2013,13357487.81
PT,Oceania,multilateral,2013,1109227.86
PT,Unspecified,multilateral,2013,14129005.48
SK,Europe,multilateral,2013,18288400.19
SK,North Africa,multilateral,2013,5274476.14
SK,Sub-Saharan Africa,multilateral,2013,20805437.86
SK,North & Central America,multilateral,2013,2438359.59
SK,South America,multilateral,2013,1692339.72
SK,Far East Asia,multilateral,2013,2046281.65
