"id","year","out-oda-gross","capital-repayment","interest-repayment"
"IL",2006,118960000,0,0
"KW",2006,541440000,358590000,0
"LV",2006,13660000,0,0
"LI",2006,0,0,0
"LT",2006,2.9e+07,0,0
"MT",2006,0,0,0
"RO",2006,0,0,0
"RU",2006,0,0,0
"SA",2006,2450530000,105300000,0
"TW",2006,594160000,0,0
"TH",2006,85330000,0,0
"TR",2006,874980000,0,0
"AE",2006,982320000,75840000,0
"AU",2007,3843080000,0,0
"AT",2007,1876020000,26950000,730000
"BE",2007,2074920000,65510000,2990000
"CA",2007,4850880000,46520000,0
"CZ",2007,191820000,0,0
"DK",2007,2823640000,109620000,2280000
"FI",2007,1021580000,0,1e+05
"FR",2007,11396040000,1444190000,477180000
"DE",2007,13598940000,1386960000,325730000
"GR",2007,510630000,0,0
"IS",2007,33950000,0,0
"IE",2007,1043820000,0,0
"IT",2007,4364550000,325170000,380000
"JP",2007,18745300000,8123980000,2961870000
"KR",2007,682270000,32620000,28050000
"LU",2007,410590000,0,0
"NL",2007,6339410000,168030000,58230000
"NZ",2007,388910000,0,0
"NO",2007,4595090000,0,0
"PL",2007,362750000,8840000,0
"PT",2007,461710000,6150000,1470000
"SK",2007,74410000,0,0
"SI",2007,54870000,0,0
"ES",2007,5238830000,290480000,13920000
"SE",2007,4705840000,0,0
"CH",2007,2239270000,1.5e+07,0
"GB",2007,10410770000,1588200000,19470000
"US",2007,24467480000,964330000,352330000
"BG",2007,0,0,0
"HR",2007,0,0,0
"CY",2007,37250000,0,0
"EE",2007,17060000,0,0
"HU",2007,99920000,0,0
"IL",2007,135500000,0,0
"KW",2007,522200000,404540000,0
"LV",2007,16890000,0,0
"LI",2007,19220000,0,0
"LT",2007,50890000,0,0
"MT",2007,0,0,0
"RO",2007,0,0,0
"RU",2007,0,0,0
"SA",2007,1767460000,109110000,0
"TW",2007,549700000,0,0
"TH",2007,71510000,0,0
"TR",2007,631330000,0,0
"AE",2007,2739720000,145650000,0
"AU",2008,4048860000,0,0
"AT",2008,1676800000,43770000,270000
"BE",2008,2332710000,49230000,2490000
"CA",2008,5484100000,44090000,0
"CZ",2008,224190000,0,0
"DK",2008,2765980000,61080000,640000
"FI",2008,1120760000,1850000,0
"FR",2008,11503220000,1.338e+09,507350000
"DE",2008,14935480000,1853140000,460690000
"GR",2008,649800000,0,0
"IS",2008,43270000,0,0
"IE",2008,1135700000,0,0
"IT",2008,4799370000,222200000,890000
"JP",2008,21457550000,9668460000,2762120000
"KR",2008,911640000,42710000,28630000
"LU",2008,428630000,0,0
"NL",2008,6553650000,109230000,28390000
"NZ",2008,432660000,0,0
"NO",2008,4328830000,0,0
"PL",2008,315180000,4070000,0
"PT",2008,567320000,6340000,8110000
"SK",2008,86820000,0,0
"SI",2008,62500000,0,0
