"id","year","estimate","value"
"TH",1981,FALSE,
"TJ",1981,FALSE,
"TM",1981,FALSE,
"TL",1981,FALSE,
"TO",1981,FALSE,
"TT",1981,FALSE,
"TN",1981,FALSE,
"TR",1981,FALSE,1.1e+07
"TV",1981,FALSE,
"TW",1981,FALSE,1.810829e+12
"TZ",1981,FALSE,
"UG",1981,FALSE,
"UA",1981,FALSE,
"UY",1981,FALSE,
"US",1981,FALSE,3.21095e+12
"XK",1981,FALSE,
"UZ",1981,FALSE,
"VC",1981,FALSE,2.36e+08
"VE",1981,FALSE,
"VN",1981,FALSE,8.02e+09
"VU",1981,FALSE,
"AS",1981,FALSE,
"YE",1981,FALSE,
"ZA",1981,FALSE,
"ZM",1981,FALSE,
"ZW",1981,FALSE,
"AF",1982,FALSE,
"AO",1982,FALSE,
"AL",1982,FALSE,
"AE",1982,FALSE,
"AR",1982,FALSE,
"AM",1982,FALSE,
"AG",1982,FALSE,
"AU",1982,FALSE,1.84847e+11
"AT",1982,FALSE,
"AZ",1982,FALSE,
"BI",1982,FALSE,
"BE",1982,FALSE,1.00165e+11
"BJ",1982,FALSE,
"BF",1982,FALSE,
"BD",1982,FALSE,4.15159e+11
"BG",1982,FALSE,
"BH",1982,FALSE,
"BS",1982,FALSE,
"BA",1982,FALSE,
"BY",1982,FALSE,
"BZ",1982,FALSE,3.63e+08
"BO",1982,FALSE,
"BR",1982,FALSE,
"BB",1982,FALSE,
"BN",1982,FALSE,
"BT",1982,FALSE,1.365e+09
"BW",1982,FALSE,1.101e+09
"CF",1982,FALSE,
"CA",1982,FALSE,3.87601e+11
"CH",1982,FALSE,2.14465e+11
"CL",1982,FALSE,
"CN",1982,FALSE,5.42328e+11
"CI",1982,FALSE,
"CM",1982,FALSE,
"CD",1982,FALSE,
"CG",1982,FALSE,
"CO",1982,FALSE,3.468009e+12
"KM",1982,FALSE,
"CV",1982,FALSE,
"CR",1982,FALSE,
"CY",1982,FALSE,
"CZ",1982,FALSE,
"DE",1982,FALSE,
"DJ",1982,FALSE,
"DM",1982,FALSE,
"DK",1982,FALSE,4.91088e+11
"DO",1982,FALSE,
"DZ",1982,FALSE,
"EC",1982,FALSE,
"EG",1982,FALSE,
"ER",1982,FALSE,
"ES",1982,FALSE,1.2629e+11
"EE",1982,FALSE,
"ET",1982,FALSE,1.62e+10
"FI",1982,FALSE,4.3898e+10
"FJ",1982,FALSE,
"FR",1982,FALSE,5.87952e+11
"FM",1982,FALSE,
"GA",1982,FALSE,
"GB",1982,FALSE,2.8125e+11
"GE",1982,FALSE,
"GH",1982,FALSE,1e+07
"GN",1982,FALSE,1.82939e+11
"GM",1982,FALSE,
"GW",1982,FALSE,
"GQ",1982,FALSE,9.732e+09
"GR",1982,FALSE,1.0073e+10
"GD",1982,FALSE,3.11e+08
"GT",1982,FALSE,
"GY",1982,FALSE,
"HK",1982,FALSE,
"HN",1982,FALSE,
"HR",1982,FALSE,
"HT",1982,FALSE,
"HU",1982,FALSE,8.65056e+11
"ID",1982,FALSE,
"IO",1982,FALSE,1.918082e+12
"IE",1982,FALSE,1.8979e+10
"IR",1982,FALSE,
"IQ",1982,FALSE,
"IS",1982,FALSE,3.902e+10
"IL",1982,FALSE,6.5e+08
"IT",1982,FALSE,
"JM",1982,FALSE,
"JO",1982,FALSE,
"JP",1982,FALSE,2.78178969e+14
"KZ",1982,FALSE,
"KE",1982,FALSE,1.13394e+11
"KG",1982,FALSE,
"KH",1982,FALSE,
"KI",1982,FALSE,
"KN",1982,FALSE,2.13e+08
"KP",1982,FALSE,5.96848e+13
"KW",1982,FALSE,
"LA",1982,FALSE,
"LB",1982,FALSE,
"LR",1982,FALSE,
"LY",1982,FALSE,
"LC",1982,FALSE,4.37e+08
"LK",1982,FALSE,1.02635e+11
"LS",1982,FALSE,3.83e+08
"LT",1982,FALSE,
"LU",1982,FALSE,
"LV",1982,FALSE,
"MA",1982,FALSE,
"MD",1982,FALSE,
"MG",1982,FALSE,2.46642e+11
"MV",1982,FALSE,
"MX",1982,FALSE,
"MH",1982,FALSE,
"MK",1982,FALSE,
"ML",1982,FALSE,
"MT",1982,FALSE,1.218e+09
"MM",1982,FALSE,
