id,parent,sector,year,value
asdb-special-funds,Asian Development Bank,environment,2011,21526912.51
asdb-special-funds,Asian Development Bank,environment,2010,61851137.09
asdb-special-funds,Asian Development Bank,environment,2007,0.00
asdb-special-funds,Asian Development Bank,environment,2004,0.00
asdb-special-funds,Asian Development Bank,environment,2003,0.00
asdb-special-funds,Asian Development Bank,general-budget-support,2009,0.00
asdb-special-funds,Asian Development Bank,general-budget-support,2008,0.00
asdb-special-funds,Asian Development Bank,general-budget-support,2005,0.00
asdb-special-funds,Asian Development Bank,general-budget-support,2004,0.00
asdb-special-funds,Asian Development Bank,governance-and-security,2015,198258250.00
asdb-special-funds,Asian Development Bank,governance-and-security,2014,108571011.22
asdb-special-funds,Asian Development Bank,governance-and-security,2013,584348508.32
asdb-special-funds,Asian Development Bank,governance-and-security,2012,78920263.10
asdb-special-funds,Asian Development Bank,governance-and-security,2011,132945657.77
asdb-special-funds,Asian Development Bank,governance-and-security,2010,210516667.40
asdb-special-funds,Asian Development Bank,governance-and-security,2008,0.00
asdb-special-funds,Asian Development Bank,governance-and-security,2007,0.00
asdb-special-funds,Asian Development Bank,governance-and-security,2006,0.00
asdb-special-funds,Asian Development Bank,governance-and-security,2005,0.00
asdb-special-funds,Asian Development Bank,governance-and-security,2004,0.00
asdb-special-funds,Asian Development Bank,governance-and-security,2003,0.00
asdb-special-funds,Asian Development Bank,health,2015,48869620.00
asdb-special-funds,Asian Development Bank,health,2014,51722321.32
asdb-special-funds,Asian Development Bank,health,2013,64128037.52
asdb-special-funds,Asian Development Bank,health,2012,64111812.10
asdb-special-funds,Asian Development Bank,health,2011,76138170.47
asdb-special-funds,Asian Development Bank,health,2010,210771754.27
asdb-special-funds,Asian Development Bank,health,2008,0.00
asdb-special-funds,Asian Development Bank,health,2007,0.00
asdb-special-funds,Asian Development Bank,health,2005,0.00
asdb-special-funds,Asian Development Bank,health,2004,0.00
asdb-special-funds,Asian Development Bank,health,2003,0.00
asdb-special-funds,Asian Development Bank,humanitarian,2015,7316590.00
asdb-special-funds,Asian Development Bank,humanitarian,2013,0.00
asdb-special-funds,Asian Development Bank,humanitarian,2012,10674329.48
asdb-special-funds,Asian Development Bank,humanitarian,2011,82470988.98
