parent,year,sector,sector-rank,sector-value,purpose-code,purpose-name,purpose-rank,purpose-value
United Nations Children's Fund,2015,governance-and-security,5,68490842.15,15160,Human rights,2,14741021.61
United Nations Children's Fund,2015,governance-and-security,5,68490842.15,15110,Public sector policy and administrative management,1,15098997.16
United Nations Children's Fund,2015,health,2,213810081.73,12250,Infectious disease control,3,28628454.64
United Nations Children's Fund,2015,health,2,213810081.73,12220,Basic health care,1,48246085.78
United Nations Children's Fund,2015,health,2,213810081.73,12240,Basic nutrition,2,41883275.50
United Nations Children's Fund,2015,health,2,213810081.73,12110,Health policy & administrative management,4,25508879.01
United Nations Children's Fund,2015,health,2,213810081.73,13040,Std control including hiv/aids,5,19431514.93
United Nations Children's Fund,2015,health,2,213810081.73,0,Other,6,50111871.87
United Nations Children's Fund,2015,other,1,769315795.17,43030,Urban development and management,4,660520.52
United Nations Children's Fund,2015,other,1,769315795.17,99810,Sectors not specified,3,160621843.77
United Nations Children's Fund,2015,other,1,769315795.17,43010,Multisector aid,2,295903430.88
United Nations Children's Fund,2015,other,1,769315795.17,91010,Administrative costs (non-sector allocable),1,312130000.00
United Nations Children's Fund,2015,other-social-services,3,106321777.40,16064,Social mitigation of HIV/AIDS,4,2358297.42
United Nations Children's Fund,2015,other-social-services,3,106321777.40,16050,Multisector aid for basic social services,3,6004911.87
United Nations Children's Fund,2015,other-social-services,3,106321777.40,16062,Statistical capacity building,2,23298585.61
United Nations Children's Fund,2015,other-social-services,3,106321777.40,16020,Employment policy and administrative management,5,282524.46
United Nations Children's Fund,2015,other-social-services,3,106321777.40,16010,Social/welfare services,1,74377458.04
United Nations Development Programme,2015,environment,4,32506998.52,41050,Flood prevention/control,4,249345.20
United Nations Development Programme,2015,environment,4,32506998.52,41030,Bio-diversity,2,1168588.45
United Nations Development Programme,2015,environment,4,32506998.52,41010,Environmental policy and admin. mgmt,1,30481706.82
United Nations Development Programme,2015,environment,4,32506998.52,41020,Biosphere protection,5,65821.59
United Nations Development Programme,2015,environment,4,32506998.52,41040,Site preservation,3,541536.46
United Nations Development Programme,2015,governance-and-security,1,207450193.41,15130,Legal and judicial development,4,16453607.74
United Nations Development Programme,2015,governance-and-security,1,207450193.41,15110,Public sector policy and administrative management,1,87865469.01
United Nations Development Programme,2015,governance-and-security,1,207450193.41,15112,Decentralisation and support to subnational government,2,20031658.84
United Nations Development Programme,2015,governance-and-security,1,207450193.41,15151,Elections,3,16890622.31
United Nations Development Programme,2015,governance-and-security,1,207450193.41,15150,Democratic participation and civil society,5,16328765.07
United Nations Development Programme,2015,governance-and-security,1,207450193.41,0,Other,6,49880070.44
United Nations Development Programme,2015,humanitarian,3,48064188.43,72050,Relief co-ordination; protection and support services,4,101906.05
United Nations Development Programme,2015,humanitarian,3,48064188.43,74010,Disaster prevention and preparedness,1,28237357.50
United Nations Development Programme,2015,humanitarian,3,48064188.43,73010,Reconstruction relief and rehabilitation,2,14457730.08
United Nations Development Programme,2015,humanitarian,3,48064188.43,72010,Material relief assistance and services,3,5267194.80
United Nations Development Programme,2015,infrastructure,5,15882456.44,23110,Energy policy and administrative management,1,9492798.27
United Nations Development Programme,2015,infrastructure,5,15882456.44,23210,"Energy generation, renewable sources - multiple technologies",2,5026546.76
United Nations Development Programme,2015,infrastructure,5,15882456.44,22010,Communications policy & administrative management,3,528734.00
United Nations Development Programme,2015,infrastructure,5,15882456.44,23270,Biofuel-fired power plants,4,217926.80
United Nations Development Programme,2015,infrastructure,5,15882456.44,23220,Hydro-electric power plants,5,198806.20
United Nations Development Programme,2015,infrastructure,5,15882456.44,0,Other,6,417644.41
United Nations Development Programme,2015,other,2,85611288.97,99810,Sectors not specified,1,48268728.01
United Nations Development Programme,2015,other,2,85611288.97,0,Other,6,98673.81
United Nations Development Programme,2015,other,2,85611288.97,43010,Multisector aid,2,30084398.01
United Nations Development Programme,2015,other,2,85611288.97,43030,Urban development and management,3,4334073.03
United Nations Development Programme,2015,other,2,85611288.97,43040,Rural development,4,1616746.07
United Nations Development Programme,2015,other,2,85611288.97,43082,Research/scientific institutions,5,1208670.04
United Nations Economic Commission for Europe,2015,environment,1,5534500.00,41030,Bio-diversity,3,38600.00
United Nations Economic Commission for Europe,2015,environment,1,5534500.00,41010,Environmental policy and admin. mgmt,1,5140600.00
United Nations Economic Commission for Europe,2015,environment,1,5534500.00,41082,Environmental research,2,355300.00
United Nations Economic Commission for Europe,2015,governance-and-security,4,808400.00,15240,Reintegration and SALW control,1,751700.00
United Nations Economic Commission for Europe,2015,governance-and-security,4,808400.00,15210,Security system management and reform,2,56700.00
United Nations Economic Commission for Europe,2015,industry-and-trade,5,751700.00,33120,Trade facilitation,2,176200.00
United Nations Economic Commission for Europe,2015,industry-and-trade,5,751700.00,32110,Industrial policy & admin. mgmt,1,575500.00
United Nations Economic Commission for Europe,2015,infrastructure,2,3514600.00,21010,Transport policy & administrative management,5,12200.00
United Nations Economic Commission for Europe,2015,infrastructure,2,3514600.00,21020,Road transport,1,3215600.00
United Nations Economic Commission for Europe,2015,infrastructure,2,3514600.00,23640,Gas distribution,2,167500.00
United Nations Economic Commission for Europe,2015,infrastructure,2,3514600.00,23110,Energy policy and administrative management,3,64900.00
United Nations Economic Commission for Europe,2015,infrastructure,2,3514600.00,21030,Rail transport,4,48200.00
United Nations Economic Commission for Europe,2015,infrastructure,2,3514600.00,0,Other,6,6200.00
United Nations Economic Commission for Europe,2015,water-and-sanitation,3,1347500.00,14010,Water resources policy/administrative management,1,1343800.00
United Nations Economic Commission for Europe,2015,water-and-sanitation,3,1347500.00,14022,Sanitation - large systems,2,3700.00
United Nations Environment Programme,2015,environment,1,103748810.00,41020,Biosphere protection,2,13338500.00
United Nations Environment Programme,2015,environment,1,103748810.00,41010,Environmental policy and admin. mgmt,1,90410310.00
United Nations Environment Programme,2015,humanitarian,3,5578030.00,74010,Disaster prevention and preparedness,1,5578030.00
United Nations Environment Programme,2015,other,2,15848700.00,91010,Administrative costs (non-sector allocable),1,15848700.00
United Nations High Commissioner for Refugees,2015,humanitarian,1,398556718.12,72010,Material relief assistance and services,1,398556718.12
United Nations High Commissioner for Refugees,2015,other,2,62166800.00,91010,Administrative costs (non-sector allocable),1,62166800.00
United Nations Peacebuilding Fund,2015,governance-and-security,1,57399605.30,15220,"Civilian peace-building, conflict prevention and resolution",1,35022241.80
United Nations Peacebuilding Fund,2015,governance-and-security,1,57399605.30,15130,Legal and judicial development,2,7363425.30
United Nations Peacebuilding Fund,2015,governance-and-security,1,57399605.30,15210,Security system management and reform,3,4394292.40
United Nations Peacebuilding Fund,2015,governance-and-security,1,57399605.30,15151,Elections,4,4183014.30
United Nations Peacebuilding Fund,2015,governance-and-security,1,57399605.30,15160,Human rights,5,3621457.10
United Nations Peacebuilding Fund,2015,governance-and-security,1,57399605.30,0,Other,6,2815174.40
United Nations Peacebuilding Fund,2015,health,5,1243048.80,13010,Population policy and administrative management,1,1243048.80
United Nations Peacebuilding Fund,2015,humanitarian,3,2992250.60,73010,Reconstruction relief and rehabilitation,1,2992250.60
United Nations Peacebuilding Fund,2015,other-social-services,2,6494230.40,16010,Social/welfare services,2,39476.90
United Nations Peacebuilding Fund,2015,other-social-services,2,6494230.40,16020,Employment policy and administrative management,1,6454753.50
United Nations Peacebuilding Fund,2015,water-and-sanitation,4,2837179.20,14021,Water supply - large systems,1,2630470.00
United Nations Peacebuilding Fund,2015,water-and-sanitation,4,2837179.20,14015,Water resources protection,2,206709.20
United Nations Population Fund,2015,education,5,14761151.74,11230,Basic life skills for youth & adults,1,14761151.74
United Nations Population Fund,2015,governance-and-security,3,27311782.80,15170,Women's equality organisations and institutions,2,10429866.98
United Nations Population Fund,2015,governance-and-security,3,27311782.80,15110,Public sector policy and administrative management,1,16881915.82
United Nations Population Fund,2015,health,1,200932074.41,13030,Family planning,4,21513940.83
United Nations Population Fund,2015,health,1,200932074.41,13040,Std control including hiv/aids,5,7943917.94
United Nations Population Fund,2015,health,1,200932074.41,13020,Reproductive health care,2,34749306.40
United Nations Population Fund,2015,health,1,200932074.41,13081,Personnel development for population & reproductive health,3,34098364.05
United Nations Population Fund,2015,health,1,200932074.41,13010,Population policy and administrative management,1,102626545.19
United Nations Population Fund,2015,humanitarian,4,16263255.76,72050,Relief co-ordination; protection and support services,1,16263255.76
United Nations Population Fund,2015,other-social-services,2,52946269.88,16064,Social mitigation of HIV/AIDS,4,1492026.12
United Nations Population Fund,2015,other-social-services,2,52946269.88,16050,Multisector aid for basic social services,2,21357392.98
United Nations Population Fund,2015,other-social-services,2,52946269.88,16010,Social/welfare services,1,27181027.20
United Nations Population Fund,2015,other-social-services,2,52946269.88,16062,Statistical capacity building,3,2915823.58
United Nations Relief and Works Agency for Palestine Refugees in the Near East,2015,education,1,403838900.00,11220,Primary education,1,403838900.00
United Nations Relief and Works Agency for Palestine Refugees in the Near East,2015,health,2,150830630.00,12220,Basic health care,1,150830630.00
United Nations Relief and Works Agency for Palestine Refugees in the Near East,2015,humanitarian,4,85524270.00,72010,Material relief assistance and services,1,85524270.00
United Nations Relief and Works Agency for Palestine Refugees in the Near East,2015,other,3,131185860.00,91010,Administrative costs (non-sector allocable),1,131185860.00
World Bank Group,2015,agriculture-and-food-security,4,1285526244.47,31110,Agricultural policy & administrative management,4,112896679.60
World Bank Group,2015,agriculture-and-food-security,4,1285526244.47,31130,Agricultural land resources,3,113622510.48
World Bank Group,2015,agriculture-and-food-security,4,1285526244.47,31120,Agricultural development,2,220703446.25
World Bank Group,2015,agriculture-and-food-security,4,1285526244.47,31140,Agricultural water resources,1,320443626.61
World Bank Group,2015,agriculture-and-food-security,4,1285526244.47,0,Other,6,423535471.02
World Bank Group,2015,agriculture-and-food-security,4,1285526244.47,31182,Agricultural research,5,94324510.51
World Bank Group,2015,education,3,1378926280.40,11320,Secondary education,4,154075319.85
World Bank Group,2015,education,3,1378926280.40,11330,Vocational training,5,113170512.39
World Bank Group,2015,education,3,1378926280.40,0,Other,6,186413531.64
World Bank Group,2015,education,3,1378926280.40,11110,Education policy & administrative management,3,160297861.00
World Bank Group,2015,education,3,1378926280.40,11220,Primary education,1,570309426.52
World Bank Group,2015,education,3,1378926280.40,11420,Higher education,2,194659629.00
World Bank Group,2015,governance-and-security,2,1620121808.92,15113,Anti-corruption organisations and institutions,4,41520251.90
World Bank Group,2015,governance-and-security,2,1620121808.92,15111,Public finance management,1,788638285.50
World Bank Group,2015,governance-and-security,2,1620121808.92,15110,Public sector policy and administrative management,2,375561024.36
World Bank Group,2015,governance-and-security,2,1620121808.92,15112,Decentralisation and support to subnational government,3,345083591.82
World Bank Group,2015,governance-and-security,2,1620121808.92,15170,Women's equality organisations and institutions,5,15744649.00
World Bank Group,2015,governance-and-security,2,1620121808.92,0,Other,6,53927535.49
World Bank Group,2015,health,5,1167129308.46,12250,Infectious disease control,1,409371696.70
World Bank Group,2015,health,5,1167129308.46,12110,Health policy & administrative management,2,151500560.32
World Bank Group,2015,health,5,1167129308.46,12220,Basic health care,3,144502577.49
World Bank Group,2015,health,5,1167129308.46,12240,Basic nutrition,4,116832819.39
World Bank Group,2015,health,5,1167129308.46,13040,Std control including hiv/aids,5,83616127.02
World Bank Group,2015,health,5,1167129308.46,0,Other,6,261305527.54
World Bank Group,2015,infrastructure,1,2931587248.60,23210,"Energy generation, renewable sources - multiple technologies",5,136156828.73
World Bank Group,2015,infrastructure,1,2931587248.60,23110,Energy policy and administrative management,3,407194517.72
World Bank Group,2015,infrastructure,1,2931587248.60,0,Other,6,677714772.22
World Bank Group,2015,infrastructure,1,2931587248.60,23630,Electric power transmission and distribution,2,474605709.64
World Bank Group,2015,infrastructure,1,2931587248.60,21020,Road transport,1,1076057557.89
World Bank Group,2015,infrastructure,1,2931587248.60,23220,Hydro-electric power plants,4,159857862.40
World Food Programme,2015,agriculture-and-food-security,4,17680365.00,52010,Food aid/Food security programmes,1,17680365.00
World Food Programme,2015,education,3,25549977.00,11220,Primary education,1,23730341.00
World Food Programme,2015,education,3,25549977.00,11230,Basic life skills for youth & adults,2,1819636.00
World Food Programme,2015,health,5,13205458.00,12240,Basic nutrition,1,12439096.00
World Food Programme,2015,health,5,13205458.00,13040,Std control including hiv/aids,2,766362.00
World Food Programme,2015,humanitarian,1,202062761.00,72050,Relief co-ordination; protection and support services,4,4361381.00
World Food Programme,2015,humanitarian,1,202062761.00,72040,Emergency food aid,1,160323379.00
World Food Programme,2015,humanitarian,1,202062761.00,74010,Disaster prevention and preparedness,2,21906343.00
World Food Programme,2015,humanitarian,1,202062761.00,73010,Reconstruction relief and rehabilitation,3,15471658.00
World Food Programme,2015,other,2,26390048.00,99810,Sectors not specified,1,26390048.00
World Health Organisation,2015,health,1,577407536.72,12110,Health policy & administrative management,1,257691594.77
World Health Organisation,2015,health,1,577407536.72,12250,Infectious disease control,2,51372774.22
World Health Organisation,2015,health,1,577407536.72,12191,Medical services,3,50842201.98
World Health Organisation,2015,health,1,577407536.72,12281,Health personnel development,4,42499782.02
World Health Organisation,2015,health,1,577407536.72,0,Other,6,138116713.12
World Health Organisation,2015,health,1,577407536.72,12182,Medical research,5,36884470.61
World Health Organisation,2015,humanitarian,2,86555564.52,72050,Relief co-ordination; protection and support services,1,48857398.46
World Health Organisation,2015,humanitarian,2,86555564.52,74010,Disaster prevention and preparedness,2,37698166.06
