"district_id","district_name","year","budget_type","value"
"d101","Kalangala",2016,"approved",35.5215915
"d101","Kalangala",2017,"approved",42.34481286
"d101","Kalangala",2017,"actual",41.01313091
"d101","Kalangala",2018,"approved",30
"d101","Kalangala",2019,"proposed",33
"d222","Kaliro",2012,"actual",10.51237695
"d222","Kaliro",2013,"actual",11.8536175
"d222","Kaliro",2014,"actual",13.14756409
"d222","Kaliro",2015,"actual",14.91624593
"d222","Kaliro",2015,"approved",14.91624593
"d222","Kaliro",2016,"proposed",11.93982376
"d222","Kaliro",2016,"approved",12.26747746
"d222","Kaliro",2016,"actual",15.34204539
"d222","Kaliro",2017,"actual",12.46300262
"d222","Kaliro",2017,"approved",12.80912729
"d222","Kaliro",2018,"approved",9
"d222","Kaliro",2019,"proposed",13
"d122","Kalungu",2012,"actual",11.02577677
"d122","Kalungu",2013,"actual",12.60380583
"d122","Kalungu",2014,"actual",16.33760056
"d122","Kalungu",2015,"approved",16.14854807
"d122","Kalungu",2015,"actual",16.14854807
"d122","Kalungu",2016,"actual",16.77981666
"d122","Kalungu",2016,"approved",18.32207134
"d122","Kalungu",2016,"proposed",17.38000647
"d122","Kalungu",2017,"actual",14.76493837
"d122","Kalungu",2017,"approved",15.86972812
"d122","Kalungu",2018,"approved",10
"d122","Kalungu",2019,"proposed",13
"d205","Kamuli",2012,"actual",13.54952445
"d205","Kamuli",2013,"actual",16.8417343
"d205","Kamuli",2014,"actual",17.01774569
"d205","Kamuli",2015,"actual",16.30429694
"d205","Kamuli",2015,"approved",16.30429694
"d205","Kamuli",2016,"approved",14.65622358
"d205","Kamuli",2016,"proposed",14.01538191
"d205","Kamuli",2016,"actual",14.11137087
"d205","Kamuli",2017,"approved",15.2282899
"d205","Kamuli",2017,"actual",15.26914877
"d205","Kamuli",2018,"approved",15
"d205","Kamuli",2019,"proposed",20
"d413","Kamwenge",2012,"actual",12.86488534
"d413","Kamwenge",2013,"actual",10.98952128
"d413","Kamwenge",2014,"actual",13.68654588
"d413","Kamwenge",2015,"approved",10.34501478
"d413","Kamwenge",2015,"actual",10.34501478
"d413","Kamwenge",2016,"actual",11.26305907
"d413","Kamwenge",2016,"proposed",13.07137184
"d413","Kamwenge",2017,"actual",16.24772541
"d413","Kamwenge",2018,"approved",14
"d413","Kamwenge",2019,"proposed",18
"d414","Kanungu",2012,"actual",17.39393527
"d414","Kanungu",2013,"actual",18.6920666
"d414","Kanungu",2014,"actual",21.87525501
"d414","Kanungu",2015,"approved",17.52156798
"d414","Kanungu",2015,"actual",17.52156798
"d414","Kanungu",2016,"actual",18.0629794
"d414","Kanungu",2016,"proposed",19.8566749
"d414","Kanungu",2017,"actual",26.29992778
"d414","Kanungu",2018,"approved",19
"d414","Kanungu",2019,"proposed",23
"d206","Kapchorwa",2012,"actual",18.04268474
"d206","Kapchorwa",2013,"actual",19.15926191
"d206","Kapchorwa",2014,"actual",19.32966325
"d206","Kapchorwa",2015,"actual",24.57303259
"d206","Kapchorwa",2015,"approved",24.57303259
"d206","Kapchorwa",2016,"approved",20.01790856
"d206","Kapchorwa",2016,"actual",25.77354773
"d206","Kapchorwa",2016,"proposed",19.81170359
"d206","Kapchorwa",2017,"approved",27.03417088
"d206","Kapchorwa",2017,"actual",6.984745932
"d206","Kapchorwa",2018,"approved",7
"d206","Kapchorwa",2019,"proposed",9
"d406","Kasese",2012,"actual",11.05942805
"d406","Kasese",2013,"actual",13.13545286
"d406","Kasese",2014,"actual",18.28916713
"d406","Kasese",2015,"approved",20.02370104
"d406","Kasese",2015,"actual",20.02370104
"d406","Kasese",2016,"proposed",17.6850277
"d406","Kasese",2016,"approved",17.80071182
"d406","Kasese",2016,"actual",19.07312809
"d406","Kasese",2017,"approved",18.33309273
"d406","Kasese",2017,"actual",22.49588709
"d406","Kasese",2018,"approved",16
"d406","Kasese",2019,"proposed",21
"d207","Katakwi",2012,"actual",14.91618017
"d207","Katakwi",2013,"actual",21.89823643
"d207","Katakwi",2014,"actual",18.94446343
"d207","Katakwi",2015,"actual",16.17809284
"d207","Katakwi",2015,"approved",16.17809284
"d207","Katakwi",2016,"actual",17.60753003
"d207","Katakwi",2016,"approved",22.54284706
"d207","Katakwi",2016,"proposed",21.72183573
"d207","Katakwi",2017,"approved",18.59202834
"d207","Katakwi",2019,"proposed",20
"d112","Kayunga",2012,"actual",
"d112","Kayunga",2013,"actual",15.91387762
"d112","Kayunga",2014,"actual",16.56735559
"d112","Kayunga",2015,"actual",14.2348428
"d112","Kayunga",2015,"approved",14.2348428
"d112","Kayunga",2016,"approved",16.37997196
"d112","Kayunga",2016,"proposed",15.76009142
"d112","Kayunga",2016,"actual",16.56306747
"d112","Kayunga",2017,"approved",17.5647974
"d112","Kayunga",2017,"actual",16.11714244
"d112","Kayunga",2018,"approved",14
"d112","Kayunga",2019,"proposed",18
