"id","entity-name","year","direction","flow-type","flow-name","value"
"AU","Australia",2009,"in","official","oofs-capital-repay",0
"AU","Australia",2009,"out","commercial","fdi-devcountries",2137931879.13703
"AU","Australia",2009,"out","official","oda-out",2936493672.44241
"AU","Australia",2009,"out","official","dfis-out",0
"AU","Australia",2009,"out","private","remittances-devcountries",0
"AU","Australia",2009,"out","private","pda-out",0
"AU","Australia",2009,"out","official","oofs-out",397631022.776511
"AU","Australia",2009,"in","official","oda-interest",0
"AU","Australia",2009,"in","official","oda-capital-repay",0
"AU","Australia",2009,"in","official","oofs-interest",0
"AU","Australia",2010,"out","official","dfis-out",0
"AU","Australia",2010,"out","private","remittances-devcountries",6333054109.57322
"AU","Australia",2010,"in","official","oda-capital-repay",0
"AU","Australia",2010,"in","official","oofs-capital-repay",0
"AU","Australia",2010,"out","commercial","fdi-devcountries",1574036604.81188
"AU","Australia",2010,"out","official","oda-out",3284464166.47918
"AU","Australia",2010,"in","official","oofs-interest",0
"AU","Australia",2010,"out","private","pda-out",0
"AU","Australia",2010,"in","official","oda-interest",0
"AU","Australia",2010,"out","official","oofs-out",234945505.27265
"AU","Australia",2011,"out","commercial","fdi-devcountries",2575389137.89237
"AU","Australia",2011,"out","official","oda-out",3643199957.32881
"AU","Australia",2011,"out","private","pda-out",0
"AU","Australia",2011,"in","official","oda-interest",9322022.5643133
"AU","Australia",2011,"out","official","dfis-out",0
"AU","Australia",2011,"out","private","remittances-devcountries",5940993893.10418
"AU","Australia",2011,"in","official","oda-capital-repay",0
"AU","Australia",2011,"in","official","oofs-capital-repay",0
"AU","Australia",2011,"in","official","oofs-interest",0
"AU","Australia",2011,"out","official","oofs-out",191361016.922174
"AU","Australia",2012,"in","official","oda-capital-repay",79259504.0190201
"AU","Australia",2012,"out","official","oofs-out",239146695.132068
"AU","Australia",2012,"out","commercial","fdi-devcountries",3299235767.28161
"AU","Australia",2012,"out","official","oda-out",4034735305.7621
"AU","Australia",2012,"out","private","pda-out",0
"AU","Australia",2012,"in","official","oda-interest",0
"AU","Australia",2012,"in","official","oofs-interest",0
"AU","Australia",2012,"out","official","dfis-out",0
"AU","Australia",2012,"out","private","remittances-devcountries",6269504292.06442
"AU","Australia",2012,"in","official","oofs-capital-repay",0
"AU","Australia",2013,"in","official","oofs-interest",0
"AU","Australia",2013,"out","private","remittances-devcountries",7581668183.57517
"AU","Australia",2013,"in","official","oda-capital-repay",52721649.8094141
"AU","Australia",2013,"out","commercial","fdi-devcountries",1665502071.63121
"AU","Australia",2013,"out","official","oofs-out",359355167.614505
"AU","Australia",2013,"out","official","oda-out",3816777714.73828
"AU","Australia",2013,"out","private","pda-out",0
"AU","Australia",2013,"in","official","oofs-capital-repay",0
"AU","Australia",2013,"in","official","oda-interest",0
"AU","Australia",2013,"out","official","dfis-out",0
"AU","Australia",2014,"in","official","oofs-capital-repay",0
"AU","Australia",2014,"out","commercial","fdi-devcountries",1534110221.95781
"AU","Australia",2014,"out","private","pda-out",904075193.415426
"AU","Australia",2014,"in","official","oofs-interest",0
"AU","Australia",2014,"out","private","remittances-devcountries",8329915667.26341
"AU","Australia",2014,"in","official","oda-capital-repay",12628111.0356
"AU","Australia",2014,"out","official","dfis-out",0
"AU","Australia",2014,"out","official","oofs-out",120211016.3808
"AU","Australia",2014,"out","official","oda-out",3642792404.6892
"AU","Australia",2014,"in","official","oda-interest",0
"AU","Australia",2015,"out","official","oda-out",3497350000
"AU","Australia",2015,"out","official","oofs-out",283290000
"AU","Australia",2015,"out","private","pda-out",0
"AU","Australia",2015,"in","official","oda-capital-repay",3740000
"AU","Australia",2015,"in","official","oda-interest",0
"AU","Australia",2015,"in","official","oofs-capital-repay",0
"AU","Australia",2015,"in","official","oofs-interest",0
"AU","Australia",2015,"out","official","dfis-out",0
"AU","Australia",2015,"out","private","remittances-devcountries",10470933770.3947
"AU","Australia",2015,"out","commercial","fdi-devcountries",1681568863.17529
"BE","Belgium",2000,"out","private","pda-out",0
"BE","Belgium",2000,"out","official","oda-out",1303755968.41814
