"id","entity-name","year","budget-type","value"
"d407","Kibaale",2012,"budget",12.5566374076
"d407","Kibaale",2013,"budget",13.4947693954
"d407","Kibaale",2014,"budget",10.5923314638
"d407","Kibaale",2015,"budget",3.937115595
"d407","Kibaale",2016,"budget",4.1290189216
"d103","Kiboga",2012,"budget",9.5277498738
"d103","Kiboga",2013,"budget",10.3282270124
"d103","Kiboga",2014,"budget",9.6110306118
"d103","Kiboga",2015,"budget",5.2586002191
"d103","Kiboga",2016,"budget",5.3111099925
"d227","Kibuku",2012,"budget",8.8101016079
"d227","Kibuku",2013,"budget",10.4078741685
"d227","Kibuku",2014,"budget",9.1998998973
"d227","Kibuku",2015,"budget",3.3190072266
"d227","Kibuku",2016,"budget",3.3888277649
"d419","Kiruhura",2012,"budget",11.2271463038
"d419","Kiruhura",2013,"budget",11.4294006221
"d419","Kiruhura",2014,"budget",10.8176769849
"d419","Kiruhura",2015,"budget",4.0394940318
"d419","Kiruhura",2016,"budget",4.1062813707
"d421","Kiryandongo",2012,"budget",9.2526675712
"d421","Kiryandongo",2013,"budget",8.2828612025
"d421","Kiryandongo",2014,"budget",8.1578964938
"d421","Kiryandongo",2015,"budget",4.7336677792
"d421","Kiryandongo",2016,"budget",4.9352431641
"d408","Kisoro",2012,"budget",8.2787646268
"d408","Kisoro",2013,"budget",6.6053969374
"d408","Kisoro",2014,"budget",5.9483566656
"d408","Kisoro",2015,"budget",2.7323315693
"d408","Kisoro",2016,"budget",2.7775026706
"d305","Kitgum",2012,"budget",7.3203291564
"d305","Kitgum",2013,"budget",6.6371182127
"d305","Kitgum",2014,"budget",6.0831405756
"d305","Kitgum",2015,"budget",4.090159435
"d305","Kitgum",2016,"budget",3.2175795441
"d319","Koboko",2012,"budget",6.6601091781
"d319","Koboko",2013,"budget",7.9561237137
"d319","Koboko",2014,"budget",7.1209922467
"d319","Koboko",2015,"budget",2.8808500134
"d319","Koboko",2016,"budget",3.5218317138
"d325","Kole",2012,"budget",8.3082826777
"d325","Kole",2013,"budget",8.8563528731
"d325","Kole",2014,"budget",7.9977934872
"d325","Kole",2015,"budget",2.5606681409
"d325","Kole",2016,"budget",2.9532781762
"d306","Kotido",2012,"budget",6.808096671
"d306","Kotido",2013,"budget",9.5380883665
"d306","Kotido",2014,"budget",8.6017488994
"d306","Kotido",2015,"budget",5.3178799457
"d306","Kotido",2016,"budget",5.3133721099
"d208","Kumi",2012,"budget",7.329428945
"d208","Kumi",2013,"budget",6.8574078931
"d208","Kumi",2014,"budget",7.4979149087
"d208","Kumi",2015,"budget",3.9652959404
"d208","Kumi",2016,"budget",3.8691434507
"d228","Kween",2012,"budget",15.6116262138
"d228","Kween",2013,"budget",12.2835974255
"d228","Kween",2014,"budget",12.5234181486
"d228","Kween",2015,"budget",6.6741319891
"d228","Kween",2016,"budget",5.4881065014
"d123","Kyankwanzi",2012,"budget",10.5644178772
"d123","Kyankwanzi",2013,"budget",12.4383404695
"d123","Kyankwanzi",2014,"budget",12.9885969671
"d123","Kyankwanzi",2015,"budget",4.7878444518
"d123","Kyankwanzi",2016,"budget",5.4593133954
"d422","Kyegegwa",2012,"budget",8.9949886265
"d422","Kyegegwa",2013,"budget",9.0077430467
"d422","Kyegegwa",2014,"budget",9.9895457291
"d422","Kyegegwa",2015,"budget",6.0623590846
"d422","Kyegegwa",2016,"budget",5.9577150559
"d415","Kyenjojo",2012,"budget",9.7530114332
"d415","Kyenjojo",2013,"budget",13.5311667224
"d415","Kyenjojo",2014,"budget",10.8726612672
"d415","Kyenjojo",2015,"budget",8.498934221
"d415","Kyenjojo",2016,"budget",10.1533657044
"d326","Lamwo",2012,"budget",13.4982933476
"d326","Lamwo",2013,"budget",8.0107812486
"d326","Lamwo",2014,"budget",8.7539115751
"d326","Lamwo",2015,"budget",4.250874486
"d326","Lamwo",2016,"budget",5.4818432206
"d307","Lira",2012,"budget",4.7355298871
"d307","Lira",2013,"budget",5.6636595139
"d307","Lira",2015,"budget",2.8547747939
"d307","Lira",2016,"budget",2.7682886931
"d229","Luuka",2012,"budget",8.1940102573
"d229","Luuka",2013,"budget",7.6768161679
"d229","Luuka",2014,"budget",7.0690997926
"d229","Luuka",2015,"budget",2.6367126122
"d104","Luwero",2012,"budget",7.7981411334
"d104","Luwero",2013,"budget",7.0681707735
"d104","Luwero",2014,"budget",5.1825479879
"d104","Luwero",2015,"budget",2.0445568845
"d104","Luwero",2016,"budget",2.0613561044
"d124","Lwengo",2012,"budget",7.7465258591
"d124","Lwengo",2013,"budget",6.8929395805
"d124","Lwengo",2014,"budget",6.2389190095
"d124","Lwengo",2015,"budget",3.2070149997
"d124","Lwengo",2016,"budget",3.0858096039
"d114","Lyantonde",2012,"budget",11.5814927511
"d114","Lyantonde",2013,"budget",9.734074213
"d114","Lyantonde",2014,"budget",9.0381599582
"d114","Lyantonde",2015,"budget",3.778379705
"d114","Lyantonde",2016,"budget",3.5734999787
"d223","Manafwa",2012,"budget",10.4385673114
"d223","Manafwa",2013,"budget",11.7000588437
"d223","Manafwa",2014,"budget",10.5403348498
"d223","Manafwa",2015,"budget",4.0499758177
"d223","Manafwa",2016,"budget",3.8447845554
"d320","Maracha",2012,"budget",11.689420675
"d320","Maracha",2013,"budget",10.1157087998
"d320","Maracha",2014,"budget",9.119456667
"d320","Maracha",2015,"budget",5.0366322088
"d320","Maracha",2016,"budget",5.2171762874
"d105","Masaka",2012,"budget",6.9414907813
"d105","Masaka",2013,"budget",6.2790484213
"d105","Masaka",2015,"budget",3.067347184
"d105","Masaka",2016,"budget",2.8866295571
"d409","Masindi",2012,"budget",9.6218045864
"d409","Masindi",2013,"budget",3.0060936874
"d409","Masindi",2015,"budget",4.3059161894
"d409","Masindi",2016,"budget",3.4782401732
"d214","Mayuge",2012,"budget",10.3165899701
"d214","Mayuge",2013,"budget",10.5917906567
"d214","Mayuge",2014,"budget",6.6722317817
"d214","Mayuge",2015,"budget",2.772729953
"d214","Mayuge",2016,"budget",3.1014190559
"d209","Mbale",2012,"budget",7.4470377878
"d209","Mbale",2013,"budget",6.2406895696
"d209","Mbale",2015,"budget",2.8558108704
"d209","Mbale",2016,"budget",2.5847400875
"d410","Mbarara",2012,"budget",5.8144973651
"d410","Mbarara",2013,"budget",5.9750040833
"d410","Mbarara",2015,"budget",1.9212885911
"d410","Mbarara",2016,"budget",1.8616388924
"d423","Mitooma",2012,"budget",8.5638462255
"d423","Mitooma",2013,"budget",10.1836044972
"d423","Mitooma",2014,"budget",8.7146673462
"d423","Mitooma",2015,"budget",3.0661074903
"d423","Mitooma",2016,"budget",3.6169335237
"d115","Mityana",2012,"budget",10.6037187463
"d115","Mityana",2013,"budget",7.9748510185
"d115","Mityana",2014,"budget",6.8903483517
"d115","Mityana",2015,"budget",4.9023062506
"d115","Mityana",2016,"budget",2.3115829936
"d308","Moroto",2012,"budget",7.175135313
"d308","Moroto",2013,"budget",6.2660405748
"d308","Moroto",2014,"budget",18.8012206824
"d309","Moyo",2012,"budget",9.3159803715
