"id","value.2000","estimate.2000","value.2001","estimate.2001","value.2002","estimate.2002","value.2003","estimate.2003","value.2004","estimate.2004","value.2005","estimate.2005","value.2006","estimate.2006","value.2007","estimate.2007","value.2008","estimate.2008","value.2009","estimate.2009","value.2010","estimate.2010","value.2011","estimate.2011","value.2012","estimate.2012","value.2013","estimate.2013","value.2014","estimate.2014"
"NG",,FALSE,,FALSE,21.6091592521,FALSE,23.4191056332,FALSE,25.2850263324,FALSE,26.6372969262,FALSE,23.0879305438,FALSE,18.897025941,FALSE,21.3422182746,FALSE,11.3012383892,FALSE,12.4086545092,FALSE,17.7121354684,FALSE,14.315499955,FALSE,11.0332106801,TRUE,11.3500327887,TRUE
"NP",,FALSE,,FALSE,,FALSE,11.3970879526,FALSE,11.2715626857,FALSE,11.689616092,FALSE,10.8242977966,FALSE,11.8434737925,FALSE,12.8607823377,FALSE,13.9030550294,FALSE,14.7722871223,FALSE,14.4116041944,FALSE,15.9754449554,FALSE,17.4874441923,FALSE,18.3042202895,FALSE
"PK",,FALSE,12.187787132,FALSE,13.0027251545,FALSE,13.6824938296,FALSE,13.0606691109,FALSE,12.8473164954,FALSE,13.1083133727,FALSE,14.0479444004,FALSE,14.091296561,FALSE,14.0230385417,FALSE,13.9839951528,FALSE,12.3711182265,FALSE,12.8052278453,FALSE,13.1130326069,FALSE,14.2705888675,FALSE
"RW",,FALSE,11.6192237496,FALSE,12.6904667258,FALSE,12.3209781023,FALSE,12.1946366811,FALSE,12.52158115,FALSE,12.1328671329,FALSE,11.5012823042,FALSE,11.3575899844,FALSE,13.9527027027,FALSE,11.9329268293,FALSE,12.2646905876,FALSE,13.2105380665,FALSE,14.982706002,FALSE,15.8396726014,TRUE
"SB",14.4117647059,FALSE,11.0064773293,FALSE,11.3186813187,FALSE,15.4302670623,FALSE,18.8901139287,FALSE,20.2226345083,FALSE,22.8451882845,FALSE,28.1337047354,FALSE,28.9836622109,FALSE,30.4672897196,FALSE,31.9628888485,FALSE,33.1324393551,FALSE,34.8166460651,FALSE,34.7722124339,FALSE,31.5474794842,TRUE
"SD",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,18.6783128072,FALSE,17.6784470995,FALSE,9.3509750661,TRUE,9.2081019707,TRUE,10.8636300961,TRUE
"SL",8.3113344997,FALSE,10.0522108825,FALSE,9.501391612,FALSE,9.3180655884,FALSE,9.8844293742,FALSE,9.5567686981,FALSE,9.9113586627,FALSE,9.2154974972,FALSE,8.9685558416,FALSE,9.0150878147,FALSE,9.9257567049,FALSE,11.446592083,FALSE,11.3963916654,FALSE,10.680928633,TRUE,10.8819413517,TRUE
"SN",16.8769254042,FALSE,16.8565251561,FALSE,17.8769374864,FALSE,18.0612955217,FALSE,18.3132182547,FALSE,19.1609548513,FALSE,19.6789812541,FALSE,21.0602378272,FALSE,19.2345034629,FALSE,18.5617380266,FALSE,19.3266477101,FALSE,20.3113241832,FALSE,20.4339193011,TRUE,21.9632820451,TRUE,21.6881296368,TRUE
"SS",,,,,,,,,,,,,,,,,,,,,,,,FALSE,34.8258706468,FALSE,4.1069746092,TRUE,29.9290254539,TRUE
"ST",,FALSE,13.1778387753,FALSE,14.7457336198,FALSE,14.9516289462,FALSE,16.2893930149,FALSE,59.0920268027,FALSE,19.2532702333,FALSE,38.969644644,FALSE,16.4685067627,FALSE,16.6115199792,FALSE,18.2042098244,FALSE,18.7862440813,FALSE,16.0459266552,FALSE,18.5097440457,FALSE,16.6525507672,TRUE
