"id","currency.2000","budget-type.2000","l1.2000","l2.2000","l3.2000","l4.2000","l5.2000","l6.2000","value.2000","currency.2001","budget-type.2001","l1.2001","l2.2001","l3.2001","l4.2001","l5.2001","l6.2001","value.2001","currency.2002","budget-type.2002","l1.2002","l2.2002","l3.2002","l4.2002","l5.2002","l6.2002","value.2002","currency.2003","budget-type.2003","l1.2003","l2.2003","l3.2003","l4.2003","l5.2003","l6.2003","value.2003","currency.2004","budget-type.2004","l1.2004","l2.2004","l3.2004","l4.2004","l5.2004","l6.2004","value.2004","currency.2005","budget-type.2005","l1.2005","l2.2005","l3.2005","l4.2005","l5.2005","l6.2005","value.2005","currency.2006","budget-type.2006","l1.2006","l2.2006","l3.2006","l4.2006","l5.2006","l6.2006","value.2006","currency.2007","budget-type.2007","l1.2007","l2.2007","l3.2007","l4.2007","l5.2007","l6.2007","value.2007","currency.2008","budget-type.2008","l1.2008","l2.2008","l3.2008","l4.2008","l5.2008","l6.2008","value.2008","currency.2009","budget-type.2009","l1.2009","l2.2009","l3.2009","l4.2009","l5.2009","l6.2009","value.2009","currency.2010","budget-type.2010","l1.2010","l2.2010","l3.2010","l4.2010","l5.2010","l6.2010","value.2010","currency.2011","budget-type.2011","l1.2011","l2.2011","l3.2011","l4.2011","l5.2011","l6.2011","value.2011","currency.2012","budget-type.2012","l1.2012","l2.2012","l3.2012","l4.2012","l5.2012","l6.2012","value.2012","currency.2013","budget-type.2013","l1.2013","l2.2013","l3.2013","l4.2013","l5.2013","l6.2013","value.2013","currency.2014","budget-type.2014","l1.2014","l2.2014","l3.2014","l4.2014","l5.2014","l6.2014","value.2014","currency.2015","budget-type.2015","l1.2015","l2.2015","l3.2015","l4.2015","l5.2015","l6.2015","value.2015","currency.2016","budget-type.2016","l1.2016","l2.2016","l3.2016","l4.2016","l5.2016","l6.2016","value.2016","currency.2017","budget-type.2017","l1.2017","l2.2017","l3.2017","l4.2017","l5.2017","l6.2017","value.2017","currency.2018","budget-type.2018","l1.2018","l2.2018","l3.2018","l4.2018","l5.2018","l6.2018","value.2018","currency.2019","budget-type.2019","l1.2019","l2.2019","l3.2019","l4.2019","l5.2019","l6.2019","value.2019","currency.2020","budget-type.2020","l1.2020","l2.2020","l3.2020","l4.2020","l5.2020","l6.2020","value.2020"
"DJ","Djibouti francs","actual","total-revenue-and-grants",,,,,,3.0467e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,2.8774e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,3.0947e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,3.7966e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,4.2156e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,4.6714e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,4.7742e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,5.3002e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,7.3092e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,6.8953e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,7.1124e+10,"Djibouti francs","actual","total-revenue-and-grants",,,,,,7.548e+10,"Djibouti francs","proj","total-revenue-and-grants",,,,,,8.6142e+10,"Djibouti francs","proj","total-revenue-and-grants",,,,,,,"Djibouti francs","proj","total-revenue-and-grants",,,,,,,"Djibouti francs","proj","total-revenue-and-grants",,,,,,,"Djibouti francs","proj","total-revenue-and-grants",,,,,,,"Djibouti francs","proj","total-revenue-and-grants",,,,,,,"Djibouti francs","proj","total-revenue-and-grants",,,,,,,"Djibouti francs","proj","total-revenue-and-grants",,,,,,,"Djibouti francs","proj","total-revenue-and-grants",,,,,,
"GQ","CFA BEAC","actual","total-revenue-and-grants",,,,,,,"CFA BEAC","actual","total-revenue-and-grants",,,,,,,"CFA BEAC","actual","total-revenue-and-grants",,,,,,,"CFA BEAC","actual","total-revenue-and-grants",,,,,,,"CFA BEAC","actual","total-revenue-and-grants",,,,,,,"CFA BEAC","actual","total-revenue-and-grants",,,,,,,"CFA BEAC","actual","total-revenue-and-grants",,,,,,2.1037e+12,"CFA BEAC","actual","total-revenue-and-grants",,,,,,2.3085e+12,"CFA BEAC","actual","total-revenue-and-grants",,,,,,3.0518e+12,"CFA BEAC","actual","total-revenue-and-grants",,,,,,2.368e+12,"CFA BEAC","actual","total-revenue-and-grants",,,,,,2.151e+12,"CFA BEAC","actual","total-revenue-and-grants",,,,,,2.849e+12,"CFA BEAC","proj","total-revenue-and-grants",,,,,,2.808e+12,"CFA BEAC","proj","total-revenue-and-grants",,,,,,3.122e+12,"CFA BEAC","proj","total-revenue-and-grants",,,,,,2.361e+12,"CFA BEAC","proj","total-revenue-and-grants",,,,,,3.202e+12,"CFA BEAC","proj","total-revenue-and-grants",,,,,,3.035e+12,"CFA BEAC","proj","total-revenue-and-grants",,,,,,2.744e+12,"CFA BEAC","proj","total-revenue-and-grants",,,,,,2.452e+12,"CFA BEAC","proj","total-revenue-and-grants",,,,,,2.29e+12,,,,,,,,,
"GM","dalasis","actual","total-revenue-and-grants",,,,,,1117200000,"dalasis","actual","total-revenue-and-grants",,,,,,1125700000,"dalasis","actual","total-revenue-and-grants",,,,,,1528700000,"dalasis","actual","total-revenue-and-grants",,,,,,1820400000,"dalasis","actual","total-revenue-and-grants",,,,,,3.065e+09,"dalasis","actual","total-revenue-and-grants",,,,,,2823500000,"dalasis","actual","total-revenue-and-grants",,,,,,3.203e+09,"dalasis","actual","total-revenue-and-grants",,,,,,3.663e+09,"dalasis","actual","total-revenue-and-grants",,,,,,3.745e+09,"dalasis","actual","total-revenue-and-grants",,,,,,4.909e+09,"dalasis","actual","total-revenue-and-grants",,,,,,5.026e+09,"dalasis","actual","total-revenue-and-grants",,,,,,5.619e+09,"dalasis","actual","total-revenue-and-grants",,,,,,7.397e+09,"dalasis","proj","total-revenue-and-grants",,,,,,7.271e+09,"dalasis","proj","total-revenue-and-grants",,,,,,8.551e+09,"dalasis","proj","total-revenue-and-grants",,,,,,9.5e+09,"dalasis","proj","total-revenue-and-grants",,,,,,1.0413e+10,"dalasis","proj","total-revenue-and-grants",,,,,,1.1434e+10,"dalasis","proj","total-revenue-and-grants",,,,,,1.2613e+10,"dalasis","proj","total-revenue-and-grants",,,,,,,,,,,,,,,
"GN","Guinean Francs","actual","total-revenue-and-grants",,,,,,7.198e+11,"Guinean Francs","actual","total-revenue-and-grants",,,,,,8.73e+11,"Guinean Francs","actual","total-revenue-and-grants",,,,,,8.769e+11,"Guinean Francs","actual","total-revenue-and-grants",,,,,,9.527e+11,"Guinean Francs","actual","total-revenue-and-grants",,,,,,1.0274e+12,"Guinean Francs","actual","total-revenue-and-grants",,,,,,1.631e+12,"Guinean Francs","actual","total-revenue-and-grants",,,,,,2.398e+12,"Guinean Francs","actual","total-revenue-and-grants",,,,,,2.62e+12,"Guinean Francs","actual","total-revenue-and-grants",,,,,,3.352e+12,"Guinean Francs","actual","total-revenue-and-grants",,,,,,3.662e+12,"Guinean Francs","actual","total-revenue-and-grants",,,,,,4.258e+12,"Guinean Francs","actual","total-revenue-and-grants",,,,,,6.824e+12,"Guinean Francs","actual","total-revenue-and-grants",,,,,,9.047e+12,"Guinean Francs","actual","total-revenue-and-grants",,,,,,8.544e+12,"Guinean Francs","actual","total-revenue-and-grants",,,,,,1.1951e+13,"Guinean Francs","proj","total-revenue-and-grants",,,,,,1.1729e+13,"Guinean Francs","proj","total-revenue-and-grants",,,,,,1.3484e+13,"Guinean Francs","proj","total-revenue-and-grants",,,,,,1.6022e+13,"Guinean Francs","proj","total-revenue-and-grants",,,,,,,"Guinean Francs","proj","total-revenue-and-grants",,,,,,,,,,,,,,,
"GW","CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,4.56e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3.04e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3.51e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,4.91e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,4.82e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,5.06e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,5.38e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,8.93e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,9.75e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,8.46e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,8.7e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,5.81e+10,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,5.89e+10,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,9.84e+10,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,8.51e+10,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,9.26e+10,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,,,,,,,,,
"HT","gourdes","actual","total-revenue-and-grants",,,,,,,"gourdes","actual","total-revenue-and-grants",,,,,,,"gourdes","actual","total-revenue-and-grants",,,,,,,"gourdes","actual","total-revenue-and-grants",,,,,,,"gourdes","actual","total-revenue-and-grants",,,,,,1.4306e+10,"gourdes","actual","total-revenue-and-grants",,,,,,2.2056e+10,"gourdes","actual","total-revenue-and-grants",,,,,,2.6558e+10,"gourdes","actual","total-revenue-and-grants",,,,,,3.4713e+10,"gourdes","actual","total-revenue-and-grants",,,,,,3.7901e+10,"gourdes","actual","total-revenue-and-grants",,,,,,4.7717e+10,"gourdes","actual","total-revenue-and-grants",,,,,,6.3822e+10,"gourdes","actual","total-revenue-and-grants",,,,,,6.6321e+10,"gourdes","actual","total-revenue-and-grants",,,,,,7.6774e+10,"gourdes","actual","total-revenue-and-grants",,,,,,7.5855e+10,"gourdes","actual","total-revenue-and-grants",,,,,,7.6085e+10,"gourdes","proj","total-revenue-and-grants",,,,,,8.6987e+10,"gourdes","proj","total-revenue-and-grants",,,,,,,"gourdes","proj","total-revenue-and-grants",,,,,,,"gourdes","proj","total-revenue-and-grants",,,,,,,"gourdes","proj","total-revenue-and-grants",,,,,,,,,,,,,,,
"KI","Australian dollars","actual","total-revenue-and-grants",,,,,,,"Australian dollars","actual","total-revenue-and-grants",,,,,,,"Australian dollars","actual","total-revenue-and-grants",,,,,,,"Australian dollars","actual","total-revenue-and-grants",,,,,,,"Australian dollars","actual","total-revenue-and-grants",,,,,,1.96e+08,"Australian dollars","actual","total-revenue-and-grants",,,,,,142400000,"Australian dollars","actual","total-revenue-and-grants",,,,,,141900000,"Australian dollars","actual","total-revenue-and-grants",,,,,,100900000,"Australian dollars","actual","total-revenue-and-grants",,,,,,111300000,"Australian dollars","actual","total-revenue-and-grants",,,,,,115400000,"Australian dollars","actual","total-revenue-and-grants",,,,,,1.19e+08,"Australian dollars","actual","total-revenue-and-grants",,,,,,103700000,"Australian dollars","actual","total-revenue-and-grants",,,,,,152800000,"Australian dollars","proj","total-revenue-and-grants",,,,,,197900000,"Australian dollars","proj","total-revenue-and-grants",,,,,,155200000,"Australian dollars","proj","total-revenue-and-grants",,,,,,163900000,"Australian dollars","proj","total-revenue-and-grants",,,,,,161600000,"Australian dollars","proj","total-revenue-and-grants",,,,,,152500000,"Australian dollars","proj","total-revenue-and-grants",,,,,,145700000,"Australian dollars","proj","total-revenue-and-grants",,,,,,146400000,,,,,,,,,
"LA","kip","actual","total-revenue-and-grants",,,,,,2.166e+12,"kip","actual","total-revenue-and-grants",,,,,,2.476e+12,"kip","actual","total-revenue-and-grants",,,,,,2.683e+12,"kip","actual","total-revenue-and-grants",,,,,,2.798e+12,"kip","actual","total-revenue-and-grants",,,,,,3.104e+12,"kip","actual","total-revenue-and-grants",,,,,,3.886e+12,"kip","actual","total-revenue-and-grants",,,,,,4.962e+12,"kip","actual","total-revenue-and-grants",,,,,,6.134e+12,"kip","actual","total-revenue-and-grants",,,,,,7.134e+12,"kip","actual","total-revenue-and-grants",,,,,,8.099e+12,"kip","actual","total-revenue-and-grants",,,,,,9.779e+12,"kip","actual","total-revenue-and-grants",,,,,,1.1571e+13,"kip","actual","total-revenue-and-grants",,,,,,1.396e+13,"kip","proj","total-revenue-and-grants",,,,,,1.5666e+13,"kip","proj","total-revenue-and-grants",,,,,,1.8787e+13,"kip","proj","total-revenue-and-grants",,,,,,,"kip","proj","total-revenue-and-grants",,,,,,,"kip","proj","total-revenue-and-grants",,,,,,,"kip","proj","total-revenue-and-grants",,,,,,,"kip","proj","total-revenue-and-grants",,,,,,,,,,,,,,,
"LS","Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,,"Maloti","actual","total-revenue-and-grants",,,,,,8.559e+09,"Maloti","actual","total-revenue-and-grants",,,,,,9.616e+09,"Maloti","actual","total-revenue-and-grants",,,,,,1.315e+10,"Maloti","actual","total-revenue-and-grants",,,,,,1.328e+10,"Maloti","proj","total-revenue-and-grants",,,,,,1.4915e+10,"Maloti","proj","total-revenue-and-grants",,,,,,1.5974e+10,"Maloti","proj","total-revenue-and-grants",,,,,,1.6706e+10,"Maloti","proj","total-revenue-and-grants",,,,,,1.8235e+10,"Maloti","proj","total-revenue-and-grants",,,,,,1.9959e+10,"Maloti","proj","total-revenue-and-grants",,,,,,2.1616e+10
"MG","Ariary","actual","total-revenue-and-grants",,,,,,8.029e+11,"Ariary","actual","total-revenue-and-grants",,,,,,8.381e+11,"Ariary","actual","total-revenue-and-grants",,,,,,6.106e+11,"Ariary","actual","total-revenue-and-grants",,,,,,1.045e+12,"Ariary","actual","total-revenue-and-grants",,,,,,1.6535e+12,"Ariary","actual","total-revenue-and-grants",,,,,,1.6822e+12,"Ariary","actual","total-revenue-and-grants",,,,,,6.9784e+12,"Ariary","actual","total-revenue-and-grants",,,,,,2.2011e+12,"Ariary","actual","total-revenue-and-grants",,,,,,2.8853e+12,"Ariary","actual","total-revenue-and-grants",,,,,,2.2948e+12,"Ariary","actual","total-revenue-and-grants",,,,,,2.8315e+12,"Ariary","actual","total-revenue-and-grants",,,,,,2.7507e+12,"Ariary","actual","total-revenue-and-grants",,,,,,2.358e+12,"Ariary","proj","total-revenue-and-grants",,,,,,2.55e+12,"Ariary","proj","total-revenue-and-grants",,,,,,3.165e+12,"Ariary","proj","total-revenue-and-grants",,,,,,3.898e+12,"Ariary","proj","total-revenue-and-grants",,,,,,4.678e+12,"Ariary","proj","total-revenue-and-grants",,,,,,5.331e+12,"Ariary","proj","total-revenue-and-grants",,,,,,6.021e+12,"Ariary","proj","total-revenue-and-grants",,,,,,6.745e+12,,,,,,,,,
"MR","UM","actual","total-revenue-and-grants",,,,,,,"UM","actual","total-revenue-and-grants",,,,,,,"UM","actual","total-revenue-and-grants",,,,,,,"UM","actual","total-revenue-and-grants",,,,,,1.197e+11,"UM","actual","total-revenue-and-grants",,,,,,1.304e+11,"UM","actual","total-revenue-and-grants",,,,,,1.313e+11,"UM","actual","total-revenue-and-grants",,,,,,4.06e+11,"UM","actual","total-revenue-and-grants",,,,,,1.854e+11,"UM","actual","total-revenue-and-grants",,,,,,1.89e+11,"UM","actual","total-revenue-and-grants",,,,,,1.885e+11,"UM","actual","total-revenue-and-grants",,,,,,2.403e+11,"UM","actual","total-revenue-and-grants",,,,,,3.012e+11,"UM","actual","total-revenue-and-grants",,,,,,3.08e+11,"UM","actual","total-revenue-and-grants",,,,,,2.93e+11,"UM","proj","total-revenue-and-grants",,,,,,3.082e+11,"UM","proj","total-revenue-and-grants",,,,,,3.774e+11,"UM","proj","total-revenue-and-grants",,,,,,4.015e+11,"UM","proj","total-revenue-and-grants",,,,,,4.431e+11,"UM","proj","total-revenue-and-grants",,,,,,4.855e+11,"UM","proj","total-revenue-and-grants",,,,,,5.37e+11,"UM","proj","total-revenue-and-grants",,,,,,6.014e+11
"MM","kyat","actual","total-revenue-and-grants",,,,,,,"kyat","actual","total-revenue-and-grants",,,,,,,"kyat","actual","total-revenue-and-grants",,,,,,,"kyat","actual","total-revenue-and-grants",,,,,,,"kyat","actual","total-revenue-and-grants",,,,,,,"kyat","actual","total-revenue-and-grants",,,,,,,"kyat","actual","total-revenue-and-grants",,,,,,,"kyat","actual","total-revenue-and-grants",,,,,,,"kyat","actual","total-revenue-and-grants",,,,,,3.2852e+12,"kyat","actual","total-revenue-and-grants",,,,,,3.7523e+12,"kyat","actual","total-revenue-and-grants",,,,,,3.73946e+12,"kyat","actual","total-revenue-and-grants",,,,,,4.55036e+12,"kyat","actual","total-revenue-and-grants",,,,,,5.20022e+12,"kyat","actual","total-revenue-and-grants",,,,,,1.1153e+13,"kyat","actual","total-revenue-and-grants",,,,,,1.2125e+13,"kyat","proj","total-revenue-and-grants",,,,,,1.5105e+13,"kyat","proj","total-revenue-and-grants",,,,,,1.6608e+13,"kyat","proj","total-revenue-and-grants",,,,,,,"kyat","proj","total-revenue-and-grants",,,,,,,"kyat","proj","total-revenue-and-grants",,,,,,,"kyat","proj","total-revenue-and-grants",,,,,,
"WS","tala","actual","total-revenue-and-grants",,,,,,2.51e+08,"tala","actual","total-revenue-and-grants",,,,,,262400000,"tala","actual","total-revenue-and-grants",,,,,,290800000,"tala","actual","total-revenue-and-grants",,,,,,303500000,"tala","actual","total-revenue-and-grants",,,,,,317700000,"tala","actual","total-revenue-and-grants",,,,,,524400000,"tala","actual","total-revenue-and-grants",,,,,,388200000,"tala","actual","total-revenue-and-grants",,,,,,486700000,"tala","actual","total-revenue-and-grants",,,,,,454900000,"tala","actual","total-revenue-and-grants",,,,,,4.92e+08,"tala","actual","total-revenue-and-grants",,,,,,525200000,"tala","actual","total-revenue-and-grants",,,,,,567200000,"tala","actual","total-revenue-and-grants",,,,,,5.84e+08,"tala","actual","total-revenue-and-grants",,,,,,649700000,"tala","actual","total-revenue-and-grants",,,,,,715800000,"tala","proj","total-revenue-and-grants",,,,,,740400000,"tala","proj","total-revenue-and-grants",,,,,,,"tala","proj","total-revenue-and-grants",,,,,,,"tala","proj","total-revenue-and-grants",,,,,,,"tala","proj","total-revenue-and-grants",,,,,,,"tala","proj","total-revenue-and-grants",,,,,,
"ST","dobra","actual","total-revenue-and-grants",,,,,,,"dobra","actual","total-revenue-and-grants",,,,,,2.488e+11,"dobra","actual","total-revenue-and-grants",,,,,,2.456e+11,"dobra","actual","total-revenue-and-grants",,,,,,3.21e+11,"dobra","actual","total-revenue-and-grants",,,,,,3.812e+11,"dobra","actual","total-revenue-and-grants",,,,,,9.74e+11,"dobra","actual","total-revenue-and-grants",,,,,,5.7e+11,"dobra","actual","total-revenue-and-grants",,,,,,3.233e+12,"dobra","actual","total-revenue-and-grants",,,,,,1.225e+12,"dobra","actual","total-revenue-and-grants",,,,,,9.95e+11,"dobra","actual","total-revenue-and-grants",,,,,,1.417e+12,"dobra","actual","total-revenue-and-grants",,,,,,1.622e+12,"dobra","actual","total-revenue-and-grants",,,,,,1.685e+12,"dobra","actual","total-revenue-and-grants",,,,,,1.819e+12,"dobra","proj","total-revenue-and-grants",,,,,,2.079e+12,"dobra","proj","total-revenue-and-grants",,,,,,2.308e+12,"dobra","proj","total-revenue-and-grants",,,,,,2.535e+12,"dobra","proj","total-revenue-and-grants",,,,,,2.799e+12,"dobra","proj","total-revenue-and-grants",,,,,,3.071e+12,"dobra","proj","total-revenue-and-grants",,,,,,,"dobra","proj","total-revenue-and-grants",,,,,,
"SL","leone","actual","total-revenue-and-grants",,,,,,2.67431e+11,"leone","actual","total-revenue-and-grants",,,,,,3.12737e+11,"leone","actual","total-revenue-and-grants",,,,,,4.11295e+11,"leone","actual","total-revenue-and-grants",,,,,,4.82529e+11,"leone","actual","total-revenue-and-grants",,,,,,6.46147e+11,"leone","actual","total-revenue-and-grants",,,,,,8.07656e+11,"leone","actual","total-revenue-and-grants",,,,,,1.409612e+12,"leone","actual","total-revenue-and-grants",,,,,,2.186123e+12,"leone","actual","total-revenue-and-grants",,,,,,9.35e+11,"leone","actual","total-revenue-and-grants",,,,,,1.249e+12,"leone","actual","total-revenue-and-grants",,,,,,1.562e+12,"leone","actual","total-revenue-and-grants",,,,,,2.169e+12,"leone","actual","total-revenue-and-grants",,,,,,2.508e+12,"leone","actual","total-revenue-and-grants",,,,,,2.829e+12,"leone","proj","total-revenue-and-grants",,,,,,3.352e+12,"leone","proj","total-revenue-and-grants",,,,,,3.665e+12,"leone","proj","total-revenue-and-grants",,,,,,,"leone","proj","total-revenue-and-grants",,,,,,,"leone","proj","total-revenue-and-grants",,,,,,,"leone","proj","total-revenue-and-grants",,,,,,,"leone","proj","total-revenue-and-grants",,,,,,
"SB","Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,336300000,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,340300000,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,287600000,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,673500000,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,9.41e+08,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,1.461e+09,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,1.645e+09,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,2.078e+09,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,2.193e+09,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,2.659e+09,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,3.442e+09,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,4e+09,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,4.062e+09,"Solomon Islands dollars","actual","total-revenue-and-grants",,,,,,4.174e+09,"Solomon Islands dollars","proj","total-revenue-and-grants",,,,,,4.161e+09,"Solomon Islands dollars","proj","total-revenue-and-grants",,,,,,4.505e+09,"Solomon Islands dollars","proj","total-revenue-and-grants",,,,,,,"Solomon Islands dollars","proj","total-revenue-and-grants",,,,,,,"Solomon Islands dollars","proj","total-revenue-and-grants",,,,,,,"Solomon Islands dollars","proj","total-revenue-and-grants",,,,,,,"Solomon Islands dollars","proj","total-revenue-and-grants",,,,,,
"GH","Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,,"Ghanaian Cedi","actual","total-revenue-and-grants",,,,,,1.3935e+10,"Ghanaian Cedi","proj","total-revenue-and-grants",,,,,,1.563e+10,"Ghanaian Cedi","proj","total-revenue-and-grants",,,,,,2.1369e+10,"Ghanaian Cedi","proj","total-revenue-and-grants",,,,,,2.5074e+10,"Ghanaian Cedi","proj","total-revenue-and-grants",,,,,,2.9922e+10,"Ghanaian Cedi","proj","total-revenue-and-grants",,,,,,3.9194e+10,"Ghanaian Cedi","proj","total-revenue-and-grants",,,,,,4.6879e+10,"Ghanaian Cedi","proj","total-revenue-and-grants",,,,,,5.1772e+10,"Ghanaian Cedi","proj","total-revenue-and-grants",,,,,,
"SS","South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,1.2e+10,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,4e+09,"South Sudanese pounds","actual","total-revenue-and-grants",,,,,,1.14e+10,"South Sudanese pounds","proj","total-revenue-and-grants",,,,,,1.29e+10,"South Sudanese pounds","proj","total-revenue-and-grants",,,,,,,"South Sudanese pounds","proj","total-revenue-and-grants",,,,,,,"South Sudanese pounds","proj","total-revenue-and-grants",,,,,,,"South Sudanese pounds","proj","total-revenue-and-grants",,,,,,,"South Sudanese pounds","proj","total-revenue-and-grants",,,,,,
"TL","US Dollars","actual","total-revenue-and-grants",,,,,,,"US Dollars","actual","total-revenue-and-grants",,,,,,58700000,"US Dollars","actual","total-revenue-and-grants",,,,,,5.4e+07,"US Dollars","actual","total-revenue-and-grants",,,,,,81300000,"US Dollars","actual","total-revenue-and-grants",,,,,,105400000,"US Dollars","actual","total-revenue-and-grants",,,,,,3.37e+08,"US Dollars","actual","total-revenue-and-grants",,,,,,5.16e+08,"US Dollars","actual","total-revenue-and-grants",,,,,,1.045e+09,"US Dollars","actual","total-revenue-and-grants",,,,,,2.445e+09,"US Dollars","actual","total-revenue-and-grants",,,,,,2064900000,"US Dollars","actual","total-revenue-and-grants",,,,,,2.737e+09,"US Dollars","actual","total-revenue-and-grants",,,,,,3853600000,"US Dollars","actual","total-revenue-and-grants",,,,,,4351200000,"US Dollars","proj","total-revenue-and-grants",,,,,,3659600000,"US Dollars","proj","total-revenue-and-grants",,,,,,3.609e+09,"US Dollars","proj","total-revenue-and-grants",,,,,,3499400000,"US Dollars","proj","total-revenue-and-grants",,,,,,3632200000,"US Dollars","proj","total-revenue-and-grants",,,,,,3764200000,"US Dollars","proj","total-revenue-and-grants",,,,,,3556200000,"US Dollars","proj","total-revenue-and-grants",,,,,,,"US Dollars","proj","total-revenue-and-grants",,,,,,
