"id","population-0-14.2000","population-15-64.2000","population-65-.2000","population-0-14.2001","population-15-64.2001","population-65-.2001","population-0-14.2002","population-15-64.2002","population-65-.2002","population-0-14.2003","population-15-64.2003","population-65-.2003","population-0-14.2004","population-15-64.2004","population-65-.2004","population-0-14.2005","population-15-64.2005","population-65-.2005","population-0-14.2006","population-15-64.2006","population-65-.2006","population-0-14.2007","population-15-64.2007","population-65-.2007","population-0-14.2008","population-15-64.2008","population-65-.2008","population-0-14.2009","population-15-64.2009","population-65-.2009","population-0-14.2010","population-15-64.2010","population-65-.2010","population-0-14.2011","population-15-64.2011","population-65-.2011","population-0-14.2012","population-15-64.2012","population-65-.2012","population-0-14.2013","population-15-64.2013","population-65-.2013"
"CM",7211621,8176262,539830,7370683,8427980,551774,7532458,8685791,563798,7697349,8949978,575948,7865614,9221030,588314,8037451,9499329,600954,8212891,9785148,613899,8392021,10078494,627161,8575063,10379161,640806,8762245,10686830,654871,8953527,11001405,669411,9148953,11322844,684477,9347862,11651684,700087,9559669,11975518,718772
"CG",1309779,1703841,112584,1343581,1747153,114903,1378456,1788086,117176,1414936,1829011,119472,1453744,1873239,121887,1495329,1923056,124482,1539808,1979550,127295,1586822,2041718,130314,1635770,2107212,133492,1685794,2172593,136759,1736199,2235451,140065,1786799,2295150,143406,1837507,2352720,146825,1891869,2404859,150904
"CO",13100938,24909012,1888034,13151457,25464336,1942854,13195277,26020940,2000088,13232799,26579199,2060055,13264476,27140044,2123103,13290777,27703506,2189745,13311809,28269385,2260174,13327950,28835230,2335211,13340233,29396046,2416758,13349938,29945420,2507205,13357954,30478502,2608342,13364599,30993349,2720841,13369592,31490232,2844601,13379216,31964028,2978161
"KM",219496,292521,16295,224403,300942,16631,229891,309159,16976,235941,317222,17326,242495,325212,17682,249492,333201,18040,256926,341192,18409,264736,349207,18791,272727,357390,19176,280643,365907,19546,288290,374898,19893,295589,384411,20214,302539,394440,20524,309281,404696,20940
"CV",184766,234220,23440,184410,242070,24333,183505,250350,25284,181983,258745,26214,179741,266822,27018,176752,274276,27623,172972,280945,28020,168535,286941,28236,163799,292570,28280,159244,298292,28176,155222,304418,27961,151877,311061,27615,149148,318074,27177,147336,325001,26560
"CR",1236012,2479321,214255,1234576,2557295,221617,1229891,2634630,229320,1222793,2711014,237334,1214437,2786284,245615,1205723,2860256,254151,1196941,2932565,262989,1188090,3002909,272228,1179431,3071305,281975,1171178,3137882,292362,1163479,3202674,303532,1156569,3265606,315509,1150496,3326411,328384,1145730,3384239,342197
"CU",2411077,7628272,1099067,2378708,7673190,1123568,2339000,7722880,1150246,2293757,7773423,1178746,2245555,7819262,1208545,2196438,7856414,1239226,2146986,7883250,1270864,2097213,7900953,1303508,2047898,7911734,1336722,1999786,7919079,1369962,1953419,7925410,1402939,1909511,7931372,1435171,1868211,7935764,1466983,1826919,7940145,1498565
"CW",33329,86775,13756,31196,83972,13736,30133,84444,14226,29595,86656,14997,29020,88623,15719,28859,91300,16549,28935,93930,17350,29066,95944,18014,29176,97254,18539,29145,97809,18936,29612,100007,19692,29640,100766,20209,29692,101579,20785,29702,102283,21515
"KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CY",211296,635505,96486,210819,651706,98958,210080,668144,101655,209065,684536,104540,207750,700524,107548,206131,715822,110633,204215,730314,113784,202080,743981,117031,199888,756801,120402,197845,768770,123935,196111,779903,127671,194737,790164,131613,193710,799532,135752,193649,807525,139992
