"id","value.1990","original-value.1990","value.1991","original-value.1991","value.1992","original-value.1992","value.1993","original-value.1993","value.1994","original-value.1994","value.1995","original-value.1995","value.1996","original-value.1996","value.1997","original-value.1997","value.1998","original-value.1998","value.1999","original-value.1999","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013","value.2014","original-value.2014"
"SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.14,44.14,,,,,,,,,,
"SI",,,,,,,0.06,0.06,0.056,,0.052,,0.048,,0.044,,0.04,0.04,0.05,,0.06,,0.07,,0.08,0.08,0.02,0.02,0.1,0.1,0.12,0.12,0.09,0.09,0.05,,0.01,0.01,0.01,,0.01,0.01,0,0,,,,,,
"SK",,,,,0,0,0.305,,0.61,,0.915,,1.22,1.22,1.11625,,1.0125,,0.90875,,0.805,,0.70125,,0.5975,,0.49375,,0.39,0.39,0.15,0.15,0.04,0.04,0.02,,0,0,0,0,0.5,0.5,0.49,0.49,,,,,,
"SL",75.05,75.05,75.5838461538462,,76.1176923076923,,76.6515384615385,,77.1853846153846,,77.7192307692308,,78.2530769230769,,78.7869230769231,,79.3207692307692,,79.8546153846154,,80.3884615384615,,80.9223076923077,,81.4561538461538,,81.99,81.99,82.055,,82.12,,82.185,,82.25,,82.315,,82.38,,82.445,,82.51,82.51,,,,,,
"SN",,,81.46,81.46,80.63,,79.8,,78.97,78.97,77.8657142857143,,76.7614285714286,,75.6571428571429,,74.5528571428571,,73.4485714285714,,72.3442857142857,,71.24,71.24,68.52,,65.8,,63.08,,60.36,60.36,60.3516666666667,,60.3433333333333,,60.335,,60.3266666666667,,60.3183333333333,,60.31,60.31,,,,,,
"SO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SR",,,,,,,,,,,,,,,,,,,27.2,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ST",,,,,,,,,,,,,,,,,,,,,,,54.2,54.2,56.2977777777778,,58.3955555555556,,60.4933333333333,,62.5911111111111,,64.6888888888889,,66.7866666666667,,68.8844444444444,,70.9822222222222,,73.08,73.08,,,,,,,,
"SV",,,29.24,29.24,26.8175,,24.395,,21.9725,,19.55,19.55,21.69,21.69,24.125,,26.56,26.56,22.6,22.6,22.32,22.32,23.02,23.02,23.47,23.47,22.07,22.07,16.07,16.07,15.76,15.76,12.39,12.39,9.42,9.42,13.21,13.21,12.39,12.39,13.13,13.13,10.26,10.26,8.75,8.75,,,,
"SY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.85,16.85,,,,,,,,,,,,,,,,,,,,
"SZ",,,,,,,,,,,89.31,89.31,85.1133333333333,,80.9166666666667,,76.72,,72.5233333333333,,68.3266666666667,,64.13,64.13,63.5722222222222,,63.0144444444444,,62.4566666666667,,61.8988888888889,,61.3411111111111,,60.7833333333333,,60.2255555555556,,59.6677777777778,,59.11,59.11,,,,,,,,
"TD",,,,,,,,,,,,,,,,,,,,,,,,,,,83.28,83.28,80.4375,,77.595,,74.7525,,71.91,,69.0675,,66.225,,63.3825,,60.54,60.54,,,,,,
"TG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3,75.3,74.79,,74.28,,73.77,,73.26,,72.75,72.75,,,,,,
"TH",37.06,37.06,33.585,,30.11,30.11,25.3,,20.49,20.49,18.285,,16.08,16.08,15.705,,15.33,15.33,19.4,19.4,18.03,18.03,15.715,,13.4,13.4,11.9525,,10.505,,9.0575,,7.61,7.61,6.085,,4.56,4.56,4.03,,3.5,3.5,,,,,,,,
"TJ",,,,,,,,,,,,,,,,,,,82.24,82.24,78.7975,,75.355,,71.9125,,68.47,68.47,50.07,50.07,45.6833333333333,,41.2966666666667,,36.91,36.91,32.135,,27.36,27.36,,,,,,,,,,
"TL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.06,71.06,,,,,,,,,,,,,,
"TM",,,,,,,85.71,85.71,78.498,,71.286,,64.074,,56.862,,49.65,49.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TN",19.02,19.02,19.292,,19.564,,19.836,,20.108,,20.38,20.38,18.868,,17.356,,15.844,,14.332,,12.82,12.82,11.784,,10.748,,9.712,,8.676,,7.64,7.64,7.004,,6.368,,5.732,,5.096,,4.46,4.46,,,,,,,,
"TO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TR",,,,,,,,,8.91,8.91,8.71875,,8.5275,,8.33625,,8.145,,7.95375,,7.7625,,7.57125,,7.38,7.38,10.45,10.45,7.42,7.42,7.54,7.54,5.56,5.56,4.85,4.85,3.63,3.63,3.56,3.56,3.05,3.05,2.56,2.56,,,,,,
"TT",,,,,13.53,13.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TZ",,,,,91.08,91.08,91.58625,,92.0925,,92.59875,,93.105,,93.61125,,94.1175,,94.62375,,95.13,95.13,94.0928571428571,,93.0557142857143,,92.0185714285714,,90.9814285714286,,89.9442857142857,,88.9071428571429,,87.87,87.87,84.896,,81.922,,78.948,,75.974,,73,73,,,,
"UA",,,,,0,0,2.65333333333333,,5.30666666666667,,7.96,7.96,8.41,8.41,10.0966666666667,,11.7833333333333,,13.47,13.47,10.0266666666667,,6.58333333333333,,3.14,3.14,1.37,1.37,1.07,1.07,0.49,0.49,0.58,0.58,0.21,0.21,0.04,0.04,0.17,0.17,0.03,0.03,,,,,,,,
"UG",,,,,89.51,89.51,88.4425,,87.375,,86.3075,,85.24,85.24,84.1633333333333,,83.0866666666667,,82.01,82.01,81.1166666666667,,80.2233333333333,,79.33,79.33,78.4325,,77.535,,76.6375,,75.74,75.74,72.0433333333333,,68.3466666666667,,64.65,64.65,64.2,,63.75,,63.3,,62.85,62.85,,
"UY",,,,,2.97,2.97,2.59,,2.21,,1.83,1.83,2.26,2.26,1.91,1.91,2.09,2.09,2.095,,2.1,2.1,2.7,2.7,3.43,3.43,4.14,4.14,5.39,5.39,5.1,5.1,3.6,3.6,2.92,2.92,1.91,1.91,1.58,1.58,1.18,1.18,1.21,1.21,1.34,1.34,,,,
"UZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VE",,,,,9.71,9.71,13.35,,16.99,,20.63,20.63,20.5366666666667,,20.4433333333333,,20.35,20.35,23.18,23.18,21.98,,20.78,20.78,29.53,29.53,34.76,34.76,29.35,29.35,20.91,20.91,12.91,12.91,,,,,,,,,,,,,,,,
"VN",,,,,,,85.71,85.71,84.18,,82.65,,81.12,,79.59,,78.06,78.06,75.7275,,73.395,,71.0625,,68.73,68.73,64.56,,60.39,60.39,54.235,,48.08,48.08,45.7,,43.32,43.32,30.08,,16.84,16.84,14.645,,12.45,12.45,,,,
"VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YE",,,,,,,,,,,,,,,,,32.1,32.1,32.84,,33.58,,34.32,,35.06,,35.8,,36.54,,37.28,37.28,,,,,,,,,,,,,,,,,,
"ZA",,,,,,,41.11,41.11,40.505,,39.9,39.9,40.5,,41.1,,41.7,,42.3,,42.9,42.9,41.6083333333333,,40.3166666666667,,39.025,,37.7333333333333,,36.4416666666667,,35.15,35.15,33.8433333333333,,32.5366666666667,,31.23,31.23,28.71,,26.19,26.19,,,,,,
"ZM",,,75.63,75.63,78.23,,80.83,80.83,80.8166666666667,,80.8033333333333,,80.79,80.79,77.815,,74.84,74.84,76.902,,78.964,,81.026,,83.088,,85.15,85.15,81.52,81.52,82.035,,82.55,82.55,83.5525,,84.555,,85.5575,,86.56,86.56,,,,,,,,
"ZW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
