"id","in-oof-gross.2000","capital-repayment.2000","interest-repayment.2000","in-oof-gross.2001","capital-repayment.2001","interest-repayment.2001","in-oof-gross.2002","capital-repayment.2002","interest-repayment.2002","in-oof-gross.2003","capital-repayment.2003","interest-repayment.2003","in-oof-gross.2004","capital-repayment.2004","interest-repayment.2004","in-oof-gross.2005","capital-repayment.2005","interest-repayment.2005","in-oof-gross.2006","capital-repayment.2006","interest-repayment.2006","in-oof-gross.2007","capital-repayment.2007","interest-repayment.2007","in-oof-gross.2008","capital-repayment.2008","interest-repayment.2008","in-oof-gross.2009","capital-repayment.2009","interest-repayment.2009","in-oof-gross.2010","capital-repayment.2010","interest-repayment.2010","in-oof-gross.2011","capital-repayment.2011","interest-repayment.2011","in-oof-gross.2012","capital-repayment.2012","interest-repayment.2012","in-oof-gross.2013","capital-repayment.2013","interest-repayment.2013"
"SC",3290000,8770000,2740000,240000,5830000,2190000,0,3570000,710000,0,7e+05,490000,0,3250000,410000,0,1480000,260000,0,29130000,18650000,0,2580000,1130000,0,850000,1920000,11350000,12890000,580000,43970000,10680000,3240000,3620000,2560000,8e+05,40700000,1420000,1840000,11440000,4760000,2690000
"SL",0,2730000,220000,0,6310000,1830000,57700000,34020000,90000,780000,7350000,330000,1970000,2710000,210000,10000,1370000,150000,1e+06,1220000,990000,0,77590000,16220000,8140000,0,0,0,1050000,0,1130000,1920000,430000,9440000,2790000,340000,41720000,4060000,1430000,8190000,0,1040000
"SO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080000,0,0,0,0,0,0,0,0,120000,0,0,0,0,0,0,0,0
"ZA",380850000,156130000,89990000,277820000,132360000,117720000,427610000,502840000,97330000,656290000,129410000,26810000,580040000,224960000,95390000,319670000,285590000,104140000,160300000,174050000,113570000,337960000,174600000,119750000,249450000,445600000,125410000,1936460000,224400000,151180000,1270530000,356140000,159870000,1429610000,459990000,175530000,2080900000,236490000,212680000,1564850000,459270000,263870000
"SS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,2500000,0,30000
"SD",2640000,15300000,4250000,0,740000,20000,30000,0,0,0,1280000,2250000,0,5020000,3580000,33900000,2810000,2200000,8440000,1460000,1200000,14230000,0,1100000,35490000,2930000,990000,37500000,7580000,1970000,106480000,18450000,1440000,120530000,11570000,2100000,71110000,44620000,1930000,4250000,14670000,1220000
"SZ",19860000,15270000,7420000,31230000,15990000,9720000,20640000,12580000,13220000,12300000,10920000,11960000,48560000,14740000,11790000,1800000,13150000,10880000,22040000,11570000,12660000,25210000,16390000,14940000,3760000,24240000,11380000,11850000,27240000,11930000,4450000,25280000,11500000,2220000,15140000,9230000,1820000,15590000,7300000,3990000,9320000,5680000
"TZ",59900000,22710000,9230000,45220000,53500000,20440000,51150000,232680000,5120000,49400000,120760000,4380000,8620000,104990000,2520000,13760000,23960000,1950000,24070000,1.5e+07,1650000,14880000,12850000,2580000,82690000,20900000,5070000,40270000,34900000,11130000,34740000,49170000,6520000,38470000,88140000,6760000,40730000,27210000,9950000,99600000,36820000,17020000
"TG",7570000,8e+05,270000,1730000,1860000,620000,1980000,2110000,360000,60000,1970000,480000,12970000,1810000,540000,10000,3400000,860000,0,13110000,1900000,0,9080000,1340000,134420000,179220000,49940000,171560000,2.4e+07,12740000,36470000,148070000,17490000,22690000,53010000,32190000,74190000,17980000,-2870000,25390000,11800000,13780000
"UG",68260000,144690000,8560000,3350000,29920000,5960000,30000,50450000,5100000,11650000,14850000,2740000,1660000,8370000,2250000,7110000,10310000,1590000,4790000,11380000,1920000,19560000,6440000,2930000,160970000,25050000,10510000,163140000,30410000,16330000,137360000,35980000,23430000,66650000,26520000,21860000,146370000,40720000,38510000,62630000,126240000,87970000
