"id","population-rural.2000","population-urban.2000","population-rural.2001","population-urban.2001","population-rural.2002","population-urban.2002","population-rural.2003","population-urban.2003","population-rural.2004","population-urban.2004","population-rural.2005","population-urban.2005","population-rural.2006","population-urban.2006","population-rural.2007","population-urban.2007","population-rural.2008","population-urban.2008","population-rural.2009","population-urban.2009","population-rural.2010","population-urban.2010","population-rural.2011","population-urban.2011","population-rural.2012","population-urban.2012","population-rural.2013","population-urban.2013"
"MP",6764,61670,6845,61972,6856,61643,6806,60756,6705,59438,6567,57805,6388,55847,6177,53615,5961,51384,5783,49495,5669,48191,5635,47595,5672,47633,5755,48100
"MZ",12957779,5317839,13285824,5499895,13628833,5691061,13983563,5889897,14344378,6094449,14707473,6302903,15071833,6515484,15439279,6732125,15809029,6953496,16178678,7182347,16548198,7419067,16917143,7664224,17285244,7918151,17652461,8181291
"MR",1374521,1333574,1394501,1396902,1414775,1462656,1435086,1530581,1455146,1600279,1474701,1671463,1493687,1744026,1512103,1817934,1529934,1892967,1547074,1969003,1563529,2045891,1579302,2123461,1594379,2201762,1609010,2280870
"MU",680434,506439,690412,509469,698888,511308,708741,514070,717461,515925,725799,517454,733931,518767,741079,519324,748517,520048,754985,520047,761138,519786,766846,519205,772583,518584,778054,518249
"MW",9667425,1654071,9914793,1708373,10163285,1763493,10418227,1820512,10688252,1880839,10979055,1945691,11292242,2015293,11624467,2089291,11971385,2166822,12325109,2248229,12680566,2333128,13036418,2421113,13393577,2512906,13753719,2608848
"MY",8905272,14515479,8871187,15054555,8824122,15589673,8766488,16124166,8701747,16663342,8633268,17210198,8560782,17766316,8483892,18329927,8402298,18900050,8316254,19474070,8224875,20050960,8128722,20630246,8033378,21206549,7939184,21777781
"NA",1283529,614424,1295929,635353,1297062,661241,1293569,687668,1288816,714504,1284486,742540,1280824,772107,1277591,803109,1274981,835810,1273216,870282,1272168,906799,1272092,945526,1272806,986587,1274217,1029098
"NC",81497,131733,82211,135113,82924,138566,83637,142098,84352,145716,84464,149929,84324,154135,84098,158302,83031,160954,81965,163615,81817,168183,81531,172469,81247,176753,80968,181032
"NE",9211004,1778811,9542234,1854200,9883396,1933901,10235677,2018363,10600491,2108406,10979467,2204331,11372896,2306809,11781194,2416095,12205188,2532707,12645438,2657510,13102963,2790783,13578036,2933426,14071176,3085866,14582413,3248857
"NG",80066475,42810252,81060271,44944721,82047309,47177332,83034713,49515433,84031217,51968033,85044100,54541791,86070635,57244274,87106947,60080406,88151286,63056794,89207351,66173669,90266837,69440943,91353660,72839265,92463506,76370270,93589088,80026257
"NI",2308829,2792091,2330751,2845934,2350523,2898054,2368849,2949029,2386400,2999899,2403951,3051268,2420968,3103959,2437582,3157951,2454180,3213803,2471125,3272204,2488703,3333506,2507089,3398057,2526055,3465678,2544923,3535555
"NL",3695515,12229998,3557438,12488742,3373027,12775902,3189732,13035570,3009850,13271929,2834761,13485107,2674876,13671225,2532774,13848922,2400728,14044865,2274251,14256137,2149866,14465528,2030379,14662695,1914254,14840708,1802925,15001299
"NO",1074194,3416773,1057978,3455773,1043822,3494337,1039417,3525438,1043512,3548398,1040703,3582588,1030522,3630155,1024994,3684159,1023926,3744286,1022966,3805760,1021756,3867496,1021079,3932009,1020527,3998046,1019939,4064251
"NP",20070310,3113867,20351209,3303910,20665071,3437791,20953629,3571898,21215773,3706137,21451965,3840093,21660766,3973277,21844210,4105812,22010132,4239280,22169540,4375403,22329979,4516037,22494705,4661662,22661416,4812961,22828106,4969351
"NZ",552538,3305162,552428,3328072,556738,3391762,563808,3463392,571187,3516313,576596,3557304,582580,3602020,587565,3640735,592096,3676804,597825,3717975,604285,3763515,608666,3796534,611754,3821246,615942,3854858
"OM",623360,1569175,637025,1602000,657227,1651182,680684,1708437,694183,1769818,696162,1826163,690667,1864238,680287,1889452,672241,1921282,675820,1987404,696180,2106588,735292,2289482,788600,2525401,846396,2786048
"PK",96144510,47687504,97739262,49117819,99172066,50521618,100498110,51921864,101791727,53359667,103107943,54863472,104460041,56445753,105828851,58099478,107192468,59815615,108518270,61575729,109780123,63369183,110972471,65193882,112104065,67056046,113183408,68959186
"PA",1154780,1900032,1168840,1947569,1182733,1995717,1196408,2044397,1209780,2093555,1222876,2143053,1235635,2192874,1248010,2243024,1260064,2293416,1271765,2344081,1283115,2395013,1293951,2446331,1304258,2498023,1314050,2550120
"PE",7009102,18990978,7002388,19369970,6989871,19740038,6971654,20101680,6948519,20455326,6921394,20801887,6889663,21141025,6854625,21473785,6818052,21807576,6784515,22149788,6755324,22507506,6731760,22883127,6712469,23275331,6696605,23678998
"PH",40413904,37237944,41485414,37812342,42570287,38383365,43662356,38942325,44750420,39480909,45825954,39995260,46887019,40479554,47936804,40938744,48987564,41383723,50056035,41830365,51156094,42288228,52263231,42790206,53372463,43334301,54477570,43916004
"PW",5759,13415,5506,13898,5239,14336,4968,14732,4699,15106,4439,15468,4198,15814,3975,16143,3769,16459,3580,16764,3407,17063,3249,17357,3105,17649,2975,17943
"PG",4668953,710273,4791460,727511,4915149,745118,5040400,762902,5167607,780854,5296840,799119,5428160,817637,5561262,836361,5695660,855217,5830720,874109,5965979,892966,6101290,911687,6236589,930421,6371182,950080
"PL",14646934,23611695,14625682,23622394,14608969,23621395,14641519,23563051,14675719,23506503,14712016,23453429,14745032,23396235,14779722,23340838,14824820,23300939,14877599,23274004,14932875,23250808,15113096,23421061,15149222,23386651,15174555,23356170
"PR",213889,3596716,216410,3602364,218792,3604909,220995,3605100,223184,3603694,225002,3596360,226182,3579032,227018,3555977,227833,3533033,228763,3511647,229785,3491423,229637,3456943,229244,3422301,228618,3386468
"KP",9270391,13569834,9334671,13708778,9399190,13848869,9462213,13986967,9520256,14119047,9571769,14241564,9615772,14354145,9653958,14458031,9687860,14556034,9719987,14651878,9748757,14751763,9774682,14856609,9797308,14965880,9816537,15078943
"PT",4692296,5597602,4658665,5704057,4619439,5800192,4571864,5886957,4517810,5966051,4461605,6041725,4404945,6117343,4349078,6193886,4290949,6267228,4231103,6337144,4169291,6403809,4099817,6457743,4021087,6493757,3939372,6520434
"PY",2389905,2960348,2404530,3056091,2417975,3153396,2449491,3232859,2484064,3309266,2518129,3386041,2551590,3463191,2584503,3540782,2617002,3619003,2649398,3697985,2681624,3778097,2713769,3859328,2745830,3941531,2777105,4025190
"PF",104229,133038,106164,135112,107995,137037,109284,139252,110223,141588,111063,143821,111791,145940,112416,147945,113726,149151,115168,150244,116665,151400,118239,152635,119881,153933,121559,155272
"QA",21901,571792,21377,590431,20832,608913,20679,639559,20855,699528,20948,800211,21732,945870,22784,1129675,23635,1335479,23930,1540152,23534,1726179,22702,1888200,21612,2028902,20364,2148309
"RO",10547299,11895672,10434781,11697189,10261140,11469356,10158919,11415407,10073097,11378651,9983156,11336529,9896426,11297334,9723952,11159030,9536351,11001524,9430554,10936933,9348183,10898688,9275922,10871606,9217025,10859702,9136333,10827248
"RU",39068066,107528804,38908569,107067904,38764328,106643705,38520607,106146861,38230555,105590657,37978132,105135753,37747725,104739535,37585128,104529775,37479331,104477078,37404439,104504805,37465903,104919620,37551803,105404657,37532681,105645319,37523779,105976082
"RW",7142453,1253124,7373382,1386621,7479686,1507837,7520144,1606023,7549167,1705212,7611269,1818188,7712526,1948420,7834794,2093349,7970536,2252425,8109108,2420560,8241118,2595614,8366929,2777386,8490918,2966883,8612288,3164234
"SA",4059537,16085047,4162232,16729362,4298695,17526522,4449349,18402984,4588098,19251133,4696298,19993769,4768909,20603027,4813309,21102315,4838490,21527868,4858987,21937388,4883613,22374774,4914381,22847347,4947546,23340309,4981917,23846953
"SD",18719000,9010798,19179848,9254962,19671360,9515067,20186276,9787703,20711824,10066748,21238340,10347531,21766932,10630603,22300740,10917510,22834416,11205649,23355115,11498063,23858320,11793682,24340228,12090695,24803718,12391631,25261449,12702857
"SN",5882985,3978694,6021887,4097231,6167949,4222101,6320654,4352881,6477117,4490451,6636375,4634451,6797903,4785022,6962267,4942707,7130320,5108471,7303255,5283572,7481541,5469023,7665574,5665163,7853892,5872129,8044804,6088476
"SG",0,4027900,0,4138000,0,4176000,0,4114800,0,4166700,0,4265800,0,4401400,0,4588600,0,4839400,0,4987600,0,5076700,0,5183700,0,5312400,0,5399200
"SB",347133,65203,354913,68616,362703,72177,370454,75881,378106,79721,385619,83687,392966,87779,400146,92002,407173,96368,414088,100876,420905,105542,427675,110322,434380,115218,441010,120221
"SL",2664927,1474830,2754940,1540727,2870653,1622394,2999579,1713184,3124660,1803515,3233726,1886169,3321903,1959006,3392375,2023640,3449565,2082574,3501087,2140095,3552363,2199613,3603934,2261557,3653899,2324828,3702398,2389677
"SV",2448349,3510445,2426201,3559098,2402482,3605826,2377922,3651444,2353142,3697155,2328940,3743598,2305342,3791350,2282453,3840499,2260655,3891121,2240091,3943393,2220766,3997429,2202823,4053419,2186014,4111380,2170020,4170434
"SM",1769,25200,1717,25750,1705,26359,1729,26971,1756,27534,1781,27994,1798,28332,1809,28568,1816,28733,1820,28878,1825,29036,1831,29217,1836,29411,1842,29606
"SO",4929987,2455429,5051258,2558007,5165892,2660032,5275066,2762640,5382277,2867688,5490301,2976637,5598248,3089423,5705261,3205590,5813753,3326506,5926542,3454312,6045831,3590342,6172425,3735478,6305385,3889749,6443028,4052555
"RS",3518552,3997794,3492398,4011035,3470714,4029317,3441670,4038921,3413723,4049434,3383615,4057154,3350548,4061021,3317282,4064297,3299514,4050707,3282723,4038084,3265980,4025456,3236681,3997418,3217483,3981594,3197068,3966908
"SS",5554976,1098008,5772780,1151675,5982237,1204583,6191542,1258363,6414271,1315909,6660281,1379070,6928780,1448113,7214797,1521939,7517653,1600733,7835525,1685046,8165976,1774953,8510226,1870884,8865097,1972430,9218807,2077366
"ST",64940,74488,64686,77097,64529,79918,64512,82943,64645,86197,64923,89692,65353,93453,65920,97470,66571,101682,67243,105997,67892,110336,68508,114669,69098,119000,69667,123326
"SR",156595,310073,158479,314833,160396,319703,162302,324565,164118,329276,166431,333092,168656,336530,170755,339678,172758,342614,174716,345457,176681,348279,178657,351104,180632,353909,182599,356677
"SK",2358481,3030239,2357934,3020933,2365142,3011770,2371646,3001728,2379222,2993058,2387514,2985293,2395737,2977317,2404552,2970070,2414684,2964549,2426037,2960369,2443126,2948302,2461123,2937261,2478672,2928907,2493461,2920634
"SI",979506,1009419,980492,1011568,981768,1012762,984196,1011537,986664,1010348,990215,1010259,995226,1011642,1002664,1015458,1006130,1015186,1017122,1022547,1023472,1025111,1027489,1025354,1031542,1025617,1035105,1025379
"SE",1417231,7454878,1417037,7478923,1416123,7508835,1415759,7542470,1415762,7577769,1415927,7613645,1413835,7666670,1409904,7738188,1406363,7813274,1403890,7894625,1401467,7976659,1397539,8051674,1393351,8126023,1389577,8202975
"SZ",822401,241314,832349,242412,839503,242680,845364,242565,852094,242664,861201,243441,873244,245009,887745,247232,903873,250056,920469,253209,936717,256431,952454,259705,967874,263111,982905,266609
"SX",0,30519,0,31189,0,32566,0,33791,0,35318,0,36936,0,38272,0,39464,0,40459,0,39133,0,37850,0,38486,0,39088,0,39689
"SC",40468,40663,40374,40828,41470,42230,40869,41931,40556,41944,40575,42325,41215,43385,41222,43811,41935,45021,41867,45431,42803,46967,41437,46004,41577,46726,41705,47468
"SY",7866857,8504351,7964031,8736953,8041541,8953135,8121807,9176669,8234017,9441995,8396412,9770955,8621301,10183613,8894799,10666678,9174444,11171612,9403204,11628342,9543915,11988732,9648643,12313033,9752859,12646395,9856713,12988837
"TC",2916,15960,2955,17231,3042,18698,3135,20277,3206,21819,3241,23209,3239,24403,3208,25430,3156,26325,3094,27153,3029,27964,2961,28765,2889,29538,2819,30279
"TD",6505031,1796120,6752764,1868153,7015473,1944491,7287437,2023797,7561142,2103882,7831171,2183242,8095513,2261309,8355722,2338644,8614810,2415818,8877139,2494186,9144202,2576579,9416630,2663407,9693518,2754657,9974631,2850683
"TG",3263909,1600844,3327018,1665207,3391411,1732263,3456975,1801981,3523501,1874350,3590890,1949324,3658898,2026947,3727507,2107299,3796848,2190643,3867444,2277013,3939178,2366836,4012181,2460123,4085866,2557062,4159791,2657191
"TH",42773169,19570210,42526213,20542857,42247568,21550273,41913550,22574788,41489312,23598088,40961567,24597920,40318349,25565612,39577436,26499491,38772034,27413306,37947751,28329584,37132175,29270141,36354672,30221660,35608427,31176574,34883657,32126845
"TJ",4547688,1638464,4625369,1663971,4711574,1692544,4805792,1723817,4903519,1760410,5006716,1798939,5115051,1839471,5229021,1882004,5348547,1926705,5473836,1973560,5604864,2022462,5741336,2073514,5881162,2127828,6022827,2185007
"TM",2434682,2066737,2451716,2100046,2467440,2132731,2482656,2165381,2498174,2198702,2514076,2233763,2530633,2270962,2547902,2310334,2565679,2351864,2583633,2395329,2601569,2440426,2619363,2487305,2637005,2535926,2654096,2585976
"TL",646480,207105,656835,214518,674714,224653,696825,236544,718375,248612,724252,258637,729968,269085,735575,279907,741076,291106,746474,302682,751744,314665,782359,338033,794711,354247,807279,370973
"TO",75419,22543,75808,22696,76226,22857,76664,23027,77118,23201,77583,23377,78058,23559,78530,23759,78980,23967,79392,24165,79751,24347,80043,24511,80282,24659,80509,24814
"TT",1131330,136650,1137516,134831,1144597,133126,1152349,131519,1160412,129967,1168511,128422,1176584,126894,1184656,125384,1192597,123852,1200198,122320,1207345,120750,1213944,119138,1219811,117628,1224927,116224
"TN",3497181,6066319,3500102,6173498,3501725,6280175,3484765,6355035,3483392,6449008,3500322,6528678,3517825,6610075,3534510,6690590,3553038,6775862,3573788,6865812,3593656,6955444,3618418,7055382,3634820,7142680,3651768,7234732
"TR",22274691,40899792,22222291,41878006,22138142,42884158,22043821,43894444,21938737,44906898,21824779,45918273,21698275,46928062,21561293,47935220,21417245,48946266,21271874,49969206,21125480,51012066,20980980,52077658,20842031,53155097,20703889,54228752
"TV",5085,4334,5074,4397,5066,4464,5020,4570,4951,4695,4876,4818,4796,4936,4712,5052,4623,5165,4533,5275,4442,5385,4350,5494,4258,5602,4166,5710
"TZ",26430876,7589636,26983215,7912183,27555248,8251249,28081231,8679600,28617289,9147850,29178466,9645918,29765836,10176511,30378818,10740875,31013139,11340651,31665440,11974312,32329528,12643802,33005407,13349200,33690435,14092672,34380652,14872474
"UG",21342658,2932983,22035572,3052461,22764591,3178850,23488187,3350241,24225307,3541679,24981731,3743138,25755919,3955478,26549637,4179110,27364088,4414711,28201209,4663119,29061786,4925427,29946151,5201913,30852183,5493677,31777825,5801051
"UA",16156725,33019123,15976584,32707281,15770412,32432088,15574112,32238838,15375742,32075858,15172569,31932581,14986584,31801166,14814623,31694727,14652285,31605915,14505868,31547432,14363951,31506749,14225567,31480533,14101096,31492204,13977134,31512466
"UY",264737,3056104,256061,3070701,247267,3080233,238498,3086913,230075,3093747,222154,3103001,214699,3115518,207681,3130703,201001,3147897,194603,3165828,188359,3183623,182302,3201184,176451,3218802,170932,3236130
"US",59093274,223069137,59176653,225792302,59224903,228400290,59231337,230876596,59272576,233532722,59316092,236200507,59380586,238999326,59435929,241795278,59486862,244607104,59495270,247276259,59477260,249849035,59387637,252194927,59297017,254576668,59188803,256940036
"UZ",15424002,9226398,15658202,9306248,15889170,9382680,16113756,9453894,16339544,9524806,16569991,9597009,16813152,9675098,17087511,9780489,17390518,9912282,17705883,10061517,18225382,10337018,18726459,10612941,19001490,10773010,19288681,10952419
"VC",59143,48754,58802,49187,58498,49652,58216,50137,57936,50626,57645,51104,57337,51571,57016,52029,56685,52473,56342,52907,55986,53330,55619,53738,55239,54134,54853,54520
"VE",2933788,21473765,2909095,21961346,2929073,22404549,2971840,22825379,3014275,23247051,3056641,23669256,3098401,24092481,3140055,24515882,3181251,24939061,3221880,25361160,3261851,25781432,3301120,26199505,3339659,26615123,3376802,27028405
"VI",8054,100585,7789,100597,7536,100672,7295,100790,7059,100891,6834,101029,6612,101088,6388,101035,6170,100921,5955,100752,5745,100522,5543,100241,5352,99923,5170,99567
"VN",58709144,18921756,59015281,19605719,59247582,20291118,59472585,20995815,59707679,21730021,59915729,22477771,60078671,23234329,60214718,24006382,60327876,24794424,60425680,25599320,60511975,26420525,60584126,27255874,60660298,28112602,60724851,28984049
"VU",144950,40108,147731,41554,150825,43125,154146,44806,157574,46561,161011,48364,164442,50212,167889,52112,171336,54062,174773,56060,178195,58104,181590,60188,184952,62310,188288,64475
"PS",819109,2103044,833714,2164070,848526,2226847,863610,2291359,878906,2357720,894481,2425915,910309,2496025,926356,2568140,945785,2650903,965575,2736643,985703,2825399,1007053,2919998,1028844,3018057,1050716,3118790
"WS",136239,38375,136823,38744,137846,38746,139125,38552,140430,38364,141751,38177,143082,37991,144425,37815,145794,37650,147209,37495,148678,37351,150211,37218,151793,37096,153364,37008
"YE",12919892,4602645,13200296,4829693,13483844,5067224,13767353,5313953,14044652,5568044,14312049,5827612,14569194,6092520,14818617,6363545,15061844,6641727,15301762,6927863,15539850,7223158,15776481,7527725,16011168,7841241,16243112,8164269
"ZA",18967960,25032040,19145920,25763818,19286394,26522342,19284897,27124346,19281267,27738185,19276870,28362686,19270733,28999020,19262812,29647436,19252566,30308690,19241936,30981060,19229413,31666285,19215464,32364135,19199542,33075403,19185839,33796152
"CD",30459731,16489513,31025839,17141206,31663620,17853340,32354172,18618151,33066995,19420298,33779388,20248615,34488000,21102838,35200322,21987620,35914316,22904722,36632303,23853973,37353877,24837284,38076330,25855182,38798857,26906236,39521831,27991846
"ZM",6585638,3515343,6739741,3622396,6867317,3758106,6996351,3898168,7129874,4044776,7270618,4199404,7418763,4362849,7574325,4535295,7738617,4717910,7913172,4911859,8098708,5118277,8295756,5338040,8503190,5571909,8719259,5819381
"ZW",8282669,4220983,8285866,4300897,8269059,4371863,8303544,4369559,8340093,4352954,8375007,4335582,8407459,4316849,8441248,4298912,8493717,4290324,8586855,4302063,8735944,4341034,8948351,4410387,9218075,4506242,9529222,4620426
