id-from,id-to,flow,year,value
CH,oceania,oofs-regions,2015,
CH,oceania,remittances-regions,2015,482335.05182786
CH,south-america,fdi-regions-new,2015,499821261.560842
CH,south-america,oda-regions,2015,115710000
CH,south-america,oofs-regions,2015,
CH,south-america,remittances-regions,2015,132338699.576437
CH,south-central-asia,fdi-regions-new,2015,839991686.584226
CH,south-central-asia,oda-regions,2015,311820000
CH,south-central-asia,oofs-regions,2015,
CH,south-central-asia,remittances-regions,2015,274205294.947593
CH,south-of-sahara,fdi-regions-new,2015,243122726.80037
CH,south-of-sahara,oda-regions,2015,538870000
CH,south-of-sahara,oofs-regions,2015,
CH,south-of-sahara,remittances-regions,2015,173485947.075871
CY,europe,fdi-regions-new,2015,
CY,europe,oda-regions,2015,
CY,europe,oofs-regions,2015,
CY,europe,remittances-regions,2015,14512355.775614
CY,far-east-asia,fdi-regions-new,2015,
CY,far-east-asia,oda-regions,2015,
CY,far-east-asia,oofs-regions,2015,
CY,far-east-asia,remittances-regions,2015,49691422.6496893
CY,middle-east,fdi-regions-new,2015,
CY,middle-east,oda-regions,2015,560000
CY,middle-east,oofs-regions,2015,
CY,middle-east,remittances-regions,2015,34510525.2467402
CY,north-central-america,fdi-regions-new,2015,
CY,north-central-america,oda-regions,2015,
CY,north-central-america,oofs-regions,2015,
CY,north-central-america,remittances-regions,2015,406542.825316055
CY,north-of-sahara,fdi-regions-new,2015,
CY,north-of-sahara,oda-regions,2015,
CY,north-of-sahara,oofs-regions,2015,
CY,north-of-sahara,remittances-regions,2015,30117503.4925302
CY,oceania,fdi-regions-new,2015,
CY,oceania,oda-regions,2015,
CY,oceania,oofs-regions,2015,
CY,oceania,remittances-regions,2015,5380.5625105767
CY,south-america,fdi-regions-new,2015,
CY,south-america,oda-regions,2015,
CY,south-america,oofs-regions,2015,
CY,south-america,remittances-regions,2015,573326.746534025
CY,south-central-asia,fdi-regions-new,2015,
CY,south-central-asia,oda-regions,2015,
CY,south-central-asia,oofs-regions,2015,
CY,south-central-asia,remittances-regions,2015,100878313.032548
CY,south-of-sahara,fdi-regions-new,2015,
CY,south-of-sahara,oda-regions,2015,10000
CY,south-of-sahara,oofs-regions,2015,
CY,south-of-sahara,remittances-regions,2015,13858908.9041399
CZ,europe,fdi-regions-new,2015,55142113.6095634
CZ,europe,oda-regions,2015,20520000
CZ,europe,oofs-regions,2015,
CZ,europe,remittances-regions,2015,188759766.873122
CZ,far-east-asia,fdi-regions-new,2015,0
CZ,far-east-asia,oda-regions,2015,3140000
CZ,far-east-asia,oofs-regions,2015,
CZ,far-east-asia,remittances-regions,2015,292253791.779004
CZ,middle-east,fdi-regions-new,2015,0
CZ,middle-east,oda-regions,2015,10620000
CZ,middle-east,oofs-regions,2015,
CZ,middle-east,remittances-regions,2015,10744820.2274005
CZ,north-central-america,fdi-regions-new,2015,861952.58813484
CZ,north-central-america,oda-regions,2015,300000
CZ,north-central-america,oofs-regions,2015,
CZ,north-central-america,remittances-regions,2015,2492012.21980923
CZ,north-of-sahara,fdi-regions-new,2015,55503.59858496
CZ,north-of-sahara,oda-regions,2015,550000
CZ,north-of-sahara,oofs-regions,2015,
CZ,north-of-sahara,remittances-regions,2015,12533364.4899841
CZ,oceania,fdi-regions-new,2015,0
CZ,oceania,oda-regions,2015,
CZ,oceania,oofs-regions,2015,
CZ,oceania,remittances-regions,2015,75426.2141241501
CZ,south-america,fdi-regions-new,2015,34400.03252958
CZ,south-america,oda-regions,2015,390000
CZ,south-america,oofs-regions,2015,
CZ,south-america,remittances-regions,2015,3285914.82203708
CZ,south-central-asia,fdi-regions-new,2015,68360590.411906
CZ,south-central-asia,oda-regions,2015,8900000
CZ,south-central-asia,oofs-regions,2015,47360000
CZ,south-central-asia,remittances-regions,2015,37096689.7366026
CZ,south-of-sahara,fdi-regions-new,2015,1320822.99841415
CZ,south-of-sahara,oda-regions,2015,4950000
CZ,south-of-sahara,oofs-regions,2015,4930000
CZ,south-of-sahara,remittances-regions,2015,26247110.7917417
DE,europe,fdi-regions-new,2015,1282419301.1647
DE,europe,oda-regions,2015,1323140000
DE,europe,oofs-regions,2015,44300000
DE,europe,remittances-regions,2015,2294722253.13064
DE,far-east-asia,fdi-regions-new,2015,3450782029.95007
DE,far-east-asia,oda-regions,2015,1464650000
DE,far-east-asia,oofs-regions,2015,15900000
DE,far-east-asia,remittances-regions,2015,2141669629.28952
DE,middle-east,fdi-regions-new,2015,257575152.523572
DE,middle-east,oda-regions,2015,892660000
DE,middle-east,oofs-regions,2015,
