"id","value.1990","original-value.1990","value.1991","original-value.1991","value.1992","original-value.1992","value.1993","original-value.1993","value.1994","original-value.1994","value.1995","original-value.1995","value.1996","original-value.1996","value.1997","original-value.1997","value.1998","original-value.1998","value.1999","original-value.1999","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"SO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SR",,,,,,,,,,,,,,,,,,,15.54,15.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ST",,,,,,,,,,,,,,,,,,,,,,,28.18,28.18,29.8855555556,,31.5911111111,,33.2966666667,,35.0022222222,,36.7077777778,,38.4133333333,,40.1188888889,,41.8244444444,,43.53,43.53,,,,,,
"SV",,,17.07,17.07,15.2925,,13.515,,11.7375,,9.96,9.96,11.54,11.54,14.46,,17.38,17.38,13.73,13.73,13.67,13.67,14.4,14.4,14.68,14.68,13.4,13.4,8.02,8.02,7.11,7.11,4.27,4.27,2.85,2.85,4.82,4.82,4.24,4.24,5.17,5.17,2.82,2.82,2.53,2.53,,
"SY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,1.71,,,,,,,,,,,,,,,,,,
"SZ",,,,,,,,,,,78.59,78.59,72.6616666667,,66.7333333333,,60.805,,54.8766666667,,48.9483333333,,43.02,43.02,42.6066666667,,42.1933333333,,41.78,,41.3666666667,,40.9533333333,,40.54,,40.1266666667,,39.7133333333,,39.3,39.3,,,,,,
"TD",,,,,,,,,,,,,,,,,,,,,,,,,,,61.94,61.94,58.7625,,55.585,,52.4075,,49.23,,46.0525,,42.875,,39.6975,,36.52,36.52,,,,
"TG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.15,53.15,53.012,,52.874,,52.736,,52.598,,52.46,52.46,,,,
"TH",11.55,11.55,10.075,,8.6,8.6,6.355,,4.11,4.11,3.485,,2.86,2.86,2.47,,2.08,2.08,3.61,3.61,3.03,3.03,2.335,,1.64,1.64,1.4825,,1.325,,1.1675,,1.01,1.01,0.665,,0.32,0.32,0.315,,0.31,0.31,,,,,,
"TJ",,,,,,,,,,,,,,,,,,,50.08,50.08,46.415,,42.75,,39.085,,35.42,35.42,20.7,20.7,17.86,,15.02,,12.18,12.18,9.325,,6.47,6.47,,,,,,,,
"TL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.87,34.87,,,,,,,,,,,,
"TM",,,,,,,63.53,63.53,55.788,,48.046,,40.304,,32.562,,24.82,24.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TN",5.86,5.86,5.982,,6.104,,6.226,,6.348,,6.47,6.47,5.686,,4.902,,4.118,,3.334,,2.55,2.55,2.316,,2.082,,1.848,,1.614,,1.38,1.38,1.252,,1.124,,0.996,,0.868,,0.74,0.74,,,,,,
"TO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TR",,,,,,,,,1.84,1.84,1.75375,,1.6675,,1.58125,,1.495,,1.40875,,1.3225,,1.23625,,1.15,1.15,2.87,2.87,1.41,1.41,1.45,1.45,1.35,1.35,0.95,0.95,0.1,0.1,0.36,0.36,0.59,0.59,0.08,0.08,,,,
"TT",,,,,4.16,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TZ",,,,,71.98,71.98,73.51125,,75.0425,,76.57375,,78.105,,79.63625,,81.1675,,82.69875,,84.23,84.23,81.8928571429,,79.5557142857,,77.2185714286,,74.8814285714,,72.5442857143,,70.2071428571,,67.87,67.87,62.992,,58.114,,53.236,,48.358,,43.48,43.48,,
"UA",,,,,0.03,0.03,0.6733333333,,1.3166666667,,1.96,1.96,1.93,1.93,1.9633333333,,1.9966666667,,2.03,2.03,1.4933333333,,0.9566666667,,0.42,0.42,0.11,0.11,0.04,0.04,0.05,0.05,0.14,0.14,0.06,0.06,0,0,0.06,0.06,0,0,,,,,,
"UG",,,,,71.92,71.92,69.6925,,67.465,,65.2375,,63.01,63.01,61.8166666667,,60.6233333333,,59.43,59.43,58.4766666667,,57.5233333333,,56.57,56.57,55.3575,,54.145,,52.9325,,51.72,51.72,47.1166666667,,42.5133333333,,37.91,37.91,37.8775,,37.845,,37.8125,,37.78,37.78
"UY",,,,,0.9,0.9,0.7833333333,,0.6666666667,,0.55,0.55,0.68,0.68,0.61,0.61,0.81,0.81,0.645,,0.48,0.48,0.61,0.61,0.79,0.79,0.95,0.95,1.19,1.19,1.31,1.31,0.73,0.73,0.48,0.48,0.26,0.26,0.27,0.27,0.2,0.2,0.25,0.25,0.31,0.31,,
"UZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VE",,,,,4.4,4.4,6.12,,7.84,,9.56,9.56,9.6666666667,,9.7733333333,,9.88,9.88,11.41,11.41,10.49,,9.57,9.57,15.85,15.85,19.06,19.06,15.88,15.88,13.17,13.17,6.63,6.63,,,,,,,,,,,,,,
"VN",,,,,,,63.76,63.76,60.88,,58,,55.12,,52.24,,49.36,49.36,47.0375,,44.715,,42.3925,,40.07,40.07,35.735,,31.4,31.4,26.42,,21.44,21.44,19.13,,16.82,16.82,10.375,,3.93,3.93,3.185,,2.44,2.44,,
"VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YE",,,,,,,,,,,,,,,,,10.47,10.47,10.3714285714,,10.2728571429,,10.1742857143,,10.0757142857,,9.9771428571,,9.8785714286,,9.78,9.78,,,,,,,,,,,,,,,,
"ZA",,,,,,,24.3,24.3,22.865,,21.43,21.43,22.384,,23.338,,24.292,,25.246,,26.2,26.2,24.62,,23.04,,21.46,,19.88,,18.3,,16.72,16.72,15.7033333333,,14.6866666667,,13.67,13.67,11.545,,9.42,9.42,,,,
"ZM",,,61.05,61.05,63.16,,65.27,65.27,64.2033333333,,63.1366666667,,62.07,62.07,58.87,,55.67,55.67,57.456,,59.242,,61.028,,62.814,,64.6,64.6,64.29,64.29,66.4,,68.51,68.51,69.9625,,71.415,,72.8675,,74.32,74.32,,,,,,
"ZW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
