"id","value.1995","value-ncu.1995","value.1996","value-ncu.1996","value.1997","value-ncu.1997","value.1998","value-ncu.1998","value.1999","value-ncu.1999","value.2000","value-ncu.2000","value.2001","value-ncu.2001","value.2002","value-ncu.2002","value.2003","value-ncu.2003","value.2004","value-ncu.2004","value.2005","value-ncu.2005","value.2006","value-ncu.2006","value.2007","value-ncu.2007","value.2008","value-ncu.2008","value.2009","value-ncu.2009","value.2010","value-ncu.2010","value.2011","value-ncu.2011","value.2012","value-ncu.2012","value.2013","value-ncu.2013"
"ID",60.5845364999,14603,64.976967828,17730,48.8314243501,18631,13.2223655018,30433,19.0759116744,39319,16.4535679426,44098,18.4267487734,68773,18.6452196427,66871,24.8620153163,86617,22.5799950348,88956,16.8640978926,82558,19.7884768098,104334,27.1043701,158570,24.4775218691,179447,23.4465257898,199833,30.6313461316,246781,32.1581374519,270313,35.19124672,329920,32.8866361506507,358208
"IE",1355.0323519482,703,1425.5800295766,746,1519.0307290496,872,1484.6979722126,967,1524.1440382515,1095,1434.23077686,1266,1590.5600681789,1547,1838.4734190185,1787,2333.0788865748,1971,2728.6701384704,2152,2797.3810023244,2267,2860.6110436414,2369,3334.1263437322,2581,3867.1789360772,2719,3600.230589095,2570,3008.9609394106,2218,2957.6629034224,2098,2752.4097652589,2141,2831.0991383209,2153
"IL",,,,,,,322.734767446,910,299.6397474822,978,317.0808326786,1042,342.1165869602,1178,285.57645039,1155,296.161671015,1146,292.0592018022,1113,289.752100807,1118,304.41644248,1180,331.2554598344,1192,399.8395941804,1284,375.5415526016,1372,410.4254342928,1446,430.1743555492,1478,403.7946452793,1557,423.7180651958,1567
"IN",9.4709561254,119,8.9960097255,129,9.1362594908,146,8.6495995625,169,9.2051252239,191,8.866303563,201,8.432303575,206,8.0466207687,207,8.6371975896,219,9.0416649924,237,9.9916822269,269,10.6545690576,312,13.1353032884,362,12.5911772804,431,16.9408184292,634,18.102304276,709,17.7571809932,794,16.3024209165,887,16.8043847572,1087
"IQ",,,,32,,41,,425,,837,,656,,723,,466,,15678,111.5619195264,57792,78.3487410127,54287,67.163047916,54862,104.4178436022,83883,127.075092851,128285,162.7695889815,126705,136.5793517328,124968,129.5556688272,144231,170.8350888498,199194,190.2694477243,225977
"IR",269.3648506526,29009,225.8892403656,33278,201.9799922495,41579,175.074534992,48208,125.4267065688,55758,87.6735206711,71099,102.8342839152,91218,78.49157836,121850,72.7066723608,133128,68.5072305782,161257,93.7548238421,275813,85.9808836659,296273,88.1406628076,369707,121.120995897,606870,149.6085608919,809391,133.8449836152,857252,133.86852727,1274908,73.7525917973492,1258734,50.7160862190828,1714387
"IS",2699.02113708,76575,2666.1917750382,79818,2749.4104585558,90137,2996.2553973147,103563,3431.327283306,124605,3067.338677186,125636,2565.1100718244,141521,2949.825714247,161141,3635.660043576,167376,3945.4681881428,170357,4502.0785525715,179005,4045.2221740616,194488,4619.2578031152,215192,3270.7794157026,233889,2191.5620965051,238579,2000.6246246016,230218,2086.6034652966,235386,1990.6455328692,249036,1970.7786837289,245143
"IT",1500.6099946151,857,1622.42597448,920,1559.0403388,1000,1557.019262788,1045,1532.626832016,1096,1458.994726126,1228,1505.5659061855,1345,1621.7230622952,1418,1937.5364053326,1459,2277.280109093,1597,2368.7384282672,1688,2467.0529523778,1774,2629.058605929,1773,2922.4459826638,1882,2742.2569379415,1905,2652.945951737,1942,2674.1344441944,1892,2400.166267797,1867,2418.2613112899,1847
"JM",271.8877904715,1785,333.336460365,2742,409.204485684,3537,384.2226549024,3748,284.6173867096,3173,317.4741074,4285,226.803884773,3557,273.6669401446,4993,195.15192645,4740,219.0119193458,6362,157.1716461186,5183,177.6514948391,6719,187.988763573,8287,200.8457797992,10614,159.388314435,11298,161.5408831392,12494,154.974818948,12524,173.8905475204,15476,159.5474143625,17443
"JO",155.132350228,53,155.823906403,55,148.3233962327,53,153.1366271326,58,145.765560149,55,138.3912380396,52,150.5443930368,57,154.3820878217,59,146.0442339225,57,166.4938668491,67,172.9703466505,71,171.7262730378,78,197.0063376068,94,193.9583703882,111,229.4092364355,135,200.5953086848,128,190.1330679564,129,225.665118816,160,191.2364857872,144
"JP",346.5827580104,39224,296.0528075274,38533,272.0746735894,39622,255.6949506498,40266,305.1250854676,41278,297.67129485,37623,267.1306230024,37619,256.420240496,36680,283.108935119,36802,301.7767421526,36114,301.8362774014,36337,267.3311429082,33578,259.0169260644,32634,297.6259394304,32498,363.9962780498,35801,407.4581443692,36782,480.030468204,38668,511.7529534741,40833,426.1801150512,41343
"KE",18.640722609,295,19.8152981625,375,18.0711850108,388,22.0418879912,539,14.5193754196,421,17.9369859522,597,16.3607463447,571,15.5566645968,552,15.7242236008,572,14.4590744064,593,16.1748968734,667,17.577311959,751,19.2475964674,826,15.7101340135,809,16.602182184,1052,14.3099874,955,12.784329012,1065,14.7757775389,1249,15.1800245909,1391
"KG",93.8446870824,108,69.352208604,126,55.300353537,165,45.2172821982,173,20.8825468623,207,15.6974881896,246,15.4159441962,263,16.9032225765,285,18.2466765436,298,20.5018515317,343,23.0076495087,397,15.2216065142,281,19.9436729835,393,18.3592306008,438,18.4164841928,536,17.6300266232,604,16.6926223091,703,18.1626045272,854,18.0515410112,892
"KH",6.3083445597,8171,14.0372072379,20139,9.950448695,16885,5.3642283678,12634,5.180289741,12573,6.2700989514,14893,6.306169065,15650,7.7975268063,19459,13.0501138626,33678,13.6539722091,37313,10.012108762,29542,6.72011808,20800,8.283843,27000,8.3720299455,30615,9.6709728092,37057,10.7376596085,42839,11.2450422688,44852,13.744154072,55210,15.4041367062,62526
"KI",108.4043410996,91,113.6983650628,98,110.9164140158,106,74.6422024391,89,92.0881043916,114,76.1631161252,107,74.2371340173,123,77.5951115828,133,104.6956236812,151,126.228760872,155,121.943302108,145,112.3358665494,141,139.5363274968,156,157.281000894,186,116.9896638168,152,131.098072584,146,146.5871235984,144,143.9349112454,139,136.780850847,142
"KM",27.1397314226,5366,23.960711152,5026,20.3692845216,4902,16.7740456169,4147,14.411669888,3920,9.5374789822,3107,6.7009279168,2444,10.7625139356,3873,13.940092954,4405,17.135373253,5009,19.0940036096,5696,21.4629469521,6477,25.2846931288,7364,29.2973400424,8374,15.1870818177,4797,12.108946876,4196,14.2395770447,4909,21.0615380734,8063,16.3675432096,6248
"KN",289.7774557042,466,298.1034625316,484,294.3856154388,501,301.4184791824,529,310.5002148884,556,350.7093148195,637,320.1771832614,606,294.105895665,575,276.7865109465,545,253.97485012,521,278.616118788,570,350.2887639848,802,334.0578358905,785,321.0247286874,783,330.3316874872,808,362.6997102278,902,313.9137502776,836,323.7692307434,874,308.1109653429,849
"KR",,26938,,33910,,40234,,45845,,59688,,63564,,78662,,86108,,92158,,100847,,123730,,150421,,164453,,177857,,208425,,229573,,223247,,234967,,243903
"KW",1549.0154752382,158,1387.2641056048,164,1454.7986075776,166,1695.386966469,161,1312.1854635309,147,852.5330106264,116,1267.4021690319,159,1231.0281152498,161,1301.396277895,175,1186.40753084,175,1090.3513763025,195,1080.171219544,223,1014.9911363542,214,937.9059221664,222,1719.7905218123,361,1110.916413189,258,1177.6466605332,307,1196.9334580595,335,1210.6621196078,353
"KZ",334.5409460646,1926,249.0310024737,2199,208.1968932411,2393,230.5930496715,2907,144.6841475498,3154,124.183650528,3780,126.7929045768,4389,130.483401984,4992,150.997303669,6299,205.1527849092,9039,250.4654481854,12706,264.3133801308,15466,226.6406670833,14891,299.113339751,23330,286.065630864,28640,289.619364468,34629,278.1518096364,38906,301.215234151,44915,281.5650769128,46972
"LA",148.7256702723,7153,143.6599911864,9192,152.5356941538,15726,46.5598480082,22478,9.6947072838,22242,8.909176322,29180,7.3546988202,30582,6.231226092,32468,7.8241286835,45315,4.8928494936,31656,4.875399998,34195,8.7983449103,67199,8.7548186263,65987,9.9093599208,72018,20.0985016364,136439,11.4507033879,82829,10.3390344028,77039,8.24713813,66022,14.9016937084,121531
"LB",183.2332505715,175869,209.7283695011,212321,248.476814586,265590,131.6751482736,144264,112.9616457201,124231,128.5082995391,138463,125.945367413,133234,114.4587161655,127065,115.82360686,130780,75.0441359808,85596,81.5446449587,91987,72.4261525438,82343,55.151763774,64626,86.6536993748,109183,131.3181280697,182831,127.6270961568,177964,129.2656907874,186334,186.2065747542,280709,188.0335188759,292641
"LC",176.1643172476,302,201.90631713,350,177.4573903844,313,184.5451345536,344,186.318735595,353,192.317581269,367,209.24285104,389,205.861730529,390,191.2755863083,377,205.1428098902,413,194.3359371032,424,224.5865232054,514,212.3141707079,523,261.0672475047,637,320.9491139547,781,289.5701001957,747,233.9177898401,617,296.7594540498,801,318.008336798,898
"LK",49.881214236,586,49.7796127713,669,47.573384225,725,52.921820658,1013,48.8088130374,1014,49.710728503,1205,39.570814178,1270,36.393156798,1398,37.6372397856,1534,44.517229974,2070,43.6393479725,2225,47.7642473,2804,43.420679266,3092,41.1940583289,3343,38.7557502176,3536,43.5372127476,4191,42.4812332184,4314,34.1292769884,4356,41.8559731744,5804
"LR",,,,,,,,85,,106,228.68467813,109,283.671244836,137,245.1240901522,118,171.6823987048,92,328.3173933732,194,228.0141688356,147,309.9685605993,207,483.120225816,356,713.7132234317,571,859.4945654555,689,747.2958288156,639,1429.6587672701,1361,988,988,1201.1130635948,1234
"LS",56.0001504762,63,50.799627495,75,39.9678371178,69,36.0110215773,81,32.133818085,86,32.12196997,100,33.750168222,142,24.8890992927,141,36.8329399464,156,43.0389486468,164,37.59419892,150,45.5413687456,208,61.1165564044,322,60.48110682,414,69.075041886,510,96.63771425,644,116.320978312,820,108.2645369757,889,91.9037184396,942
"LT",121.6966424372,244,124.5340312722,297,149.7583783171,397,21.1918147802,58,21.8862543878,59,25.3031376117,69,36.82533461,100,67.5358212867,169,101.2018267403,209,48.3537602766,93,62.0774884432,127,83.6329757495,181,128.5391848999,277,145.9751265406,322,115.819517866,260,99.576843552,240,103.8400192058,251,91.203719159,245,95.2789479725999,249
"LU",703.2445364725,319,643.6877694236,316,516.0919937271,287,665.6641568258,374,276.997902696,171,1288.7202974306,937,895.107888528,672,1376.0057097,1000,1081.1763605915,695,1358.8514475151,809,1530.5626748293,953,1792.0932690378,1182,1443.8908159155,905,1612.385166861,945,1358.5374245456,848,1197.8680665884,841,1186.9416066852,828,1031.030733762,802,1053.5870342172,823
"LV",152.000744424,40,143.17719705,45,147.0971578596,52,160.4565355063,61,173.8046102334,67,156.501518316,65,157.3261633422,69,182.0287407969,81,210.787806906,90,277.700010252,120,293.7913683306,146,396.5719994378,218,468.7034069844,284,477.0995412744,303,372.2669915118,246,346.1220659386,238,387.2210267259,267,349.7336412576,272,375.8188847994,287
"LY",784.6908915482,38,835.8433726573,47,868.598740548,56,665.248496366,53,544.0003733421,51,537.0849101268,63,585.7401367674,87,400.5863447706,159,366.3459405984,168,314.934639786,180,252.4595666094,186,258.1936735774,209,277.3363936712,239,268.8970894586,274,403.8455780415,315,403.2912326256,363,239.1173189136,246,470.0560769973,593,326.415850857,387
"MA",19.1447355792,132,20.2172570928,144,16.8421624272,132,19.5093883635,155,19.3236618692,158,19.0739944416,168,22.239782628,210,22.559521026,210,27.620344125,225,31.7501116812,242,32.5955886228,252,31.84307786,248,38.466971526,290,42.6465000052,322,46.9431705512,374,46.4377141897,389,49.0315511735,395,48.5601240798,419,47.9138340967,407
"MC",,49,,49,,48,,48,,48,,47,,46,,45,,45,,50,,53,,56,,59,,60,,53,,55,,56,,58,,59
"MD",170.6596980924,87,181.3555140936,121,165.7488046125,125,112.5651320928,108,37.3603300644,98,35.2465404512,142,36.6894972864,168,47.3139630699,251,47.93463975,300,18.5656772829,111,19.3073958408,129,22.029612345,174,24.2211366915,205,28.9450325838,229,16.19816415,140,12.0747596907,129,16.556671674,180,16.4269506294,199,17.4170511222,229
"ME",,0,,1,,1,,1,,1,,1,1.5343615326,1,3.1402733672,2,17.355674026,10,3.6018587822,2,6.92027266920002,4,7.99619906949999,5,12.3986625912,8,18.5379785136,12,22.8369610256,16,26.757425454,20,31.9735899067,23,32.1371864075,25,27.250351212,21
"MG",17.3308861872,3006,22.4110895995,4361,19.9249547904,5214,17.4331601685,5289,15.5689522957,5989,18.5006476356,8233,20.9793525498,9753,16.7405326296,9276,17.2142821998,8883,12.2934395181,10943,12.0225867753,13551,12.428751762,16618,15.189351444,19462,14.0826853616,17936,11.418304127,17954,12.9299872272,23592,10.6060495646,20258,7.5073998692,16478,11.6040898872,27102
"MH",,219,,250,323.7977933556,249,286.5408598856,232,274.3098764578,226,332.7526971006,266,289.5160274868,228,282.6404694935,235,354.2299689747,299,381.49146,333,371.9800095792,332,441.4108592374,403,469.9756326672,432,429.9213111885,411,403.158008721,390,400.3918824123,393,390.1722348447,399,418,418,434.0933793624,438
"MK",6.14486373600002,132,5.59871470599998,130,4.29084655559998,129,3.98892635749999,133,3.9962846924,143,3.41295132419999,153,3.4187172516,164,3.72718769280002,176,3.93170377600001,160,4.87303866139999,182,7.60455790079999,294,14.0867629374,557,15.8548804356,617,18.8684453792,736,17.6126592481,731,16.627993659,747,17.8935784018,778,17.0331820685,815,17.9670281328,834
"ML",14.2259369581,4109,16.555383551,4783,12.3304874869,4213,10.696466972,3790,8.817343128,3240,8.2104001499,3757,12.1113976047,5981,11.4087768919,5147,15.514085213,5995,18.93112808,6980,19.2051024295,7321,20.5557041556,8172,24.1587026317,9023,24.5200855661,9283,23.5675611036,9764,20.7022456608,9372,23.361760981,10595,16.208074453,8270,20.7822903885,10365
"MM",,53,,57,,62,1.760139355,65,1.8549951471,87,2.8853636504,154,1.4292018468,182,1.4723459442,402,1.464663722,428,1.5674782235,553,0.9091243728,456,1.4091775092,972,1.2173190164,1033,1.6574067308,1268,1.9385006553,1557,2.9231142913,2221,3.1857120048,2392,4.5643786497,3917,4.6400719092,4732
"MN",78.8342893018,4657,74.8200859875,5985,57.8783807184,8116,55.6712536256,8152,58.178237236,11480,63.7438709792,14836,58.5904886457,15357,53.9060431091,15197,73.3374305469,23547,75.6876885739,29341,67.0945913176,31724,68.913701676,38835,86.3599311549,54007,102.4660861308,77742,77.6928164443,73811,84.718684868,91240,106.0727169869,119393,114.7891674285,155835,105.134536344,179580
"MR",42.3746929926,1587,22.7189946444,916,22.1720198578,1109,29.4244955169,1929,41.1025139257,3041,33.960782814,2905,19.3893102108,1913,28.4734871331,3219,22.7036765565,2547,27.6375843579,3487,22.0309790188,3284,15.630807452,3107,19.2634287174,3721,15.62051304,3168,20.1630641541,4143,16.475054892,4197,14.4180158825,4285,17.7143174416,5252,20.2586001394,6047
"MT",,315,,354,,399,,425,,442,691.8931644096,516,671.3145737393,527,802.6109820014,622,954.5430629896,664,1067.0684386464,688,1160.409211008,768,1201.3011870574,806,1235.2601470044,779,1274.6229099288,776,1188.9837231108,786,1112.6086335705,803,1487.1799886228,1046,1183.9905975018,921,1258.8482782832,968
"MU",164.8662776992,1232,163.7111348616,1324,157.884033102,1460,144.6213513888,1677,128.213476626,1730,135.4323787356,1999,127.4966724634,2221,136.5009734592,2598,152.0225079444,2844,173.192504111,3413,153.5660902785,3385,142.0688166616,3592,138.9394868796,3746,153.167475951,3998,170.376554187,4991,213.8918663865,6135,231.3219199932,6438,211.64546922,6360,219.7213814051,6967
"MV",102.636587187,642,117.2246514058,761,113.6191032512,827,121.5074829496,856,135.337528735,970,151.3429692974,1097,125.3339519625,1083,128.44776168,1120,156.648114313,1270,169.6936161952,1468,201.84493429,1780,234.987054575,2275,245.1937228884,2547,375.1171756213,4309,380.3247649645,4385,264.0947818761,3059,175.1066411171,2651,176.353935359,2710,171.5266105101,2721
"MW",62.916829432,40,45.4358899376,43,56.0311649547,67,34.5673023744,96,29.5670655972,162,26.183408109,255,16.0568880196,236,19.5619844264,499,24.8282229,884,28.77772339,1300,28.0120335131,1531,24.6879814923,1973,18.170242596,1644,26.2672380576,2592,28.0722130502,3014,24.7594968972,3046,25.2977388084,3373,17.7533984766,4493,10.1276867028,4772
"MX",65.943881586,99,59.201611308,136,76.6034191872,216,73.434254135,275,85.2350965389,393,92.8075912162,469,98.0743638972,516,99.0656617553,569,92.0527022326,626,95.2642768354,734,113.6135035827,891,121.2591400242,1011,131.4723719801,1153,147.978625773,1401,130.5668706762,1554,143.1852166215,1665,140.1504305201,1687,143.81762285,1894,151.157694377,1970
"MY",128.0136024468,166,136.96620817,185,123.4902423143,193,86.663371037,205,95.5685728725,219,102.4585026048,256,118.3388800089,291,119.8764739456,304,150.4034329516,394,141.1567345552,392,116.7706377887,353,148.8309230067,453,161.4481720614,483,169.2587026806,542,186.887532097,595,211.23388768,640,214.589310594,652,228.8917660393,707,229.4372989875,723
"MZ",24.6042860932,44,16.7974397284,58,20.1674002145,77,21.5082405472,88,25.426883378,116,24.634036974,155,18.6110819943,177,19.607242492,230,18.4599681984,228,17.5353414444,221,22.142790174,310,19.8426952115,329,17.8894285502,326,16.1239258299,301,13.96376511,300,11.7721734555,345,9.9732318744,278,12.6503948089,361,13.6598000224,434
"NA",377.5924919286,334,340.524578198,412,334.795448623,463,283.1148012069,507,264.8798696842,562,194.8134585456,591,128.2642338066,537,112.057239436,635,166.402639833,685,184.7946309648,661,211.3015350091,787,184.6727724,800,223.624189201,1099,192.202788763,1259,216.2713848624,1512,276.3265924729,1697,327.9104997938,2107,284.7670231518,2338,235.7741734596,2403
"NE",4.7315242577,1361,4.0977964183,1261,4.576310592,1680,4.9400266038,1878,4.6136222496,1827,3.362829302,1589,4.1876286153,2119,4.5872942885,2261,4.9791121294,2042,5.9151490237,2219,9.8590440839,3953,10.830437133,4370,9.83617264,3794,11.3093233979,4367,10.0659348371,4357,8.6179854032,4016,9.655158016,4480,7.7858579052,3973,9.5568684288,4864
"NG",29.0320494752,212,22.133846376,240,19.5375888304,289,24.0254191125,351,23.8009688452,437,21.4291797932,586,22.1692376532,638,14.7673622256,552,25.039245253,1115,35.3212219143,1953,31.0763532239,2033,32.9967615537,2529,43.8135434745,3369,47.643093344,3856,35.6734328226,3459,25.4523806664,3156,32.1016796852,4469,31.302279862,4865,30.3531139164,4989
"NI",134.9029957899,237,112.1943584146,242,62.9711260704,167,62.5882380136,212,46.020847891,190,55.4529604368,267,49.2678915239,269,51.094545381,306,57.2797881358,383,52.9039265425,407,55.5486922253,493,55.52437408,560,58.244913064,676,58.5184835247,829,56.201968746,891,49.88438073,900,46.97499477,979,49.3915293404,1163,49.7004549232,1304
"NL",145.8700652475,75,129.753878323,71,117.027993672,76,107.0168569488,72,109.2400030332,78,94.3695526212,81,96.21030006,90,108.71268075,100,128.6230263201,101,148.3477245561,107,222.813644788,163,231.9750795732,172,400.2857130351,277,450.4306724973,297,450.022186404,315,434.5610106011,323,471.9489559895,335,407.5268245747,317,354.784463883,270
"NO",3893.855601585,11575,4011.2386966067,12647,4038.5509236765,14355,4322.7890952448,16264,4326.4766122077,17939,3521.3779220577,19057,3696.1531709212,20788,4616.0784340895,22643,5373.471348635,24053,5549.5208792532,25044,5703.3769397698,26798,5618.70530078,28600,6452.937362658,30930,6570.9275186388,33612,6495.3406223992,35048,6513.3635691035,35905,7020.4090529755,38285,6905.5424910507,40173,7087.1738503427,42827
"NP",9.616734165,150,9.067100196,168,9.2871862538,191,15.0120564435,347,9.569417298,266,7.1368777809,217,8.5433339316,281,8.4409295544,296,7.8207803388,286,8.855479488,320,9.1065195078,341,10.6317325257,429,12.949046556,548,17.900640918,738,15.8223046956,894,17.200067528,1085,20.614135626,1390,14.8979954478,1207,16.8432848421,1581
"NR",,582,,498,,477,,477,,468,,468,,487,,506,,495,,396,,395,,420,,496,,769,,605,,575,,591,,757,,692
"NU",,525,,673,,616,,591,,718,,689,,3432,,983,,972,,1213,,934,,5323,,1702,,2235,,2656,,1653,,2277,,1539,,1510
"NZ",1334.272193275,1414,1397.4093264901,1441,1417.8943425526,1529,1201.495395495,1626,1229.1663198195,1695,1113.2813458878,1814,1043.90092345,1925,1257.6877486416,2124,1600.9772767506,2191,1738.5754827442,2161,1965.2361738975,2345,1936.5134635224,2556,2221.0537788922,2701,2278.5881147012,2962,2123.3689351427,3199,2507.2488986299,3407,2792.3658667879,3539,2938.3329050625,3625,2952.71860437,3684
"OM",607.6153437525,75,601.045241952,80,593.2850928004,77,666.0903019928,74,644.955642064,80,586.0288921324,86,601.1111408568,84,609.0384646507,89,570.6727059216,92,515.6251178172,94,450.3949901986,101,407.9911972656,104,450.469102656,124,386.7207120491,143,586.0223147779,161,573.8443064808,183,493.145813628,180,486.3457108862,187,557.3166560808,209
"PA",110.3104524888,72,100.4502818016,72,111.0991752603,81,107.2832378352,79,113.1220346508,84,137.7353588745,101,122.8337385093,91,135.4192546632,102,116.8376507147,89,167.372928333,130,161.9669868672,128,143.7544683396,116,149.1589704644,124,207.4545454618,182,292.999053932,260,311.4833382432,288,302.406795028,292,332,332,260.8281422616,271
"PE",62.0939080208,71,60.6198782819,83,51.5159645974,82,51.366587457,95,45.203711652,99,43.7495809302,102,43.959702592,104,44.603797346,106,44.8314210254,109,47.1277935177,119,54.7342947041,137,52.1485651659,141,58.38231023,155,64.4157165024,163,83.8972415772,222,90.4439240726,238,92.2953688431,249,115.2570431312,304,132.7891714215,365
"PG",87.66954612,40,90.9366596028,44,64.7534482826,38,53.8675668048,48,46.4610611007,57,39.3005527465,59,36.3520709645,71,29.841323295,75,28.898822002,71,35.631130712,80,32.5838606536,76,28.6269736104,72,26.8368745124,68,32.979536786,82,34.8005396594,86,35.4486817955,95,43.4588025922,106,77.7468662226,162,73.658745316,169
"PH",30.67096312,331,32.8402625632,389,32.4503545059,459,22.9248180168,497,24.4930018569,541,22.72881342,600,16.5787637392,533,13.2196161216,448,15.1350622044,556,15.0463572588,603,18.3984664968,767,20.1927457165,823,22.12409628,836,23.0305925454,902,24.3308831155,1049,27.0974613683,1153,21.6947966404,922,22.141287322,935,23.5454505396,1019
"PK",15.722796228,120,16.470594022,145,12.8768846404,148,10.0763832499,137,8.6912948694,143,9.2176205412,164,7.450405984,160,10.5476534982,247,9.1296014844,213,10.2500519682,253,10.817145203,290,12.786278505,385,13.2977541024,432,14.1266532084,516,10.6342583134,601,11.8877871354,794,11.433281256,926,12.4506293275,1109,11.5469531885,1207
"PL",335.1557663014,349,345.6916017808,472,284.4196678188,538,268.09812216,600,43.0541053612,116,41.065773879,130,44.7241417644,138,41.661967335,131,44.865136845,135,61.150804632,180,68.0528764006,182,74.5246583008,194,89.155209753,215,111.7072693088,242,87.0118081712001,253,89.7185915136,256,96.4034022762,279,82.0694603253,267,85.0055556541,271
"PT",819.9980636232,413,894.5186810784,472,824.265426321,513,848.1598078484,563,872.3700403125,625,885.1935110256,756,871.106431041,795,945.5993928564,849,1170.4156928192,904,1332.1912803143,959,1383.4028664634,1019,1347.344880002,1012,1488.2098836384,1053,1595.4764804208,1068,1577.291440688,1126,1596.836178182,1204,1526.01467909,1100,1259.86687414,980,1272.2490926925,975
"PW",,527,,616,,607,,494,,505,684.2052871416,532,672.4876183976,536,669.4071408734,514,679.9831153832,538,781.3781862408,633,708.6736,610,749.1794227358,662,784.1831768658,691,732.9481182764,689,658.7831538232,644,779.000492613,735,699.251040243,690,753,753,731.704469656,776
"PY",96.457001808,45680,114.6996770694,63417,94.1977460592,57027,77.9523336701,66931,74.9059839843,79359,62.0664872805,82135,46.596754292,80630,35.1093794571,97227,26.3256542965,91937,30.8207111938,109514,29.428306739,118490,38.4347347854,149846,45.9541323965,175621,48.3286145731,175079,61.6544712558,259362,71.030652119,293195,88.1235281256,379159,99.8808753516,435909,92.5218383336,428168
"QA",1273.2364159088,1372,1358.1447981248,1561,1541.1559461629,1699,1711.432535582,1540,1476.0002019393,1539,1239.93512503,1715,1525.8344894322,2006,1682.918880684,2279,2852.2716563976,4526,2713.387109425,4870,2135.7115079436,5004,1959.5134601925,4975,1736.7074764179,4893,1403.571489966,4860,1791.5338388682,4701,1466.9980662862,4219,1440.0800937662,4973,1696.4329876325,6175,1710.712985032,6232
"RO",2190.6781703376,8,1491.3550587528,12,173.0614009088,8,101.2674513888,9,66.15236247,15,49.7250433472,23,38.6425607139,33,40.2831270864,48,50.784415995,75,47.714692496,80,56.944589692,95,50.29427628,90,74.3449037976,131,88.734800413,185,79.1845193029,209,84.966626396,248,75.856237974,220,64.0090225932,222,66.210319692,228
"RS",,24,,43,,57,,77,,98,25.0799819328,183,19.4134565298,401,25.6672208208,624,33.5279307825,825,33.4899673602,943,26.4643295364,987,26.31195281,1100,32.3118706194,1293,40.8269126786,1766,28.2513911323,1567,22.4881853157,1521,27.9625983982,1934,22.3193099862,1962,17.513446068,1572
"RU",1277.528923,250,1075.1416807065,345,1321.8671528052,551,587.3710012582,487,207.5110815768,753,168.9255492972,964,178.7115316448,1232,182.5637329362,1562,190.5382492196,1817,205.293268999,2210,222.884194254,2812,259.6207117875,3625,327.5053407072,4896,327.3339094352,5608,276.135502476,6161,270.1844631116,6586,272.970901056,7460,286.2532038624,8828,266.3964829682,8983
"RW",12.1620915195,915,12.553399617,1254,13.229239383,1506,17.6067217131,2127,12.2697306958,1522,8.2411508835,1245,9.7920694804,1684,10.0652542328,1768,14.411328324,3480,12.196265944,3560,15.0605543517,4643,25.695703405,8585,28.2133071616,10252,32.2455347392,13276,31.703108937,14790,34.3850533045,17165,35.5849319782,19954,36.7691687956,22588,35.0979609414,23779
"SA",276.6571674198,443,296.3175780162,507,325.7290280616,568,366.0666020784,552,516.089537982,862,576.6172347033,1071,595.88399724,1070,542.3713387092,1001,523.555097628,1020,482.3802079698,1043,482.9642248795,1235,528.8561086133,1469,521.0431846256,1508,418.5391342561,1397,618.6539833542,1674,531.0151259488,1642,623.5579177853,2257,714.1335929208,2678,528.712905849,1945
"SB",152.6897378344,148,132.2289279856,152,127.9859641944,169,101.527395071,190,102.6293840816,206,104.9096977467,231,119.7554129156,308,84.0701423529,309,74.632797352,310,71.9054973516,318,104.3852628528,489,89.0473442634,449,91.0632585498,478,87.2797281851,517,105.6152572317,697,103.3734625854,723,81.7683547482,591,95.0432632563,699,88.8976570992,688
"SC",999.2886011875,1355,1096.5603411548,1457,1303.5376819857,1767,1097.235320812,1720,1103.3353461357,1791,948.499693673,1667,882.4325487138,1689,908.2190628027,1683,969.285743398,1876,834.35848227,2052,850.5748097814,2101,874.2350042634,2199,697.0075552012,2378,376.3537952257,2447,257.5215728267,3073,406.487858242,4118,420.1732023566,4598,466.6212182175,6393,484.866087426,6111
"SD",34.3589611256,2,15.7365466165,5,14.9878094262,6,15.6817309104,8,9.6311251428,6,15.0097802409,9,16.539335066,10,16.5365589763,11,19.451203401,14,26.1945934257,21,29.5322469,26,39.1955454808,34,56.62167938,50,65.7985951368,72,58.282974432,72,53.1384065899,79,43.624041795,90,22.6704670857,81,15.9007603523,103
"SE",2548.4463455526,14166,2838.4433884755,14955,2472.2872406165,15055,2500.0854934533,15937,2539.0710247111,16973,2361.2962717868,17753,2190.460781587,19006,2481.693941592,20610,3096.458769706,21733,3426.7144083432,21926,3443.1665164788,22602,3576.1031371759,23627,4001.4538023802,24886,4196.3569256936,26249,3666.5990758012,27181,3917.526314072,27580,4458.376422585,28650,4300.8012364216,29138,4586.2434823079,30149
"SG",403.8812206,500,406.4939354992,508,394.1020077368,524,416.687929812,616,378.0868657696,544,322.1015035068,489,216.5389704472,334,263.4316760881,401,324.2230967632,472,266.2345015064,392,265.1535695631,393,291.1142678545,419,322.4489145464,466,419.007854888,560,514.648037514,732,552.2524072992,736,612.322459881,759,704.9808475393,881,878.7844656903,1101
