country,year,university-college-enrolment
CW,2004,
KY,2004,
CY,2004,35.86369
CZ,2004,44.20706
DE,2004,
DJ,2004,1.58877
DM,2004,
DK,2004,74.44244
DO,2004,
DZ,2004,18.18056
EC,2004,
EG,2004,30.32905
ER,2004,0.95908
ES,2004,65.79629
EE,2004,66.76598
ET,2004,2.59085
FI,2004,89.6746
FJ,2004,15.95203
FR,2004,54.01327
FO,2004,
FM,2004,
GA,2004,
GB,2004,58.98261
GE,2004,42.23782
GH,2004,
GN,2004,2.14412
GM,2004,1.15164
GW,2004,
GQ,2004,
GR,2004,80.21409
GD,2004,
GL,2004,
GT,2004,
GU,2004,
GY,2004,10.3507
HK,2004,31.16317
HN,2004,17.06024
HR,2004,
HT,2004,
HU,2004,60.15263
ID,2004,16.98276
IN,2004,11.24928
IE,2004,56.1747
IR,2004,21.72612
IQ,2004,15.84841
IS,2004,68.38998
IL,2004,56.50298
IT,2004,61.53445
JM,2004,22.09912
JO,2004,39.41155
JP,2004,53.57715
KZ,2004,48.30098
KE,2004,2.92098
KG,2004,40.68498
KH,2004,2.76059
KI,2004,
KN,2004,
KR,2004,90.25742
XK,2004,
KW,2004,22.30059
LA,2004,5.74256
LB,2004,43.61014
LR,2004,
LY,2004,
LC,2004,13.88298
LI,2004,24.60685
LK,2004,
LS,2004,
LT,2004,73.13759
LU,2004,
LV,2004,77.26005
MO,2004,69.01683
MF,2004,
MA,2004,10.87945
MC,2004,
MD,2004,34.35557
MG,2004,2.74726
MV,2004,
MX,2004,22.76664
MH,2004,
MK,2004,28.02368
ML,2004,
MT,2004,25.04696
MM,2004,
ME,2004,19.81885
MN,2004,40.78909
MP,2004,
MZ,2004,1.14272
MR,2004,3.19425
MU,2004,17.82233
MW,2004,0.50399
MY,2004,29.96664
NA,2004,
NC,2004,
NE,2004,0.94656
NG,2004,9.85305
NI,2004,
NL,2004,57.00815
NO,2004,79.28231
NP,2004,6.40011
NZ,2004,83.56218
OM,2004,16.68325
PK,2004,3.2648
PA,2004,43.07854
PE,2004,33.33368
PH,2004,28.37106
PW,2004,
PG,2004,
PL,2004,61.23115
PR,2004,
KP,2004,
PT,2004,55.71149
PY,2004,24.76344
PF,2004,
QA,2004,17.80551
RO,2004,41.58508
RU,2004,70.51044
RW,2004,2.60759
SA,2004,27.96406
SD,2004,
SN,2004,5.13949
SG,2004,
SB,2004,
SL,2004,
SV,2004,21.12693
SM,2004,
SO,2004,
RS,2004,
SS,2004,
ST,2004,
SR,2004,
SK,2004,36.03493
SI,2004,72.68094
SE,2004,83.79127
SZ,2004,5.46114
SX,2004,
SC,2004,
SY,2004,15.0151
TC,2004,
TD,2004,1.20548
TG,2004,
TH,2004,41.87393
TJ,2004,20.37567
TM,2004,
TL,2004,
TO,2004,
TT,2004,11.95271
TN,2004,28.38
TR,2004,30.6362
TV,2004,
TZ,2004,1.24998
UG,2004,3.5601
UA,2004,64.85601
UY,2004,42.39081
US,2004,80.742
UZ,2004,14.41435
VC,2004,
VE,2004,41.53703
VI,2004,
VN,2004,
VU,2004,4.74393
PS,2004,37.05906
WS,2004,
YE,2004,9.52827
ZA,2004,
CD,2004,
ZM,2004,
ZW,2004,
AW,2005,31.68347
AD,2005,
AF,2005,
AO,2005,2.96268
AL,2005,24.52325
AE,2005,
AR,2005,63.98481
AM,2005,38.36914
AS,2005,
AG,2005,
AU,2005,71.24206
AT,2005,46.94947
AZ,2005,
BI,2005,2.30867
BE,2005,61.98516
BJ,2005,5.78435
BF,2005,2.30707
BD,2005,6.2199
BG,2005,44.27244
BH,2005,22.73287
BS,2005,
BA,2005,29.35978
BY,2005,66.16838
BZ,2005,16.03972
BM,2005,
BO,2005,
BR,2005,
BB,2005,
BN,2005,17.6941
BT,2005,4.74113
BW,2005,7.26756
CF,2005,
CA,2005,
CH,2005,45.71889
CL,2005,47.66431
CN,2005,18.34087
CI,2005,
CM,2005,5.80576
CG,2005,
CO,2005,29.9112
KM,2005,
CV,2005,7.43982
CR,2005,25.48399
CU,2005,61.85089
CW,2005,
KY,2005,
CY,2005,33.22082
CZ,2005,48.90877
DE,2005,
DJ,2005,2.32128
DM,2005,
DK,2005,80.42934
DO,2005,
DZ,2005,19.76258
EC,2005,
EG,2005,31.61872
ER,2005,
ES,2005,66.62166
EE,2005,68.44583
ET,2005,2.78515
FI,2005,91.83801
FJ,2005,16.14878
FR,2005,53.91505
FO,2005,
FM,2005,
GA,2005,
GB,2005,58.6846
GE,2005,46.6001
GH,2005,5.70675
GN,2005,2.88524
GM,2005,
GW,2005,2.25635
GQ,2005,
GR,2005,90.21032
GD,2005,
GL,2005,
GT,2005,
GU,2005,
GY,2005,10.89407
HK,2005,32.11565
HN,2005,
HR,2005,44.5333
HT,2005,
HU,2005,65.10431
ID,2005,17.73973
IN,2005,11.00422
IE,2005,56.37323
IR,2005,22.86676
IQ,2005,15.97636
IS,2005,70.35714
IL,2005,58.09116
IT,2005,63.96766
JM,2005,20.19018
JO,2005,39.69642
JP,2005,54.97135
KZ,2005,52.92236
KE,2005,2.96753
KG,2005,42.53464
KH,2005,3.32616
KI,2005,
KN,2005,
KR,2005,93.47805
XK,2005,
KW,2005,
LA,2005,7.78892
LB,2005,44.21955
LR,2005,
LY,2005,
LC,2005,13.10703
LI,2005,
LK,2005,
LS,2005,3.67344
LT,2005,77.5066
LU,2005,
LV,2005,78.85541
MO,2005,63.59637
MF,2005,
MA,2005,11.59927
MC,2005,
MD,2005,36.09843
MG,2005,2.82939
MV,2005,
MX,2005,23.3147
MH,2005,
MK,2005,29.63007
ML,2005,
MT,2005,30.22184
MM,2005,
ME,2005,22.57
MN,2005,44.65731
MP,2005,
MZ,2005,1.41529
MR,2005,2.9267
MU,2005,21.33586
MW,2005,0.49251
MY,2005,27.91557
NA,2005,6.87286
NC,2005,
NE,2005,1.13708
NG,2005,10.40504
NI,2005,
NL,2005,58.66376
NO,2005,78.56747
NP,2005,8.06015
NZ,2005,80.62834
OM,2005,18.9603
PK,2005,4.72976
PA,2005,41.85507
PE,2005,33.36231
PH,2005,27.52297
PW,2005,
PG,2005,
PL,2005,63.60082
PR,2005,
KP,2005,
PT,2005,55.56338
PY,2005,25.43059
PF,2005,
QA,2005,18.43005
RO,2005,44.90378
RU,2005,72.59023
RW,2005,2.76724
SA,2005,28.71239
SD,2005,
SN,2005,5.64497
SG,2005,
SB,2005,
SL,2005,
SV,2005,21.16942
SM,2005,
SO,2005,
RS,2005,
SS,2005,
ST,2005,
SR,2005,
SK,2005,40.39136
SI,2005,79.70795
SE,2005,81.9836
SZ,2005,4.75181
SX,2005,
SC,2005,
SY,2005,18.21022
TC,2005,
TD,2005,1.41985
TG,2005,
TH,2005,44.17739
TJ,2005,20.964
TM,2005,
TL,2005,
TO,2005,
TT,2005,
TN,2005,29.94718
TR,2005,32.76438
TV,2005,
TZ,2005,1.45967
UG,2005,
UA,2005,68.66693
UY,2005,45.32459
US,2005,81.31697
UZ,2005,9.895
VC,2005,
VE,2005,
VI,2005,
VN,2005,15.87791
VU,2005,
PS,2005,41.33782
WS,2005,
YE,2005,9.50658
ZA,2005,
CD,2005,
ZM,2005,
ZW,2005,
AW,2006,30.90319
AD,2006,
AF,2006,
AO,2006,2.89827
AL,2006,28.78627
AE,2006,
AR,2006,67.09057
AM,2006,41.76502
AS,2006,
AG,2006,
AU,2006,70.464
AT,2006,48.81463
AZ,2006,19.78946
BI,2006,2.31221
BE,2006,62.46943
BJ,2006,5.63397
BF,2006,2.44097
BD,2006,7.10346
BG,2006,45.81989
BH,2006,21.51467
BS,2006,
BA,2006,31.52315
BY,2006,68.08551
BZ,2006,17.01107
BM,2006,30.01988
BO,2006,
BR,2006,
BB,2006,
BN,2006,17.76584
BT,2006,4.98818
BW,2006,7.43282
CF,2006,1.1414
CA,2006,
CH,2006,46.44491
CL,2006,46.5433
CN,2006,19.51878
CI,2006,
CM,2006,6.75413
CG,2006,
CO,2006,31.86716
KM,2006,
CV,2006,8.4248
CR,2006,
CU,2006,86.18538
CW,2006,
KY,2006,20.5286
CY,2006,33.41991
CZ,2006,50.64701
DE,2006,
DJ,2006,2.53621
DM,2006,
DK,2006,79.06494
DO,2006,
DZ,2006,20.21485
EC,2006,
EG,2006,31.44335
ER,2006,
ES,2006,67.9969
EE,2006,68.61673
ET,2006,
FI,2006,93.28768
FJ,2006,
FR,2006,53.8484
FO,2006,
FM,2006,
GA,2006,
GB,2006,58.91687
GE,2006,37.96023
GH,2006,5.12059
GN,2006,5.03683
GM,2006,
GW,2006,2.62239
GQ,2006,
GR,2006,94.97369
GD,2006,
GL,2006,
GT,2006,
GU,2006,
GY,2006,11.19754
HK,2006,32.98464
HN,2006,
HR,2006,45.89533
HT,2006,
HU,2006,67.6163
ID,2006,17.91134
IN,2006,11.82165
IE,2006,57.74554
IR,2006,25.22786
IQ,2006,
IS,2006,72.66466
IL,2006,57.67434
IT,2006,65.83808
JM,2006,20.13022
JO,2006,39.79666
JP,2006,57.1059
KZ,2006,52.90643
KE,2006,
KG,2006,43.52689
KH,2006,5.59144
KI,2006,
KN,2006,
KR,2006,97.50587
XK,2006,
KW,2006,
LA,2006,8.96279
LB,2006,44.10024
LR,2006,
LY,2006,
LC,2006,9.55848
LI,2006,29.81716
LK,2006,
LS,2006,3.8813
LT,2006,78.37997
LU,2006,10.3312
LV,2006,78.95482
MO,2006,62.41726
MF,2006,
MA,2006,12.19448
MC,2006,
MD,2006,39.40245
MG,2006,2.98939
MV,2006,
MX,2006,23.79003
MH,2006,
MK,2006,28.98631
ML,2006,
MT,2006,28.6623
MM,2006,
ME,2006,26.84825
MN,2006,47.53211
MP,2006,
MZ,2006,
MR,2006,3.30093
MU,2006,23.53246
MW,2006,0.51503
MY,2006,28.58267
NA,2006,6.55898
NC,2006,
NE,2006,1.15111
NG,2006,
NI,2006,
NL,2006,59.66387
NO,2006,77.68351
NP,2006,8.54079
NZ,2006,78.71609
OM,2006,21.28309
PK,2006,4.78288
PA,2006,42.88646
PE,2006,34.59818
PH,2006,27.84935
PW,2006,
PG,2006,
PL,2006,65.18598
PR,2006,
KP,2006,
PT,2006,55.59925
PY,2006,
PF,2006,
QA,2006,19.27864
RO,2006,50.02813
