country,sector,channel,year,in-oda-gross-sector-channel
57,F,H,2006,2925772
57,G,A,2006,34635
57,G,I,2006,17434018
57,G,J,2006,711264
57,H,A,2006,836461
57,H,D,2006,753867
57,H,E,2006,1366750
57,H,I,2006,6907013
57,H,J,2006,1837106
57,I,A,2006,318767
57,I,H,2006,8889272
57,I,I,2006,33981369
57,I,J,2006,1239291
57,J,A,2006,1491969
57,J,D,2006,254019
57,J,H,2006,4159829
57,J,I,2006,7659894
57,J,J,2006,2664698
57,K,A,2006,1717815
57,K,D,2006,438778
57,K,H,2006,1466283
57,K,I,2006,533165
57,K,J,2006,9694021
57,N,A,2006,12904621
57,N,D,2006,7098882
57,N,E,2006,8872153
57,N,H,2006,8277479
57,N,I,2006,1922632
57,N,J,2006,72446
58,A,A,2006,3793571
58,A,D,2006,1044150
58,A,H,2006,562568
58,A,J,2006,2647429
58,B,A,2006,14822
58,B,D,2006,379654
58,B,J,2006,670419
58,C,A,2006,8408054
58,C,H,2006,219942
58,C,I,2006,503531
58,C,J,2006,286564
58,D,A,2006,14483828
58,D,D,2006,7857025
58,D,E,2006,766471
58,D,F,2006,22558
58,D,H,2006,4608079
58,D,I,2006,1035257
58,D,J,2006,15636804
58,E,A,2006,8477506
58,E,D,2006,2910133
58,E,I,2006,988999
58,E,J,2006,4860826
58,F,A,2006,14115837
58,F,J,2006,235928
58,G,A,2006,501623
58,G,D,2006,840126
58,G,I,2006,16812
58,G,J,2006,533488
58,H,H,2006,1413984
58,H,J,2006,115922
58,I,A,2006,24709434
58,I,I,2006,1305284
58,I,J,2006,85936
58,J,A,2006,6054940
58,J,F,2006,806455
58,J,J,2006,748959
58,K,A,2006,32897794
58,K,D,2006,1126698
58,K,E,2006,696777
58,K,H,2006,446616
58,K,I,2006,54093
58,K,J,2006,3121895
58,N,D,2006,1603919
58,N,E,2006,14477057
58,N,H,2006,102622385
58,N,J,2006,15567581
59,A,A,2006,519965
59,A,J,2006,3191616
59,B,A,2006,10727251
59,B,D,2006,4344815
59,B,E,2006,1296766
59,B,H,2006,5362028
59,B,I,2006,1407507
59,B,J,2006,5045890
59,C,F,2006,252651
59,C,J,2006,207454
59,D,A,2006,14029198
59,D,D,2006,10403870
59,D,E,2006,3346147
59,D,F,2006,189301
59,D,H,2006,3063412
59,D,J,2006,14562507
59,E,A,2006,1389599
59,E,D,2006,2674744
59,E,I,2006,252030
59,E,J,2006,6503925
59,F,A,2006,97917
59,F,J,2006,3108444
59,G,A,2006,10985207
59,G,D,2006,206741
59,G,I,2006,6608273
59,G,J,2006,2400255
59,H,A,2006,10929063
59,H,D,2006,2636024
59,H,E,2006,273905
59,H,F,2006,-1128
59,H,H,2006,1095203
59,H,I,2006,2489971
59,H,J,2006,9080646
59,I,A,2006,12637625
59,I,D,2006,476182
59,I,E,2006,1940986
59,I,I,2006,17718
59,I,J,2006,14001345
59,J,A,2006,4954586
59,J,D,2006,3985325
59,J,E,2006,125136
59,J,H,2006,2601903
59,J,I,2006,2401071
59,J,J,2006,5465347
59,K,A,2006,1064302
59,K,D,2006,3011177
59,K,E,2006,766445
59,K,F,2006,342884
59,K,H,2006,1062592
59,K,I,2006,4051333
59,K,J,2006,13601105
59,L,J,2006,1020769
59,N,A,2006,3924955
59,N,D,2006,308980
59,N,E,2006,28792
59,N,H,2006,55247
59,N,I,2006,37651
59,N,J,2006,5036110
60,A,A,2006,3448344
60,A,D,2006,483862
60,A,E,2006,196952
60,A,J,2006,33477953
60,B,D,2006,353039
60,B,J,2006,6289471
60,C,A,2006,5408451
60,C,E,2006,73300
60,C,J,2006,1321464
60,D,A,2006,5947800
60,D,D,2006,6853827
60,D,E,2006,442429
60,D,H,2006,2895065
60,D,J,2006,16549895
60,E,A,2006,8252283
60,E,D,2006,2149211
60,E,G,2006,114057
60,E,J,2006,20095965
60,F,A,2006,13969708
60,F,J,2006,1073801
60,G,A,2006,349352
60,G,D,2006,65953
60,G,H,2006,427714
60,G,J,2006,7242403
60,H,A,2006,381439
60,H,D,2006,153141
60,H,H,2006,441473
60,H,J,2006,2650339
60,I,A,2006,24532674
60,I,J,2006,3118881
60,J,A,2006,6436538
60,J,H,2006,47697
60,J,J,2006,3049483
60,K,A,2006,30234046
60,K,D,2006,153902
60,K,E,2006,64808
60,K,J,2006,12069381
60,N,J,2006,16994163
61,A,A,2006,2465051
61,A,D,2006,513242
61,A,H,2006,100907
61,A,I,2006,4061471
61,A,J,2006,5041086
61,B,A,2006,4815351
61,B,D,2006,3629260
61,B,H,2006,9576638
61,B,I,2006,7704322
61,B,J,2006,7026427
61,C,A,2006,39711
61,C,H,2006,678960
61,C,J,2006,322408
61,D,A,2006,20095697
61,D,D,2006,845696
61,D,H,2006,5764811
61,D,I,2006,10528910
61,D,J,2006,5867045
61,E,A,2006,130273
61,E,D,2006,361378
61,E,I,2006,315186
61,E,J,2006,2255517
61,F,D,2006,66110
61,F,J,2006,654672
61,G,H,2006,11390260
61,G,J,2006,2057799
61,H,A,2006,6094876
61,H,D,2006,85777
61,H,H,2006,4403654
61,H,I,2006,6014
61,H,J,2006,1397537
61,I,A,2006,604944
61,I,G,2006,222482
61,I,J,2006,1106225
61,J,A,2006,3075875
61,J,D,2006,692381
61,J,H,2006,2088579
61,J,I,2006,126446
61,J,J,2006,482474
61,K,A,2006,7718216
61,K,D,2006,883979
61,K,E,2006,169186
61,K,H,2006,7101048
61,K,I,2006,635316
61,K,J,2006,17063352
61,N,A,2006,11744
61,N,D,2006,-1503720
61,N,H,2006,12687880
61,N,J,2006,101311
62,A,A,2006,80025
62,A,H,2006,1879649
62,A,I,2006,596694
62,A,J,2006,947797
62,B,A,2006,501238
62,B,D,2006,666089
62,B,H,2006,926716
62,B,I,2006,664561
62,B,J,2006,4596599
62,C,H,2006,1813165
62,C,I,2006,2270996
62,C,J,2006,33139
62,D,A,2006,1055279
62,D,D,2006,2881680
62,D,H,2006,958110
62,D,I,2006,1393756
62,D,J,2006,8760652
62,E,A,2006,2004489
62,E,D,2006,1205865
62,E,E,2006,964546
62,E,I,2006,618313
62,E,J,2006,607140
62,F,A,2006,42671
62,F,I,2006,688803
62,G,A,2006,105405
62,G,H,2006,659332
