country,bundle,year,out-oda-gross-bundle
ES,A,2011,417601302
ES,B,2011,727982758
ES,C,2011,78946585
ES,D,2011,148912639
ES,E,2011,151464305
ES,F,2011,398660481
ES,G,2011,459806635
EU,B,2011,4491057217
EU,C,2011,617122079
EU,D,2011,76503298
EU,E,2011,4113096150
EU,F,2011,1024391243
EU,G,2011,1387367482
FI,A,2011,40566461
FI,B,2011,126892818
FI,C,2011,19637519
FI,D,2011,31270831
FI,E,2011,137715917
FI,F,2011,139080662
FI,G,2011,322246031
FR,A,2011,2732504438
FR,B,2011,962083559
FR,C,2011,88763115
FR,D,2011,59431677
FR,E,2011,489284553
FR,F,2011,3195762494
FR,G,2011,1287782402
GB,A,2011,457245151
GB,B,2011,3282304026
GB,C,2011,316670524
GB,D,2011,1652407438
GB,E,2011,1177187237
GB,F,2011,787669604
GB,G,2011,1143394195
GR,B,2011,22858616
GR,E,2011,278296
GR,F,2011,104974978
GR,G,2011,13010708
IE,B,2011,290053745
IE,C,2011,26726803
IE,D,2011,186686610
IE,E,2011,349354
IE,F,2011,49941882
IE,G,2011,10249804
IS,B,2011,5400327
IS,C,2011,927664
IS,D,2011,4849905
IS,E,2011,1796190
IS,F,2011,2283866
IS,G,2011,3871045
IT,A,2011,88339842
IT,B,2011,88509532
IT,C,2011,22244233
IT,D,2011,4218267
IT,E,2011,291928047
IT,F,2011,1327690033
IT,G,2011,145019271
JP,A,2011,7108782684
JP,B,2011,1157521114
JP,C,2011,661389459
JP,D,2011,258572658
JP,E,2011,1436926386
JP,F,2011,2586826900
JP,G,2011,2385682118
KR,A,2011,455959901
KR,B,2011,47430270
KR,C,2011,5341253
KR,D,2011,8818546
KR,E,2011,26069804
KR,F,2011,224027560
KR,G,2011,263104244
KW,A,2011,449766627
KW,C,2011,6256886
KW,E,2011,27456308
LU,B,2011,12179186
LU,C,2011,6096283
LU,D,2011,14032189
LU,E,2011,113790696
LU,F,2011,102277120
LU,G,2011,19178898
NL,A,2011,12424952
NL,B,2011,777677118
NL,C,2011,103070283
NL,D,2011,1028992031
NL,E,2011,781699056
NL,F,2011,1115210149
NL,G,2011,443169763
NO,A,2011,282398122
NO,B,2011,860846387
NO,C,2011,36039160
NO,D,2011,806246009
NO,E,2011,742737128
NO,F,2011,618471498
NO,G,2011,349366064
NZ,B,2011,102186144
NZ,C,2011,7023518
NZ,D,2011,15871450
NZ,E,2011,82311449
NZ,F,2011,87896745
NZ,G,2011,43611846
PT,A,2011,51837721
PT,B,2011,9475133
PT,C,2011,271939157
PT,D,2011,2228463
PT,E,2011,16231004
PT,F,2011,55593687
PT,G,2011,67492067
SE,A,2011,44710555
SE,B,2011,741327915
SE,C,2011,19187337
SE,D,2011,254452448
SE,E,2011,591113716
SE,F,2011,989078335
SE,G,2011,932839116
US,B,2011,3836123065
US,C,2011,2450345946
US,D,2011,1023575326
US,E,2011,15656942539
US,F,2011,4025443098
US,G,2011,1703566118
1,B,2012,1119389
1,E,2012,7647232
1,F,2012,105669246
2,A,2012,1178336514
2,B,2012,664567682
2,E,2012,39015803
2,F,2012,551598498
4,A,2012,826518644
4,B,2012,18024821
4,E,2012,10024597
4,G,2012,185993
6,A,2012,1292695843
6,B,2012,522398316
6,C,2012,598634
6,E,2012,15732596
6,G,2012,3344258
7,A,2012,115549990
7,B,2012,112010
7,E,2012,400000
7,G,2012,5949579
10,B,2012,506187000
10,C,2012,475302999
10,E,2012,13381317
10,F,2012,73389000
11,B,2012,12670827
11,E,2012,514679686
11,G,2012,11804394
12,B,2012,2359420000
12,C,2012,51274000
12,D,2012,5153999
12,E,2012,921135999
12,F,2012,1955000
12,G,2012,19906000
15,A,2012,7809147350
15,B,2012,1851799810
15,C,2012,2000000
15,E,2012,171000187
15,F,2012,2202502631
15,G,2012,126914476
17,A,2012,699070566
17,B,2012,145631321
17,E,2012,5535028
17,F,2012,606000000
17,G,2012,164218611
21,A,2012,1438186660
21,F,2012,68260369
22,A,2012,259449490
22,B,2012,20169010
24,A,2012,19447878
24,B,2012,2651028
24,E,2012,32206040
24,F,2012,1775655
25,A,2012,276010255
25,B,2012,14378845
25,C,2012,1800000
25,E,2012,7360669
25,F,2012,11243826
25,G,2012,1916210
26,B,2012,11656889
26,E,2012,123153920
27,B,2012,1043997
27,C,2012,2020550
27,E,2012,238944407
28,B,2012,32437360
28,E,2012,442596870
28,G,2012,12177420
29,B,2012,3003300
29,E,2012,9335079
29,G,2012,26289
31,B,2012,244034581
31,E,2012,104035028
31,G,2012,553069
32,E,2012,321707800
32,F,2012,102083800
33,B,2012,27691509
33,C,2012,1673920
33,E,2012,633349066
33,F,2012,485512000
33,G,2012,6743926
34,B,2012,636629
34,C,2012,406730
34,E,2012,65892630
34,G,2012,6679
35,E,2012,528884594
35,F,2012,138459669
37,C,2012,232824165
37,E,2012,113240448
37,F,2012,8562772
37,G,2012,235972
38,E,2012,397034016
AE,A,2012,218433385
AE,B,2012,420706231
AE,C,2012,37823220
AE,D,2012,49234687
AE,E,2012,181768106
AE,F,2012,192682952
AE,G,2012,220778
AT,A,2012,756394
AT,B,2012,63163337
AT,C,2012,2723650
AT,D,2012,20880810
AT,E,2012,13715784
AT,F,2012,370132634
AT,G,2012,71960082
AU,A,2012,42746273
AU,B,2012,1354904185
AU,C,2012,114759231
AU,D,2012,225800177
AU,E,2012,161558163
AU,F,2012,964220015
AU,G,2012,1808766501
BE,A,2012,3015796
BE,B,2012,224924087
BE,C,2012,17836043
BE,D,2012,110234925
BE,E,2012,81627989
BE,F,2012,787538895
BE,G,2012,251788852
CA,B,2012,1842267193
CA,C,2012,288431605
CA,D,2012,48442774
CA,E,2012,90035578
CA,F,2012,943414179
CA,G,2012,892583721
CH,A,2012,31720000
CH,B,2012,338668356
CH,C,2012,59142376
CH,D,2012,215038656
CH,E,2012,611037508
CH,F,2012,974272939
CH,G,2012,265614851
CZ,B,2012,1713480
CZ,C,2012,781521
CZ,D,2012,2196137
CZ,E,2012,24650229
CZ,F,2012,23333143
CZ,G,2012,13760754
DE,A,2012,1859612426
DE,B,2012,745855181
DE,C,2012,174680865
DE,D,2012,61468543
DE,E,2012,831920395
DE,F,2012,2534811345
DE,G,2012,4005826991
DK,A,2012,49058014
DK,B,2012,743611288
DK,C,2012,3337708
DK,D,2012,195265375
DK,E,2012,599680132
DK,F,2012,367133283
DK,G,2012,83202127
ES,A,2012,61848345
ES,B,2012,125609475
ES,C,2012,29938059
ES,D,2012,29475387
ES,E,2012,106920929
ES,F,2012,355195709
ES,G,2012,362381074
EU,A,2012,6155617975
EU,B,2012,4486699304
EU,C,2012,615697263
EU,D,2012,117163787
EU,E,2012,4095466301
EU,F,2012,1135891727
EU,G,2012,1481559970
FI,A,2012,44381096
FI,B,2012,159248284
FI,C,2012,17975312
FI,D,2012,73253256
FI,E,2012,163987356
FI,F,2012,129279607
FI,G,2012,217054130
FR,A,2012,3550533505
FR,B,2012,505247501
FR,C,2012,58832854
FR,D,2012,47054753
FR,E,2012,516056529
FR,F,2012,3657686340
FR,G,2012,1070951070
GB,A,2012,426972380
GB,B,2012,3284953209
GB,C,2012,298982884
GB,D,2012,1699513825
GB,E,2012,1379174284
GB,F,2012,798762745
GB,G,2012,1140943464
GR,B,2012,4438021
GR,C,2012,8791
GR,D,2012,596342
GR,E,2012,89974
GR,F,2012,97356867
GR,G,2012,4824336
IE,B,2012,374557744
IE,C,2012,18046445
IE,D,2012,72458062
IE,E,2012,8744311
IE,F,2012,51734522
IE,G,2012,10634683
IS,B,2012,8639010
IS,C,2012,896495
IS,D,2012,5122752
IS,E,2012,1881844
IS,F,2012,2220642
IS,G,2012,2446620
IT,A,2012,78111401
IT,B,2012,34281156
IT,C,2012,7301645
IT,D,2012,10861696
IT,E,2012,183568097
IT,F,2012,367058354
IT,G,2012,36495115
JP,A,2012,7701328219
JP,B,2012,1471788343
JP,C,2012,479691538
JP,D,2012,74870619
JP,E,2012,1014471645
JP,F,2012,1068674412
JP,G,2012,2649038490
KR,A,2012,517315301
KR,B,2012,80974689
KR,C,2012,5339913
KR,D,2012,36941577
KR,E,2012,26815105
KR,F,2012,352647850
KR,G,2012,212157417
KW,A,2012,411349935
KW,B,2012,765298
KW,C,2012,9323551
KW,D,2012,99158
KW,E,2012,29883766
LU,B,2012,25194434
LU,C,2012,3227121
LU,D,2012,16295579
LU,E,2012,103728328
LU,F,2012,118847827
LU,G,2012,12204170
NL,B,2012,1289394124
NL,C,2012,102918737
NL,D,2012,278915413
NL,E,2012,700154579
NL,F,2012,1189503900
NL,G,2012,403092065
NO,A,2012,329529305
NO,B,2012,848287064
NO,C,2012,36683632
NO,D,2012,673160207
NO,E,2012,773954064
NO,F,2012,618098790
NO,G,2012,339424845
NZ,B,2012,124484189
NZ,C,2012,3152141
NZ,D,2012,9309124
NZ,E,2012,83613477
NZ,F,2012,96546368
NZ,G,2012,49234356
PT,A,2012,307541131
PT,B,2012,5138817
PT,D,2012,155526
PT,E,2012,12034704
PT,F,2012,59101542
PT,G,2012,51156812
SE,A,2012,59093796
SE,B,2012,1265768250
SE,C,2012,2511486
SE,D,2012,438969737
SE,E,2012,426537556
SE,F,2012,911643530
SE,G,2012,590081148
US,B,2012,5164637782
US,C,2012,2528908497
US,D,2012,550287394
US,E,2012,13462426533
US,F,2012,2885491102
US,G,2012,1450445070
