country,channel,year,out-oda-gross-channel
CH,A,2009,1001763507
CH,D,2009,317236
CH,E,2009,462942263
CH,F,2009,96590921
CH,G,2009,14292158
CH,H,2009,286967305
CH,I,2009,189289490
DE,A,2009,6234910455
DE,D,2009,156842515
DE,E,2009,794079259
DE,F,2009,276121
DE,G,2009,71597776
DE,H,2009,399647987
DE,I,2009,350811700
DK,A,2009,398784595
DK,E,2009,160729062
DK,F,2009,18754045
DK,G,2009,698187
DK,H,2009,105557425
DK,I,2009,36337644
DK,J,2009,931659366
ES,A,2009,1967194081
ES,E,2009,801687592
ES,F,2009,68058935
ES,G,2009,30775351
ES,H,2009,1242509754
ES,I,2009,41173253
ES,J,2009,227013716
EU,A,2009,7523618359
EU,D,2009,1120181136
EU,E,2009,252708537
EU,F,2009,14801557
EU,G,2009,70533107
EU,H,2009,2535693635
EU,I,2009,1035177803
FI,A,2009,226449854
FI,E,2009,172247756
FI,F,2009,206022
FI,G,2009,2601362
FI,H,2009,217788859
FI,I,2009,150875133
FR,A,2009,6794152890
FR,D,2009,65256681
FR,E,2009,32729989
FR,F,2009,15556962
FR,G,2009,160156017
FR,H,2009,46793887
FR,I,2009,427065
FR,J,2009,963510319
GB,A,2009,4218550802
GB,D,2009,225968545
GB,E,2009,737815977
GB,F,2009,198388332
GB,G,2009,86533738
GB,H,2009,2725117426
GB,I,2009,196702350
GR,A,2009,259822367
GR,E,2009,4270020
GR,F,2009,26034
GR,G,2009,523846
GR,H,2009,13205079
IE,A,2009,239463654
IE,D,2009,947665
IE,E,2009,212948542
IE,F,2009,21170025
IE,G,2009,7183160
IE,H,2009,129910990
IE,I,2009,30454427
IT,A,2009,589529488
IT,D,2009,95275168
IT,E,2009,24981630
IT,H,2009,127936100
IT,J,2009,166827371
JP,A,2009,12577794362
JP,D,2009,1725685
JP,E,2009,241998407
JP,F,2009,113922005
JP,G,2009,1191491
JP,H,2009,794348227
JP,I,2009,729832543
KR,A,2009,654847187
KR,E,2009,13811659
KR,G,2009,8411953
KR,H,2009,59694439
KR,I,2009,2628360
LU,A,2009,134087939
LU,E,2009,87255027
LU,F,2009,2203623
LU,G,2009,849935
LU,H,2009,50552785
LU,I,2009,6659340
NL,A,2009,2029189941
NL,D,2009,289495
NL,E,2009,1226334980
NL,F,2009,184581050
NL,G,2009,72170430
NL,H,2009,912699105
NL,I,2009,302323767
NO,A,2009,1417748360
NO,E,2009,928520517
NO,F,2009,155939961
NO,G,2009,50711665
NO,H,2009,1247227530
NO,I,2009,180814341
NZ,A,2009,199652818
NZ,D,2009,27561764
NZ,E,2009,38398373
NZ,F,2009,1345302
NZ,G,2009,34838
NZ,H,2009,30952850
NZ,I,2009,1317280
NZ,J,2009,8359798
PT,A,2009,235967937
PT,E,2009,7496938
PT,F,2009,120542
PT,G,2009,79290
PT,H,2009,46197488
SE,A,2009,1201693978
SE,D,2009,695827
SE,E,2009,769266308
SE,F,2009,133455404
SE,G,2009,11007042
SE,H,2009,975063268
SE,I,2009,251382876
SE,J,2009,179018709
US,A,2009,11121307756
US,D,2009,728617694
US,E,2009,5822320228
US,G,2009,65920344
US,H,2009,4562036698
US,I,2009,4992218074
1,J,2010,163974442
2,J,2010,2435481841
3,J,2010,1068104584
6,J,2010,2004142027
10,A,2010,77817435
10,H,2010,662186122
10,I,2010,14380479
10,J,2010,58891662
11,H,2010,446860121
12,A,2010,2025414188
12,D,2010,426823773
12,E,2010,49571295
12,F,2010,114553147
12,G,2010,43604908
12,H,2010,471647075
12,I,2010,16014724
15,H,2010,2079236175
15,J,2010,10511929075
17,J,2010,1250899323
21,J,2010,3087492836
24,A,2010,59252024
24,H,2010,8253633
25,J,2010,339702253
27,H,2010,84888504
27,I,2010,170322159
28,C,2010,238320788
28,D,2010,2773586
28,H,2010,348645199
28,J,2010,46951922
29,J,2010,12715258
31,A,2010,141291569
31,D,2010,93514155
31,H,2010,608968576
31,J,2010,2526621
33,J,2010,1090608603
34,H,2010,53018807
35,J,2010,566002158
37,J,2010,253134164
38,J,2010,380378292
AE,B,2010,43945458
AE,C,2010,379350199
AE,E,2010,13414129
AE,G,2010,5357799
AE,H,2010,34185541
AE,I,2010,83020291
AT,A,2010,6236965
AT,B,2010,287207633
AT,C,2010,38549723
AT,E,2010,65120606
AT,F,2010,5370754
AT,G,2010,3524249
AT,H,2010,108160128
AT,I,2010,107513551
AU,A,2010,271031228
AU,B,2010,827754994
AU,C,2010,103831048
AU,E,2010,389810398
AU,F,2010,94149166
AU,G,2010,2589342
AU,H,2010,946988522
AU,I,2010,980211925
AU,J,2010,176534275
BE,A,2010,1050257220
BE,B,2010,92944626
BE,C,2010,59676311
BE,D,2010,68793142
BE,E,2010,244645423
BE,F,2010,9574036
BE,G,2010,182416614
BE,H,2010,237465291
BE,I,2010,200910470
