country,year,from-oof-interest
ZM,2011,5150000
ZW,2011,0
AF,2012,4630000
51,2012,26690000
AL,2012,14290000
52,2012,7830000
AO,2012,1920000
AI,2012,2420000
AG,2012,2300000
AR,2012,513570000
AM,2012,12790000
53,2012,-480000
AZ,2012,14350000
BD,2012,38550000
BB,2012,0
BY,2012,13040000
BZ,2012,3570000
BJ,2012,1470000
BT,2012,610000
BO,2012,8750000
BA,2012,20280000
BW,2012,17990000
BR,2012,915580000
BF,2012,800000
BI,2012,330000
KH,2012,8570000
CM,2012,27990000
CV,2012,6780000
CF,2012,190000
54,2012,1860000
TD,2012,5500000
CL,2012,107530000
CN,2012,537910000
CO,2012,309130000
KM,2012,240000
CD,2012,223050000
CG,2012,4310000
CK,2012,310000
CR,2012,36060000
CI,2012,-7720000
HR,2012,0
CU,2012,2270000
CY,2012,0
55,2012,100910000
DJ,2012,6200000
DM,2012,800000
DO,2012,142540000
EC,2012,103230000
EG,2012,172290000
SV,2012,82920000
GQ,2012,870000
ER,2012,0
ET,2012,13020000
56,2012,19280000
57,2012,5810000
FJ,2012,1290000
MK,2012,12190000
GA,2012,14300000
GM,2012,330000
GE,2012,15260000
GH,2012,41920000
GD,2012,1410000
GT,2012,131310000
GN,2012,1420000
GW,2012,0
GY,2012,1180000
HT,2012,1740000
HN,2012,2160000
IN,2012,366270000
ID,2012,679410000
IR,2012,59130000
JM,2012,72720000
JO,2012,54480000
KZ,2012,88380000
KE,2012,37990000
KI,2012,0
KR,2012,0
KP,2012,0
XK,2012,12020000
KG,2012,2890000
LA,2012,5800000
LB,2012,82150000
LS,2012,2650000
LR,2012,15640000
MG,2012,30530000
MW,2012,1920000
MY,2012,46840000
MV,2012,4090000
ML,2012,2320000
MT,2012,0
MH,2012,90000
MR,2012,8840000
MU,2012,79530000
YT,2012,0
MX,2012,783620000
NR,2012,40000
58,2012,16670000
MD,2012,6410000
MN,2012,12140000
ME,2012,14120000
MS,2012,0
MA,2012,229790000
MZ,2012,19130000
MM,2012,0
NA,2012,24250000
NR,2012,20000
NP,2012,660000
NI,2012,13400000
NE,2012,800000
NG,2012,78710000
59,2012,25870000
60,2012,0
61,2012,650000
OM,2012,0
PK,2012,81840000
PW,2012,20000
PA,2012,94630000
PG,2012,-22810000
PY,2012,39940000
PE,2012,258890000
PH,2012,268510000
RW,2012,5360000
WS,2012,0
ST,2012,0
SN,2012,99970000
RS,2012,118610000
SC,2012,1840000
SL,2012,1430000
SI,2012,0
SB,2012,500000
SO,2012,0
62,2012,0
ZA,2012,212680000
63,2012,9610000
64,2012,0
65,2012,5640000
SS,2012,80000
LK,2012,20930000
SH,2012,0
KN,2012,2160000
LC,2012,9660000
VC,2012,4390000
66,2012,-120000
SD,2012,1930000
SR,2012,3980000
SZ,2012,7300000
SY,2012,24950000
TJ,2012,1980000
TZ,2012,9950000
TH,2012,41980000
TL,2012,10000
TG,2012,-2870000
TO,2012,0
TT,2012,0
TN,2012,197350000
TR,2012,596030000
TM,2012,15900000
TC,2012,0
TV,2012,0
UG,2012,38510000
UA,2012,84270000
UY,2012,125630000
UZ,2012,21680000
VU,2012,0
VE,2012,126610000
VN,2012,127790000
WF,2012,980000
PS,2012,4380000
67,2012,30000
YE,2012,13160000
ZM,2012,9360000
ZW,2012,3160000
