id,year,estimate,value
AZ,1983,FALSE,
BI,1983,FALSE,18.131688749
BE,1983,FALSE,2.0418284678
BJ,1983,FALSE,3.2490068009
BF,1983,FALSE,2.0845793318
BD,1983,FALSE,5.6092318534
BG,1983,FALSE,2309.3650793651
BH,1983,FALSE,2.2566220282
BS,1983,FALSE,1.9457497264
BA,1983,FALSE,
BY,1983,FALSE,
BZ,1983,FALSE,1.4739181624
BO,1983,FALSE,61044.8888888889
BR,1983,FALSE,
BB,1983,FALSE,2.3694078532
BN,1983,FALSE,
BT,1983,TRUE,7.7355292119
BW,1983,FALSE,14.4569638642
CF,1983,FALSE,3.0361193826
CA,1983,FALSE,2.0586762142
CH,1983,FALSE,1.595152643
CL,1983,FALSE,17.632111437
CN,1983,FALSE,5.4631591239
CI,1983,FALSE,3.0028954988
CM,1983,FALSE,2.5861530355
CD,1983,FALSE,
CG,1983,FALSE,3.9148893977
CO,1983,FALSE,55.2418174817
KM,1983,FALSE,3.4080154904
CV,1983,FALSE,3.4080154904
CR,1983,FALSE,2.9938289744
CY,1983,FALSE,48.7162398987
CZ,1983,FALSE,2.8421687328
DE,1983,FALSE,
DJ,1983,FALSE,1.8149032131
DM,1983,FALSE,
DK,1983,FALSE,2.3704511919
DO,1983,FALSE,2.1257600342
DZ,1983,FALSE,58.1773927393
EC,1983,FALSE,32.9407180273
EG,1983,FALSE,2.295230142
ER,1983,FALSE,19.323191618
ES,1983,FALSE,
EE,1983,FALSE,3.4318591904
ET,1983,FALSE,
FI,1983,FALSE,10.6374427322
FJ,1983,FALSE,2.2551321489
FR,1983,FALSE,2.8786539284
FM,1983,FALSE,1.8644034039
GA,1983,FALSE,
GB,1983,FALSE,3.5309306483
GE,1983,FALSE,2.4735209083
GH,1983,FALSE,
GN,1983,FALSE,1571.087431694
GM,1983,FALSE,65.0832552536
GW,1983,FALSE,14.0055638351
GQ,1983,FALSE,1.6801302395
GR,1983,FALSE,8.2799633047
GD,1983,FALSE,10.6307576612
GT,1983,FALSE,2.3593917674
GY,1983,FALSE,19.6480354749
HK,1983,FALSE,208.6870415648
HN,1983,FALSE,2.513909154
HR,1983,FALSE,17.7060676393
HT,1983,FALSE,
HU,1983,FALSE,32.5202593193
ID,1983,FALSE,23.8387096774
IO,1983,FALSE,25.5513130211
IE,1983,FALSE,8.1587054267
IR,1983,FALSE,2.5136002787
IQ,1983,FALSE,279.1082725061
IS,1983,FALSE,
IL,1983,FALSE,12.2330709645
IT,1983,FALSE,172.5873015873
JM,1983,FALSE,3.1537867079
JO,1983,FALSE,141.044765343
JP,1983,FALSE,4.2914869335
KZ,1983,FALSE,0.9419991305
KE,1983,FALSE,
KG,1983,FALSE,12.7239420063
KH,1983,FALSE,
KI,1983,FALSE,
KN,1983,FALSE,3.0188170517
KP,1983,FALSE,3.1262489453
KW,1983,FALSE,3.3102321857
LA,1983,FALSE,2.5221792938
LB,1983,FALSE,354.7154742097
LR,1983,FALSE,1520.4315789474
LY,1983,FALSE,
LC,1983,FALSE,9.8759032954
LK,1983,FALSE,2.6904083173
LS,1983,FALSE,15.3785192909
LT,1983,FALSE,14.9563449249
LU,1983,FALSE,
LV,1983,FALSE,2.3056383914
MA,1983,FALSE,
MD,1983,FALSE,2.4900014269
MG,1983,FALSE,
MV,1983,FALSE,40.0347058092
MX,1983,FALSE,6.3961856076
MH,1983,FALSE,357.0119047619
MK,1983,FALSE,
ML,1983,FALSE,
MT,1983,FALSE,3.4626505189
MM,1983,FALSE,
ME,1983,FALSE,
MN,1983,FALSE,
MZ,1983,FALSE,451.2464454976
MR,1983,FALSE,569.4242424242
MU,1983,FALSE,
MW,1983,FALSE,6.0619101049
MY,1983,FALSE,326.600331675
NA,1983,FALSE,2.6312351669
NE,1983,FALSE,
NG,1983,FALSE,2.379116824
NI,1983,FALSE,238.5894538606
NL,1983,FALSE,
NO,1983,FALSE,1.6922606958
NP,1983,FALSE,3.1989711
NZ,1983,FALSE,12.1331769872
OM,1983,FALSE,3.1466508978
