country,admin1,admin1-name,lat,long,geonames-id
BM,BM.03,Hamilton city,,,3573198
BM,BM.01,Devonshire,,,3573251
BN,BN.04,Tutong,,,1820068
BN,BN.03,Temburong,,,1820106
BN,BN.02,Brunei and Muara,,,1820818
BN,BN.01,Belait,,,1820869
BO,BO.09,Tarija,,,3903319
BO,BO.08,Santa Cruz,,,3904907
BO,BO.07,Potosi,,,3907580
BO,BO.06,Pando,,,3908600
BO,BO.05,Oruro,,,3909233
BO,BO.04,La Paz,,,3911924
BO,BO.02,Cochabamba,,,3919966
BO,BO.01,Chuquisaca,,,3920177
BO,BO.03,El Beni,,,3923172
BQ,BQ.BO,Bonaire,,,7609816
BQ,BQ.SB,Saba,,,7610358
BQ,BQ.SE,Sint Eustatius,,,7610359
BR,BR.22,Rio Grande do Norte,,,3390290
BR,BR.20,Piaui,,,3392213
BR,BR.30,Pernambuco,,,3392268
BR,BR.17,Paraiba,,,3393098
BR,BR.16,Para,,,3393129
BR,BR.13,Maranhao,,,3395443
BR,BR.06,Ceara,,,3402362
BR,BR.03,Amapa,,,3407762
BR,BR.02,Alagoas,,,3408096
BR,BR.28,Sergipe,,,3447799
BR,BR.27,Sao Paulo,,,3448433
BR,BR.26,Santa Catarina,,,3450387
BR,BR.23,Rio Grande do Sul,,,3451133
BR,BR.21,Rio de Janeiro,,,3451189
BR,BR.18,Parana,,,3455077
BR,BR.15,Minas Gerais,,,3457153
BR,BR.11,Mato Grosso do Sul,,,3457415
BR,BR.14,Mato Grosso,,,3457419
BR,BR.29,Goias,,,3462372
BR,BR.07,Federal,,,3463504
BR,BR.08,Espirito Santo,,,3463930
BR,BR.05,Bahia,,,3471168
BR,BR.31,Tocantins,,,3474575
BR,BR.25,Roraima,,,3662560
BR,BR.04,Amazonas,,,3665361
BR,BR.01,Acre,,,3665474
BR,BR.24,Rondonia,,,3924825
BS,BS.35,San Salvador,,,3571493
BS,BS.34,Sandy Point,,,3571495
BS,BS.18,Ragged Island,,,3571629
BS,BS.32,Berry Islands,,,3571809
BS,BS.23,New Providence,,,3571815
BS,BS.16,Mayaguana,,,3571894
BS,BS.31,Marsh Harbour,,,3571912
BS,BS.15,Long Island District,,,3572005
BS,BS.30,Kemps Bay,,,3572109
BS,BS.13,Inagua District,,,3572154
BS,BS.29,High Rock,,,3572188
BS,BS.22,Harbour Island,,,3572238
BS,BS.28,Green Turtle Cay,,,3572271
BS,BS.26,Fresh Creek,,,3572363
BS,BS.25,Freeport,,,3572374
BS,BS.10,Exuma,,,3572427
BS,BS.06,Cat Island District,,,3572678
BS,BS.05,Bimini,,,3572807
BS,BS.24,Acklins,,,3572937
BS,BS.36,Black Point,,,8030541
BS,BS.37,Central Abaco,,,8030542
BS,BS.38,Central Andros,,,8030543
BS,BS.39,Central Eleuthera,,,8030544
BS,BS.40,Crooked Island and Long Cay,,,8030545
BS,BS.41,East Grand Bahama,,,8030546
BS,BS.42,Grand Cay,,,8030547
BS,BS.43,Hope Town,,,8030548
BS,BS.44,Mangrove Cay District,,,8030549
BS,BS.45,Moore's Island,,,8030550
BS,BS.46,North Abaco,,,8030551
BS,BS.47,North Andros,,,8030552
BS,BS.48,North Eleuthera,,,8030553
BS,BS.49,Rum Cay District,,,8030554
BS,BS.50,South Abaco,,,8030555
BS,BS.51,South Andros District,,,8030556
BS,BS.52,South Eleuthera District,,,8030557
BS,BS.53,Spanish Wells,,,8030558
BS,BS.54,West Grand Bahama,,,8030559
BT,BT.05,Bumthang,,,1337278
BT,BT.06,Chhukha,,,1337279
BT,BT.08,Daga,,,1337280
BT,BT.07,Chirang,,,1337281
BT,BT.09,Geylegphug,,,1337282
BT,BT.10,Ha,,,1337283
BT,BT.11,Lhuntshi,,,1337284
BT,BT.12,Mongar,,,1337285
BT,BT.13,Paro,,,1337286
BT,BT.14,Pemagatsel,,,1337287
BT,BT.15,Punakha,,,1337288
BT,BT.16,Samchi,,,1337289
BT,BT.17,Samdrup Jongkhar,,,1337290
BT,BT.18,Shemgang,,,1337291
BT,BT.19,Tashigang,,,1337292
BT,BT.20,Thimphu,,,1337293
BT,BT.21,Tongsa,,,1337294
BT,BT.22,Wangdi Phodrang,,,1337295
BT,BT.23,Gasa,,,7303651
BT,BT.24,Trashi Yangste,,,7303653
BW,BW.10,Southern,,,933043
BW,BW.09,South East,,,933044
BW,BW.08,North East,,,933210
BW,BW.11,North West,,,933230
BW,BW.06,Kweneng,,,933562
BW,BW.05,Kgatleng,,,933654
BW,BW.04,Kgalagadi,,,933657
BW,BW.03,Ghanzi,,,933758
BW,BW.01,Central,,,933851
BY,BY.07,Vitebskaya Oblast',,,620134
BY,BY.06,Mogilevskaya Oblast',,,625073
BY,BY.05,Minskaja Voblasts',,,625142
BY,BY.04,Minsk,,,625143
BY,BY.03,Grodnenskaya Oblast',,,628035
BY,BY.02,Gomel Region,,,628281
BY,BY.01,Brestskaya Oblast',,,629631
BZ,BZ.06,Toledo,,,3580913
BZ,BZ.05,Stann Creek,,,3580975
BZ,BZ.04,Orange Walk,,,3581511
BZ,BZ.03,Corozal,,,3582302
BZ,BZ.02,Cayo,,,3582429
BZ,BZ.01,Belize,,,3582676
CA,CA.01,Alberta,,,5883102
CA,CA.02,British Columbia,,,5909050
CA,CA.03,Manitoba,,,6065171
CA,CA.04,New Brunswick,,,6087430
CA,CA.13,Northwest Territories,,,6091069
CA,CA.07,Nova Scotia,,,6091530
CA,CA.14,Nunavut,,,6091732
CA,CA.08,Ontario,,,6093943
CA,CA.09,Prince Edward Island,,,6113358
CA,CA.10,Quebec,,,6115047
CA,CA.11,Saskatchewan,,,6141242
CA,CA.12,Yukon,,,6185811
CA,CA.05,Newfoundland and Labrador,,,6354959
CD,CD.12,South Kivu,,,205413
CD,CD.05,Katanga,,,205703
CD,CD.11,Nord Kivu,,,206938
CD,CD.10,Maniema,,,209610
CD,CD.04,Kasai-Oriental,,,214138
CD,CD.03,Kasai-Occidental,,,214139
CD,CD.09,Eastern Province,,,216139
CD,CD.02,Equateur,,,216661
CD,CD.06,Kinshasa,,,2314300
CD,CD.08,Bas-Congo,,,2317277
CD,CD.01,Bandundu,,,2317396
CF,CF.14,Vakaga,,,236178
CF,CF.11,Ouaka,,,236887
CF,CF.08,Mbomou,,,237556
CF,CF.05,Haut-Mbomou,,,238639
CF,CF.03,Haute-Kotto,,,238640
CF,CF.02,Basse-Kotto,,,240396
CF,CF.01,Bamingui-Bangoran,,,240591
CF,CF.16,Sangha-Mbaere,,,2383204
CF,CF.13,Ouham-Pende,,,2383650
CF,CF.12,Ouham,,,2383653
CF,CF.17,Ombella-Mpoko,,,2383765
CF,CF.09,Nana-Mambere,,,2384205
CF,CF.07,Lobaye,,,2385105
CF,CF.06,Kemo,,,2385836
CF,CF.04,Mambere-Kadei,,,2386161
CF,CF.15,Nana-Grebizi,,,2386243
CF,CF.18,Bangui,,,2596686
CG,CG.10,Sangha,,,2255329
CG,CG.11,Pool,,,2255404
CG,CG.08,Plateaux,,,2255422
CG,CG.07,Niari,,,2256175
CG,CG.06,Likouala Department,,,2258431
CG,CG.05,Lekoumou,,,2258534
CG,CG.04,Kouilou,,,2258738
CG,CG.13,Cuvette Department,,,2260487
CG,CG.01,Bouenza,,,2260668
CG,CG.12,Brazzaville,,,2572183
CG,CG.14,Cuvette-Ouest,,,2593118
CG,CG.7280295,Pointe-Noire,,,7280295
CH,CH.ZH,Zurich,,,2657895
CH,CH.ZG,Zug,,,2657907
CH,CH.VD,Vaud,,,2658182
CH,CH.VS,Valais,,,2658205
CH,CH.UR,Uri,,,2658226
CH,CH.TI,Ticino,,,2658370
CH,CH.TG,Thurgau,,,2658372
CH,CH.SO,Solothurn,,,2658563
CH,CH.SZ,Schwyz,,,2658664
CH,CH.SH,Schaffhausen,,,2658760
CH,CH.SG,Saint Gallen,,,2658821
CH,CH.OW,Obwalden,,,2659315
CH,CH.NW,Nidwalden,,,2659471
CH,CH.NE,Neuchatel,,,2659495
CH,CH.LU,Lucerne,,,2659810
CH,CH.JU,Jura,,,2660207
CH,CH.GR,Grisons,,,2660522
CH,CH.GL,Glarus,,,2660593
CH,CH.GE,Geneva,,,2660645
CH,CH.FR,Fribourg,,,2660717
CH,CH.BE,Bern,,,2661551
CH,CH.BS,Basel-City,,,2661602
CH,CH.BL,Basel-Landschaft,,,2661603
CH,CH.AR,Appenzell Ausserrhoden,,,2661739
