id,year,direction,flow-type,flow-name,value
BF,2013,in,commercial,fdi-in,373907143
BF,2013,in,private,remittances-in,na
BF,2012,out,illicit,trade-mispricing-out,1152992024
BF,2013,out,private,remittances-out,na
BF,2012,in,official,dfis-in,136041665.5
BF,2012,out,illicit,illicit-financing-out,na
BF,2013,in,commercial,long-debt-disbursement-commercial-in,0
BF,2013,in,commercial,short-debt-net-flow-in,0
BF,2013,out,commercial,long-debt-capital-payments-out,2560000
BF,2013,out,commercial,long-debt-interest-payments-out,103000.0002
BF,2013,out,commercial,short-debt-interest-out,0
BH,2011,in,private,pda-in,na
BH,2013,in,official,ssc-in,na
BH,2013,in,official,oda-in,0
BH,2013,in,commercial,fdi-in-profits-out,na
BH,2013,out,commercial,fdi-out,1017093316
BH,2013,out,official,oda-capital-payments-out,0
BH,2013,out,official,oofs-capital-payments-out,0
BH,2013,in,commercial,net-portfolio-equity-in,1339160015
BH,2013,out,official,oofs-interest-payments-out,0
BH,2013,in,official,oofs-in,0
BH,2013,out,official,oda-interest-payments-out,0
BH,2013,in,commercial,fdi-in,955661599.7
BH,2013,in,private,remittances-in,na
BH,2012,out,illicit,trade-mispricing-out,na
BH,2013,out,private,remittances-out,na
BH,2012,in,official,dfis-in,na
BH,2012,out,illicit,illicit-financing-out,na
BH,2013,in,commercial,long-debt-disbursement-commercial-in,na
BH,2013,in,commercial,short-debt-net-flow-in,na
BH,2013,out,commercial,long-debt-capital-payments-out,na
BH,2013,out,commercial,long-debt-interest-payments-out,na
BH,2013,out,commercial,short-debt-interest-out,na
BI,2011,in,private,pda-in,na
BI,2013,in,official,ssc-in,na
BI,2013,in,official,oda-in,563080000
BI,2013,in,commercial,fdi-in-profits-out,0
BI,2013,out,commercial,fdi-out,0
BI,2013,out,official,oda-capital-payments-out,20890000
BI,2013,out,official,oofs-capital-payments-out,0
BI,2013,in,commercial,net-portfolio-equity-in,0
BI,2013,out,official,oofs-interest-payments-out,370000
BI,2013,in,official,oofs-in,3930000
BI,2013,out,official,oda-interest-payments-out,2570000
BI,2013,in,commercial,fdi-in,6519938.391
BI,2013,in,private,remittances-in,49480001.04
BI,2012,out,illicit,trade-mispricing-out,137212619.4
BI,2013,out,private,remittances-out,na
BI,2012,in,official,dfis-in,113493040
BI,2012,out,illicit,illicit-financing-out,0
BI,2013,in,commercial,long-debt-disbursement-commercial-in,0
BI,2013,in,commercial,short-debt-net-flow-in,23011547.26
BI,2013,out,commercial,long-debt-capital-payments-out,0
BI,2013,out,commercial,long-debt-interest-payments-out,0
BI,2013,out,commercial,short-debt-interest-out,449683.9861
BJ,2011,in,private,pda-in,na
BJ,2013,in,official,ssc-in,na
BJ,2013,in,official,oda-in,673010000
BJ,2013,in,commercial,fdi-in-profits-out,0
BJ,2013,out,commercial,fdi-out,43885136.71
BJ,2013,out,official,oda-capital-payments-out,25490000
BJ,2013,out,official,oofs-capital-payments-out,2310000
BJ,2013,in,commercial,net-portfolio-equity-in,0
BJ,2013,out,official,oofs-interest-payments-out,1390000
BJ,2013,in,official,oofs-in,6440000
BJ,2013,out,official,oda-interest-payments-out,8230000
BJ,2013,in,commercial,fdi-in,306343501.8
BJ,2013,in,private,remittances-in,160079241.1
BJ,2012,out,illicit,trade-mispricing-out,0
BJ,2013,out,private,remittances-out,na
BJ,2012,in,official,dfis-in,288345800.3
BJ,2012,out,illicit,illicit-financing-out,na
BJ,2013,in,commercial,long-debt-disbursement-commercial-in,0
BJ,2013,in,commercial,short-debt-net-flow-in,-444118.5905
BJ,2013,out,commercial,long-debt-capital-payments-out,0
BJ,2013,out,commercial,long-debt-interest-payments-out,0
BJ,2013,out,commercial,short-debt-interest-out,24087690.62
BO,2011,in,private,pda-in,na
BO,2013,in,official,ssc-in,na
BO,2013,in,official,oda-in,720040000
BO,2013,in,commercial,fdi-in-profits-out,0
BO,2013,out,commercial,fdi-out,0
BO,2013,out,official,oda-capital-payments-out,30360000
BO,2013,out,official,oofs-capital-payments-out,84200000
BO,2013,in,commercial,net-portfolio-equity-in,0
BO,2013,out,official,oofs-interest-payments-out,4810000
BO,2013,in,official,oofs-in,7290000
BO,2013,out,official,oda-interest-payments-out,25650000
BO,2013,in,commercial,fdi-in,1627702600
BO,2013,in,private,remittances-in,1084173732
BO,2012,out,illicit,trade-mispricing-out,418421460.4
BO,2013,out,private,remittances-out,na
BO,2012,in,official,dfis-in,505480420.4
BO,2012,out,illicit,illicit-financing-out,960798337.4
BO,2013,in,commercial,long-debt-disbursement-commercial-in,725252000
BO,2013,in,commercial,short-debt-net-flow-in,-6512251.972
BO,2013,out,commercial,long-debt-capital-payments-out,286388000
BO,2013,out,commercial,long-debt-interest-payments-out,44398000
BO,2013,out,commercial,short-debt-interest-out,18567360.7
BR,2011,in,private,pda-in,na
BR,2013,in,official,ssc-in,na
BR,2013,in,official,oda-in,1374280000
BR,2013,in,commercial,fdi-in-profits-out,27841392990
BR,2013,out,commercial,fdi-out,-3534589148
BR,2013,out,official,oda-capital-payments-out,256080000
BR,2013,out,official,oofs-capital-payments-out,5515120000
BR,2013,in,commercial,net-portfolio-equity-in,11765361101
BR,2013,out,official,oofs-interest-payments-out,974210000
BR,2013,in,official,oofs-in,6746310000
BR,2013,out,official,oda-interest-payments-out,64810000
BR,2013,in,commercial,fdi-in,64755485276
BR,2013,in,private,remittances-in,2428518433
BR,2012,out,illicit,trade-mispricing-out,33928151884
BR,2013,out,private,remittances-out,1030750408
BR,2012,in,official,dfis-in,7050555459
BR,2012,out,illicit,illicit-financing-out,0
BR,2013,in,commercial,long-debt-disbursement-commercial-in,1.01985E+11
BR,2013,in,commercial,short-debt-net-flow-in,906545812.7
BR,2013,out,commercial,long-debt-capital-payments-out,77449975999
BR,2013,out,commercial,long-debt-interest-payments-out,16912714000
BR,2013,out,commercial,short-debt-interest-out,476980904.8
BT,2011,in,private,pda-in,na
BT,2013,in,official,ssc-in,na
BT,2013,in,official,oda-in,146610000
BT,2013,in,commercial,fdi-in-profits-out,21424699.15
BT,2013,out,commercial,fdi-out,na
BT,2013,out,official,oda-capital-payments-out,8240000
BT,2013,out,official,oofs-capital-payments-out,4030000
BT,2013,in,commercial,net-portfolio-equity-in,0
BT,2013,out,official,oofs-interest-payments-out,740000
BT,2013,in,official,oofs-in,870000
BT,2013,out,official,oda-interest-payments-out,4390000
BT,2013,in,commercial,fdi-in,22676107.58
BT,2013,in,private,remittances-in,11796969.55
BT,2012,out,illicit,trade-mispricing-out,na
BT,2013,out,private,remittances-out,71615102.95
BT,2012,in,official,dfis-in,15425734.4
BT,2012,out,illicit,illicit-financing-out,167549910.2
BT,2013,in,commercial,long-debt-disbursement-commercial-in,9270000
BT,2013,in,commercial,short-debt-net-flow-in,-106560655.9
BT,2013,out,commercial,long-debt-capital-payments-out,4615000
BT,2013,out,commercial,long-debt-interest-payments-out,2741000
BT,2013,out,commercial,short-debt-interest-out,0
BW,2011,in,private,pda-in,na
BW,2013,in,official,ssc-in,na
BW,2013,in,official,oda-in,126220000
BW,2013,in,commercial,fdi-in-profits-out,0
BW,2013,out,commercial,fdi-out,-304465.2941
BW,2013,out,official,oda-capital-payments-out,19220000
BW,2013,out,official,oofs-capital-payments-out,128980000
