country,year,in_longdebt
EE,2004,
EE,2005,
EE,2006,
EE,2007,
EE,2008,
EE,2009,
EE,2010,
EE,2011,
EE,2012,
EG,1990,2156.03
EG,1991,1516.01
EG,1992,3396.9
EG,1993,382.22
EG,1994,558.6
EG,1995,1245.44
EG,1996,1235.12
EG,1997,1535.17
EG,1998,1234.98
EG,1999,577.96
EG,2000,890.61
EG,2001,1454.07
EG,2002,1188.05
EG,2003,1318.57
EG,2004,2328.19
EG,2005,6449.15
EG,2006,1558.96
EG,2007,5228.41
EG,2008,1597.79
EG,2009,2708.44
EG,2010,4167.91
EG,2011,1644.93
EG,2012,3681.28
ER,1990,
ER,1991,
ER,1992,0
ER,1993,0
ER,1994,107.22
ER,1995,26.73
ER,1996,23.33
ER,1997,118.16
ER,1998,230.65
ER,1999,378.79
ER,2000,175.03
ER,2001,366.1
ER,2002,284.22
ER,2003,272.93
ER,2004,224.4
ER,2005,0
ER,2006,85.59
ER,2007,88.6
ER,2008,190.31
ER,2009,80.69
ER,2010,0
ER,2011,0
ER,2012,26.75
ES,1990,
ES,1991,
ES,1992,
ES,1993,
ES,1994,
ES,1995,
ES,1996,
ES,1997,
ES,1998,
ES,1999,
ES,2000,
ES,2001,
ES,2002,
ES,2003,
ES,2004,
ES,2005,
ES,2006,
ES,2007,
ES,2008,
ES,2009,
ES,2010,
ES,2011,
ES,2012,
ET,1990,352.62
ET,1991,350.65
ET,1992,77.17
ET,1993,12.76
ET,1994,5.03
ET,1995,0
ET,1996,34.61
ET,1997,49.85
ET,1998,17.45
ET,1999,2.23
ET,2000,2.91
ET,2001,0.1
ET,2002,0
ET,2003,262.9
ET,2004,690.72
ET,2005,901.44
ET,2006,572.89
ET,2007,0
ET,2008,415.61
ET,2009,2142.22
ET,2010,2105.4
ET,2011,2112.46
ET,2012,2309.11
FI,1990,
FI,1991,
FI,1992,
FI,1993,
FI,1994,
FI,1995,
FI,1996,
FI,1997,
FI,1998,
FI,1999,
FI,2000,
FI,2001,
FI,2002,
FI,2003,
FI,2004,
FI,2005,
FI,2006,
FI,2007,
FI,2008,
FI,2009,
FI,2010,
FI,2011,
FI,2012,
FJ,1990,1.33
FJ,1991,37.92
FJ,1992,0.06
FJ,1993,0
FJ,1994,0
FJ,1995,0
FJ,1996,0
FJ,1997,12.4
FJ,1998,11.41
FJ,1999,129.38
FJ,2000,0
FJ,2001,0
FJ,2002,22.83
FJ,2003,23.35
FJ,2004,0
FJ,2005,0
FJ,2006,195.97
FJ,2007,0
FJ,2008,0.16
FJ,2009,19.02
FJ,2010,38.24
FJ,2011,327.62
FJ,2012,78.27
FM,1990,
FM,1991,
FM,1992,
FM,1993,
FM,1994,
FM,1995,
FM,1996,
FM,1997,
FM,1998,
FM,1999,
FM,2000,
FM,2001,
FM,2002,
FM,2003,
FM,2004,
FM,2005,
FM,2006,
FM,2007,
FM,2008,
FM,2009,
FM,2010,
FM,2011,
FM,2012,
FR,1990,
FR,1991,
FR,1992,
FR,1993,
FR,1994,
FR,1995,
FR,1996,
FR,1997,
FR,1998,
FR,1999,
FR,2000,
FR,2001,
FR,2002,
FR,2003,
FR,2004,
FR,2005,
FR,2006,
FR,2007,
FR,2008,
FR,2009,
FR,2010,
FR,2011,
FR,2012,
GA,1990,66.24
GA,1991,33.28
GA,1992,0
GA,1993,5.63
GA,1994,5.24
GA,1995,0
GA,1996,0
GA,1997,50.88
GA,1998,32.39
GA,1999,168.59
GA,2000,51.84
GA,2001,35.15
GA,2002,28.78
GA,2003,16.99
GA,2004,241.33
GA,2005,0
GA,2006,116.3
GA,2007,1304.76
GA,2008,104.13
GA,2009,323.42
GA,2010,505.84
GA,2011,485.83
GA,2012,400.68
GB,1990,
GB,1991,
GB,1992,
GB,1993,
GB,1994,
GB,1995,
GB,1996,
GB,1997,
GB,1998,
GB,1999,
GB,2000,
GB,2001,
GB,2002,
GB,2003,
GB,2004,
GB,2005,
GB,2006,
GB,2007,
GB,2008,
GB,2009,
GB,2010,
GB,2011,
GB,2012,
GD,1990,25.32
GD,1991,18.12
GD,1992,15.32
GD,1993,10.97
GD,1994,18.07
GD,1995,6.99
GD,1996,12.25
GD,1997,19.32
GD,1998,3.28
GD,1999,18.16
GD,2000,101.35
GD,2001,28.08
GD,2002,132.44
GD,2003,11.02
GD,2004,68.32
GD,2005,46.99
GD,2006,8.48
GD,2007,0
GD,2008,32.26
GD,2009,0
GD,2010,0
GD,2011,0
GD,2012,0
GE,1990,
GE,1991,
GE,1992,
GE,1993,
GE,1994,641.7
GE,1995,297.64
GE,1996,0
GE,1997,0
GE,1998,482.96
GE,1999,14.21
GE,2000,69.34
GE,2001,42.3
GE,2002,16.22
GE,2003,38.16
GE,2004,143.05
GE,2005,116.97
GE,2006,85.77
GE,2007,121.41
GE,2008,711.16
GE,2009,876.17
GE,2010,944.03
GE,2011,1490.93
GE,2012,2220.86
GH,1990,75.81
GH,1991,87.84
GH,1992,106.23
GH,1993,96.69
GH,1994,170.01
GH,1995,199.9
GH,1996,519.9
GH,1997,233
GH,1998,174.09
GH,1999,46.34
GH,2000,206.49
GH,2001,717.8
GH,2002,140.97
GH,2003,94.02
GH,2004,119.78
GH,2005,100.96
GH,2006,72.07
GH,2007,946.35
GH,2008,158.7
GH,2009,326.57
GH,2010,1326.02
GH,2011,492.13
GH,2012,1596.93
GM,1990,0
GM,1991,0
GM,1992,50.24
GM,1993,21.75
GM,1994,20.63
GM,1995,19.36
GM,1996,49.54
GM,1997,20.97
GM,1998,14.72
GM,1999,20.36
GM,2000,0
GM,2001,0
GM,2002,62.42
GM,2003,50.66
GM,2004,64.24
GM,2005,62.43
GM,2006,56.94
GM,2007,37.5
GM,2008,30.75
GM,2009,0.74
GM,2010,40.41
GM,2011,0
GM,2012,7.33
GN,1990,200.38
GN,1991,210.1
GN,1992,0
GN,1993,10.08
GN,1994,0
GN,1995,153.72
GN,1996,14.76
GN,1997,19.39
GN,1998,7.07
GN,1999,107.86
GN,2000,92.91
GN,2001,0
GN,2002,0
GN,2003,76.97
GN,2004,1.54
GN,2005,148.46
GN,2006,123.18
GN,2007,87.68
GN,2008,0
GN,2009,46.42
GN,2010,0
GN,2011,34.41
GN,2012,0
GQ,1990,
GQ,1991,
GQ,1992,
GQ,1993,
GQ,1994,
GQ,1995,
GQ,1996,
GQ,1997,
GQ,1998,
GQ,1999,
GQ,2000,
GQ,2001,
GQ,2002,
GQ,2003,
GQ,2004,
GQ,2005,
GQ,2006,
GQ,2007,
GQ,2008,
GQ,2009,
GQ,2010,
GQ,2011,
GQ,2012,
GR,1990,
GR,1991,
GR,1992,
GR,1993,
GR,1994,
GR,1995,
GR,1996,
GR,1997,
GR,1998,
GR,1999,
GR,2000,
GR,2001,
GR,2002,
GR,2003,
GR,2004,
GR,2005,
GR,2006,
GR,2007,
GR,2008,
GR,2009,
GR,2010,
GR,2011,
GR,2012,
GT,1990,561.58
GT,1991,573.38
GT,1992,636.46
GT,1993,170.33
GT,1994,218.52
GT,1995,433.29
GT,1996,326.04
GT,1997,686.85
GT,1998,476.18
GT,1999,0
GT,2000,0
GT,2001,950.58
GT,2002,566.36
GT,2003,801.7
GT,2004,1330.92
GT,2005,2356.32
GT,2006,2580.98
GT,2007,2873.95
GT,2008,1107.61
GT,2009,162.32
GT,2010,1665.35
GT,2011,1055.09
GT,2012,1372.59
GW,1990,0
GW,1991,76.81
GW,1992,61.87
GW,1993,36.26
GW,1994,0
GW,1995,0
GW,1996,0
GW,1997,0
GW,1998,0
GW,1999,0
GW,2000,0
GW,2001,0
GW,2002,0
GW,2003,29.01
GW,2004,40.08
GW,2005,18.55
GW,2006,12.1
GW,2007,0
GW,2008,6.68
GW,2009,5.48
GW,2010,0
GW,2011,0
GW,2012,2.66
GY,1990,11.87
