country-id,year,population-urban
SLV,2010,3.997
SLV,2011,4.052
SLV,2012,4.109
SOM,2005,2.977
SOM,2006,3.092
SOM,2007,3.209
SOM,2008,3.33
SOM,2009,3.458
SOM,2010,3.593
SOM,2011,3.741
SOM,2012,3.898
SRB,2005,4.05
SRB,2006,4.058
SRB,2007,4.065
SRB,2008,4.072
SRB,2009,4.079
SRB,2010,4.086
SRB,2011,4.092
SRB,2012,4.098
SSD,2005,1.379
SSD,2006,1.449
SSD,2007,1.523
SSD,2008,1.603
SSD,2009,1.687
SSD,2010,1.775
SSD,2011,1.874
SSD,2012,1.978
STP,2005,0.09
STP,2006,0.093
STP,2007,0.097
STP,2008,0.102
STP,2009,0.106
STP,2010,0.11
STP,2011,0.115
STP,2012,0.119
SUR,2005,0.335
SUR,2006,0.341
SUR,2007,0.347
SUR,2008,0.353
SUR,2009,0.358
SUR,2010,0.364
SUR,2011,0.369
SUR,2012,0.375
SWZ,2005,0.242
SWZ,2006,0.244
SWZ,2007,0.246
SWZ,2008,0.249
SWZ,2009,0.252
SWZ,2010,0.254
SWZ,2011,0.258
SWZ,2012,0.262
SYC,2005,0.043
SYC,2006,0.044
SYC,2007,0.044
SYC,2008,0.046
SYC,2009,0.046
SYC,2010,0.048
SYC,2011,0.047
SYC,2012,0.048
SYR,2005,9.771
SYR,2006,10.185
SYR,2007,10.669
SYR,2008,11.173
SYR,2009,11.629
SYR,2010,11.988
SYR,2011,12.314
SYR,2012,12.648
TCD,2005,2.166
TCD,2006,2.242
TCD,2007,2.318
TCD,2008,2.393
TCD,2009,2.469
TCD,2010,2.548
TCD,2011,2.637
TCD,2012,2.729
TGO,2005,1.949
TGO,2006,2.027
TGO,2007,2.108
TGO,2008,2.191
TGO,2009,2.277
TGO,2010,2.367
TGO,2011,2.461
TGO,2012,2.558
THA,2005,21.137
THA,2006,21.438
THA,2007,21.697
THA,2008,21.93
THA,2009,22.158
THA,2010,22.398
THA,2011,22.709
THA,2012,23.035
TJK,2005,1.799
TJK,2006,1.839
TJK,2007,1.881
TJK,2008,1.926
TJK,2009,1.973
TJK,2010,2.021
TJK,2011,2.075
TJK,2012,2.131
TKM,2005,2.234
TKM,2006,2.272
TKM,2007,2.312
TKM,2008,2.354
TKM,2009,2.397
TKM,2010,2.441
TKM,2011,2.489
TKM,2012,2.539
TMP,2005,0.256
TMP,2006,0.268
TMP,2007,0.281
TMP,2008,0.293
TMP,2009,0.306
TMP,2010,0.319
TMP,2011,0.333
TMP,2012,0.348
TON,2005,0.023
TON,2006,0.024
TON,2007,0.024
TON,2008,0.024
TON,2009,0.024
TON,2010,0.024
TON,2011,0.025
TON,2012,0.025
TUN,2005,6.532
TUN,2006,6.616
TUN,2007,6.699
TUN,2008,6.787
TUN,2009,6.88
TUN,2010,6.973
TUN,2011,7.078
TUN,2012,7.17
TUR,2005,45.28
TUR,2006,46.371
TUR,2007,47.466
TUR,2008,48.571
TUR,2009,49.696
TUR,2010,50.848
TUR,2011,52.171
TUR,2012,53.523
TUV,2005,0.005
TUV,2006,0.005
TUV,2007,0.005
