id,year,value,budget-type
CM,2014,685.1412617552,actual
CM,2015,723.399803865,proj
CM,2016,801.3489348828,proj
CM,2017,803.2906918147,proj
CM,2018,845.3225879084,proj
CM,2019,856.0921068266,proj
CM,2020,901.6164953722,proj
CN,2000,,actual
CN,2001,,actual
CN,2002,,actual
CN,2003,,actual
CN,2004,,actual
CN,2005,503.4699035735,actual
CN,2006,617.577546268,actual
CN,2007,811.5414470666,actual
CN,2008,1237.3531354795,actual
CN,2009,1536.8461619019,actual
CN,2010,1758.8619371377,actual
CN,2011,2722.2175845074,actual
CN,2012,3304.691941156,actual
CN,2013,3843.7093947426,proj
CN,2014,4238.9847004231,proj
CN,2015,4690.5567675848,proj
CN,2016,5005.193644991,proj
CN,2017,5343.3211098929,proj
CN,2018,5777.3495989991,proj
CN,2019,6256.9143056141,proj
CN,2020,6799.2651800619,proj
CO,2000,659.6506162528,actual
CO,2001,794.2910358452,actual
CO,2002,911.0002377689,actual
CO,2003,1035.2327321725,actual
CO,2004,1197.8535979808,actual
CO,2005,1148.2572689189,actual
CO,2006,1453.9790698316,actual
CO,2007,1699.5941982819,actual
CO,2008,1868.6531523754,actual
CO,2009,2244.5762215384,actual
CO,2010,2479.2920730297,actual
CO,2011,2909.5239834612,actual
CO,2012,3105.8589717337,actual
CO,2013,3476.4563508399,actual
CO,2014,3807.2216576892,actual
CO,2015,4095.5859727187,actual
CO,2016,4399.1483461936,proj
CO,2017,4778.2054329912,proj
CO,2018,5150.2003555353,proj
CO,2019,5511.0123054898,proj
CO,2020,5960.4317168174,proj
CO,2021,6390.8386563643,proj
CR,2000,,actual
CR,2001,,actual
CR,2002,,actual
CR,2003,,actual
CR,2004,,actual
CR,2005,,actual
CR,2006,642.8997294788,actual
CR,2007,792.5015255389,actual
CR,2008,1079.5908766345,actual
CR,2009,1350.3787261072,actual
CR,2010,1752.9295783597,actual
CR,2011,1878.5520429714,actual
CR,2012,2139.3862067141,actual
CR,2013,2509.5613320868,actual
CR,2014,2834.4736673259,actual
CR,2015,3086.7470137889,actual
CR,2016,3497.2949058903,proj
CR,2017,3938.1672268981,proj
CR,2018,4427.6605857797,proj
CR,2019,4913.568061602,proj
CR,2020,5384.5181790109,proj
CR,2021,5833.6512779208,proj
CV,2000,,actual
CV,2001,874.2716236855,actual
CV,2002,972.4911328416,actual
CV,2003,957.3295659812,actual
CV,2004,1187.7797004409,actual
CV,2005,1225.706718156,actual
CV,2006,1402.8394312155,actual
CV,2007,1424.4982055125,actual
CV,2008,1665.4044452348,actual
CV,2009,1855.6948845232,actual
CV,2010,2227.8323447943,actual
CV,2011,2115.1763775316,actual
CV,2012,2083.2819242137,actual
CV,2013,2061.5291684527,actual
CV,2014,2248.9723132688,proj
CV,2015,2238.7782773139,proj
