country-id,year,long-debt-usd-2012,,,,,,,,
 CR ,2012,3845977778,,,,,,,,
 CV ,2000,49554991,,,,,,,,
 CV ,2001,89850386,,,,,,,,
 CV ,2002,7343568,,,,,,,,
 CV ,2003,2505242,,,,,,,,
 CV ,2004,153790,,,,,,,,
 CV ,2005,91453995,,,,,,,,
 CV ,2006,112411,,,,,,,,
 CV ,2007,,,,,,,,,
 CV ,2008,,,,,,,,,
 CV ,2009,100435005,,,,,,,,
 CV ,2010,50919495,,,,,,,,
 CV ,2011,24203423,,,,,,,,
 CV ,2012,43009000,,,,,,,,
 DJ ,2000,,,,,,,,,
 DJ ,2001,,,,,,,,,
 DJ ,2002,46429872,,,,,,,,
 DJ ,2003,44927963,,,,,,,,
 DJ ,2004,38591993,,,,,,,,
 DJ ,2005,36534954,,,,,,,,
 DJ ,2006,84701251,,,,,,,,
 DJ ,2007,49482171,,,,,,,,
 DJ ,2008,53057470,,,,,,,,
 DJ ,2009,,,,,,,,,
 DJ ,2010,,,,,,,,,
 DJ ,2011,58032097,,,,,,,,
 DJ ,2012,,,,,,,,,
 DM ,2000,67528174,,,,,,,,
 DM ,2001,39632973,,,,,,,,
 DM ,2002,19561516,,,,,,,,
 DM ,2003,23273239,,,,,,,,
 DM ,2004,12244032,,,,,,,,
 DM ,2005,,,,,,,,,
 DM ,2006,,,,,,,,,
 DM ,2007,5474902,,,,,,,,
 DM ,2008,8732033,,,,,,,,
 DM ,2009,,,,,,,,,
 DM ,2010,31295760,,,,,,,,
 DM ,2011,18655952,,,,,,,,
 DM ,2012,36317974,,,,,,,,
 DO ,2000,424296452,,,,,,,,
 DO ,2001,861102273,,,,,,,,
 DO ,2002,959540895,,,,,,,,
 DO ,2003,3333462314,,,,,,,,
 DO ,2004,1517614403,,,,,,,,
 DO ,2005,749418988,,,,,,,,
 DO ,2006,1919874787,,,,,,,,
 DO ,2007,1406677350,,,,,,,,
 DO ,2008,1397070679,,,,,,,,
 DO ,2009,1598416969,,,,,,,,
 DO ,2010,984769761,,,,,,,,
 DO ,2011,2211537961,,,,,,,,
 DO ,2012,2392758593,,,,,,,,
 DZ ,2000,2933789844,,,,,,,,
 DZ ,2001,2592791455,,,,,,,,
 DZ ,2002,4058774796,,,,,,,,
 DZ ,2003,4378922741,,,,,,,,
 DZ ,2004,3968987023,,,,,,,,
 DZ ,2005,2039006622,,,,,,,,
 DZ ,2006,1204403407,,,,,,,,
 DZ ,2007,824444805,,,,,,,,
 DZ ,2008,721029017,,,,,,,,
 DZ ,2009,286126774,,,,,,,,
 DZ ,2010,51152784,,,,,,,,
 DZ ,2011,29728473,,,,,,,,
 DZ ,2012,28539999,,,,,,,,
 EC ,2000,2733837528,,,,,,,,
 EC ,2001,2958255843,,,,,,,,
 EC ,2002,2932506631,,,,,,,,
 EC ,2003,3413116030,,,,,,,,
 EC ,2004,4632517955,,,,,,,,
 EC ,2005,4965668586,,,,,,,,
 EC ,2006,3845494507,,,,,,,,
 EC ,2007,4167008982,,,,,,,,
 EC ,2008,1644102040,,,,,,,,
 EC ,2009,1407729005,,,,,,,,
 EC ,2010,3304406364,,,,,,,,
 EC ,2011,3515878870,,,,,,,,
 EC ,2012,2322353549,,,,,,,,
 EG ,2000,890614949,,,,,,,,
 EG ,2001,1454072294,,,,,,,,
 EG ,2002,1188052101,,,,,,,,
 EG ,2003,1318568130,,,,,,,,
 EG ,2004,2328193114,,,,,,,,
 EG ,2005,6449148569,,,,,,,,
 EG ,2006,1558956396,,,,,,,,
 EG ,2007,5228414829,,,,,,,,
 EG ,2008,1597788881,,,,,,,,
 EG ,2009,2708435941,,,,,,,,
 EG ,2010,4167914628,,,,,,,,
 EG ,2011,1644933589,,,,,,,,
 EG ,2012,3681280746,,,,,,,,
 ER ,2000,175034183,,,,,,,,
 ER ,2001,366099469,,,,,,,,
 ER ,2002,284217357,,,,,,,,
 ER ,2003,272934313,,,,,,,,
 ER ,2004,224397514,,,,,,,,
 ER ,2005,,,,,,,,,
 ER ,2006,85593907,,,,,,,,
 ER ,2007,88598326,,,,,,,,
 ER ,2008,190309364,,,,,,,,
 ER ,2009,80693883,,,,,,,,
 ER ,2010,,,,,,,,,
 ER ,2011,,,,,,,,,
 ER ,2012,26754994,,,,,,,,
 ET ,2000,2907815,,,,,,,,
 ET ,2001,100962,,,,,,,,
 ET ,2002,,,,,,,,,
 ET ,2003,262903491,,,,,,,,
 ET ,2004,690724549,,,,,,,,
 ET ,2005,901435577,,,,,,,,
 ET ,2006,572886681,,,,,,,,
 ET ,2007,,,,,,,,,
 ET ,2008,415614426,,,,,,,,
 ET ,2009,2142219055,,,,,,,,
 ET ,2010,2105398754,,,,,,,,
 ET ,2011,2112464407,,,,,,,,
 ET ,2012,2309110152,,,,,,,,
 FJ ,2000,,,,,,,,,
 FJ ,2001,,,,,,,,,
 FJ ,2002,22833138,,,,,,,,
 FJ ,2003,23347398,,,,,,,,
 FJ ,2004,,,,,,,,,
 FJ ,2005,,,,,,,,,
 FJ ,2006,195965791,,,,,,,,
 FJ ,2007,,,,,,,,,
 FJ ,2008,164942,,,,,,,,
 FJ ,2009,19020030,,,,,,,,
 FJ ,2010,38242941,,,,,,,,
 FJ ,2011,327619579,,,,,,,,
 FJ ,2012,78269971,,,,,,,,
 GA ,2000,51841373,,,,,,,,
 GA ,2001,35145897,,,,,,,,
 GA ,2002,28779966,,,,,,,,
 GA ,2003,16992358,,,,,,,,
 GA ,2004,241332481,,,,,,,,
 GA ,2005,,,,,,,,,
 GA ,2006,116303786,,,,,,,,
 GA ,2007,1304764506,,,,,,,,
 GA ,2008,104133219,,,,,,,,
 GA ,2009,323423664,,,,,,,,
 GA ,2010,505838763,,,,,,,,
 GA ,2011,485831454,,,,,,,,
 GA ,2012,400682867,,,,,,,,
 GD ,2000,101348577,,,,,,,,
 GD ,2001,28079996,,,,,,,,
 GD ,2002,132435897,,,,,,,,
 GD ,2003,11024690,,,,,,,,
 GD ,2004,68317236,,,,,,,,
 GD ,2005,46993583,,,,,,,,
 GD ,2006,8477259,,,,,,,,
 GD ,2007,,,,,,,,,
 GD ,2008,32255976,,,,,,,,
 GD ,2009,,,,,,,,,
 GD ,2010,,,,,,,,,
 GD ,2011,,,,,,,,,
 GD ,2012,,,,,,,,,
 GE ,2000,69344648,,,,,,,,
 GE ,2001,42302390,,,,,,,,
 GE ,2002,16221705,,,,,,,,
 GE ,2003,38161204,,,,,,,,
 GE ,2004,143047495,,,,,,,,
 GE ,2005,116972810,,,,,,,,
 GE ,2006,85768692,,,,,,,,
 GE ,2007,121412032,,,,,,,,
 GE ,2008,711161667,,,,,,,,
 GE ,2009,876171821,,,,,,,,
 GE ,2010,944030664,,,,,,,,
 GE ,2011,1490928016,,,,,,,,
 GE ,2012,2220861000,,,,,,,,
