country,year,out_remittances
SB,2012,3.99
SC,2012,0.00
SD,2012,559.03
SE,2012,1309.66
SG,2012,6694.69
SI,2012,117.95
SK,2012,32.33
SL,2012,60.07
SM,2012,0.00
SN,2012,44.20
SO,2012,0.00
SR,2012,52.23
ST,2012,0.94
SV,2012,89.05
SY,2012,0.00
SZ,2012,13.13
TC,2012,0.00
TD,2012,1443.15
TG,2012,274.95
TH,2012,2581.68
TJ,2012,13.25
TL,2012,28.25
TM,2012,24.82
TN,2012,26.21
TO,2012,0.42
TR,2012,176.40
TT,2012,20.00
TV,2012,0.00
TZ,2012,279.16
UA,2012,878.82
UG,2012,278.88
US,2012,103317.40
UY,2012,62.56
UZ,2012,815.94
VC,2012,1.45
VE,2012,1427.95
VI,2012,26.22
VN,2012,0.00
VU,2012,0.02
WS,2012,1.08
XK,2012,0.00
YE,2012,390.69
YT,2012,0.00
ZA,2012,631.58
ZM,2012,49.78
ZW,2012,40.96
