Country Code,country,year,maternal-mortality
UGA,UG,2007,0
UKR,UA,2007,0
URY,UY,2007,0
USA,US,2007,0
UZB,UZ,2007,0
VCT,VC,2007,0
VEN,VE,2007,0
VIR,VI,2007,0
VNM,VN,2007,0
VUT,VU,2007,0
PSE,PS,2007,0
WSM,WS,2007,0
YEM,YE,2007,0
ZAF,ZA,2007,0
COD,CD,2007,0
ZMB,ZM,2007,0
ZWE,ZW,2007,0
ABW,AW,2008,0
AND,AD,2008,0
AFG,AF,2008,0
AGO,AO,2008,0
ALB,AL,2008,0
ARE,AE,2008,0
ARG,AR,2008,0
ARM,AM,2008,0
ASM,AS,2008,0
ATG,AG,2008,0
AUS,AU,2008,0
AUT,AT,2008,0
AZE,AZ,2008,0
BDI,BI,2008,0
BEL,BE,2008,0
BEN,BJ,2008,0
BFA,BF,2008,0
BGD,BD,2008,0
BGR,BG,2008,0
BHR,BH,2008,0
BHS,BS,2008,0
BIH,BA,2008,0
BLR,BY,2008,0
BLZ,BZ,2008,0
BMU,BM,2008,0
BOL,BO,2008,0
BRA,BR,2008,0
BRB,BB,2008,0
BRN,BN,2008,0
BTN,BT,2008,0
BWA,BW,2008,0
CAF,CF,2008,0
CAN,CA,2008,0
CHE,CH,2008,0
CHL,CL,2008,0
CHN,CN,2008,0
CIV,CI,2008,0
CMR,CM,2008,0
COG,CG,2008,0
COL,CO,2008,0
COM,KM,2008,0
CPV,CV,2008,0
CRI,CR,2008,0
CUB,CU,2008,0
CUW,CW,2008,0
CYM,KY,2008,0
CYP,CY,2008,0
CZE,CZ,2008,0
DEU,DE,2008,0
DJI,DJ,2008,0
DMA,DM,2008,0
DNK,DK,2008,0
DOM,DO,2008,0
DZA,DZ,2008,0
ECU,EC,2008,0
EGY,EG,2008,0
ERI,ER,2008,0
ESP,ES,2008,0
EST,EE,2008,0
ETH,ET,2008,0
FIN,FI,2008,0
FJI,FJ,2008,0
FRA,FR,2008,0
FRO,FO,2008,0
FSM,FM,2008,0
GAB,GA,2008,0
GBR,GB,2008,0
GEO,GE,2008,0
GHA,GH,2008,0
GIN,GN,2008,0
GMB,GM,2008,0
GNB,GW,2008,0
GNQ,GQ,2008,0
GRC,GR,2008,0
GRD,GD,2008,0
GRL,GL,2008,0
GTM,GT,2008,0
GUM,GU,2008,0
GUY,GY,2008,0
HKG,HK,2008,0
HND,HN,2008,0
HRV,HR,2008,0
HTI,HT,2008,0
HUN,HU,2008,0
IDN,ID,2008,0
IND,IN,2008,0
IRL,IE,2008,0
IRN,IR,2008,0
IRQ,IQ,2008,0
ISL,IS,2008,0
ISR,IL,2008,0
ITA,IT,2008,0
JAM,JM,2008,0
JOR,JO,2008,0
JPN,JP,2008,0
KAZ,KZ,2008,0
KEN,KE,2008,0
KGZ,KG,2008,0
KHM,KH,2008,0
KIR,KI,2008,0
KNA,KN,2008,0
KOR,KR,2008,0
XKS,XK,2008,0
KWT,KW,2008,0
LAO,LA,2008,0
LBN,LB,2008,0
LBR,LR,2008,0
LBY,LY,2008,0
LCA,LC,2008,0
LIE,LI,2008,0
LKA,LK,2008,0
LSO,LS,2008,0
LTU,LT,2008,0
LUX,LU,2008,0
LVA,LV,2008,0
MAC,MO,2008,0
MAF,MF,2008,0
MAR,MA,2008,0
MCO,MC,2008,0
MDA,MD,2008,0
MDG,MG,2008,0
MDV,MV,2008,0
MEX,MX,2008,0
MHL,MH,2008,0
MKD,MK,2008,0
MLI,ML,2008,0
MLT,MT,2008,0
MMR,MM,2008,0
MNE,ME,2008,0
MNG,MN,2008,0
MNP,MP,2008,0
MOZ,MZ,2008,0
MRT,MR,2008,0
MUS,MU,2008,0
MWI,MW,2008,0
MYS,MY,2008,0
NAM,NA,2008,0
NCL,NC,2008,0
NER,NE,2008,0
NGA,NG,2008,0
NIC,NI,2008,0
NLD,NL,2008,0
NOR,NO,2008,0
NPL,NP,2008,0
NZL,NZ,2008,0
OMN,OM,2008,0
PAK,PK,2008,0
PAN,PA,2008,0
PER,PE,2008,0
PHL,PH,2008,0
PLW,PW,2008,0
PNG,PG,2008,0
POL,PL,2008,0
PRI,PR,2008,0
PRK,KP,2008,0
PRT,PT,2008,0
PRY,PY,2008,0
PYF,PF,2008,0
QAT,QA,2008,0
ROU,RO,2008,0
RUS,RU,2008,0
RWA,RW,2008,0
SAU,SA,2008,0
SDN,SD,2008,0
SEN,SN,2008,0
SGP,SG,2008,0
SLB,SB,2008,0
SLE,SL,2008,0
SLV,SV,2008,0
SMR,SM,2008,0
SOM,SO,2008,0
SRB,RS,2008,0
SSD,SS,2008,0
STP,ST,2008,0
SUR,SR,2008,0
SVK,SK,2008,0
SVN,SI,2008,0
SWE,SE,2008,0
SWZ,SZ,2008,0
SXM,SX,2008,0
SYC,SC,2008,0
SYR,SY,2008,0
TCA,TC,2008,0
TCD,TD,2008,0
TGO,TG,2008,0
THA,TH,2008,0
TJK,TJ,2008,0
TKM,TM,2008,0
TLS,TL,2008,0
TON,TO,2008,0
TTO,TT,2008,0
TUN,TN,2008,0
TUR,TR,2008,0
TUV,TV,2008,0
TZA,TZ,2008,0
UGA,UG,2008,0
UKR,UA,2008,0
URY,UY,2008,0
USA,US,2008,0
UZB,UZ,2008,0
VCT,VC,2008,0
VEN,VE,2008,0
VIR,VI,2008,0
VNM,VN,2008,0
VUT,VU,2008,0
PSE,PS,2008,0
WSM,WS,2008,0
YEM,YE,2008,0
ZAF,ZA,2008,0
COD,CD,2008,0
ZMB,ZM,2008,0
ZWE,ZW,2008,0
ABW,AW,2009,0
AND,AD,2009,0
AFG,AF,2009,0
AGO,AO,2009,0
ALB,AL,2009,0
ARE,AE,2009,0
ARG,AR,2009,0
ARM,AM,2009,0
ASM,AS,2009,0
ATG,AG,2009,0
AUS,AU,2009,0
AUT,AT,2009,0
AZE,AZ,2009,0
BDI,BI,2009,0
BEL,BE,2009,0
BEN,BJ,2009,0
BFA,BF,2009,0
BGD,BD,2009,0
BGR,BG,2009,0
BHR,BH,2009,0
BHS,BS,2009,0
BIH,BA,2009,0
BLR,BY,2009,0
BLZ,BZ,2009,0
BMU,BM,2009,0
BOL,BO,2009,0
BRA,BR,2009,0
BRB,BB,2009,0
BRN,BN,2009,0
BTN,BT,2009,0
BWA,BW,2009,0
CAF,CF,2009,0
CAN,CA,2009,0
CHE,CH,2009,0
CHL,CL,2009,0
CHN,CN,2009,0
CIV,CI,2009,0
CMR,CM,2009,0
COG,CG,2009,0
COL,CO,2009,0
COM,KM,2009,0
CPV,CV,2009,0
CRI,CR,2009,0
CUB,CU,2009,0
CUW,CW,2009,0
CYM,KY,2009,0
CYP,CY,2009,0
CZE,CZ,2009,0
DEU,DE,2009,0
DJI,DJ,2009,0
DMA,DM,2009,0
DNK,DK,2009,0
DOM,DO,2009,0
DZA,DZ,2009,0
ECU,EC,2009,0
EGY,EG,2009,0
ERI,ER,2009,0
ESP,ES,2009,0
EST,EE,2009,0
ETH,ET,2009,0
FIN,FI,2009,0
FJI,FJ,2009,0
FRA,FR,2009,0
FRO,FO,2009,0
FSM,FM,2009,0
GAB,GA,2009,0
GBR,GB,2009,0
GEO,GE,2009,0
GHA,GH,2009,0
GIN,GN,2009,0
GMB,GM,2009,0
GNB,GW,2009,0
GNQ,GQ,2009,0
GRC,GR,2009,0
GRD,GD,2009,0
GRL,GL,2009,0
GTM,GT,2009,0
GUM,GU,2009,0
GUY,GY,2009,0
HKG,HK,2009,0
HND,HN,2009,0
HRV,HR,2009,0
HTI,HT,2009,0
HUN,HU,2009,0
IDN,ID,2009,0
IND,IN,2009,0
IRL,IE,2009,0
IRN,IR,2009,0
IRQ,IQ,2009,0
ISL,IS,2009,0
ISR,IL,2009,0
ITA,IT,2009,0
JAM,JM,2009,0
