country-from,country to,sector,bundle,channel,oda
2,RW,N,A,C,0
2,SC,A,A,C,0
2,SC,C,A,C,0
2,SC,H,A,C,0
2,SD,D,E,C,606867
2,SL,A,A,C,0
2,SL,B,A,C,0
2,SL,B,B,C,10491691
2,SL,C,A,C,0
2,SL,C,B,C,1377176
2,SL,C,E,C,138601
2,SL,D,B,C,6125826
2,SL,D,E,C,819681
2,SL,F,A,C,45651
2,SL,F,B,C,12142739
2,SL,F,E,C,0
2,SL,G,B,C,0
2,SL,H,A,C,3387522
2,SL,H,E,C,857388
2,SL,K,A,C,0
2,SL,L,A,C,0
2,SN,A,A,C,0
2,SN,B,A,C,1767615
2,SN,B,E,C,77633
2,SN,C,A,C,12587734
2,SN,D,A,C,0
2,SN,F,A,C,18851853
2,SN,H,A,C,6875175
2,SN,I,A,C,0
2,SN,K,A,C,3629492
2,SN,L,A,C,10337331
2,ST,A,A,C,765888
2,ST,C,A,C,0
2,ST,D,E,C,416638
2,ST,H,B,C,1293303
2,ST,H,E,C,546295
2,ST,K,A,C,0
2,SZ,A,A,C,0
2,SZ,F,A,C,0
2,SZ,H,A,C,0
2,TD,A,A,C,0
2,TD,A,E,C,234342
2,TD,B,A,C,0
2,TD,C,A,C,0
2,TD,C,B,C,2953135
2,TD,C,E,C,0
2,TD,D,E,C,776106
2,TD,F,A,C,0
2,TD,F,B,C,15670894
2,TD,H,A,C,690298
2,TD,H,B,C,4752679
2,TD,H,E,C,193548
2,TD,J,A,C,380194
2,TD,J,E,C,30855
2,TD,K,A,C,28362
2,TD,K,E,C,319737
2,TD,L,A,C,0
2,TD,N,A,C,0
2,TG,A,A,C,0
2,TG,D,B,C,17965920
2,TG,D,E,C,690157
2,TG,F,A,C,0
2,TG,F,B,C,10204855
2,TG,K,E,C,937384
2,TG,N,E,C,358165
2,TZ,A,A,C,1870614
2,TZ,A,E,C,881513
2,TZ,B,A,C,7368048
2,TZ,C,A,C,5863793
2,TZ,D,A,C,2597234
2,TZ,F,A,C,53897167
2,TZ,G,A,C,957417
2,TZ,H,A,C,4305626
2,TZ,H,E,C,191978
2,TZ,J,A,C,0
2,TZ,L,A,C,53600980
2,TZ,N,A,C,0
2,UG,A,A,C,16199278
2,UG,A,B,C,3651870
2,UG,B,A,C,4128312
2,UG,C,A,C,16876269
2,UG,F,A,C,59545874
2,UG,G,A,C,0
2,UG,H,A,C,33822920
2,UG,K,A,C,13520403
2,UG,L,A,C,0
2,ZM,A,A,C,0
2,ZM,B,A,C,0
2,ZM,C,A,C,18438897
2,ZM,C,E,C,935517
2,ZM,F,A,C,298597
2,ZM,H,A,C,767799
2,ZM,K,A,C,22971848
2,ZM,L,A,C,0
2,ZW,D,E,C,8209
2,ZW,K,B,C,161721
4,55,A,B,J,1071428
4,55,A,E,J,134320
4,55,B,E,J,522702
4,55,D,B,J,1040489
4,55,D,E,J,12258
4,55,E,B,J,89285
4,55,F,B,J,2174602
4,55,F,E,J,847295
4,55,H,E,J,357142
4,55,K,B,J,1785714
4,55,K,E,J,619144
4,58,H,E,J,36708
4,58,J,E,J,428571
4,58,K,E,J,64285
4,DJ,A,A,J,177600
4,DJ,C,A,J,2941874
4,DJ,E,A,J,0
4,DJ,F,A,J,0
4,DJ,H,B,J,155713
4,DZ,A,G,J,185993
4,EG,A,A,J,0
4,EG,A,E,J,0
4,EG,B,B,J,1071428
4,EG,B,E,J,0
4,EG,C,A,J,545993
4,EG,E,A,J,0
4,EG,E,E,J,126001
4,EG,F,A,J,245632748
4,EG,F,E,J,824321
4,EG,I,A,J,0
4,EG,I,E,J,35313
4,EG,J,E,J,14714
4,EG,K,E,J,892857
4,EG,N,A,J,0
4,EG,N,E,J,0
4,JO,A,A,J,0
4,JO,B,A,J,624164
4,JO,B,E,J,0
4,JO,C,A,J,0
4,JO,E,E,J,137496
4,JO,F,A,J,21393818
4,JO,H,A,J,3143085
4,JO,I,A,J,1753138
4,LB,A,A,J,5664106
4,LB,B,E,J,559761
4,LB,C,A,J,6523311
4,LB,D,B,J,1785714
4,LB,E,A,J,0
4,LB,F,A,J,21014371
4,LB,F,E,J,1157134
4,LB,H,A,J,16538818
4,LB,K,A,J,947088
4,LB,K,E,J,80472
4,LB,N,A,J,217894
4,LY,F,A,J,0
4,LY,I,A,J,0
4,MA,A,A,J,0
4,MA,A,E,J,41817
4,MA,C,A,J,37377509
4,MA,E,A,J,0
4,MA,F,A,J,141723727
4,MA,F,B,J,0
4,MA,F,E,J,797360
4,MA,H,A,J,13427751
4,MA,J,A,J,0
4,MR,A,A,J,0
4,MR,B,B,J,1499990
4,MR,C,A,J,27751050
4,MR,F,A,J,21338281
4,MR,F,E,J,80740
4,MR,G,B,J,0
4,MR,H,A,J,0
4,MR,I,A,J,0
4,MR,K,A,J,0
4,MR,K,B,J,0
4,MR,K,E,J,68737
4,PS,F,E,J,53571
4,PS,N,B,J,2384537
4,SD,A,E,J,0
4,SD,B,E,J,428571
4,SD,C,A,J,0
4,SD,F,A,J,21936376
4,SD,F,E,J,82327
4,SD,H,A,J,93404537
4,SD,I,A,J,0
4,SD,N,E,J,826587
4,SY,C,E,J,183397
4,SY,E,E,J,106907
4,SY,F,A,J,15867555
4,SY,H,A,J,1054172
4,TN,A,A,J,0
4,TN,C,A,J,5393044
4,TN,E,A,J,76618
4,TN,F,A,J,65678798
4,TN,F,B,J,4965915
4,TN,H,A,J,5480229
4,TN,I,A,J,0
4,TN,K,A,J,0
4,YE,C,A,J,1384427
4,YE,D,E,J,25819
4,YE,E,A,J,5357142
4,YE,F,A,J,40537996
4,YE,F,E,J,35714
4,YE,H,A,J,169819
4,YE,I,A,J,0
4,YE,J,A,J,1441557
4,YE,J,E,J,442527
4,YE,N,E,J,0
6,53,B,E,C,448497
6,61,A,A,C,0
6,61,K,A,C,0
6,AF,D,A,C,489775
6,AF,F,A,C,19898585
6,AF,F,B,C,185713713
6,AF,F,E,C,919395
6,AF,H,A,C,12165990
6,AF,H,B,C,11936952
6,AF,K,A,C,0
6,AF,N,A,C,3174251
6,AM,C,A,C,3319294
6,AM,F,A,C,17438052
6,AM,K,A,C,0
6,AZ,F,A,C,2261198
6,AZ,K,A,C,0
6,BD,A,A,C,91503015
6,BD,B,A,C,4696386
6,BD,B,B,C,1381794
6,BD,C,A,C,53326801
6,BD,F,A,C,39953081
6,BD,F,B,C,130000
6,BD,G,A,C,57383024
6,BD,H,A,C,12769420
6,BD,I,A,C,38271371
6,BD,J,A,C,0
6,BD,K,A,C,57410789
6,BT,C,A,C,0
6,BT,F,A,C,4924159
6,BT,F,B,C,13301284
6,BT,F,E,C,1296656
6,BT,F,G,C,756624
6,BT,G,A,C,3501008
6,BT,I,B,C,4551034
6,BT,K,A,C,5200507
6,CK,F,A,C,2060097
6,CK,F,E,C,803178
6,CK,K,A,C,0
6,CN,F,E,C,332048
6,CN,H,E,C,100000
6,FJ,N,B,C,2000000
6,FM,K,A,C,1592696
6,GE,C,A,C,9573755
6,GE,D,A,C,799712
6,GE,E,A,C,1066283
6,GE,F,A,C,40238965
6,GE,K,A,C,4808224
6,ID,A,A,C,20489053
6,ID,B,A,C,15300952
6,ID,C,A,C,7735707
6,ID,D,A,C,1444093
6,ID,H,A,C,12905041
6,ID,J,A,C,119861
6,ID,K,A,C,4741896
6,KG,A,A,C,14190
6,KG,A,B,C,6909109
6,KG,A,E,C,335983
6,KG,B,A,C,85142
6,KG,B,E,C,1091488
6,KG,C,A,C,1005913
6,KG,C,B,C,1233473
6,KG,D,A,C,141903
6,KG,D,B,C,1213605
6,KG,E,A,C,212855
6,KG,E,B,C,6094142
6,KG,F,A,C,24445433
6,KG,F,B,C,14283478
6,KG,F,E,C,1389946
6,KG,G,B,C,654832
6,KG,I,A,C,2814032
6,KG,K,A,C,0
6,KG,K,B,C,20108493
6,KH,A,B,C,8741322
6,KH,B,B,C,1774410
6,KH,C,B,C,1418547
6,KH,D,B,C,2751161
6,KH,F,A,C,29076369
6,KH,G,A,C,14740297
6,KH,H,A,C,1165043
6,KH,H,B,C,1810159
6,KH,H,E,C,721761
6,KH,I,A,C,0
6,KH,I,E,C,523212
6,KH,J,A,C,7660445
6,KH,K,A,C,2391944
6,KH,K,B,C,1816582
6,KH,K,E,C,0
6,KH,N,C,C,598633
6,KI,C,A,C,0
6,KI,F,A,C,145944
6,KI,K,A,C,0
6,KZ,K,A,C,0
6,LA,A,B,C,13608594
6,LA,B,B,C,9537319
6,LA,B,E,C,6457
6,LA,C,A,C,168329
6,LA,C,B,C,3441501
6,LA,C,E,C,644367
6,LA,D,A,C,2547723
6,LA,D,B,C,7500000
6,LA,E,A,C,0
6,LA,F,A,C,285227
6,LA,F,B,C,14235636
6,LA,F,E,C,282312
6,LA,G,A,C,503349
6,LA,H,A,C,4082902
6,LA,H,E,C,500574
6,LA,H,G,C,122539
6,LA,I,A,C,299999
6,LA,I,B,C,1822930
6,LA,I,G,C,845840
6,LA,J,B,C,3699420
6,LA,K,A,C,0
6,LA,K,B,C,2330976
6,LA,K,E,C,0
6,LK,A,A,C,11075239
6,LK,A,B,C,3961343
6,LK,B,A,C,2426198
6,LK,C,A,C,11398734
6,LK,C,B,C,1085955
6,LK,D,A,C,1537393
6,LK,E,A,C,756655
6,LK,F,A,C,29618958
6,LK,F,E,C,79934
6,LK,H,A,C,1285163
6,LK,I,A,C,1557130
6,LK,K,A,C,9546766
6,LK,K,E,C,8603
6,MH,D,A,C,0
6,MH,K,A,C,0
6,MN,A,A,C,1701476
6,MN,A,B,C,4670491
6,MN,B,B,C,1808940
6,MN,B,E,C,774128
6,MN,C,E,C,515550
6,MN,E,A,C,3137592
6,MN,E,B,C,16899999
6,MN,E,E,C,257775
6,MN,F,A,C,7510497
6,MN,F,B,C,6588391
6,MN,H,B,C,4985846
6,MN,K,A,C,5917421
6,MN,K,B,C,237512
6,MN,K,E,C,257775
6,MV,A,A,C,200272
6,MV,D,A,C,16491115
6,MV,F,A,C,79153
6,MV,G,A,C,3116255
6,MV,I,A,C,0
6,MV,I,E,C,0
6,MV,K,A,C,119255
6,NP,A,A,C,4635257
6,NP,A,B,C,10000000
6,NP,C,A,C,14705232
6,NP,C,B,C,3300632
6,NP,C,E,C,224998
6,NP,F,A,C,11449577
6,NP,F,B,C,10645827
6,NP,F,E,C,622659
6,NP,F,G,C,120215
