id,year,direction,flow-type,flow-name,value
AF,2009,out,official,oofs-capital-payments-out,29790000
AF,2009,in,official,oofs-in,75470000
AF,2009,out,official,oofs-interest-payments-out,8950000
AF,2009,in,private,pda-in,NA
AF,2009,in,private,remittances-in,NA
AF,2009,out,private,remittances-out,430629916.8
AF,2009,out,commercial,short-debt-interest-out,0
AF,2009,in,commercial,short-debt-net-flow-in,0
AF,2009,in,official,ssc-in,NA
AF,2009,out,illicit,trade-mispricing-out,0
AF,2010,in,official,dfis-in,NA
AF,2010,in,commercial,fdi-in,230551217.9
AF,2010,in,commercial,fdi-in-profits-out,410138.2119
AF,2010,out,commercial,fdi-out,NA
AF,2010,out,illicit,illicit-financing-out,0
AF,2010,out,commercial,long-debt-capital-payments-out,1054241.739
AF,2010,in,commercial,long-debt-disbursement-in,0
AF,2010,in,official,long-debt-net-official-in,0
AF,2010,out,commercial,long-debt-interest-payments-out,7653729.545
AF,2010,in,commercial,net-portfolio-equity-in,-408030.3723
AF,2010,out,official,oda-capital-payments-out,191400000
AF,2010,in,official,oda-in,6876430000
AF,2010,out,official,oda-interest-payments-out,8770000
AF,2010,out,official,oofs-capital-payments-out,16820000
AF,2010,in,official,oofs-in,93640000
AF,2010,out,official,oofs-interest-payments-out,4310000
AF,2010,in,private,pda-in,NA
AF,2010,in,private,remittances-in,NA
AF,2010,out,private,remittances-out,387832785.5
AF,2010,out,commercial,short-debt-interest-out,1346722.884
AF,2010,in,commercial,short-debt-net-flow-in,38197.16446
AF,2010,in,official,ssc-in,NA
AF,2010,out,illicit,trade-mispricing-out,0
AF,2011,in,official,dfis-in,NA
AF,2011,in,commercial,fdi-in,83031499.98
AF,2011,in,commercial,fdi-in-profits-out,82402.07525
AF,2011,out,commercial,fdi-out,NA
AF,2011,out,illicit,illicit-financing-out,0
AF,2011,out,commercial,long-debt-capital-payments-out,858073.4262
AF,2011,in,commercial,long-debt-disbursement-in,0
AF,2011,in,official,long-debt-net-official-in,0
AF,2011,out,commercial,long-debt-interest-payments-out,8842834.881
AF,2011,in,commercial,net-portfolio-equity-in,46754.55951
AF,2011,out,official,oda-capital-payments-out,4930000
AF,2011,in,official,oda-in,6836500000
AF,2011,out,official,oda-interest-payments-out,10420000
AF,2011,out,official,oofs-capital-payments-out,19020000
AF,2011,in,official,oofs-in,121380000
AF,2011,out,official,oofs-interest-payments-out,10890000
AF,2011,in,private,pda-in,NA
AF,2011,in,private,remittances-in,NA
AF,2011,out,private,remittances-out,238909365.9
AF,2011,out,commercial,short-debt-interest-out,772465.1726
AF,2011,in,commercial,short-debt-net-flow-in,-12940782.53
AF,2011,in,official,ssc-in,NA
AF,2011,out,illicit,trade-mispricing-out,0
AF,2012,in,official,dfis-in,NA
AF,2012,in,commercial,fdi-in,93800000
AF,2012,in,commercial,fdi-in-profits-out,1502254.92
AF,2012,out,commercial,fdi-out,NA
AF,2012,out,illicit,illicit-financing-out,0
AF,2012,out,commercial,long-debt-capital-payments-out,926000
AF,2012,in,commercial,long-debt-disbursement-in,0
AF,2012,in,official,long-debt-net-official-in,0
AF,2012,out,commercial,long-debt-interest-payments-out,8237100
AF,2012,in,commercial,net-portfolio-equity-in,2024107.755
AF,2012,out,official,oda-capital-payments-out,14750000
AF,2012,in,official,oda-in,6740680000
AF,2012,out,official,oda-interest-payments-out,10790000
AF,2012,out,official,oofs-capital-payments-out,25310000
AF,2012,in,official,oofs-in,53960000
AF,2012,out,official,oofs-interest-payments-out,4630000
AF,2012,in,private,pda-in,NA
AF,2012,in,private,remittances-in,NA
AF,2012,out,private,remittances-out,275349227.5
AF,2012,out,commercial,short-debt-interest-out,1093000
AF,2012,in,commercial,short-debt-net-flow-in,9000000
AF,2012,in,official,ssc-in,NA
AF,2012,out,illicit,trade-mispricing-out,0
AF,2013,in,official,dfis-in,NA
AF,2013,in,commercial,fdi-in,77296513.07
AF,2013,in,commercial,fdi-in-profits-out,0
AF,2013,out,commercial,fdi-out,NA
AF,2013,out,illicit,illicit-financing-out,NA
AF,2013,out,commercial,long-debt-capital-payments-out,0
AF,2013,in,commercial,long-debt-disbursement-in,0
AF,2013,in,official,long-debt-net-official-in,0
AF,2013,out,commercial,long-debt-interest-payments-out,0
AF,2013,in,commercial,net-portfolio-equity-in,4482.87699
AF,2013,out,official,oda-capital-payments-out,30530000
AF,2013,in,official,oda-in,5400260000
AF,2013,out,official,oda-interest-payments-out,10790000
AF,2013,out,official,oofs-capital-payments-out,28600000
AF,2013,in,official,oofs-in,89950000
AF,2013,out,official,oofs-interest-payments-out,15870000
AF,2013,in,private,pda-in,NA
AF,2013,in,private,remittances-in,NA
AF,2013,out,private,remittances-out,NA
AF,2013,out,commercial,short-debt-interest-out,747419.018
AF,2013,in,commercial,short-debt-net-flow-in,-13386609.28
AF,2013,in,official,ssc-in,NA
AF,2013,out,illicit,trade-mispricing-out,NA
AG,2000,in,official,dfis-in,NA
AG,2000,in,commercial,fdi-in,87891787.36
AG,2000,in,commercial,fdi-in-profits-out,NA
AG,2000,out,commercial,fdi-out,30974125.08
AG,2000,out,illicit,illicit-financing-out,NA
AG,2000,out,commercial,long-debt-capital-payments-out,NA
AG,2000,in,commercial,long-debt-disbursement-in,NA
AG,2000,in,official,long-debt-net-official-in,NA
AG,2000,out,commercial,long-debt-interest-payments-out,NA
AG,2000,in,commercial,net-portfolio-equity-in,0
AG,2000,out,official,oda-capital-payments-out,1480000
AG,2000,in,official,oda-in,15890000
AG,2000,out,official,oda-interest-payments-out,800000
AG,2000,out,official,oofs-capital-payments-out,0
AG,2000,in,official,oofs-in,140000
AG,2000,out,official,oofs-interest-payments-out,110000
AG,2000,in,private,pda-in,NA
AG,2000,in,private,remittances-in,43972691.31
AG,2000,out,private,remittances-out,2056923.177
AG,2000,out,commercial,short-debt-interest-out,NA
AG,2000,in,commercial,short-debt-net-flow-in,NA
AG,2000,in,official,ssc-in,NA
AG,2000,out,illicit,trade-mispricing-out,NA
AG,2001,in,official,dfis-in,NA
AG,2001,in,commercial,fdi-in,143018570.2
AG,2001,in,commercial,fdi-in-profits-out,NA
AG,2001,out,commercial,fdi-out,17169595.07
AG,2001,out,illicit,illicit-financing-out,NA
AG,2001,out,commercial,long-debt-capital-payments-out,NA
AG,2001,in,commercial,long-debt-disbursement-in,NA
AG,2001,in,official,long-debt-net-official-in,NA
AG,2001,out,commercial,long-debt-interest-payments-out,NA
AG,2001,in,commercial,net-portfolio-equity-in,0
AG,2001,out,official,oda-capital-payments-out,1230000
AG,2001,in,official,oda-in,13810000
AG,2001,out,official,oda-interest-payments-out,410000
AG,2001,out,official,oofs-capital-payments-out,5770000
AG,2001,in,official,oofs-in,2920000
AG,2001,out,official,oofs-interest-payments-out,1900000
AG,2001,in,private,pda-in,NA
AG,2001,in,private,remittances-in,56765438.86
AG,2001,out,private,remittances-out,1999789.542
AG,2001,out,commercial,short-debt-interest-out,NA
AG,2001,in,commercial,short-debt-net-flow-in,NA
AG,2001,in,official,ssc-in,NA
AG,2001,out,illicit,trade-mispricing-out,NA
AG,2002,in,official,dfis-in,NA
AG,2002,in,commercial,fdi-in,100707055.2
AG,2002,in,commercial,fdi-in-profits-out,NA
AG,2002,out,commercial,fdi-out,17497615.24
AG,2002,out,illicit,illicit-financing-out,50866462.52
AG,2002,out,commercial,long-debt-capital-payments-out,NA
AG,2002,in,commercial,long-debt-disbursement-in,NA
AG,2002,in,official,long-debt-net-official-in,NA
AG,2002,out,commercial,long-debt-interest-payments-out,NA
AG,2002,in,commercial,net-portfolio-equity-in,0
AG,2002,out,official,oda-capital-payments-out,3160000
AG,2002,in,official,oda-in,22190000
AG,2002,out,official,oda-interest-payments-out,570000
