country,year,life-expectancy-at-birth
BO,2003,64.02026829
BR,2003,71.15960976
BB,2003,73.58765854
BN,2003,76.6424878
BT,2003,62.55412195
BW,2003,47.7454878
CF,2003,44.22390244
CA,2003,79.83902439
CH,2003,80.53658537
CL,2003,77.73792683
CN,2003,73.46509756
CI,2003,46.46295122
CM,2003,51.63904878
CG,2003,53.04880488
CO,2003,71.771
KM,2003,58.58314634
CV,2003,70.96826829
CR,2003,78.18239024
CU,2003,77.27768293
CW,2003,
KY,2003,
CY,2003,78.35304878
CZ,2003,75.17073171
DE,2003,78.3804878
DJ,2003,57.41121951
DM,2003,
DK,2003,77.14390244
DO,2003,71.26085366
DZ,2003,69.4862439
EC,2003,74.239
EG,2003,69.1074878
ER,2003,57.62843902
ES,2003,79.6195122
EE,2003,71.31707317
ET,2003,54.60885366
FI,2003,78.36829268
FJ,2003,68.14314634
FR,2003,79.11463415
FO,2003,79.24146341
FM,2003,67.63514634
GA,2003,59.48429268
GB,2003,78.44634146
GE,2003,72.47173171
GH,2003,57.78665854
GN,2003,51.74902439
GM,2003,56.14185366
GW,2003,51.96643902
GQ,2003,48.19097561
GR,2003,78.84146341
GD,2003,70.94114634
GL,2003,68.4404878
GT,2003,69.01519512
GU,2003,76.13126829
GY,2003,64.03570732
HK,2003,81.32926829
HN,2003,71.07746341
HR,2003,74.61390244
HT,2003,58.38192683
HU,2003,72.3
ID,2003,68.23631707
IN,2003,63.34004878
IE,2003,78.13902439
IR,2003,70.78136585
IQ,2003,70.12356098
IS,2003,80.96341463
IL,2003,79.64878049
IT,2003,79.8804878
JM,2003,70.98168293
JO,2003,72.30460976
JP,2003,81.76
KZ,2003,65.86585366
KE,2003,53.34546341
KG,2003,68.25609756
KH,2003,64.96756098
KI,2003,65.6207561
KN,2003,
KR,2003,77.2502439
XK,2003,68.19512195
KW,2003,73.58656098
LA,2003,63.43504878
LB,2003,75.96626829
LR,2003,53.32865854
LY,2003,72.95965854
LC,2003,72.26163415
LI,2003,79.96097561
LK,2003,73.0942439
LS,2003,43.8247561
LT,2003,72.06097561
LU,2003,77.72682927
LV,2003,71.26585366
MO,2003,78.24629268
MF,2003,77.57073171
MA,2003,68.69719512
MC,2003,
MD,2003,67.52014634
MG,2003,60.2355122
MV,2003,72.46621951
MX,2003,74.9917561
MH,2003,
MK,2003,73.8155122
ML,2003,50.53080488
MT,2003,78.54634146
MM,2003,62.92273171
ME,2003,73.4897561
MN,2003,64.38326829
MP,2003,
MZ,2003,47.65704878
MR,2003,59.98685366
MU,2003,72.12130081
MW,2003,47.31204878
MY,2003,73.36987805
NA,2003,54.27897561
NC,2003,75.27073171
NE,2003,52.78870732
NG,2003,47.63773171
NI,2003,71.04495122
NL,2003,78.49268293
NO,2003,79.3902439
NP,2003,63.722
NZ,2003,79.14634146
OM,2003,73.62441463
PK,2003,64.69136585
PA,2003,75.66321951
PE,2003,71.74756098
PH,2003,67.21904878
PW,2003,
PG,2003,59.87978049
PL,2003,74.59756098
PR,2003,78.07121951
KP,2003,67.3542439
PT,2003,77.2195122
PY,2003,70.87156098
PF,2003,73.51056098
QA,2003,77.20160976
RO,2003,71.3097561
RU,2003,65.00756098
RW,2003,51.86207317
SA,2003,73.43434146
SD,2003,59.11163415
SN,2003,59.26165854
SG,2003,79.03902439
SB,2003,64.61409756
SL,2003,40.48607317
SV,2003,70.14958537
SM,2003,81.2195122
SO,2003,51.77190244
RS,2003,72.43658537
SS,2003,50.3422439
ST,2003,63.96512195
SR,2003,68.32963415
SK,2003,73.60487805
SI,2003,76.85853659
SE,2003,80.09512195
SZ,2003,45.95809756
SX,2003,
SC,2003,71.02926829
SY,2003,74.1895122
TC,2003,
TD,2003,47.12314634
TG,2003,53.81943902
TH,2003,71.6445122
TJ,2003,64.90002439
TM,2003,64.24039024
TL,2003,61.82931707
TO,2003,71.17543902
TT,2003,68.80543902
TN,2003,73.05121951
TR,2003,71.55987805
TV,2003,
TZ,2003,51.94665854
UG,2003,50.88878049
UA,2003,68.21073171
UY,2003,75.29968293
US,2003,76.98780488
UZ,2003,67.18660976
VC,2003,70.8667561
VE,2003,72.88795122
VI,2003,78.17317073
VN,2003,74.2992439
VU,2003,68.65170732
PS,2003,71.42397561
WS,2003,70.42626829
YE,2003,61.11834146
ZA,2003,52.5237561
CD,2003,47.3314878
ZM,2003,44.52226829
ZW,2003,42.87385366
AW,2004,74.09085366
AD,2004,
AF,2004,56.56973171
AO,2004,48.0035122
AL,2004,75.839
AE,2004,75.35573171
AR,2004,74.55773171
AM,2004,72.97492683
AS,2004,
AG,2004,74.22204878
AU,2004,80.4902439
AT,2004,79.1804878
AZ,2004,68.47019512
BI,2004,49.55809756
BE,2004,78.87804878
BJ,2004,56.63317073
BF,2004,52.18278049
BD,2004,67.08597561
BG,2004,72.56341463
BH,2004,75.31880488
BS,2004,73.39465854
BA,2004,75.04107317
