country,year,population-rural
SV,2008,2262180
SV,2009,2241290
SV,2010,2221139
SV,2011,2204487
SV,2012,2188546
SY,2005,8396412
SY,2006,8619985
SY,2007,8892843
SY,2008,9172612
SY,2009,9402153
SY,2010,9544776
SY,2011,9648072
SY,2012,9751694
SZ,2005,862549
SZ,2006,874519
SZ,2007,888959
SZ,2008,905188
SZ,2009,922088
SZ,2010,938817
SZ,2011,954202
SZ,2012,969455
TD,2005,7848596
TD,2006,8114632
TD,2007,8376704
TD,2008,8637622
TD,2009,8901860
TD,2010,9172800
TD,2011,9443037
TD,2012,9719560
TG,2005,3590890
TG,2006,3658580
TG,2007,3727029
TG,2008,3796441
TG,2009,3867112
TG,2010,3939178
TG,2011,4011534
TG,2012,4084936
TH,2005,44422453
TH,2006,44446111
TH,2007,44379511
TH,2008,44255225
TH,2009,44119364
TH,2010,44004815
TH,2011,43866879
TH,2012,43750320
TJ,2005,5006988
TJ,2006,5115524
TJ,2007,5229633
TJ,2008,5349376
TJ,2009,5474894
TJ,2010,5606085
TJ,2011,5739695
TJ,2012,5877958
TL,2005,726726
TL,2006,746059
TL,2007,765359
TL,2008,784633
TL,2009,803869
TL,2010,823058
TL,2011,842582
TL,2012,862543
TM,2005,2514076
TM,2006,2529461
TM,2007,2546065
TM,2008,2563751
TM,2009,2582209
TM,2010,2601165
TM,2011,2617596
TM,2012,2634408
TN,2005,3497313
TN,2006,3512153
TN,2007,3526023
TN,2008,3541780
TN,2009,3559486
TN,2010,3576356
TN,2011,3595555
TN,2012,3607186
TO,2005,77583
TO,2006,78044
TO,2007,78517
TO,2008,78978
TO,2009,79402
TO,2010,79772
TO,2011,80019
TO,2012,80212
TR,2005,22462919
TR,2006,22255384
TR,2007,22030812
TR,2008,21792564
TR,2009,21544870
TR,2010,21289954
TR,2011,20887903
TR,2012,20473673
TV,2005,5033
TV,2006,5013
TV,2007,4989
TV,2008,4960
TV,2009,4930
TV,2010,4899
TV,2011,4867
TV,2012,4834
TZ,2005,29431989
TZ,2006,30112775
TZ,2007,30828750
TZ,2008,31577207
TZ,2009,32353814
TZ,2010,33154789
TZ,2011,33958273
TZ,2012,34783330
UA,2005,15172569
UA,2006,14986584
UA,2007,14814158
UA,2008,14651360
UA,2009,14504026
UA,2010,14364410
UA,2011,14221910
UA,2012,14096081
UG,2005,24919398
UG,2006,25661734
UG,2007,26423035
UG,2008,27204559
UG,2009,28008295
UG,2010,28835431
UG,2011,29672347
UG,2012,30530522
UY,2005,268506
UY,2006,265398
UY,2007,262524
UY,2008,259814
UY,2009,257160
UY,2010,254483
UY,2011,252273
UY,2012,250060
UZ,2005,16569991
UZ,2006,16798424
UZ,2007,17064619
UZ,2008,17366547
UZ,2009,17688278
UZ,2010,18221669
UZ,2011,18704454
UZ,2012,18968738
VC,2005,57612
VC,2006,57283
VC,2007,56942
VC,2008,56588
VC,2009,56221
VC,2010,55841
VC,2011,55435
VC,2012,55017
VE,2005,2161858
VE,2006,2123173
VE,2007,2081884
VE,2008,2037935
VE,2009,1991266
VE,2010,1941834
VE,2011,1916125
VE,2012,1888469
VN,2005,59915729
VN,2006,60065840
VN,2007,60196357
VN,2008,60310682
VN,2009,60414841
VN,2010,60511105
VN,2011,60578329
VN,2012,60651243
VU,2005,161011
VU,2006,164431
VU,2007,167872
VU,2008,171318
VU,2009,174761
VU,2010,178195
VU,2011,181570
VU,2012,184914
WS,2005,141751
WS,2006,143066
WS,2007,144403
WS,2008,145776
WS,2009,147198
WS,2010,148678
WS,2011,150159
WS,2012,151694
XK,2005,
XK,2006,
XK,2007,
XK,2008,
XK,2009,
XK,2010,
XK,2011,
XK,2012,
YE,2005,14312049
YE,2006,14567087
YE,2007,14815143
YE,2008,15058024
YE,2009,15298250
YE,2010,15537574
YE,2011,15771168
YE,2012,16003154
ZA,2005,19410261
ZA,2006,19445953
ZA,2007,19479974
ZA,2008,19512266
ZA,2009,19542772
ZA,2010,19571432
ZA,2011,19607056
ZA,2012,19640951
ZM,2005,7270618
ZM,2006,7418339
ZM,2007,7573695
ZM,2008,7738019
ZM,2009,7912736
ZM,2010,8098708
ZM,2011,8294065
ZM,2012,8500543
ZW,2005,8152572
ZW,2006,8103603
ZW,2007,8055858
ZW,2008,8025565
ZW,2009,8032889
ZW,2010,8090726
ZW,2011,8199513
ZW,2012,8356572
