country,year,out-oof-gross,capital-repayment,interest-repayment
FI,2013,23790000,53200000,6930000
FR,2013,1437130000,797150000,683900000
DE,2013,1160050000,1507130000,380300000
GR,2013,0,0,0
IT,2013,153530000,0,0
JP,2013,8695310000,6845420000,1001780000
KR,2013,6062330000,4799730000,417260000
LU,2013,0,0,0
NL,2013,0,0,0
NZ,2013,10700000,0,0
NO,2013,310000,100000,0
PT,2013,3010000,190000,210000
ES,2013,13930000,0,0
SE,2013,44310000,66600000,5630000
CH,2013,0,0,0
GB,2013,187200000,1950000,0
US,2013,2791000000,1384970000,470400000
1,2013,2302030000,1238310000,564550000
4,2013,0,0,0
5,2013,6157160000,4577300000,610660000
7,2013,0,0,0
8,2013,54330000,64280000,28980000
9,2013,3823230000,2204730000,0
EU,2013,1366230000,1950030000,568440000
14,2013,16218620000,8200590000,2102690000
16,2013,9818310000,8400630000,2125890000
18,2013,57450000,30960000,1700000
19,2013,6736730000,4725090000,1214210000
22,2013,0,0,0
24,2013,0,0,0
25,2013,678020000,449510000,0
KW,2013,0,0,0
SA,2013,0,0,0
TR,2013,2590000,15670000,3860000
AE,2013,7890000,500000,0
