Code,year,Budget type,value
TD,2012,Actual,514.7211253
TD,2013,Actual,476.9025885
TD,2014,Actual,431.1120642
TD,2015,Projected ,422.1538062
TG,2010,Actual,257.6474239
TG,2011,Actual,234.5951773
TG,2012,Actual,244.0038695
TG,2013,Projected ,264.0905623
TG,2014,Projected ,281.7966481
TG,2015,Projected ,294.986528
TH,2010,Actual,2954.175919
TH,2011,Actual,2971.594338
TH,2012,Actual,3096.067533
TH,2013,Actual,3335.330695
TH,2014,Actual,3128.244897
TH,2015,Projected ,3232.323424
TJ,2010,Actual,547.4110101
TJ,2011,Actual,559.7679077
TJ,2012,Projected ,529.9081221
TJ,2013,Projected ,553.1469767
TJ,2014,Projected ,
TJ,2015,Projected ,
TL,2010,Actual,6533.532595
TL,2011,Actual,5843.869842
TL,2012,Actual,4895.226876
TL,2013,Projected ,3717.760088
TL,2014,Projected ,3599.289315
TL,2015,Projected ,4185.157492
TN,2010,Actual,2667.823812
TN,2011,Actual,2640.340996
TN,2012,Actual,2473.118671
TN,2013,Actual,2457.672065
TN,2014,Actual,2424.141226
TN,2015,Projected ,2345.917754
TO,2010,Actual,1008.0098
TO,2011,Actual,901.4748326
TO,2012,Actual,921.6687023
TO,2013,Actual,941.6789775
TO,2014,Actual,992.0164118
TO,2015,Projected ,1041.08538
TR,2010,Actual,4115.795648
TR,2011,Actual,4223.815062
TR,2012,Actual,4075.481249
TR,2013,Actual,4280.072046
TR,2014,Projected ,3873.549488
TR,2015,Projected ,3725.524036
TV,2010,Actual,1668.208673
TV,2011,Actual,1422.740487
TV,2012,Actual,1705.523392
TV,2013,Actual,2523.023624
TV,2014,Projected ,2288.254606
TV,2015,Projected ,1905.483852
TW,2010,Actual,5677.525656
TW,2011,Actual,6606.418097
TW,2012,Actual,6669.849177
TW,2013,Actual,6956.696561
TW,2014,Projected ,7193.15226
TW,2015,Projected ,7634.070567
TZ,2010,Actual,300.4134971
TZ,2011,Actual,294.4560052
TZ,2012,Actual,297.3144279
TZ,2013,Actual,291.513879
TZ,2014,Actual,308.4043174
TZ,2015,Projected ,302.497697
UA,2010,Actual,4122.239536
UA,2011,Actual,3851.571781
UA,2012,Actual,3805.505855
UA,2013,Actual,3797.331521
UA,2014,Actual,2955.978764
UA,2015,Projected ,2368.7386
UG,2010,Actual,234.3843808
UG,2011,Actual,274.1981102
UG,2012,Actual,219.2301747
UG,2013,Actual,209.7836752
UG,2014,Actual,213.6720573
UG,2015,Projected ,231.9287315
US,2010,Actual,14436.64068
US,2011,Actual,14719.29557
US,2012,Actual,15007.22006
US,2013,Actual,16095.5493
US,2014,Projected ,16666.90253
US,2015,Projected ,17383.45936
UY,2010,Actual,5888.231128
UY,2011,Actual,5803.11019
UY,2012,Actual,5721.060214
UY,2013,Actual,5888.981795
UY,2014,Projected ,
UY,2015,Projected ,
UZ,2010,Actual,1761.136885
UZ,2011,Actual,1617.263473
UZ,2012,Actual,1558.388249
UZ,2013,Projected ,1413.028475
UZ,2014,Projected ,1338.609417
UZ,2015,Projected ,1312.376573
VC,2010,Actual,2598.442243
VC,2011,Actual,2449.754258
VC,2012,Actual,2436.47154
VC,2013,Actual,2724.445811
VC,2014,Actual,2697.245539
VC,2015,Projected ,2758.090225
VN,2010,Actual,1578.222454
VN,2011,Actual,1332.613282
VN,2012,Actual,1114.13013
VN,2013,Actual,1150.772792
VN,2014,Projected ,1066.703227
VN,2015,Projected ,1070.23581
VU,2010,Actual,461.85119
VU,2011,Actual,454.6843016
VU,2012,Actual,473.8906313
VU,2013,Actual,476.121575
VU,2014,Actual,487.1627238
VU,2015,Projected ,503.5472904
WS,2010,Actual,1099.136288
WS,2011,Actual,1233.596751
WS,2012,Actual,1235.531748
WS,2013,Actual,1224.489173
WS,2014,Actual,1345.515757
WS,2015,Projected ,1415.293494
XK,2010,Actual,2169.625879
XK,2011,Actual,2277.328184
XK,2012,Actual,2224.265401
XK,2013,Actual,2217.665485
XK,2014,Actual,2236.246283
XK,2015,Projected ,
YE,2010,Actual,1323.152864
YE,2011,Actual,938.7130522
YE,2012,Actual,884.1663336
YE,2013,Actual,806.9706798
YE,2014,Projected ,764.3736189
YE,2015,Projected ,787.1618113
ZA,2010,Actual,3114.405532
ZA,2011,Actual,3120.595237
ZA,2012,Actual,3043.931682
ZA,2013,Actual,2893.931083
ZA,2014,Projected ,2780.813654
ZA,2015,Projected ,2711.063765
ZM,2010,Actual,558.3196865
ZM,2011,Actual,627.546449
ZM,2012,Actual,650.752605
ZM,2013,Actual,627.9130327
ZM,2014,Actual,654.3672008
ZM,2015,Projected ,587.5401212
ZW,2010,Actual,382.4931728
ZW,2011,Actual,471.5984786
ZW,2012,Actual,528.3568646
ZW,2013,Actual,529.8244049
ZW,2014,Projected ,554.6738781
ZW,2015,Projected ,593.92017
