country,year,income-share-top-10pc
SK,2008,23.23
SI,2008,
SE,2008,
SZ,2008,
SX,2008,
SC,2008,
SY,2008,
TC,2008,
TD,2008,
TG,2008,
TH,2008,31.81
TJ,2008,
TM,2008,
TL,2008,
TO,2008,
TT,2008,
TN,2008,
TR,2008,29.35
TV,2008,
TZ,2008,
UG,2008,
UA,2008,22.55
UY,2008,35.08
US,2008,
UZ,2008,
VC,2008,
VE,2008,
VI,2008,
VN,2008,28.21
VU,2008,
PS,2008,
WS,2008,
YE,2008,
ZA,2008,
CD,2008,
ZM,2008,
ZW,2008,
AW,2009,
AD,2009,
AF,2009,
AO,2009,32.37
AL,2009,
AE,2009,
AR,2009,33.29
AM,2009,
AS,2009,
AG,2009,
AU,2009,
AT,2009,
AZ,2009,
BI,2009,
BE,2009,
BJ,2009,
BF,2009,32.16
BD,2009,
BG,2009,
BH,2009,
BS,2009,
BA,2009,
BY,2009,22.65
BZ,2009,
BM,2009,
BO,2009,
BR,2009,42.93
BB,2009,
BN,2009,
BT,2009,
BW,2009,
CF,2009,
CA,2009,
CH,2009,
CL,2009,42.77
CN,2009,29.98
CI,2009,
CM,2009,
CG,2009,
CO,2009,44.98
KM,2009,
CV,2009,
CR,2009,39.5
CU,2009,
CW,2009,
KY,2009,
CY,2009,
CZ,2009,
DE,2009,
DJ,2009,
DM,2009,
DK,2009,
DO,2009,38.68
DZ,2009,
EC,2009,38.28
EG,2009,
ER,2009,
ES,2009,
EE,2009,
ET,2009,
FI,2009,
FJ,2009,34.87
FR,2009,
FO,2009,
FM,2009,
GA,2009,
GB,2009,
GE,2009,31.77
GH,2009,
GN,2009,
GM,2009,
GW,2009,
GQ,2009,
GR,2009,
GD,2009,
GL,2009,
GT,2009,
GU,2009,
GY,2009,
HK,2009,
HN,2009,42.4
HR,2009,
HT,2009,
HU,2009,
ID,2009,
IN,2009,
IE,2009,
IR,2009,
IQ,2009,
IS,2009,
IL,2009,
IT,2009,
JM,2009,
JO,2009,
JP,2009,
KZ,2009,23.75
KE,2009,
KG,2009,27.79
KH,2009,29.81
KI,2009,
KN,2009,
KR,2009,
XK,2009,
KW,2009,
LA,2009,
LB,2009,
LR,2009,
