country,year,in_ha
NE,2008,60810000
NE,2009,55730000
NE,2010,246040000
NE,2011,181890000
NE,2012,290970000
NG,2000,10670000
NG,2001,16370000
NG,2002,17250000
NG,2003,26830000
NG,2004,27600000
NG,2005,19050000
NG,2006,11760000
NG,2007,11510000
NG,2008,15320000
NG,2009,19500000
NG,2010,25080000
NG,2011,31150000
NG,2012,33650000
NI,2000,45360000
NI,2001,30740000
NI,2002,41360000
NI,2003,16840000
NI,2004,33510000
NI,2005,27630000
NI,2006,29650000
NI,2007,42800000
NI,2008,25800000
NI,2009,17240000
NI,2010,12530000
NI,2011,14640000
NI,2012,12240000
NP,2000,21190000
NP,2001,31230000
NP,2002,41260000
NP,2003,28820000
NP,2004,39300000
NP,2005,38730000
NP,2006,51120000
NP,2007,71270000
NP,2008,99610000
NP,2009,85850000
NP,2010,35520000
NP,2011,52470000
NP,2012,45380000
NR,2000,0
NR,2001,0
NR,2002,0
NR,2003,40000
NR,2004,0
NR,2005,70000
NR,2006,0
NR,2007,430000
NR,2008,50000
NR,2009,270000
NR,2010,890000
NR,2011,60000
NR,2012,1360000
NU,2000,20000
NU,2001,50000
NU,2002,0
NU,2003,0
NU,2004,7650000
NU,2005,310000
NU,2006,0
NU,2007,0
NU,2008,0
NU,2009,0
NU,2010,1070000
NU,2011,60000
NU,2012,20000
OM,2000,300000
OM,2001,240000
OM,2002,190000
OM,2003,160000
OM,2004,0
OM,2005,0
OM,2006,40000
OM,2007,50000
OM,2008,40000
OM,2009,0
OM,2010,0
OM,2011,60000
OM,2012,30000
PA,2000,470000
PA,2001,630000
PA,2002,1010000
PA,2003,750000
PA,2004,990000
PA,2005,750000
PA,2006,630000
PA,2007,520000
PA,2008,1800000
PA,2009,2150000
PA,2010,3400000
PA,2011,3580000
PA,2012,3910000
PE,2000,8970000
PE,2001,35440000
PE,2002,22070000
PE,2003,11060000
PE,2004,10660000
PE,2005,8660000
PE,2006,5100000
PE,2007,67970000
PE,2008,31780000
PE,2009,15260000
PE,2010,13410000
PE,2011,26410000
PE,2012,9120000
PF,2000,0
PF,2001,0
PF,2002,0
PF,2003,0
PF,2004,0
PF,2005,0
PF,2006,0
PF,2007,0
PF,2008,0
PF,2009,0
PF,2010,100000
PF,2011,0
PF,2012,0
PG,2000,850000
PG,2001,1270000
PG,2002,1670000
PG,2003,370000
PG,2004,2190000
PG,2005,6490000
PG,2006,2130000
PG,2007,3840000
PG,2008,5650000
PG,2009,7400000
PG,2010,33930000
PG,2011,7380000
PG,2012,3800000
PH,2000,5560000
PH,2001,11540000
PH,2002,8110000
PH,2003,3460000
PH,2004,11510000
PH,2005,10080000
PH,2006,32460000
PH,2007,25460000
PH,2008,39190000
PH,2009,104770000
PH,2010,111680000
PH,2011,122940000
PH,2012,139270000
PK,2000,52710000
PK,2001,88310000
PK,2002,74000000
PK,2003,72520000
PK,2004,64490000
PK,2005,951480000
PK,2006,552880000
PK,2007,264810000
PK,2008,221520000
PK,2009,610510000
PK,2010,2242430000
PK,2011,1419560000
PK,2012,528810000
PS,2000,287240000
PS,2001,1689120000
PS,2002,497600000
PS,2003,488280000
PS,2004,701890000
PS,2005,382620000
PS,2006,615260000
PS,2007,622860000
PS,2008,660640000
PS,2009,1177800000
PS,2010,644000000
PS,2011,838040000
PS,2012,654120000
PW,2000,0
PW,2001,0
PW,2002,0
PW,2003,0
PW,2004,0
PW,2005,70000
PW,2006,340000
PW,2007,80000
PW,2008,60000
PW,2009,310000
PW,2010,0
PW,2011,60000
PW,2012,3810000
PY,2000,810000
PY,2001,1290000
PY,2002,1820000
PY,2003,640000
PY,2004,650000
PY,2005,350000
PY,2006,610000
PY,2007,2800000
PY,2008,3540000
PY,2009,1990000
PY,2010,900000
PY,2011,1600000
PY,2012,4910000
QA,2000,0
QA,2001,0
QA,2002,0
QA,2003,0
QA,2004,0
QA,2005,0
QA,2006,0
QA,2007,0
QA,2008,0
QA,2009,0
QA,2010,0
QA,2011,0
QA,2012,0
RS,2000,739960000
RS,2001,317320000
RS,2002,121640000
RS,2003,136920000
RS,2004,137410000
RS,2005,44420000
RS,2006,32380000
RS,2007,29790000
RS,2008,24220000
RS,2009,17270000
RS,2010,16300000
RS,2011,24930000
RS,2012,13870000
RW,2000,66640000
RW,2001,34420000
RW,2002,39290000
RW,2003,33940000
RW,2004,55870000
RW,2005,43920000
RW,2006,28400000
RW,2007,23950000
RW,2008,22250000
RW,2009,22480000
RW,2010,15480000
RW,2011,26300000
RW,2012,33030000
SA,2000,1510000
SA,2001,2260000
SA,2002,3130000
SA,2003,1760000
SA,2004,2210000
SA,2005,1220000
SA,2006,1040000
SA,2007,810000
SA,2008,0
SA,2009,0
SA,2010,0
SA,2011,0
SA,2012,0
SB,2000,2480000
SB,2001,640000
SB,2002,0
SB,2003,940000
SB,2004,9010000
SB,2005,2350000
SB,2006,110000
SB,2007,5670000
SB,2008,3160000
SB,2009,1190000
SB,2010,16470000
SB,2011,1970000
SB,2012,1060000
SC,2000,0
SC,2001,0
SC,2002,0
SC,2003,0
SC,2004,1820000
SC,2005,2640000
SC,2006,610000
SC,2007,340000
SC,2008,0
SC,2009,100000
SC,2010,120000
SC,2011,670000
SC,2012,1570000
SD,2000,143940000
SD,2001,188010000
SD,2002,277550000
SD,2003,384120000
SD,2004,1038680000
SD,2005,1464190000
SD,2006,1473630000
SD,2007,1427690000
SD,2008,1530130000
SD,2009,1500640000
SD,2010,957730000
SD,2011,546730000
SD,2012,440780000
SG,2000,0
SG,2001,0
SG,2002,0
SG,2003,0
SG,2004,0
SG,2005,0
SG,2006,10000
SG,2007,0
SG,2008,0
SG,2009,0
SG,2010,0
SG,2011,0
SG,2012,0
SH,2000,0
SH,2001,0
SH,2002,0
SH,2003,130000
SH,2004,40000
SH,2005,40000
SH,2006,90000
SH,2007,0
SH,2008,0
SH,2009,4200000
SH,2010,780000
SH,2011,0
SH,2012,0
SI,2000,1800000
SI,2001,2140000
SI,2002,1050000
SI,2003,0
SI,2004,0
SI,2005,0
SI,2006,0
SI,2007,0
SI,2008,0
SI,2009,0
SI,2010,0
SI,2011,0
SI,2012,0
SL,2000,54520000
SL,2001,147990000
SL,2002,186500000
SL,2003,135550000
SL,2004,89750000
SL,2005,48370000
SL,2006,44130000
SL,2007,35680000
SL,2008,26910000
SL,2009,13360000
SL,2010,12000000
SL,2011,17470000
SL,2012,23430000
SN,2000,6790000
SN,2001,6850000
SN,2002,12620000
SN,2003,12480000
SN,2004,12370000
SN,2005,9770000
SN,2006,9920000
SN,2007,10240000
SN,2008,26780000
SN,2009,13860000
SN,2010,12530000
SN,2011,12010000
SN,2012,55560000
SO,2000,91850000
SO,2001,109410000
SO,2002,145160000
SO,2003,153660000
SO,2004,170530000
SO,2005,206830000
SO,2006,340860000
SO,2007,290730000
SO,2008,633780000
SO,2009,600350000
SO,2010,251570000
SO,2011,1088230000
SO,2012,626860000
SR,2000,0
SR,2001,140000
SR,2002,0
SR,2003,60000
SR,2004,50000
SR,2005,60000
SR,2006,5700000
SR,2007,540000
SR,2008,470000
SR,2009,20000
SR,2010,10000
SR,2011,120000
SR,2012,70000
SS,2000,0
SS,2001,0
SS,2002,0
SS,2003,0
SS,2004,0
SS,2005,0
SS,2006,0
SS,2007,0
SS,2008,0
SS,2009,0
SS,2010,0
SS,2011,487830000
SS,2012,864800000
ST,2000,1770000
ST,2001,890000
ST,2002,800000
ST,2003,960000
ST,2004,430000
ST,2005,930000
ST,2006,890000
ST,2007,380000
ST,2008,690000
ST,2009,640000
ST,2010,270000
ST,2011,670000
ST,2012,330000
SV,2000,9610000
SV,2001,87010000
SV,2002,12550000
SV,2003,7370000
SV,2004,28410000
SV,2005,55150000
SV,2006,15330000
SV,2007,11840000
SV,2008,6110000
SV,2009,22380000
SV,2010,28110000
SV,2011,13260000
SV,2012,11090000
SY,2000,51100000
SY,2001,50850000
SY,2002,52590000
SY,2003,53270000
SY,2004,47520000
SY,2005,44030000
SY,2006,38400000
SY,2007,44550000
SY,2008,97980000
SY,2009,184650000
SY,2010,125040000
SY,2011,127200000
SY,2012,1535830000
SZ,2000,700000
SZ,2001,640000
SZ,2002,3670000
SZ,2003,5360000
SZ,2004,2290000
SZ,2005,5830000
SZ,2006,880000
SZ,2007,9580000
SZ,2008,2730000
SZ,2009,4120000
SZ,2010,2960000
SZ,2011,4070000
SZ,2012,3810000
TC,2000,0
TC,2001,0
TC,2002,0
TC,2003,0
TC,2004,0
TC,2005,80000
TC,2006,10000
TC,2007,550000
TC,2008,0
TC,2009,0
TC,2010,0
TC,2011,0
TC,2012,0
TD,2000,9270000
TD,2001,11530000
TD,2002,5110000
TD,2003,12350000
TD,2004,113120000
TD,2005,135740000
TD,2006,116200000
TD,2007,197440000
TD,2008,259240000
TD,2009,335670000
TD,2010,291530000
TD,2011,259230000
TD,2012,298150000
TG,2000,1540000
TG,2001,2730000
TG,2002,3180000
TG,2003,3350000
TG,2004,2150000
TG,2005,5200000
TG,2006,1880000
TG,2007,8840000
TG,2008,10200000
TG,2009,2630000
TG,2010,5870000
TG,2011,3890000
TG,2012,9550000
TH,2000,23080000
TH,2001,29360000
TH,2002,31650000
TH,2003,27110000
TH,2004,22500000
TH,2005,67160000
TH,2006,38880000
TH,2007,54120000
TH,2008,46390000
TH,2009,35640000
TH,2010,52870000
TH,2011,72940000
TH,2012,85040000
TJ,2000,42050000
TJ,2001,49860000
TJ,2002,77350000
TJ,2003,43220000
TJ,2004,32390000
TJ,2005,21070000
TJ,2006,26600000
TJ,2007,13160000
TJ,2008,71310000
TJ,2009,39850000
TJ,2010,30460000
TJ,2011,10250000
TJ,2012,27620000
TK,2000,0
TK,2001,0
TK,2002,0
TK,2003,0
TK,2004,150000
TK,2005,1010000
TK,2006,0
TK,2007,0
TK,2008,0
TK,2009,0
TK,2010,0
TK,2011,130000
TK,2012,10000
TL,2000,184400000
TL,2001,31960000
TL,2002,34110000
TL,2003,10040000
TL,2004,3920000
TL,2005,5410000
TL,2006,33960000
TL,2007,20550000
TL,2008,14230000
TL,2009,5690000
TL,2010,27680000
TL,2011,7700000
TL,2012,1620000
TM,2000,1640000
TM,2001,3940000
TM,2002,2070000
TM,2003,1650000
TM,2004,1770000
TM,2005,1070000
TM,2006,840000
TM,2007,1070000
TM,2008,1010000
TM,2009,470000
TM,2010,750000
TM,2011,790000
TM,2012,1440000
TN,2000,890000
TN,2001,1030000
TN,2002,970000
TN,2003,1190000
TN,2004,1150000
TN,2005,1820000
TN,2006,800000
TN,2007,710000
TN,2008,570000
TN,2009,1210000
TN,2010,1330000
TN,2011,48360000
TN,2012,11330000
TO,2000,0
TO,2001,0
TO,2002,760000
TO,2003,0
TO,2004,10000
TO,2005,90000
TO,2006,530000
TO,2007,10000
TO,2008,110000
TO,2009,2240000
TO,2010,1040000
TO,2011,220000
TO,2012,400000
TR,2000,67060000
TR,2001,40810000
TR,2002,39140000
TR,2003,37140000
TR,2004,31370000
TR,2005,24890000
TR,2006,10010000
TR,2007,12280000
TR,2008,12740000
TR,2009,26050000
TR,2010,34210000
TR,2011,56240000
TR,2012,64020000
TT,2000,0
TT,2001,0
TT,2002,0
TT,2003,0
TT,2004,0
TT,2005,80000
TT,2006,10000
TT,2007,0
TT,2008,20000
TT,2009,260000
TT,2010,90000
TT,2011,0
TT,2012,0
TV,2000,0
TV,2001,0
TV,2002,0
TV,2003,0
TV,2004,0
TV,2005,70000
TV,2006,0
TV,2007,0
TV,2008,70000
TV,2009,620000
TV,2010,2090000
TV,2011,10930000
TV,2012,1730000
TW,2000,0
TW,2001,0
TW,2002,0
TW,2003,0
TW,2004,0
TW,2005,0
TW,2006,0
TW,2007,0
TW,2008,0
TW,2009,0
TW,2010,0
TW,2011,0
TW,2012,0
TZ,2000,95610000
TZ,2001,121060000
TZ,2002,114120000
TZ,2003,129570000
TZ,2004,82170000
TZ,2005,61470000
TZ,2006,75490000
TZ,2007,64460000
TZ,2008,63480000
TZ,2009,59390000
TZ,2010,40870000
TZ,2011,50770000
TZ,2012,44890000
UA,2000,1980000
UA,2001,2060000
UA,2002,0
UA,2003,0
UA,2004,10000
UA,2005,9860000
UA,2006,2530000
UA,2007,2400000
UA,2008,6290000
UA,2009,2800000
UA,2010,2300000
UA,2011,8460000
UA,2012,5380000
UG,2000,40320000
UG,2001,63420000
UG,2002,86340000
UG,2003,153990000
UG,2004,179540000
UG,2005,191960000
UG,2006,243450000
UG,2007,241740000
UG,2008,251890000
UG,2009,163820000
UG,2010,89080000
UG,2011,60620000
UG,2012,79960000
UY,2000,390000
UY,2001,390000
UY,2002,230000
UY,2003,230000
UY,2004,230000
UY,2005,300000
UY,2006,240000
UY,2007,470000
UY,2008,130000
UY,2009,590000
UY,2010,730000
UY,2011,310000
UY,2012,240000
UZ,2000,2300000
UZ,2001,6130000
UZ,2002,8630000
UZ,2003,5370000
UZ,2004,4200000
UZ,2005,3440000
UZ,2006,1670000
UZ,2007,1620000
UZ,2008,1650000
UZ,2009,1790000
UZ,2010,9060000
UZ,2011,2400000
UZ,2012,1760000
VC,2000,0
VC,2001,0
VC,2002,0
VC,2003,0
VC,2004,340000
VC,2005,150000
VC,2006,10000
VC,2007,0
VC,2008,0
VC,2009,260000
VC,2010,180000
VC,2011,260000
VC,2012,240000
VE,2000,32800000
VE,2001,5610000
VE,2002,3930000
VE,2003,2670000
VE,2004,5760000
VE,2005,16290000
VE,2006,10640000
VE,2007,13660000
VE,2008,2570000
VE,2009,2940000
VE,2010,2740000
VE,2011,4780000
VE,2012,4310000
VG,2000,0
VG,2001,0
VG,2002,0
VG,2003,0
VG,2004,0
VG,2005,0
VG,2006,0
VG,2007,0
VG,2008,0
VG,2009,0
VG,2010,0
VG,2011,0
VG,2012,0
VN,2000,29730000
VN,2001,14500000
VN,2002,12340000
VN,2003,5510000
VN,2004,6540000
VN,2005,13940000
VN,2006,9020000
VN,2007,9450000
VN,2008,11940000
VN,2009,15800000
VN,2010,18380000
VN,2011,11750000
VN,2012,17030000
VU,2000,360000
VU,2001,320000
VU,2002,440000
VU,2003,90000
VU,2004,340000
VU,2005,220000
VU,2006,60000
VU,2007,30000
VU,2008,110000
VU,2009,270000
VU,2010,3920000
VU,2011,1920000
VU,2012,4660000
WF,2000,0
WF,2001,0
WF,2002,0
WF,2003,0
WF,2004,0
WF,2005,0
WF,2006,0
WF,2007,0
WF,2008,0
WF,2009,0
WF,2010,0
WF,2011,430000
WF,2012,1060000
WS,2000,0
WS,2001,0
WS,2002,0
WS,2003,0
WS,2004,320000
WS,2005,70000
WS,2006,170000
WS,2007,20000
WS,2008,0
WS,2009,4450000
WS,2010,18160000
WS,2011,710000
WS,2012,1050000
XK,2000,0
XK,2001,0
XK,2002,0
XK,2003,0
XK,2004,0
XK,2005,0
XK,2006,0
XK,2007,0
XK,2008,0
XK,2009,14020000
XK,2010,11050000
XK,2011,12430000
XK,2012,10170000
YE,2000,19320000
YE,2001,15960000
YE,2002,13600000
YE,2003,19600000
YE,2004,15580000
YE,2005,17740000
YE,2006,14810000
YE,2007,17810000
YE,2008,152260000
YE,2009,91610000
YE,2010,117650000
YE,2011,220750000
YE,2012,305030000
YT,2000,0
YT,2001,0
YT,2002,0
YT,2003,0
YT,2004,0
YT,2005,0
YT,2006,0
YT,2007,0
YT,2008,0
YT,2009,0
YT,2010,0
YT,2011,0
YT,2012,0
ZA,2000,8240000
ZA,2001,8530000
ZA,2002,7810000
ZA,2003,6480000
ZA,2004,4590000
ZA,2005,3250000
ZA,2006,2490000
ZA,2007,3300000
ZA,2008,8280000
ZA,2009,8360000
ZA,2010,7050000
ZA,2011,19390000
ZA,2012,16640000
ZM,2000,25750000
ZM,2001,42330000
ZM,2002,73730000
ZM,2003,47980000
ZM,2004,32650000
ZM,2005,54180000
ZM,2006,43650000
ZM,2007,20170000
ZM,2008,30280000
ZM,2009,28730000
ZM,2010,16820000
ZM,2011,17310000
ZM,2012,13910000
ZW,2000,5420000
ZW,2001,9200000
ZW,2002,91300000
ZW,2003,97600000
ZW,2004,73930000
ZW,2005,230030000
ZW,2006,124490000
ZW,2007,170150000
ZW,2008,354070000
ZW,2009,420390000
ZW,2010,209290000
ZW,2011,161860000
ZW,2012,151760000
