id,region,aid-type,year,value
GR,south-central-asia,multilateral,2013,15605955.75
GR,south-of-sahara,bilateral,2013,1450000.00
GR,south-of-sahara,multilateral,2013,57537539.77
GR,unspecified,bilateral,2013,29780000.00
GR,unspecified,multilateral,2013,15493859.44
IE,europe,bilateral,2013,2620000.00
IE,europe,multilateral,2013,45097292.41
IE,far-east-asia,bilateral,2013,23870000.00
IE,far-east-asia,multilateral,2013,16332840.48
IE,middle-east,bilateral,2013,24920000.00
IE,middle-east,multilateral,2013,24907780.88
IE,north-central-america,bilateral,2013,8570000.00
IE,north-central-america,multilateral,2013,10239372.96
IE,north-of-sahara,bilateral,2013,294948.44
IE,north-of-sahara,multilateral,2013,14090835.51
IE,oceania,bilateral,2013,50000.00
IE,oceania,multilateral,2013,1922511.05
IE,south-america,bilateral,2013,3020000.00
IE,south-america,multilateral,2013,6452875.16
IE,south-central-asia,bilateral,2013,13990000.00
IE,south-central-asia,multilateral,2013,38952987.91
IE,south-of-sahara,bilateral,2013,353755051.56
IE,south-of-sahara,multilateral,2013,110486357.72
IE,unspecified,bilateral,2013,114500000.00
IE,unspecified,multilateral,2013,31797145.91
IS,europe,bilateral,2013,430000.00
IS,europe,multilateral,2013,101572.18
IS,far-east-asia,bilateral,2013,400000.00
IS,far-east-asia,multilateral,2013,445275.31
IS,middle-east,bilateral,2013,2360000.00
IS,middle-east,multilateral,2013,477273.81
IS,north-central-america,bilateral,2013,150000.00
IS,north-central-america,multilateral,2013,131596.01
IS,north-of-sahara,bilateral,2013,0.00
IS,north-of-sahara,multilateral,2013,84770.24
IS,oceania,bilateral,2013,0.00
IS,oceania,multilateral,2013,36970.18
IS,south-america,bilateral,2013,100000.00
IS,south-america,multilateral,2013,73953.38
IS,south-central-asia,bilateral,2013,960000.00
IS,south-central-asia,multilateral,2013,984943.21
IS,south-of-sahara,bilateral,2013,15220000.00
IS,south-of-sahara,multilateral,2013,2454987.06
IS,unspecified,bilateral,2013,9790000.00
IS,unspecified,multilateral,2013,708658.61
IT,europe,bilateral,2013,26330000.00
IT,europe,multilateral,2013,525633520.61
IT,far-east-asia,bilateral,2013,21978506.55
IT,far-east-asia,multilateral,2013,123502268.88
IT,middle-east,bilateral,2013,61993994.14
IT,middle-east,multilateral,2013,161214602.19
IT,north-central-america,bilateral,2013,17315298.91
IT,north-central-america,multilateral,2013,124250371.98
IT,north-of-sahara,bilateral,2013,31702637.38
IT,north-of-sahara,multilateral,2013,147530801.36
IT,oceania,bilateral,2013,1500000.00
IT,oceania,multilateral,2013,18499911.39
IT,south-america,bilateral,2013,26574701.09
IT,south-america,multilateral,2013,76177925.87
IT,south-central-asia,bilateral,2013,96887499.31
IT,south-central-asia,multilateral,2013,333015358.05
IT,south-of-sahara,bilateral,2013,147577362.62
IT,south-of-sahara,multilateral,2013,885335374.43
IT,unspecified,bilateral,2013,515520000.00
IT,unspecified,multilateral,2013,167499865.24
JP,europe,bilateral,2013,194600000.00
JP,europe,multilateral,2013,45153812.47
JP,far-east-asia,bilateral,2013,4445647838.38
JP,far-east-asia,multilateral,2013,306946774.40
JP,middle-east,bilateral,2013,994899253.65
JP,middle-east,multilateral,2013,128563129.35
JP,north-central-america,bilateral,2013,149100475.39
JP,north-central-america,multilateral,2013,206002632.01
JP,north-of-sahara,bilateral,2013,290114073.11
JP,north-of-sahara,multilateral,2013,25844719.96
JP,oceania,bilateral,2013,141470000.00
JP,oceania,multilateral,2013,30763724.23
JP,south-america,bilateral,2013,238309524.61
JP,south-america,multilateral,2013,108201795.33
JP,south-central-asia,bilateral,2013,8905072907.97
JP,south-central-asia,multilateral,2013,648308626.84
JP,south-of-sahara,bilateral,2013,2883085926.89
JP,south-of-sahara,multilateral,2013,1297478538.12
JP,unspecified,bilateral,2013,1314570000.00
JP,unspecified,multilateral,2013,172906247.28
KR,europe,bilateral,2013,3280000.00
KR,europe,multilateral,2013,6964536.01
KR,far-east-asia,bilateral,2013,464948017.93
KR,far-east-asia,multilateral,2013,41076186.55
KR,middle-east,bilateral,2013,41998190.15
KR,middle-east,multilateral,2013,22323636.44
KR,north-central-america,bilateral,2013,29349759.25
KR,north-central-america,multilateral,2013,30771532.87
KR,north-of-sahara,bilateral,2013,19134857.31
KR,north-of-sahara,multilateral,2013,3871036.43
