id,year,total-unemployment
SO,2002,6.900000095
RS,2002,13.80000019
SS,2002,
ST,2002,
SR,2002,9.100000381
SK,2002,18.60000038
SI,2002,6.300000191
SE,2002,5.300000191
SZ,2002,22.79999924
SX,2002,
SC,2002,
SY,2002,11.69999981
TC,2002,
TD,2002,7
TG,2002,7.199999809
TH,2002,1.799999952
TJ,2002,12.19999981
TM,2002,11
TL,2002,9.199999809
TO,2002,
TT,2002,10.39999962
TN,2002,15.30000019
TR,2002,10.39999962
TV,2002,
TZ,2002,3.599999905
UG,2002,3.5
UA,2002,9.600000381
UY,2002,8.600000381
US,2002,5.900000095
UZ,2002,11
VC,2002,
VE,2002,16.20000076
VI,2002,
VN,2002,2.099999905
VU,2002,
PS,2002,30.70000076
WS,2002,
YE,2002,14
ZA,2002,27.20000076
CD,2002,8.199999809
ZM,2002,14.5
ZW,2002,4.800000191
AW,2003,
AD,2003,
AF,2003,4.900000095
AO,2003,7
AL,2003,12.69999981
AE,2003,2.700000048
AR,2003,16.10000038
AM,2003,28.60000038
AS,2003,
AG,2003,
AU,2003,5.900000095
AT,2003,4.300000191
AZ,2003,9.199999809
BI,2003,7.300000191
BE,2003,8.199999809
BJ,2003,0.899999976
BF,2003,2.799999952
BD,2003,4.300000191
BG,2003,13.69999981
BH,2003,7.5
BS,2003,10.80000019
BA,2003,25.5
BY,2003,6.400000095
BZ,2003,10.30000019
BM,2003,
BO,2003,5.400000095
BR,2003,9.699999809
BB,2003,11
BN,2003,3.900000095
BT,2003,1.799999952
BW,2003,23.79999924
CF,2003,7.099999905
CA,2003,7.599999905
CH,2003,4.099999905
CL,2003,8.5
CN,2003,4.300000191
CI,2003,4.099999905
CM,2003,5.5
CG,2003,6.699999809
CO,2003,14.10000038
KM,2003,6.699999809
CV,2003,7.199999809
CR,2003,6.599999905
CU,2003,2.299999952
CW,2003,
KY,2003,
CY,2003,4.099999905
CZ,2003,7.800000191
DE,2003,9.300000191
DJ,2003,
DM,2003,
DK,2003,5.400000095
DO,2003,16.70000076
DZ,2003,23.70000076
EC,2003,9.300000191
EG,2003,10.39999962
ER,2003,7.599999905
ES,2003,11.5
EE,2003,10.69999981
ET,2003,6.400000095
FI,2003,9
FJ,2003,8.5
FR,2003,8.600000381
FO,2003,
FM,2003,
GA,2003,20.79999924
GB,2003,4.900000095
GE,2003,11.5
GH,2003,8.399999619
GN,2003,1.899999976
GM,2003,7.099999905
GW,2003,6.900000095
GQ,2003,6.699999809
GR,2003,9.699999809
GD,2003,
GL,2003,
GT,2003,2.799999952
GU,2003,
GY,2003,12.30000019
HK,2003,7.900000095
HN,2003,5.199999809
HR,2003,13.89999962
HT,2003,7.5
HU,2003,5.900000095
ID,2003,9.5
IN,2003,3.900000095
IE,2003,4.5
IR,2003,12.19999981
IQ,2003,29.89999962
IS,2003,3.400000095
IL,2003,10.69999981
IT,2003,8.899999619
JM,2003,11.69999981
JO,2003,15.39999962
JP,2003,5.199999809
KZ,2003,8.800000191
KE,2003,9.600000381
KG,2003,9.899999619
KH,2003,2.5
KI,2003,
KN,2003,
KR,2003,3.599999905
XK,2003,
KW,2003,1.299999952
LA,2003,2.099999905
LB,2003,8.5
LR,2003,4.199999809
LY,2003,20
LC,2003,
LI,2003,
LK,2003,8.199999809
LS,2003,38.59999847
LT,2003,12.89999962
LU,2003,3.700000048
LV,2003,10.60000038
MO,2003,6.099999905
MF,2003,
MA,2003,11.89999962
MC,2003,
MD,2003,7.900000095
MG,2003,5
MV,2003,12.60000038
MX,2003,3
MH,2003,
MK,2003,36.70000076
ML,2003,8.600000381
MT,2003,7.5
MM,2003,3.400000095
ME,2003,21.10000038
MN,2003,6.800000191
MP,2003,
MZ,2003,8.399999619
MR,2003,32.5
MU,2003,7.699999809
MW,2003,7.699999809
MY,2003,3.599999905
NA,2003,20.29999924
NC,2003,
NE,2003,5
NG,2003,7.599999905
NI,2003,8
NL,2003,3.599999905
NO,2003,4.400000095
NP,2003,2.099999905
NZ,2003,4.800000191
OM,2003,8.5
PK,2003,7.699999809
PA,2003,13
PE,2003,6.599999905
PH,2003,11.19999981
PW,2003,
PG,2003,2.700000048
PL,2003,19.60000038
PR,2003,12
KP,2003,4.699999809
PT,2003,6.300000191
PY,2003,7.900000095
PF,2003,
QA,2003,1.200000048
RO,2003,7
RU,2003,8.199999809
RW,2003,0.600000024
SA,2003,5.900000095
SD,2003,14.89999962
SN,2003,10.10000038
SG,2003,5.199999809
SB,2003,3.900000095
SL,2003,3.400000095
SV,2003,6.900000095
SM,2003,
SO,2003,6.900000095
RS,2003,15.19999981
SS,2003,
ST,2003,
SR,2003,11
SK,2003,17.5
SI,2003,6.699999809
SE,2003,5.900000095
SZ,2003,22.79999924
SX,2003,
SC,2003,
SY,2003,10.30000019
TC,2003,
TD,2003,6.900000095
TG,2003,7.099999905
TH,2003,1.5
TJ,2003,12
TM,2003,11
TL,2003,8.5
TO,2003,
TT,2003,10.5
TN,2003,14.5
TR,2003,10.5
TV,2003,
TZ,2003,3.400000095
UG,2003,3.200000048
UA,2003,9.100000381
UY,2003,7.800000191
US,2003,6.099999905
UZ,2003,11
VC,2003,
VE,2003,16.79999924
VI,2003,
VN,2003,2.299999952
VU,2003,
PS,2003,29.60000038
WS,2003,
YE,2003,14.30000019
ZA,2003,27.10000038
CD,2003,8.199999809
ZM,2003,15.30000019
ZW,2003,4.5
AW,2004,
AD,2004,
AF,2004,4.5
AO,2004,6.900000095
AL,2004,12.60000038
AE,2004,3.099999905
AR,2004,12.60000038
AM,2004,33.59999847
AS,2004,
AG,2004,
AU,2004,5.400000095
AT,2004,4.900000095
AZ,2004,8
BI,2004,7.300000191
BE,2004,8.399999619
BJ,2004,1.299999952
BF,2004,2.799999952
BD,2004,4.5
BG,2004,12
BH,2004,9
BS,2004,10.30000019
BA,2004,28.29999924
BY,2004,6.400000095
BZ,2004,10.5
BM,2004,
BO,2004,4.300000191
BR,2004,8.899999619
BB,2004,9.800000191
BN,2004,3.299999952
BT,2004,2.5
BW,2004,22.89999962
CF,2004,7
CA,2004,7.199999809
CH,2004,4.300000191
CL,2004,8.800000191
CN,2004,4.300000191
CI,2004,4.099999905
CM,2004,4.400000095
CG,2004,6.599999905
CO,2004,14.30000019
KM,2004,6.699999809
CV,2004,7.199999809
CR,2004,6.400000095
CU,2004,1.899999976
CW,2004,
KY,2004,
CY,2004,4.300000191
CZ,2004,8.300000191
DE,2004,10.30000019
DJ,2004,
DM,2004,
DK,2004,5.5
DO,2004,18.39999962
DZ,2004,20.10000038
EC,2004,6.699999809
EG,2004,10.69999981
ER,2004,7.5
ES,2004,11.19999981
EE,2004,10
ET,2004,5.900000095
FI,2004,8.800000191
FJ,2004,4.699999809
FR,2004,9.199999809
FO,2004,
FM,2004,
GA,2004,20.89999962
GB,2004,4.699999809
GE,2004,12.60000038
GH,2004,6.599999905
GN,2004,1.899999976
GM,2004,7.099999905
GW,2004,6.900000095
GQ,2004,6.599999905
GR,2004,10.5
GD,2004,
GL,2004,
GT,2004,3.099999905
GU,2004,
GY,2004,11.89999962
HK,2004,6.699999809
HN,2004,6
HR,2004,13.69999981
HT,2004,8
HU,2004,6.099999905
ID,2004,9.899999619
IN,2004,3.900000095
IE,2004,4.5
IR,2004,10.30000019
IQ,2004,28.70000076
IS,2004,3.099999905
IL,2004,10.39999962
IT,2004,7.900000095
JM,2004,11.39999962
JO,2004,12.39999962
JP,2004,4.699999809
KZ,2004,8.399999619
KE,2004,9.600000381
KG,2004,8.5
KH,2004,1.899999976
KI,2004,
KN,2004,
KR,2004,3.700000048
