country-id,year,population-0-14
MEX,2011,29.54
MEX,2012,29.01
MHL,2005,
MHL,2006,
MHL,2007,
MHL,2008,
MHL,2009,
MHL,2010,
MHL,2011,
MHL,2012,
MLI,2005,46.29
MLI,2006,46.36
MLI,2007,46.44
MLI,2008,46.54
MLI,2009,46.66
MLI,2010,46.8
MLI,2011,46.96
MLI,2012,47.14
MMR,2005,28.09
MMR,2006,27.66
MMR,2007,27.24
MMR,2008,26.85
MMR,2009,26.46
MMR,2010,26.07
MMR,2011,25.68
MMR,2012,25.28
MNE,2005,20.13
MNE,2006,19.99
MNE,2007,19.87
MNE,2008,19.76
MNE,2009,19.63
MNE,2010,19.47
MNE,2011,19.26
MNE,2012,19.01
MNG,2005,28.93
MNG,2006,28.18
MNG,2007,27.64
MNG,2008,27.27
MNG,2009,27.06
MNG,2010,26.95
MNG,2011,26.95
MNG,2012,27.05
MOZ,2005,44.78
MOZ,2006,44.95
MOZ,2007,45.09
MOZ,2008,45.2
MOZ,2009,45.29
MOZ,2010,45.34
MOZ,2011,45.38
MOZ,2012,45.38
MUS,2005,24.15
MUS,2006,23.63
MUS,2007,23.03
MUS,2008,22.38
MUS,2009,21.74
MUS,2010,21.16
MUS,2011,20.64
MUS,2012,20.17
MWI,2005,46.12
MWI,2006,46.11
MWI,2007,46.08
MWI,2008,46.03
MWI,2009,45.94
MWI,2010,45.81
MWI,2011,45.65
MWI,2012,45.44
MYS,2005,30.24
MYS,2006,29.69
MYS,2007,29.17
MYS,2008,28.68
MYS,2009,28.19
MYS,2010,27.68
MYS,2011,27.17
MYS,2012,26.65
NAM,2005,39.81
NAM,2006,39.51
NAM,2007,39.13
NAM,2008,38.68
NAM,2009,38.19
NAM,2010,37.68
NAM,2011,37.14
NAM,2012,36.59
NER,2005,49.01
NER,2006,49.21
NER,2007,49.39
NER,2008,49.56
NER,2009,49.71
NER,2010,49.83
NER,2011,49.92
NER,2012,49.99
NGA,2005,43.56
NGA,2006,43.64
NGA,2007,43.72
NGA,2008,43.82
NGA,2009,43.92
NGA,2010,44.02
NGA,2011,44.12
NGA,2012,44.22
NIC,2005,37.78
NIC,2006,37.11
NIC,2007,36.44
NIC,2008,35.77
NIC,2009,35.13
NIC,2010,34.51
NIC,2011,33.92
NIC,2012,33.37
NPL,2005,39.45
NPL,2006,39.13
NPL,2007,38.74
NPL,2008,38.28
NPL,2009,37.74
NPL,2010,37.11
NPL,2011,36.38
NPL,2012,35.58
PAK,2005,38.16
PAK,2006,37.57
PAK,2007,37.02
PAK,2008,36.49
PAK,2009,35.97
PAK,2010,35.44
PAK,2011,34.88
PAK,2012,34.32
PAN,2005,30.73
PAN,2006,30.46
PAN,2007,30.19
PAN,2008,29.92
PAN,2009,29.63
PAN,2010,29.32
PAN,2011,28.99
PAN,2012,28.65
PER,2005,32.01
PER,2006,31.61
PER,2007,31.2
PER,2008,30.8
PER,2009,30.4
PER,2010,29.99
PER,2011,29.59
PER,2012,29.18
PHL,2005,37.07
PHL,2006,36.74
PHL,2007,36.39
PHL,2008,36.03
PHL,2009,35.66
PHL,2010,35.28
PHL,2011,34.91
PHL,2012,34.53
PLW,2005,
PLW,2006,
PLW,2007,
PLW,2008,
PLW,2009,
PLW,2010,
PLW,2011,
PLW,2012,
PNG,2005,39.96
PNG,2006,39.85
PNG,2007,39.72
PNG,2008,39.54
PNG,2009,39.32
PNG,2010,39.06
PNG,2011,38.74
PNG,2012,38.37
PRK,2005,24.72
PRK,2006,24.34
PRK,2007,23.93
PRK,2008,23.49
PRK,2009,23.06
PRK,2010,22.67
PRK,2011,22.31
PRK,2012,21.98
PRY,2005,35.82
PRY,2006,35.35
PRY,2007,34.87
PRY,2008,34.41
PRY,2009,33.96
PRY,2010,33.54
PRY,2011,33.15
PRY,2012,32.78
RWA,2005,44.24
RWA,2006,44.24
RWA,2007,44.45
RWA,2008,44.72
RWA,2009,44.84
RWA,2010,44.69
RWA,2011,44.24
RWA,2012,43.56
SDN,2005,43.21
SDN,2006,43.03
SDN,2007,42.81
SDN,2008,42.58
SDN,2009,42.32
SDN,2010,42.05
SDN,2011,41.77
SDN,2012,41.48
SEN,2005,44.09
SEN,2006,43.96
SEN,2007,43.85
SEN,2008,43.76
SEN,2009,43.69
SEN,2010,43.64
SEN,2011,43.59
SEN,2012,43.54
SLB,2005,41.31
SLB,2006,41.21
SLB,2007,41.12
SLB,2008,41.02
SLB,2009,40.9
SLB,2010,40.75
SLB,2011,40.58
SLB,2012,40.37
SLE,2005,42.67
SLE,2006,42.61
SLE,2007,42.53
SLE,2008,42.44
SLE,2009,42.31
SLE,2010,42.16
SLE,2011,41.96
SLE,2012,41.74
SLV,2005,35.67
SLV,2006,35
SLV,2007,34.29
SLV,2008,33.57
SLV,2009,32.83
SLV,2010,32.09
SLV,2011,31.35
SLV,2012,30.62
SOM,2005,47.72
SOM,2006,47.77
SOM,2007,47.81
SOM,2008,47.82
SOM,2009,47.78
SOM,2010,47.69
SOM,2011,47.54
SOM,2012,47.35
SRB,2005,18.14
SRB,2006,17.82
SRB,2007,17.55
SRB,2008,17.31
SRB,2009,17.09
SRB,2010,16.87
SRB,2011,16.66
SRB,2012,16.45
SSD,2005,44.04
SSD,2006,43.83
SSD,2007,43.6
SSD,2008,43.36
SSD,2009,43.1
SSD,2010,42.84
SSD,2011,42.56
SSD,2012,42.28
STP,2005,42
STP,2006,41.82
STP,2007,41.7
STP,2008,41.63
STP,2009,41.59
STP,2010,41.58
STP,2011,41.59
STP,2012,41.6
SUR,2005,29.88
SUR,2006,29.7
SUR,2007,29.49
SUR,2008,29.25
SUR,2009,28.97
SUR,2010,28.64
SUR,2011,28.26
SUR,2012,27.83
SWZ,2005,41.83
SWZ,2006,41.2
SWZ,2007,40.56
SWZ,2008,39.93
SWZ,2009,39.35
SWZ,2010,38.84
SWZ,2011,38.41
SWZ,2012,38.05
SYC,2005,24.34
SYC,2006,23.76
SYC,2007,23.26
SYC,2008,22.85
SYC,2009,22.54
SYC,2010,22.31
SYC,2011,22.18
SYC,2012,22.15
SYR,2005,38.63
SYR,2006,38
SYR,2007,37.33
SYR,2008,36.68
SYR,2009,36.14
SYR,2010,35.73
SYR,2011,35.49
SYR,2012,35.35
TCD,2005,49.24
TCD,2006,49.21
TCD,2007,49.16
TCD,2008,49.07
TCD,2009,48.97
TCD,2010,48.84
TCD,2011,48.69
TCD,2012,48.52
TGO,2005,42.85
TGO,2006,42.65
TGO,2007,42.47
TGO,2008,42.31
TGO,2009,42.18
TGO,2010,42.07
TGO,2011,41.97
TGO,2012,41.89
THA,2005,22.34
THA,2006,21.81
THA,2007,21.19
THA,2008,20.53
THA,2009,19.89
THA,2010,19.33
THA,2011,18.86
THA,2012,18.47
TJK,2005,38.35
TJK,2006,37.62
TJK,2007,37.01
TJK,2008,36.52
TJK,2009,36.16
TJK,2010,35.91
TJK,2011,35.78
TJK,2012,35.75
TKM,2005,32.68
TKM,2006,31.9
TKM,2007,31.12
TKM,2008,30.38
TKM,2009,29.74
TKM,2010,29.23
TKM,2011,28.88
TKM,2012,28.65
TMP,2005,47.98
TMP,2006,47.76
TMP,2007,47.69
TMP,2008,47.68
TMP,2009,47.58
TMP,2010,47.33
TMP,2011,46.89
TMP,2012,46.33
TON,2005,38.09
TON,2006,38
TON,2007,37.87
TON,2008,37.72
TON,2009,37.59
TON,2010,37.47
TON,2011,37.39
TON,2012,37.32
TUN,2005,25.78
TUN,2006,25.15
TUN,2007,24.6
TUN,2008,24.14
TUN,2009,23.77
TUN,2010,23.49
TUN,2011,23.32
TUN,2012,23.22
TUR,2005,28.5
TUR,2006,28.12
TUR,2007,27.76
TUR,2008,27.4
TUR,2009,27.05
TUR,2010,26.7
TUR,2011,26.35
TUR,2012,26
TUV,2005,
TUV,2006,
TUV,2007,
TUV,2008,
TUV,2009,
TUV,2010,
TUV,2011,
TUV,2012,
TZA,2005,44.63
TZA,2006,44.66
TZA,2007,44.71
TZA,2008,44.76
TZA,2009,44.81
TZA,2010,44.84
TZA,2011,44.85
TZA,2012,44.85
UGA,2005,49.35
UGA,2006,49.3
UGA,2007,49.22
UGA,2008,49.12
UGA,2009,49
UGA,2010,48.86
UGA,2011,48.71
UGA,2012,48.54
UKR,2005,14.67
UKR,2006,14.32
UKR,2007,14.08
UKR,2008,13.93
UKR,2009,13.87
UKR,2010,13.9
UKR,2011,14
UKR,2012,14.18
URY,2005,23.77
URY,2006,23.54
URY,2007,23.29
URY,2008,23.02
URY,2009,22.76
URY,2010,22.51
URY,2011,22.27
URY,2012,22.05
UZB,2005,33.24
UZB,2006,32.44
UZB,2007,31.68
UZB,2008,30.97
UZB,2009,30.33
UZB,2010,29.77
UZB,2011,29.3
UZB,2012,28.9
VCT,2005,28.52
VCT,2006,28.05
VCT,2007,27.64
VCT,2008,27.26
VCT,2009,26.89
VCT,2010,26.51
VCT,2011,26.11
VCT,2012,25.7
VEN,2005,31.32
VEN,2006,30.91
VEN,2007,30.52
VEN,2008,30.16
VEN,2009,29.81
VEN,2010,29.47
VEN,2011,29.15
VEN,2012,28.84
VNM,2005,27.12
VNM,2006,26.26
VNM,2007,25.43
VNM,2008,24.67
VNM,2009,24.01
VNM,2010,23.49
VNM,2011,23.12
VNM,2012,22.87
VUT,2005,39.66
VUT,2006,39.36
VUT,2007,39.09
VUT,2008,38.83
VUT,2009,38.54
VUT,2010,38.2
VUT,2011,37.81
VUT,2012,37.37
WBG,2005,45.82
WBG,2006,45.17
WBG,2007,44.42
WBG,2008,43.62
WBG,2009,42.83
WBG,2010,42.07
WBG,2011,41.36
WBG,2012,40.7
WSM,2005,39.57
WSM,2006,39.29
WSM,2007,39.02
WSM,2008,38.76
WSM,2009,38.51
WSM,2010,38.28
WSM,2011,38.07
WSM,2012,37.88
YEM,2005,45.67
YEM,2006,44.94
YEM,2007,44.18
YEM,2008,43.4
YEM,2009,42.65
YEM,2010,41.95
YEM,2011,41.31
YEM,2012,40.72
ZAF,2005,30.83
ZAF,2006,30.52
ZAF,2007,30.26
ZAF,2008,30.04
ZAF,2009,29.86
ZAF,2010,29.71
ZAF,2011,29.6
ZAF,2012,29.53
ZAR,2005,46.23
ZAR,2006,46.11
ZAR,2007,45.97
ZAR,2008,45.81
ZAR,2009,45.64
ZAR,2010,45.46
ZAR,2011,45.29
ZAR,2012,45.11
ZMB,2005,46.72
ZMB,2006,46.84
ZMB,2007,46.92
ZMB,2008,46.96
ZMB,2009,46.95
ZMB,2010,46.91
ZMB,2011,46.84
ZMB,2012,46.73
ZWE,2005,41.48
ZWE,2006,41.5
ZWE,2007,41.55
ZWE,2008,41.57
ZWE,2009,41.48
ZWE,2010,41.23
ZWE,2011,40.81
ZWE,2012,40.24
