id,year,budget-type,l1,l2,l3,l4,l5,value
UG,2015,proj,total-expenditure,,,,,1.62E+13
UG,2016,proj,total-expenditure,,,,,1.62E+13
UG,2017,proj,total-expenditure,,,,,1.87E+13
UG,2018,proj,total-expenditure,,,,,2.05E+13
UG,2019,proj,total-expenditure,,,,,2.14E+13
UG,2000,actual,total-expenditure,recurrent-expenditure,,,,977000000000.00
UG,2001,actual,total-expenditure,recurrent-expenditure,,,,1.14E+12
UG,2002,actual,total-expenditure,recurrent-expenditure,,,,1.42E+12
UG,2003,actual,total-expenditure,recurrent-expenditure,,,,9.77E+11
UG,2004,actual,total-expenditure,recurrent-expenditure,,,,1.87E+12
UG,2005,actual,total-expenditure,recurrent-expenditure,,,,1.98E+12
UG,2006,actual,total-expenditure,recurrent-expenditure,,,,2.23E+12
UG,2007,actual,total-expenditure,recurrent-expenditure,,,,2.44E+12
UG,2008,actual,total-expenditure,recurrent-expenditure,,,,2.88E+12
UG,2009,actual,total-expenditure,recurrent-expenditure,,,,3.29E+12
UG,2010,actual,total-expenditure,recurrent-expenditure,,,,4.31E+12
UG,2011,actual,total-expenditure,recurrent-expenditure,,,,5.96E+12
UG,2012,actual,total-expenditure,recurrent-expenditure,,,,5.59E+12
UG,2013,actual,total-expenditure,recurrent-expenditure,,,,5.81E+12
UG,2014,budget,total-expenditure,recurrent-expenditure,,,,6.44E+12
UG,2014,actual,total-expenditure,recurrent-expenditure,,,,6.68E+12
UG,2015,proj,total-expenditure,recurrent-expenditure,,,,7.49E+12
UG,2016,proj,total-expenditure,recurrent-expenditure,,,,8.33E+12
UG,2017,proj,total-expenditure,recurrent-expenditure,,,,9.39E+12
UG,2018,proj,total-expenditure,recurrent-expenditure,,,,1.05E+13
UG,2019,proj,total-expenditure,recurrent-expenditure,,,,1.19E+13
UG,2000,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,374000000000.00
UG,2001,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,4.34E+11
UG,2002,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,5.49E+11
UG,2003,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,6.11E+11
UG,2004,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,6.83E+11
UG,2005,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,7.74E+11
UG,2006,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,8.67E+11
UG,2007,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,9.87E+11
UG,2008,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,1.11E+12
UG,2009,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,1.18E+12
UG,2010,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,1.31E+12
