country,Year,gni-usd-current
TR,2007,6.40031E+11
TV,2007,48174818.7
TZ,2007,16665948716
UG,2007,12056748128
UA,2007,1.40602E+11
UY,2007,22892465218
US,2007,1.45866E+13
UZ,2007,23242393928
VC,2007,662685632.2
VE,2007,2.33056E+11
VI,2007,
VN,2007,75243501680
VU,2007,498760225.7
PS,2007,
WS,2007,452865981.6
YE,2007,20305940598
ZA,2007,2.76417E+11
CD,2007,9378743266
ZM,2007,9996905982
ZW,2007,4929377067
AW,2008,
AD,2008,3712034267
AF,2008,10257207643
AO,2008,70460539313
AL,2008,13135205520
AE,2008,3.19375E+11
AR,2008,3.19416E+11
AM,2008,12133205348
AS,2008,
AG,2008,1293532610
AU,2008,1.00916E+12
AT,2008,4.13207E+11
AZ,2008,43586308469
BI,2008,1607334286
BE,2008,5.14655E+11
BJ,2008,6622166257
BF,2008,8347655013
BD,2008,86607185541
BG,2008,49256795141
BH,2008,24787467890
BS,2008,8187306356
BA,2008,19212852007
BY,2008,59975883146
BZ,2008,1204422726
BM,2008,7840342000
BO,2008,16137901139
BR,2008,1.6144E+12
BB,2008,4295600000
BN,2008,14447599069
BT,2008,1222323126
BW,2008,10481085274
CF,2008,1962487694
CA,2008,1.48369E+12
CH,2008,4.89185E+11
CL,2008,1.66715E+11
CN,2008,4.55041E+12
CI,2008,22433859083
CM,2008,23322942523
CG,2008,8768093932
CO,2008,2.339E+11
KM,2008,528351428.4
CV,2008,1742241190
CR,2008,29414069858
CU,2008,59887728587
CW,2008,
KY,2008,
CY,2008,23710414531
CZ,2008,2.14881E+11
DE,2008,3.66592E+12
DJ,2008,
DM,2008,443830621.1
DK,2008,3.49322E+11
DO,2008,43981723134
DZ,2008,1.69765E+11
EC,2008,60330169821
EG,2008,1.65655E+11
ER,2008,1368434689
ES,2008,1.55079E+12
EE,2008,22560289342
ET,2008,25605854760
FI,2008,2.73139E+11
FJ,2008,3542843697
FR,2008,2.88168E+12
FO,2008,2413310841
FM,2008,268699232.2
GA,2008,13836389827
GB,2008,2.74411E+12
GE,2008,12680262666
GH,2008,28411932915
GN,2008,3992667537
GM,2008,940181982
GW,2008,829400019.7
GQ,2008,7274022936
GR,2008,3.30426E+11
GD,2008,783083885.9
GL,2008,1503107970
GT,2008,38198686496
GU,2008,
GY,2008,1907939106
HK,2008,2.32187E+11
HN,2008,13385342177
HR,2008,67667900970
HT,2008,6413257284
HU,2008,1.44346E+11
ID,2008,4.92112E+11
IN,2008,1.21694E+12
IE,2008,2.28872E+11
IR,2008,3.35654E+11
IQ,2008,1.38649E+11
IS,2008,13203926928
IL,2008,2.09115E+11
IT,2008,2.28214E+12
JM,2008,13114262205
JO,2008,22667340399
JP,2008,5.01168E+12
KZ,2008,1.14066E+11
KE,2008,30419490732
KG,2008,4959477114
KH,2008,9843561183
KI,2008,199798691.5
KN,2008,707665166
KR,2008,9.38356E+11
XK,2008,5872991760
KW,2008,1.58145E+11
LA,2008,5188418897
LB,2008,30516801990
LR,2008,690440458.8
LY,2008,93532701863
LC,2008,1102838949
LI,2008,4392270306
LK,2008,39745684483
LS,2008,2030269428
LT,2008,46035328650
LU,2008,43239022961
LV,2008,33338394343
MO,2008,18559047388
MF,2008,
MA,2008,87411096774
MC,2008,6919241412
MD,2008,6653406101
MG,2008,9344266609
MV,2008,1601833531
MX,2008,1.08089E+12
MH,2008,195746482.8
MK,2008,9714276399
ML,2008,8425093880
MT,2008,8228662799
MM,2008,
ME,2008,3972060067
MN,2008,5449977069
MP,2008,
MZ,2008,9158319085
MR,2008,3820728873
MU,2008,9713934507
MW,2008,4253751173
MY,2008,2.24078E+11
NA,2008,8673634431
NC,2008,
NE,2008,5384334204
NG,2008,1.9291E+11
NI,2008,8030543476
NL,2008,8.52316E+11
NO,2008,4.51791E+11
NP,2008,12667669492
NZ,2008,1.21252E+11
OM,2008,57984395786
PK,2008,1.73418E+11
PA,2008,24307959790
PE,2008,1.20795E+11
PH,2008,1.73708E+11
PW,2008,183100000
PG,2008,7931083676
PL,2008,5.16816E+11
PR,2008,61665200000
KP,2008,
PT,2008,2.42921E+11
PY,2008,17378521766
PF,2008,
QA,2008,1.08508E+11
RO,2008,1.98922E+11
RU,2008,1.62605E+12
RW,2008,4675611865
SA,2008,5.28964E+11
SD,2008,50397932741
SN,2008,13338804327
SG,2008,1.81903E+11
SB,2008,551468958.3
SL,2008,2429602706
SV,2008,21042000000
SM,2008,1681063439
SO,2008,
RS,2008,46395398227
SS,2008,9377684449
ST,2008,183393042.8
SR,2008,3540400729
SK,2008,91447868756
SI,2008,53071428253
SE,2008,5.03112E+11
