country_from,country_to,year,bl_remittances,,Notes
AG,BR,2012,0,,
AG,BT,2012,0,,
AG,BW,2012,0,,
AG,BY,2012,0,,
AG,BZ,2012,0.01,,
AG,CD,2012,0,,
AG,CF,2012,0,,
AG,CG,2012,0,,
AG,CI,2012,0,,
AG,CK,2012,,,
AG,CL,2012,0,,
AG,CM,2012,0,,
AG,CN,2012,0.06,,
AG,CO,2012,0,,
AG,CR,2012,0,,
AG,CU,2012,0,,
AG,CV,2012,0,,
AG,DJ,2012,0,,
AG,DM,2012,1.19,,
AG,DO,2012,3.87,,
AG,DZ,2012,0,,
AG,EC,2012,0,,
AG,EG,2012,0.19,,
AG,ER,2012,0,,
AG,ET,2012,0.05,,
AG,FJ,2012,0,,
AG,FM,2012,0,,
AG,GA,2012,0,,
AG,GD,2012,0.11,,
AG,GE,2012,0,,
AG,GH,2012,0,,
AG,GM,2012,0,,
AG,GN,2012,0,,
AG,GQ,2012,0,,
AG,GT,2012,0.02,,
AG,GW,2012,0,,
AG,GY,2012,3.38,,
AG,HN,2012,0.02,,
AG,HT,2012,0.03,,
AG,ID,2012,0,,
AG,IN,2012,0.32,,
AG,IQ,2012,0,,
AG,IR,2012,0,,
AG,JM,2012,5.22,,
AG,JO,2012,0,,
AG,KE,2012,0,,
AG,KG,2012,0,,
AG,KH,2012,0,,
AG,KI,2012,0,,
AG,KM,2012,0,,
AG,KN,2012,0.43,,
AG,KP,2012,0,,
AG,KZ,2012,0,,
AG,LA,2012,0,,
AG,LB,2012,0.07,,
AG,LC,2012,0.35,,
AG,LK,2012,0,,
AG,LR,2012,0,,
AG,LS,2012,0,,
AG,LY,2012,0,,
AG,MA,2012,0,,
AG,MD,2012,0,,
AG,ME,2012,0,,
AG,MG,2012,0,,
AG,MH,2012,0,,
AG,MK,2012,0,,
AG,ML,2012,0,,
AG,MM,2012,0,,
AG,MN,2012,0,,
AG,MR,2012,0,,
AG,MS,2012,,,
AG,MU,2012,0,,
AG,MV,2012,0,,
AG,MW,2012,0,,
AG,MX,2012,0.06,,
AG,MY,2012,0,,
AG,MZ,2012,0,,
AG,NA,2012,0,,
AG,NE,2012,0,,
AG,NG,2012,0.63,,
AG,NI,2012,0,,
AG,NP,2012,0,,
AG,NR,2012,,,
AG,NU,2012,,,
AG,PA,2012,0,,
AG,PE,2012,0,,
AG,PG,2012,0,,
AG,PH,2012,0,,
AG,PK,2012,0,,
AG,PS,2012,0,,
AG,PW,2012,0,,
AG,PY,2012,0,,
AG,RS,2012,0,,
AG,RW,2012,0,,
AG,SB,2012,0,,
AG,SC,2012,0,,
AG,SD,2012,0,,
AG,SH,2012,,,
AG,SL,2012,0,,
AG,SN,2012,0,,
AG,SO,2012,0,,
AG,SR,2012,0,,
AG,SS,2012,,,
AG,ST,2012,0,,
AG,SV,2012,0,,
AG,SY,2012,0.05,,
AG,SZ,2012,0,,
AG,TD,2012,0,,
AG,TG,2012,0,,
AG,TH,2012,0,,
AG,TJ,2012,0,,
AG,TK,2012,,,
AG,TL,2012,0,,
AG,TM,2012,0,,
AG,TN,2012,0,,
AG,TO,2012,0,,
AG,TR,2012,0,,
AG,TV,2012,0,,
AG,TZ,2012,0,,
AG,UA,2012,0,,
AG,UG,2012,0,,
AG,UY,2012,0,,
AG,UZ,2012,0,,
AG,VC,2012,0.54,,
AG,VE,2012,0.01,,
AG,VN,2012,0,,
AG,VU,2012,0,,
AG,WF,2012,,,
AG,WS,2012,0,,
AG,XK,2012,0,,
AG,YE,2012,0,,
AG,ZA,2012,0.13,,
AG,ZM,2012,0,,
AG,ZW,2012,0,,
AL,AF,2012,0,,
AL,AG,2012,0,,
AL,AI,2012,,,
AL,AL,2012,0,,
AL,AM,2012,0,,
AL,AO,2012,0,,
AL,AR,2012,0,,
AL,AZ,2012,0,,
AL,BA,2012,0,,
AL,BD,2012,0,,
AL,BF,2012,0,,
AL,BI,2012,0,,
AL,BJ,2012,0,,
AL,BO,2012,0,,
AL,BR,2012,0,,
AL,BT,2012,0,,
AL,BW,2012,0,,
AL,BY,2012,0,,
AL,BZ,2012,0,,
AL,CD,2012,0,,
AL,CF,2012,0,,
AL,CG,2012,0,,
AL,CI,2012,0,,
AL,CK,2012,,,
AL,CL,2012,0,,
AL,CM,2012,0,,
AL,CN,2012,0,,
AL,CO,2012,0,,
AL,CR,2012,0,,
AL,CU,2012,0,,
AL,CV,2012,0,,
AL,DJ,2012,0,,
AL,DM,2012,0,,
AL,DO,2012,0,,
AL,DZ,2012,0,,
AL,EC,2012,0,,
AL,EG,2012,0,,
AL,ER,2012,0,,
AL,ET,2012,0,,
AL,FJ,2012,0,,
AL,FM,2012,0,,
AL,GA,2012,0,,
AL,GD,2012,0,,
AL,GE,2012,0,,
AL,GH,2012,0,,
AL,GM,2012,0,,
AL,GN,2012,0,,
AL,GQ,2012,0,,
AL,GT,2012,0,,
AL,GW,2012,0,,
AL,GY,2012,0,,
AL,HN,2012,0,,
AL,HT,2012,0,,
AL,ID,2012,0,,
AL,IN,2012,0,,
AL,IQ,2012,0,,
AL,IR,2012,0,,
AL,JM,2012,0,,
AL,JO,2012,0,,
AL,KE,2012,0,,
AL,KG,2012,0,,
AL,KH,2012,0,,
AL,KI,2012,0,,
AL,KM,2012,0,,
AL,KN,2012,0,,
AL,KP,2012,0,,
AL,KZ,2012,0,,
AL,LA,2012,0,,
AL,LB,2012,0,,
AL,LC,2012,0,,
AL,LK,2012,0,,
AL,LR,2012,0,,
AL,LS,2012,0,,
AL,LY,2012,0,,
AL,MA,2012,0,,
AL,MD,2012,0,,
AL,ME,2012,0,,
AL,MG,2012,0,,
AL,MH,2012,0,,
AL,MK,2012,4.84,,
AL,ML,2012,0,,
AL,MM,2012,0,,
AL,MN,2012,0,,
AL,MR,2012,0,,
AL,MS,2012,,,
AL,MU,2012,0,,
AL,MV,2012,0,,
AL,MW,2012,0,,
AL,MX,2012,0,,
AL,MY,2012,0,,
AL,MZ,2012,0,,
AL,NA,2012,0,,
AL,NE,2012,0,,
AL,NG,2012,0,,
AL,NI,2012,0,,
AL,NP,2012,0,,
AL,NR,2012,,,
AL,NU,2012,,,
AL,PA,2012,0,,
AL,PE,2012,0,,
AL,PG,2012,0,,
AL,PH,2012,0,,
AL,PK,2012,0,,
