id,year,budget-type,l1,l2,l3,l4,l5,l6,value,value-ncu
UG,2015,budget,agriculture,national-agricultural-research-organisation,agricultural-technology-and-agribusiness-advisory-services,,,,22370194.17,75666782000
UG,2015,budget,agriculture,local-governments,agriculture-advisory-services,,,,12934288.59,43800000000
UG,2015,budget,agriculture,local-governments,district-production-services,,,,5546222.947,18800000000
UG,2015,budget,agriculture,other,dairy-development-authority,,,,1491272.328,5044202000
UG,2015,budget,agriculture,other,kampala-capital-city-authority,,,,401204.1892,1357066000
UG,2015,budget,agriculture,other,national-animal-genetic-research-centre-and-data-bank,,,,1019961.043,3450000000
UG,2015,budget,agriculture,other,uganda-cotton-development-organisation,,,,1061350.767,3590000000
UG,2015,budget,agriculture,other,uganda-coffee-development-authority,,,,2338519.377,7910000000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,directorate-of-crop-resources,,,166771.0216,564100000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,farm-development,,,659364.9028,2230290000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,crop-protection-department,,,579498.7011,1960144000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,crop-production-department,,,317302.1938,1073269000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,department-of-crop-regulation-and-certification,,,295640.882,1000000000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,support-for-tea-cocoa-seedlings,,,542971.6788,1836592000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,crop-disease-and-pest-control,,,719294.266,2430000000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,improvement-of-food-security-in-cross-border-districts,,,0,0
