"id","in-oda-gross.2000","capital-repayment.2000","interest-repayment.2000","in-oda-gross.2001","capital-repayment.2001","interest-repayment.2001","in-oda-gross.2002","capital-repayment.2002","interest-repayment.2002","in-oda-gross.2003","capital-repayment.2003","interest-repayment.2003","in-oda-gross.2004","capital-repayment.2004","interest-repayment.2004","in-oda-gross.2005","capital-repayment.2005","interest-repayment.2005","in-oda-gross.2006","capital-repayment.2006","interest-repayment.2006","in-oda-gross.2007","capital-repayment.2007","interest-repayment.2007","in-oda-gross.2008","capital-repayment.2008","interest-repayment.2008","in-oda-gross.2009","capital-repayment.2009","interest-repayment.2009","in-oda-gross.2010","capital-repayment.2010","interest-repayment.2010","in-oda-gross.2011","capital-repayment.2011","interest-repayment.2011","in-oda-gross.2012","capital-repayment.2012","interest-repayment.2012","in-oda-gross.2013","capital-repayment.2013","interest-repayment.2013"
"CR",120190000,84560000,22190000,105310000,87240000,19090000,87520000,75320000,16900000,106360000,66810000,14710000,94110000,74010000,12430000,83320000,50900000,10720000,85730000,47740000,9640000,148960000,82660000,8720000,118550000,57050000,7340000,150300000,35900000,6650000,173040000,73530000,8150000,74760000,35740000,7120000,64630000,31930000,6220000,78400000,43720000,5860000
"CU",75860000,0,0,91830000,0,0,103530000,0,0,107040000,3400000,0,132770000,2940000,0,106260000,0,0,112480000,2920000,0,104680000,4860000,1840000,127040000,1030000,630000,118300000,2460000,2630000,133100000,2470000,250000,86350000,2490000,2530000,93270000,5420000,820000,104260000,3810000,270000
"DM",27170000,5380000,1610000,36740000,5920000,1720000,50740000,6690000,3280000,20360000,5510000,2610000,49730000,13240000,2190000,30080000,4840000,2030000,27310000,5170000,2440000,26840000,6480000,2300000,26880000,5500000,1990000,43380000,6930000,2080000,38770000,6060000,6e+05,31970000,8670000,2060000,32450000,6790000,2140000,26480000,7310000,2070000
"DO",200430000,112880000,43710000,248550000,91980000,35410000,301990000,86940000,28590000,1.97e+08,105130000,31950000,187610000,86520000,33490000,175750000,82750000,19370000,249310000,180390000,25060000,256650000,129210000,24980000,236590000,86190000,19060000,208990000,92290000,20600000,251470000,76560000,16030000,303600000,90630000,16900000,346450000,85030000,18060000,208600000,6.5e+07,11580000
"SV",315010000,54760000,28180000,435850000,62070000,30110000,416920000,65550000,34720000,319280000,69940000,29990000,325050000,65870000,27980000,309220000,68180000,26840000,271640000,83280000,26350000,263270000,152300000,26530000,304660000,73440000,25940000,344690000,74010000,24430000,407250000,122890000,21750000,353760000,72700000,21680000,304940000,74540000,21400000,233070000,66650000,19200000
"GD",29280000,5820000,1500000,22200000,5560000,1490000,23520000,8360000,3260000,20160000,5940000,1540000,24840000,4980000,1680000,66090000,4780000,1490000,34960000,4280000,1700000,29490000,4570000,2110000,37970000,5060000,2260000,52520000,3350000,2160000,40240000,5360000,1330000,19130000,7110000,3150000,10520000,2870000,2330000,18520000,8540000,4550000
"GT",449400000,62930000,27960000,434030000,69580000,28490000,456540000,76270000,27480000,394770000,65310000,23540000,338310000,71100000,22250000,376350000,66100000,20860000,622200000,69360000,18890000,573610000,105870000,17700000,568390000,56110000,16150000,437580000,57960000,15450000,460890000,58020000,13090000,431350000,54490000,15670000,347490000,48030000,15770000,541060000,52240000,15460000
"HT",338500000,30390000,14740000,278250000,22730000,12140000,242320000,15780000,3260000,320180000,41110000,23510000,398420000,25660000,14320000,598800000,83150000,35960000,718820000,4.5e+07,19020000,820350000,63420000,30570000,972780000,34150000,21200000,2095950000,930430000,18780000,4077480000,896700000,8590000,1.693e+09,7e+06,1530000,1282980000,7760000,1720000,1169640000,10940000,1490000
"HN",785190000,107830000,39460000,1061830000,61560000,27410000,721180000,104040000,26940000,579390000,58610000,33040000,864510000,71880000,37130000,1606410000,788610000,118730000,2197910000,1491450000,34710000,1786110000,1297280000,17440000,701050000,132660000,21610000,481580000,7670000,10850000,663280000,13030000,12290000,655050000,50310000,16660000,598890000,27360000,23300000,658120000,35030000,30760000
"JM",166990000,134490000,38860000,244870000,139150000,46330000,193360000,149130000,50720000,113540000,101470000,28090000,207460000,108470000,35010000,178240000,134430000,29740000,146640000,109620000,27440000,121330000,95200000,21680000,164530000,84150000,17920000,219400000,71320000,16070000,212860000,70310000,12970000,117060000,78190000,15590000,93160000,72100000,14780000,149800000,85490000,12240000
"MX",196920000,260550000,32390000,309440000,131520000,46980000,317190000,149420000,24580000,304540000,148100000,29730000,248400000,119140000,27450000,336590000,125550000,21510000,424510000,115780000,25720000,279700000,173360000,23920000,305680000,165530000,19650000,305440000,116140000,17690000,658580000,181240000,21670000,1080080000,138960000,27520000,530430000,112500000,15720000,759740000,226400000,11930000
"MS",43260000,140000,60000,47450000,110000,20000,61080000,2980000,240000,45350000,1140000,160000,47910000,390000,110000,29780000,230000,110000,33390000,220000,90000,33860000,2e+05,90000,33560000,190000,80000,47540000,150000,60000,30410000,3340000,0,46970000,240000,60000,40450000,190000,60000,54420000,190000,60000
"NI",906740000,41080000,31480000,1674070000,92620000,30810000,839520000,42980000,37690000,1193900000,72750000,31860000,1893140000,408460000,25460000,1018210000,109140000,42330000,2250920000,1388640000,32580000,2172380000,1282060000,14100000,802280000,57820000,15960000,804580000,11580000,12920000,688990000,8110000,12710000,695390000,12800000,17660000,563320000,30930000,20460000,555970000,64250000,25840000
"PA",75690000,46720000,10280000,79930000,37730000,9820000,62590000,32120000,8220000,74650000,39280000,7930000,5.4e+07,27060000,6610000,55500000,24420000,5770000,96410000,60360000,6140000,49460000,166560000,5470000,51520000,22250000,5110000,91180000,21790000,3910000,158310000,21620000,4270000,128840000,19230000,13840000,66150000,15440000,14390000,52860000,45180000,14350000
"KN",9500000,3340000,1580000,21190000,4910000,1690000,46900000,4880000,3710000,4140000,3830000,1590000,3930000,3830000,1550000,7780000,4390000,1550000,11390000,4650000,1540000,8090000,3870000,1280000,48430000,4300000,1170000,9360000,3780000,1170000,15620000,4070000,510000,19860000,4840000,1170000,26130000,4210000,1200000,32330000,3620000,1390000
"LC",27500000,13220000,2530000,42400000,14500000,2340000,71460000,21210000,5990000,30140000,9630000,2850000,16810000,3.8e+07,3090000,22270000,9380000,1880000,32590000,10780000,2940000,28380000,7040000,2200000,26810000,8110000,2820000,50070000,7550000,2370000,50340000,8360000,1310000,44270000,10350000,2810000,34390000,7560000,2810000,31410000,7400000,2520000
"VC",14200000,5510000,1450000,19940000,6520000,1710000,18640000,11770000,3530000,13640000,5030000,1380000,17590000,4720000,1590000,14500000,4740000,1220000,10410000,4680000,1410000,72240000,3810000,1190000,32650000,4470000,1240000,36360000,4540000,1190000,21350000,4170000,580000,23260000,6240000,1550000,14150000,5600000,1450000,12910000,5410000,1170000
"TT",17060000,21330000,6830000,17540000,22210000,6200000,26090000,40280000,12230000,12190000,15610000,670000,13630000,15200000,2690000,14310000,15840000,2240000,31050000,15030000,1650000,22330000,1e+06,1050000,9740000,820000,220000,7900000,610000,2e+05,5090000,540000,110000,0,0,0,0,0,0,0,0,0
"TC",9840000,340000,110000,10390000,480000,130000,6440000,580000,5e+05,3060000,250000,130000,3730000,110000,210000,6260000,170000,290000,350000,830000,390000,16660000,920000,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"west-indies",159030000,670000,510000,164720000,1030000,6e+05,64290000,2120000,860000,67830000,1450000,2030000,51090000,1140000,4e+05,67700000,1190000,420000,60720000,1130000,350000,70280000,1190000,290000,98330000,1260000,320000,64200000,870000,270000,145990000,1340000,170000,163460000,1800000,280000,239890000,1420000,230000,137450000,2790000,220000
"north-central-america",356980000,8340000,1700000,222800000,10700000,2180000,216030000,9290000,1800000,261350000,4560000,970000,297650000,6760000,1400000,344500000,7360000,1930000,278630000,10670000,2720000,352840000,7860000,2140000,405430000,12320000,1490000,309660000,11230000,2480000,348490000,16580000,2190000,426670000,14440000,2780000,541480000,13290000,5940000,416130000,31210000,6810000
"AR",203630000,138800000,17350000,363160000,122590000,36430000,180750000,57080000,8490000,189040000,47030000,9820000,145350000,35670000,6940000,133190000,19650000,6190000,161640000,30280000,5920000,173640000,6.4e+07,6440000,165850000,39610000,4100000,164020000,38270000,4420000,159570000,35900000,9070000,118530000,35200000,12200000,196610000,17690000,9540000,82870000,53380000,12550000
"BO",888100000,148060000,59900000,1350670000,178730000,48640000,1603020000,559990000,49210000,1434110000,209650000,82070000,1646140000,705420000,41860000,897390000,134560000,43880000,2902650000,1914880000,37410000,1901340000,1375320000,13610000,649200000,20810000,10390000,757680000,16740000,10960000,893550000,132190000,22080000,718210000,22030000,15040000,688850000,30190000,20600000,720040000,30360000,25650000
"BR",570990000,247340000,87420000,674720000,307960000,112400000,614110000,294930000,88640000,593580000,325520000,87570000,490710000,303890000,84220000,554990000,267850000,78130000,467160000,339050000,80420000,520360000,196310000,74140000,650300000,185310000,91070000,603680000,280960000,71800000,629770000,172410000,60490000,957750000,174540000,66400000,1657070000,368840000,70200000,1374280000,256080000,64810000
"CL",124010000,4.6e+07,8300000,185410000,60540000,9010000,132970000,128140000,8640000,133360000,19790000,6420000,134060000,70260000,6390000,216300000,14450000,3760000,137320000,17670000,5550000,136030000,21220000,5290000,132740000,22770000,4980000,108010000,25650000,4390000,226670000,23790000,4070000,174390000,20160000,10800000,142460000,17620000,7900000,92800000,15620000,7300000
"CO",414490000,137860000,23040000,674570000,133690000,26650000,738420000,139190000,21560000,1090140000,96280000,19960000,741530000,125930000,17160000,845250000,127400000,14420000,1191460000,70060000,12430000,829930000,65230000,10520000,1048950000,57130000,8630000,1151070000,59610000,8380000,999520000,76160000,6160000,1041110000,40810000,6600000,807750000,43170000,5840000,875870000,45290000,4500000
"EC",320380000,93880000,30200000,378220000,91050000,42870000,436410000,103720000,32480000,338710000,109340000,47380000,330440000,142330000,39380000,409720000,146170000,38630000,303550000,90520000,31330000,307320000,83860000,27400000,324600000,104760000,26390000,307700000,103570000,23220000,265110000,107860000,21330000,247270000,95220000,20640000,231840000,82420000,20510000,222290000,83030000,18080000
"GY",222800000,47740000,11890000,211860000,40300000,13540000,143230000,37620000,10310000,168930000,40640000,10030000,224210000,50320000,11240000,245120000,68870000,14080000,545880000,345160000,12930000,588300000,451620000,7270000,171970000,4940000,5620000,182110000,3990000,5860000,182790000,7300000,3880000,170750000,15690000,6990000,133610000,19160000,7730000,122700000,22250000,8790000
"PY",174730000,64680000,25820000,153220000,62490000,26240000,142410000,60120000,21140000,127250000,60200000,26540000,123630000,96290000,35230000,140760000,78770000,24370000,145320000,77210000,22180000,196170000,75240000,21240000,216350000,77410000,20980000,225870000,75440000,21050000,200170000,77570000,20290000,159150000,67980000,22010000,171730000,67330000,20400000,191560000,67040000,20640000
"PE",670240000,137620000,94220000,886430000,244220000,104500000,881630000,193040000,94950000,868990000,197930000,91230000,789110000,227840000,81930000,830770000,300220000,85060000,792080000,272190000,93040000,891900000,497370000,89810000,712140000,267430000,86660000,712390000,276560000,84890000,793650000,1090830000,61840000,779980000,198120000,53570000,568760000,175430000,55620000,532900000,185750000,48930000
"SR",54060000,690000,140000,39630000,720000,130000,42430000,23770000,9180000,44520000,30050000,9780000,56540000,28180000,8290000,50810000,150000,50000,72240000,320000,30000,162110000,11310000,5600000,97310000,1980000,370000,153330000,2400000,3e+05,106460000,2090000,3e+05,87740000,2070000,580000,41590000,1990000,650000,30050000,1330000,550000
"UY",38420000,12290000,3080000,42400000,18450000,4540000,40730000,19350000,3640000,57270000,25050000,6040000,48950000,13640000,2990000,49200000,31750000,4390000,40960000,16600000,2910000,56040000,16950000,2250000,49710000,17570000,1750000,66270000,17300000,1490000,62360000,14770000,2030000,42790000,24170000,1470000,29390000,10100000,1080000,45790000,11130000,830000
"VE",138300000,9500000,1140000,78450000,6890000,920000,9.4e+07,6710000,710000,113670000,5720000,610000,59590000,5830000,330000,77870000,18640000,80000,75920000,4850000,0,80350000,10000,0,57340000,10000,0,66440000,10000,0,55190000,1690000,250000,46380000,3130000,260000,48130000,10000,0,38940000,4160000,220000
"south-america",510550000,5910000,1040000,156890000,7450000,2380000,73300000,4450000,1090000,116730000,2970000,650000,548120000,3830000,910000,121200000,3460000,1120000,143580000,18380000,1180000,199960000,4120000,610000,266680000,4e+06,160000,211070000,3320000,720000,281650000,210000,20000,270260000,210000,20000,396340000,750000,20000,259460000,470000,20000
"america",584620000,4320000,2010000,667180000,12780000,1060000,512370000,4160000,2340000,509090000,9700000,1500000,556310000,5330000,1270000,706940000,6840000,1070000,615120000,13760000,980000,598850000,5190000,550000,1149760000,6520000,3e+05,917650000,7720000,270000,1405950000,33370000,5630000,1328460000,39320000,5750000,1131250000,32420000,5860000,1682510000,39230000,6050000
"KH",625580000,11300000,5490000,690480000,19710000,6550000,767310000,20440000,8370000,719850000,20600000,9710000,624250000,19370000,11900000,672020000,20330000,12970000,750980000,109800000,13060000,771700000,19230000,13260000,807230000,19880000,15020000,805490000,27040000,16230000,806170000,35600000,16130000,854100000,79490000,17900000,860210000,52800000,21040000,895140000,64560000,22030000
"CN",3313260000,901440000,627640000,3427410000,1086170000,631440000,3538670000,1328610000,645800000,3283280000,1478050000,662760000,3589350000,1490760000,664900000,3824160000,1594410000,626310000,3298340000,1753250000,638250000,3486210000,1816390000,622830000,3375090000,1866050000,607870000,3088330000,1945250000,579480000,2742240000,2097680000,574140000,2569760000,3293160000,558490000,2406790000,2600900000,527280000,1834200000,2698700000,475340000
"KP",131250000,0,850000,207820000,1390000,810000,378670000,1460000,810000,178780000,3160000,1170000,201910000,3230000,1020000,110500000,2040000,390000,69640000,3120000,710000,114700000,5630000,680000,220790000,4660000,890000,73850000,2560000,910000,86050000,3800000,410000,121300000,3110000,1160000,101040000,2900000,730000,108710000,2310000,680000
"ID",2829920000,541320000,722350000,2540750000,370810000,750020000,2284580000,337770000,286670000,2841040000,461340000,549190000,1.966e+09,1738470000,814050000,3582020000,374890000,63090000,3717250000,2114030000,783310000,3506760000,2496870000,780520000,3939870000,2643460000,733370000,4034100000,2848580000,706500000,3733560000,2248700000,589380000,2620110000,2208490000,652730000,2322540000,2254730000,601710000,2667220000,2774860000,542220000
"LA",446360000,29080000,14210000,430770000,33880000,17520000,467410000,35350000,15370000,444380000,33460000,15500000,373740000,34230000,17080000,408840000,39700000,17770000,477550000,36080000,17600000,489260000,37650000,17510000,572430000,47820000,19060000,515430000,57490000,19990000,500730000,63160000,19600000,454960000,72710000,20720000,486280000,77370000,20840000,513510000,77990000,21790000
"MY",219010000,150070000,75160000,216460000,167720000,72910000,304970000,175080000,68460000,317070000,175430000,68030000,572800000,197750000,65020000,279450000,247970000,55970000,460670000,146780000,53410000,488510000,201440000,52950000,321310000,140870000,53060000,328340000,172630000,51300000,222880000,222700000,50040000,248440000,217240000,47240000,255380000,240010000,44910000,227420000,384400000,41130000
"MN",307990000,11390000,11380000,337690000,13860000,12370000,323040000,19180000,13170000,356360000,21440000,13940000,337190000,22860000,16120000,292390000,27880000,16660000,276880000,31040000,16570000,305900000,38490000,16230000,307830000,45530000,17200000,452140000,52240000,16430000,365320000,49630000,18360000,400950000,56870000,19420000,510690000,61910000,18950000,525340000,63440000,19180000
"PH",1398280000,590220000,309800000,1426530000,569220000,313110000,1471020000,621500000,322970000,1711460000,738740000,326710000,1270560000,699310000,333720000,1437840000,726330000,315310000,1521150000,795780000,321220000,1578680000,833040000,314720000,1084550000,1069510000,307440000,1346930000,979920000,2.9e+08,1546590000,993140000,277090000,944690000,1123670000,268720000,1019070000,1013970000,243460000,1103380000,1006170000,221870000
"TH",1343900000,501050000,266220000,1298090000,894860000,269340000,1192440000,774290000,2.64e+08,973400000,2183420000,265390000,1263370000,1197670000,219350000,1111650000,1327150000,195360000,721030000,1062330000,179280000,435100000,915300000,152750000,355560000,1139900000,123210000,313040000,402520000,106820000,464550000,478810000,105640000,526200000,676940000,97650000,486790000,621580000,92190000,944780000,1015280000,79860000
"TL",461400000,0,0,377150000,0,0,384010000,0,0,259430000,0,0,219690000,0,0,241730000,10000,0,267110000,0,0,324170000,0,0,306690000,20000,0,248640000,150000,0,317010000,60000,0,274150000,80000,0,283070000,10000,0,266850000,180000,0
"VN",2387190000,63070000,64070000,2369310000,120090000,86940000,2123280000,152070000,100460000,2555020000,167380000,121740000,2502020000,221880000,149570000,2562010000,226460000,148930000,2559290000,306870000,183240000,3172240000,306930000,184560000,3111340000,399320000,203330000,4469940000,471750000,220830000,3662480000,581630000,244730000,4118850000,609190000,269560000,4789860000,674090000,286020000,5108720000,753530000,295660000
"east-asia",134590000,0,0,58190000,0,0,79800000,0,0,142990000,0,0,215500000,0,0,446510000,0,0,238510000,27380000,0,217960000,0,0,221680000,0,0,193470000,0,0,187260000,30000,0,232560000,740000,0,243710000,11530000,0,238210000,1320000,0
"AF",234980000,0,0,733340000,0,0,2050520000,74570000,9840000,2150430000,34710000,9260000,2803810000,4360000,4240000,3318840000,4300000,5800000,3374950000,4620000,6270000,5326700000,4110000,6910000,5059610000,10460000,13540000,6583240000,4380000,8910000,6876430000,191400000,8770000,6836500000,4930000,10420000,6740680000,14750000,10790000,5400260000,30530000,10790000
"AM",308210000,0,6470000,318850000,3400000,7320000,445810000,17320000,7900000,353400000,24100000,8700000,338180000,34820000,10070000,241980000,43980000,10280000,291220000,45590000,10360000,432360000,35120000,10300000,360570000,41600000,11420000,597370000,45860000,13080000,402190000,46060000,14590000,437430000,47990000,16280000,324830000,52070000,17330000,339010000,53160000,18760000
"AZ",201260000,0,3380000,3.35e+08,1410000,4330000,507230000,5080000,5530000,418790000,23560000,7640000,252480000,33740000,9900000,296200000,37480000,9870000,277060000,37200000,10060000,284280000,40850000,10220000,275050000,41250000,10770000,288030000,50640000,11700000,220480000,58270000,12360000,343610000,62170000,13570000,354980000,70080000,14260000,326130000,381380000,13200000
"BD",2444960000,659390000,203020000,2326320000,660390000,202860000,2045720000,651610000,209900000,2364530000,518110000,190760000,2526280000,809750000,228570000,2130050000,576320000,193690000,2288720000,891130000,219650000,2323080000,738140000,244080000,3648840000,1548570000,208020000,2.009e+09,702510000,202390000,2199430000,7.25e+08,177610000,2235120000,774830000,180020000,2988070000,835980000,171620000,3541390000,819230000,172360000
"BT",91280000,3890000,1150000,104960000,3960000,1290000,119830000,4070000,1410000,108130000,2220000,1570000,100410000,3230000,1920000,113410000,3120000,1960000,128680000,4610000,2020000,107900000,4590000,1930000,97280000,5410000,2120000,140500000,6830000,2270000,145830000,7920000,2770000,146060000,7030000,3440000,171070000,9780000,3740000,146610000,8240000,4390000
"GE",243530000,0,6620000,440190000,5570000,8790000,472190000,27300000,8710000,340540000,41360000,9380000,426690000,50460000,9860000,410460000,6.7e+07,8410000,470710000,63440000,8570000,456860000,55310000,11560000,958110000,55980000,11990000,9.84e+08,51040000,12990000,689230000,48970000,15900000,625940000,58360000,19650000,731280000,69070000,23400000,724080000,78070000,27590000
"IN",3487030000,1520830000,630340000,4258570000,1609570000,627870000,4656110000,2087020000,659160000,3303430000,2493110000,663320000,3742850000,2817340000,655330000,4014810000,1849030000,626140000,3455110000,1908250000,598190000,3379160000,1951880000,586930000,4242350000,2012780000,575580000,4577810000,1923270000,557590000,4921220000,1974490000,561390000,5276150000,2123490000,580550000,3812650000,2145020000,586950000,4847810000,2301080000,572050000
"KZ",245880000,0,7230000,224300000,1130000,10180000,266360000,2280000,10380000,386730000,4400000,11230000,349220000,18120000,14430000,282850000,5820000,17190000,214750000,8560000,19110000,311760000,77870000,22480000,378730000,30870000,22770000,349930000,36480000,21530000,269290000,41780000,22770000,269030000,57390000,23090000,182590000,52950000,21940000,184610000,94900000,21200000
"KG",317240000,6630000,14420000,304360000,16800000,15220000,299220000,25500000,11750000,297550000,34740000,11820000,369660000,44660000,12750000,365930000,44900000,12150000,420370000,50630000,12750000,337850000,42980000,13050000,410790000,48090000,14240000,388600000,59360000,17320000,449500000,59100000,12940000,579250000,63620000,18200000,533290000,60390000,17190000,592550000,59250000,19360000
"MV",33950000,4800000,1160000,54140000,15020000,1180000,49590000,6330000,1850000,37470000,5460000,2140000,41900000,6380000,1440000,100530000,6420000,2030000,52880000,6820000,2080000,48770000,7590000,1430000,65810000,8230000,1620000,55210000,18480000,1590000,126570000,10370000,2180000,54280000,10640000,2740000,69840000,11840000,2830000,34370000,10960000,2920000
"MM",154140000,6740000,18290000,196090000,8920000,39920000,207940000,29420000,990000,179640000,8710000,2400000,166500000,8310000,680000,187160000,8430000,990000,186950000,11480000,1210000,228590000,8190000,1690000,570440000,9300000,1800000,391350000,8200000,2080000,421880000,45750000,1120000,394300000,27270000,1060000,528470000,24420000,690000,8822810000,4343060000,3075830000
"NP",662650000,83310000,34710000,710090000,88720000,35530000,616130000,98460000,35800000,702750000,77060000,32820000,599800000,79300000,33630000,629870000,121600000,37700000,746300000,129520000,36480000,774080000,122730000,52810000,960850000,251180000,33480000,1034310000,131370000,32320000,1008930000,147810000,30600000,1018960000,152960000,31650000,932240000,162520000,30310000,1042510000,171290000,30790000
"PK",1429800000,452800000,166050000,3250870000,462170000,188580000,3510820000,405080000,153220000,3755170000,2348450000,286190000,2212240000,466280000,315690000,2470900000,519790000,290500000,3139520000,603290000,298220000,2947240000,534350000,310670000,2180380000,602400000,327650000,3668990000,736510000,334410000,3944720000,800220000,225680000,4328050000,845790000,337880000,2906490000,887430000,345520000,3010860000,823240000,323220000
"LK",753880000,368400000,144850000,902200000,382710000,149530000,913060000,380680000,154400000,1269330000,359010000,158690000,982200000,339220000,162150000,1580720000,135600000,68900000,1410110000,446750000,167200000,1177100000,504140000,163890000,1301500000,537920000,165060000,1331470000,565040000,158820000,1135330000,519410000,157720000,1107810000,511140000,160170000,1009210000,521700000,156930000,980280000,537730000,150920000
"TJ",189900000,1380000,3200000,258310000,2390000,3620000,273740000,38980000,3970000,213020000,17170000,4e+06,330070000,16850000,4990000,319080000,19990000,5260000,403670000,123670000,5020000,248660000,7450000,5230000,336770000,42590000,5660000,457430000,31200000,6740000,471530000,18170000,7490000,362190000,22340000,7890000,420350000,26450000,7990000,406510000,22510000,8040000
"TM",52720000,0,30000,111680000,0,90000,62980000,0,610000,38490000,170000,1680000,72380000,2520000,3550000,41690000,5160000,1610000,55590000,7410000,3940000,44290000,14670000,12220000,44760000,28060000,1380000,45190000,3790000,1490000,49790000,4910000,1260000,42320000,4110000,1320000,42390000,4370000,1150000,40120000,3520000,1080000
"UZ",242110000,0,11660000,219680000,410000,12090000,267070000,2420000,17550000,251920000,2180000,13990000,302410000,2110000,16220000,215770000,10650000,20070000,193090000,19930000,20390000,224130000,26490000,18350000,230480000,32580000,19740000,234560000,36650000,18760000,279790000,41760000,19500000,246190000,48150000,20590000,303530000,48280000,20670000,350120000,54050000,20760000
"central-asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8780000,0,0,173710000,1650000,0,265480000,0,0,292030000,0,0,364850000,0,0,206440000,40000,0,172960000,130000,0,202680000,20000,0,227770000,270000,0
"south-asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540000,0,0,107730000,11520000,0,110300000,0,0,173490000,16430000,0,153250000,1950000,0,102800000,40000,0,100990000,740000,0,130350000,140000,0,69370000,2070000,0
"south-central-asia",202820000,0,0,76980000,0,0,175590000,0,0,403820000,0,0,501290000,0,0,558820000,0,0,181030000,0,0,204940000,0,0,212330000,0,0,256360000,0,0,236550000,1e+05,0,204840000,430000,0,319010000,340000,0,133590000,0,0
"BH",98600000,7250000,0,120290000,8580000,0,100610000,7040000,0,182490000,7200000,0,80230000,9400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IR",215890000,22950000,9940000,204180000,23430000,11500000,201120000,23400000,12060000,199850000,23680000,12230000,259990000,23650000,11980000,151030000,23970000,16200000,153150000,24100000,10770000,125670000,26700000,10140000,119130000,29620000,9480000,118840000,29630000,8640000,153190000,30940000,7970000,127030000,31390000,7420000,151810000,2920000,780000,141510000,13780000,2560000
"IQ",175520000,0,0,210810000,0,0,188580000,0,0,2933050000,380000,0,5542500000,0,0,25695710000,34020000,463090000,10273900000,34410000,64450000,10035630000,57740000,650000,10506500000,202250000,16710000,2950330000,60000,930000,2282230000,2230000,740000,1926160000,7340000,6760000,1.315e+09,14160000,10560000,1701850000,14810000,13920000
"JO",860230000,71260000,70300000,877290000,215130000,67330000,932620000,149820000,70570000,1811760000,164130000,51030000,852360000,132920000,50990000,966870000,138740000,43720000,813850000,169200000,4.8e+07,909330000,232220000,50330000,961510000,217250000,48040000,1008060000,250360000,48380000,1222240000,241180000,40070000,1222570000,257740000,55140000,1686800000,269840000,53130000,1641050000,274500000,50790000
"LB",347480000,29160000,5240000,344120000,34880000,5180000,342920000,34620000,680000,743870000,33720000,4070000,362980000,42260000,3830000,314080000,42600000,1530000,1011670000,6.4e+07,4980000,1077280000,42930000,4e+06,1122590000,74570000,12620000,673700000,85150000,17020000,547100000,90530000,20700000,569520000,112420000,29640000,873020000,162760000,25320000,777230000,165020000,11560000
"OM",151120000,33470000,3150000,54580000,43120000,3050000,161230000,42630000,2640000,124770000,38020000,2240000,158500000,35380000,1810000,89330000,66350000,1420000,111690000,47960000,4e+05,363010000,133960000,0,156470000,80500000,0,297270000,145840000,0,29790000,52370000,5170000,0,0,0,0,0,0,0,0,0
"SA",29510000,0,2680000,19270000,0,4360000,25430000,350000,12420000,18960000,850000,28900000,35260000,8900000,21450000,30620000,0,30430000,29520000,0,34810000,29900000,218900000,87900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SY",361700000,136760000,41590000,472780000,216640000,169120000,283400000,186390000,47660000,340310000,177460000,51420000,305070000,180150000,50330000,262580000,184520000,41590000,245780000,232890000,42670000,287960000,218410000,36400000,457880000,321690000,37260000,465360000,263200000,29310000,394900000,262640000,36810000,535900000,209510000,27230000,1689790000,18270000,4630000,3635580000,54100000,30490000
"PS",1073920000,0,1170000,1615880000,0,1800000,1510310000,190000,1830000,1396010000,890000,10000,1423880000,390000,1310000,1219930000,2390000,1270000,1587600000,2e+06,1210000,1818390000,440000,0,2459820000,1660000,0,2931220000,3e+05,90000,2609490000,6810000,10000,2.389e+09,3420000,640000,2018090000,6650000,630000,2572540000,2950000,590000
"YE",512370000,44350000,2e+07,672850000,88830000,25610000,404460000,78530000,21990000,396800000,80240000,25210000,429970000,115420000,34520000,534700000,195240000,27910000,456160000,132510000,34300000,401210000,152050000,28260000,616530000,190490000,27300000,722400000,146390000,25860000,832310000,146310000,24290000,615320000,152380000,25980000,844040000,134660000,25840000,1138090000,142380000,26010000
"middle-east",234660000,0,0,68910000,0,0,362810000,0,0,229470000,0,0,237050000,0,0,1154640000,0,0,2383040000,0,0,1566510000,10000,0,5085780000,0,0,2557910000,0,0,2585140000,270000,0,4545470000,320000,0,1038120000,4990000,0,5855100000,1460000,0
"asia",385550000,30000,0,506730000,1570000,0,1745600000,360000,0,343250000,0,0,352610000,3830000,0,1326150000,2150000,0,1100370000,11370000,0,1091940000,11700000,0,1343230000,7230000,0,1170100000,1270000,0,1171900000,8930000,0,1119400000,2160000,0,934420000,6300000,0,1178680000,22020000,0
"CK",9530000,120000,3e+05,11690000,280000,3e+05,8770000,320000,3e+05,10580000,350000,290000,13700000,510000,4e+05,11770000,590000,3e+05,39590000,610000,3e+05,12600000,710000,280000,7550000,740000,290000,10710000,870000,260000,16300000,9e+05,280000,26720000,970000,290000,22180000,970000,3e+05,16820000,1010000,290000
"FJ",58920000,6220000,520000,54370000,3830000,280000,64870000,3200000,310000,79640000,260000,490000,90010000,260000,670000,91880000,1600000,640000,79580000,1670000,690000,64120000,1630000,640000,55890000,1650000,6e+05,87530000,3420000,570000,85860000,1580000,480000,79730000,1640000,460000,108880000,1530000,420000,95930000,1530000,380000
