"id","year","in-oda-gross","capital-repayment","interest-repayment"
"TN",2002,651090000,299190000,50160000
"north-of-sahara",2002,49490000,1360000,0
"AO",2002,637970000,10540000,5970000
"BJ",2002,415960000,74330000,13530000
"BW",2002,74540000,21940000,7830000
"BF",2002,783860000,86830000,15230000
"BI",2002,301610000,29470000,7320000
"CV",2002,155490000,11270000,4870000
"CM",2002,1238070000,257210000,37870000
"CF",2002,103710000,11990000,410000
"TD",2002,405240000,48220000,12280000
"KM",2002,49360000,6180000,1060000
"CG",2002,139380000,48830000,3780000
"CI",2002,2181840000,467410000,41710000
"CD",2002,2357030000,557890000,173490000
"DJ",2002,125390000,11240000,1760000
"GQ",2002,39490000,6530000,1200000
"ER",2002,353330000,5030000,3420000
"ET",2002,2113380000,112900000,41960000
"GA",2002,157470000,43700000,840000
"GM",2002,114040000,15280000,4770000
"GH",2002,1215260000,188610000,64590000
"GN",2002,488290000,108930000,24400000
"GW",2002,110350000,15900000,4290000
"KE",2002,822630000,247880000,78020000
"LS",2002,139820000,24430000,5440000
"LR",2002,1.02e+08,19510000,950000
"MG",2002,647130000,75560000,24330000
"MW",2002,646620000,75430000,31880000
"ML",2002,809770000,149220000,23430000
"MR",2002,649190000,83630000,13760000
"MU",2002,84280000,46550000,5110000
"YT",2002,207340000,5080000,190000
"MZ",2002,3697060000,198740000,20520000
"NA",2002,232960000,10430000,8890000
"NE",2002,525630000,57850000,12950000
"NG",2002,475490000,41040000,25560000
"RW",2002,588480000,38070000,13890000
"SH",2002,18770000,0,0
"ST",2002,47640000,6490000,2290000
"SN",2002,870950000,186010000,30250000
"SC",2002,89480000,1320000,380000
"SL",2002,633610000,62050000,8610000
"SO",2002,248610000,2530000,0
"ZA",2002,836750000,43760000,2290000
"SS",2002,0,0,0
"SD",2002,474080000,20800000,1920000
"SZ",2002,51750000,16870000,3150000
"TZ",2002,2175320000,183810000,46120000
"TG",2002,109210000,29850000,560000
"UG",2002,1270580000,168020000,37980000
"ZM",2002,1667700000,4.15e+08,39780000
"ZW",2002,328540000,30310000,5120000
"south-of-sahara",2002,1353540000,10510000,3620000
"africa",2002,804520000,38070000,420000
"AI",2002,2910000,2190000,960000
"AG",2002,22190000,3160000,570000
"BB",2002,18590000,13700000,8630000
"BZ",2002,58860000,25310000,6240000
"CR",2002,87520000,75320000,16900000
"CU",2002,103530000,0,0
"DM",2002,50740000,6690000,3280000
"DO",2002,301990000,86940000,28590000
"SV",2002,416920000,65550000,34720000
"GD",2002,23520000,8360000,3260000
"GT",2002,456540000,76270000,27480000
"HT",2002,242320000,15780000,3260000
"HN",2002,721180000,104040000,26940000
"JM",2002,193360000,149130000,50720000
"MX",2002,317190000,149420000,24580000
"MS",2002,61080000,2980000,240000
"NI",2002,839520000,42980000,37690000
"PA",2002,62590000,32120000,8220000
"KN",2002,46900000,4880000,3710000
"LC",2002,71460000,21210000,5990000
"VC",2002,18640000,11770000,3530000
"TT",2002,26090000,40280000,12230000
"TC",2002,6440000,580000,5e+05
"west-indies",2002,64290000,2120000,860000
"north-central-america",2002,216030000,9290000,1800000
"AR",2002,180750000,57080000,8490000
"BO",2002,1603020000,559990000,49210000
"BR",2002,614110000,294930000,88640000
"CL",2002,132970000,128140000,8640000
"CO",2002,738420000,139190000,21560000
"EC",2002,436410000,103720000,32480000
"GY",2002,143230000,37620000,10310000
"PY",2002,142410000,60120000,21140000
"PE",2002,881630000,193040000,94950000
"SR",2002,42430000,23770000,9180000
"UY",2002,40730000,19350000,3640000
"VE",2002,9.4e+07,6710000,710000
"south-america",2002,73300000,4450000,1090000
"america",2002,512370000,4160000,2340000
"KH",2002,767310000,20440000,8370000
"CN",2002,3538670000,1328610000,645800000
"KP",2002,378670000,1460000,810000
"ID",2002,2284580000,337770000,286670000
"LA",2002,467410000,35350000,15370000
"MY",2002,304970000,175080000,68460000
"MN",2002,323040000,19180000,13170000
"PH",2002,1471020000,621500000,322970000
"TH",2002,1192440000,774290000,2.64e+08
"TL",2002,384010000,0,0
"VN",2002,2123280000,152070000,100460000
"east-asia",2002,79800000,0,0
"AF",2002,2050520000,74570000,9840000
"AM",2002,445810000,17320000,7900000
"AZ",2002,507230000,5080000,5530000
"BD",2002,2045720000,651610000,209900000
"BT",2002,119830000,4070000,1410000
"GE",2002,472190000,27300000,8710000
"IN",2002,4656110000,2087020000,659160000
"KZ",2002,266360000,2280000,10380000
"KG",2002,299220000,25500000,11750000
"MV",2002,49590000,6330000,1850000
"MM",2002,207940000,29420000,990000
"NP",2002,616130000,98460000,35800000
"PK",2002,3510820000,405080000,153220000
"LK",2002,913060000,380680000,154400000
"TJ",2002,273740000,38980000,3970000
"TM",2002,62980000,0,610000
"UZ",2002,267070000,2420000,17550000
"central-asia",2002,0,0,0
"south-asia",2002,0,0,0
"south-central-asia",2002,175590000,0,0
"BH",2002,100610000,7040000,0
"IR",2002,201120000,23400000,12060000
"IQ",2002,188580000,0,0
"JO",2002,932620000,149820000,70570000
"LB",2002,342920000,34620000,680000
"OM",2002,161230000,42630000,2640000
"SA",2002,25430000,350000,12420000
"SY",2002,283400000,186390000,47660000
"PS",2002,1510310000,190000,1830000
"YE",2002,404460000,78530000,21990000
"middle-east",2002,362810000,0,0
"asia",2002,1745600000,360000,0
"CK",2002,8770000,320000,3e+05
"FJ",2002,64870000,3200000,310000
"KI",2002,39860000,110000,80000
"MH",2002,81410000,120000,710000
"FM",2002,141880000,0,410000
"NR",2002,31090000,0,0
"NU",2002,10230000,0,0
"PW",2002,41990000,0,0
"PG",2002,584290000,55950000,23280000
"WS",2002,74190000,4770000,1740000
"SB",2002,71020000,4970000,1320000
"TK",2002,10520000,0,0
"TO",2002,48660000,4e+06,960000
"TV",2002,19850000,20000,60000
"VU",2002,57690000,1760000,1010000
"WF",2002,85410000,0,0
"oceania",2002,86690000,310000,0
"bilateral-unspecified",2002,16464500000,240680000,7340000
"AL",2003,499670000,25590000,7190000
"BY",2003,0,0,0
"BA",2003,731730000,5e+06,6840000
"HR",2003,189590000,25510000,2490000
"MK",2003,366780000,17150000,3840000
"XK",2003,0,0,0
"MT",2003,0,0,0
"MD",2003,159870000,480000,2210000
"ME",2003,10830000,0,50000
"RS",2003,1763050000,170000,6720000
"SI",2003,0,0,0
"ex-yugoslavia",2003,167520000,350000,60000
"TR",2003,705790000,478610000,108430000
"UA",2003,0,0,0
"europe",2003,746990000,3380000,0
"DZ",2003,393220000,75150000,22120000
"EG",2003,1860700000,559190000,462330000
"LY",2003,0,0,0
"MA",2003,1084080000,324720000,100670000
"TN",2003,650570000,253990000,60960000
"north-of-sahara",2003,149420000,1340000,150000
"AO",2003,661260000,11090000,4140000
"BJ",2003,461070000,67320000,14440000
"BW",2003,55290000,18820000,4090000
"BF",2003,808480000,82690000,18610000
"BI",2003,331520000,26140000,9160000
"CV",2003,204360000,8660000,4270000
"CM",2003,1388590000,235200000,85350000
"CF",2003,76950000,9100000,2240000
"TD",2003,392460000,56220000,13250000
"KM",2003,37780000,5250000,1710000
"CG",2003,117410000,26360000,12430000
"CI",2003,576950000,246420000,37730000
"CD",2003,7295780000,237150000,268170000
"DJ",2003,110410000,5600000,2620000
"GQ",2003,33740000,5490000,1640000
"ER",2003,429650000,4250000,3470000
"ET",2003,2249950000,133410000,41600000
"GA",2003,209790000,224190000,22140000
"GM",2003,96260000,13260000,4700000
"GH",2003,1421250000,133510000,48940000
"GN",2003,426130000,91190000,24700000
"GW",2003,217220000,17110000,4080000
"KE",2003,932580000,251550000,75280000
"LS",2003,119560000,17590000,5250000
"LR",2003,152640000,8800000,1150000
"MG",2003,854030000,131640000,28880000
"MW",2003,763750000,75930000,26110000
