"id-from","entity-from-name","id-to","entity-to-name","year","sector","oof-bundle","channel","value"
"AU","Australia","america","America, regional",2007,"other","oof-grant","unspecified",66389
"BE","Belgium","america","America, regional",2007,"other","oof-loan","unspecified",16921560
"DE","Germany","america","America, regional",2007,"other","oof-loan","unspecified",210281866
"EU","European Union","america","America, regional",2007,"other","oof-loan","unspecified",17803903
"FI","Finland","america","America, regional",2007,"other","oof-loan","unspecified",1868258
"GB","UK","america","America, regional",2007,"other","oof-loan","unspecified",-8822975
"KR","South Korea","america","America, regional",2007,"other","oof-loan","unspecified",8119820
"US","USA","america","America, regional",2007,"other","oof-loan","unspecified",20388720
"AU","Australia","america","America, regional",2008,"other","oof-grant","unspecified",417500
"DE","Germany","america","America, regional",2008,"industry-and-trade","oof-loan","unspecified",57599604
"DE","Germany","america","America, regional",2008,"infrastructure","oof-loan","unspecified",73600718
"DE","Germany","america","America, regional",2008,"other","oof-loan","unspecified",245161272
"EU","European Union","america","America, regional",2008,"other","oof-loan","unspecified",357984484
"FI","Finland","america","America, regional",2008,"other","oof-loan","unspecified",6963728
"FR","France","america","America, regional",2008,"other","oof-loan","unspecified",23673149
"GB","UK","america","America, regional",2008,"other","oof-loan","unspecified",330433
"JP","Japan","america","America, regional",2008,"other","oof-loan","unspecified",2210277
"KR","South Korea","america","America, regional",2008,"other","oof-loan","unspecified",124895983
"US","USA","america","America, regional",2008,"other","oof-loan","unspecified",1163914
"AU","Australia","america","America, regional",2009,"other","oof-grant","unspecified",900618
"DE","Germany","america","America, regional",2009,"other","oof-loan","unspecified",9535414
"DE","Germany","america","America, regional",2009,"industry-and-trade","oof-loan","unspecified",60885291
"DE","Germany","america","America, regional",2009,"infrastructure","oof-loan","unspecified",89471600
"EU","European Union","america","America, regional",2009,"other","oof-loan","unspecified",293574234
"FI","Finland","america","America, regional",2009,"other","oof-loan","unspecified",15149833
"KR","South Korea","america","America, regional",2009,"other","oof-loan","unspecified",159303394
"US","USA","america","America, regional",2009,"other","oof-loan","unspecified",3307558
"AU","Australia","america","America, regional",2010,"other","oof-grant","unspecified",198785
"DE","Germany","america","America, regional",2010,"infrastructure","oof-loan","unspecified",99784546
"DE","Germany","america","America, regional",2010,"other","oof-loan","unspecified",12859429
"DE","Germany","america","America, regional",2010,"industry-and-trade","oof-loan","unspecified",40239814
"DK","Denmark","america","America, regional",2010,"other","oof-loan","unspecified",721527
"EU","European Union","america","America, regional",2010,"other","oof-loan","unspecified",340144261
"FR","France","america","America, regional",2010,"other","oof-loan","unspecified",67197717
"GB","UK","america","America, regional",2010,"other","oof-loan","unspecified",5362612
"KR","South Korea","america","America, regional",2010,"other","oof-loan","unspecified",148673355
"US","USA","america","America, regional",2010,"other","oof-loan","unspecified",5498531
"AU","Australia","america","America, regional",2011,"other","oof-grant","unspecified",871601
"DE","Germany","america","America, regional",2011,"other","oof-loan","unspecified",122260125
"DE","Germany","america","America, regional",2011,"industry-and-trade","oof-loan","unspecified",64607673
"DE","Germany","america","America, regional",2011,"infrastructure","oof-loan","unspecified",164091473
"DK","Denmark","america","America, regional",2011,"other","oof-loan","unspecified",2065774
"ES","Spain","america","America, regional",2011,"other","oof-grant","unspecified",850544
"EU","European Union","america","America, regional",2011,"other","oof-loan","unspecified",49996570
"FI","Finland","america","America, regional",2011,"other","oof-loan","unspecified",1416493
"FR","France","america","America, regional",2011,"other","oof-loan","unspecified",34664503
"GB","UK","america","America, regional",2011,"other","oof-loan","unspecified",3439332
"KR","South Korea","america","America, regional",2011,"other","oof-loan","unspecified",909502458
"US","USA","america","America, regional",2011,"other","oof-loan","unspecified",23707198
"AU","Australia","america","America, regional",2012,"other","oof-grant","unspecified",981248
"BE","Belgium","america","America, regional",2012,"other","oof-loan","unspecified",22311203
"DE","Germany","america","America, regional",2012,"other","oof-loan","unspecified",95276023
"DE","Germany","america","America, regional",2012,"infrastructure","oof-loan","unspecified",67965707
"DE","Germany","america","America, regional",2012,"industry-and-trade","oof-loan","unspecified",99665506
"DK","Denmark","america","America, regional",2012,"other","oof-loan","unspecified",926786
